year,scenario,upper,lower,value,location,variable
1950,Historical Emissions,8.796,8.165,8.322,Lewistown,sfcWind
1951,Historical Emissions,8.759,8.232,8.464,Lewistown,sfcWind
1952,Historical Emissions,8.717,8.024,8.616,Lewistown,sfcWind
1953,Historical Emissions,9.06,8.173,8.304,Lewistown,sfcWind
1954,Historical Emissions,9.078,8.016,8.606,Lewistown,sfcWind
1955,Historical Emissions,8.756,7.984,8.58,Lewistown,sfcWind
1956,Historical Emissions,9.239,8.05,8.566,Lewistown,sfcWind
1957,Historical Emissions,9.215,8.232,8.567,Lewistown,sfcWind
1958,Historical Emissions,8.829,8.149,8.295,Lewistown,sfcWind
1959,Historical Emissions,8.969,7.969,8.68,Lewistown,sfcWind
1960,Historical Emissions,9.003,8.498,8.838,Lewistown,sfcWind
1961,Historical Emissions,9.14,8.187,8.57,Lewistown,sfcWind
1962,Historical Emissions,8.859,8.248,8.454,Lewistown,sfcWind
1963,Historical Emissions,8.883,8.15,8.556,Lewistown,sfcWind
1964,Historical Emissions,9.082,8.361,8.499,Lewistown,sfcWind
1965,Historical Emissions,8.883,8.304,8.511,Lewistown,sfcWind
1966,Historical Emissions,9.028,8.485,8.66,Lewistown,sfcWind
1967,Historical Emissions,9.009,8.002,8.694,Lewistown,sfcWind
1968,Historical Emissions,8.959,8.119,8.515,Lewistown,sfcWind
1969,Historical Emissions,8.975,8.121,8.347,Lewistown,sfcWind
1970,Historical Emissions,9.001,8.226,8.464,Lewistown,sfcWind
1971,Historical Emissions,8.926,8.203,8.66,Lewistown,sfcWind
1972,Historical Emissions,8.713,8.354,8.616,Lewistown,sfcWind
1973,Historical Emissions,8.846,7.991,8.536,Lewistown,sfcWind
1974,Historical Emissions,8.997,7.724,8.839,Lewistown,sfcWind
1975,Historical Emissions,8.889,8.125,8.427,Lewistown,sfcWind
1976,Historical Emissions,8.728,8.285,8.607,Lewistown,sfcWind
1977,Historical Emissions,8.804,7.911,8.334,Lewistown,sfcWind
1978,Historical Emissions,8.584,8.123,8.371,Lewistown,sfcWind
1979,Historical Emissions,8.718,8.219,8.437,Lewistown,sfcWind
1980,Historical Emissions,9.07,8.13,8.553,Lewistown,sfcWind
1981,Historical Emissions,8.75,8.34,8.543,Lewistown,sfcWind
1982,Historical Emissions,8.805,7.887,8.459,Lewistown,sfcWind
1983,Historical Emissions,9.192,8.052,8.226,Lewistown,sfcWind
1984,Historical Emissions,8.867,8.006,8.4,Lewistown,sfcWind
1985,Historical Emissions,8.89,8.156,8.497,Lewistown,sfcWind
1986,Historical Emissions,8.906,7.935,8.378,Lewistown,sfcWind
1987,Historical Emissions,8.77,8.034,8.282,Lewistown,sfcWind
1988,Historical Emissions,8.786,8.313,8.648,Lewistown,sfcWind
1989,Historical Emissions,8.867,8.095,8.418,Lewistown,sfcWind
1990,Historical Emissions,8.908,7.785,8.519,Lewistown,sfcWind
1991,Historical Emissions,8.773,7.893,8.463,Lewistown,sfcWind
1992,Historical Emissions,9.018,8.526,8.652,Lewistown,sfcWind
1993,Historical Emissions,8.658,7.887,8.358,Lewistown,sfcWind
1994,Historical Emissions,9.022,7.939,8.268,Lewistown,sfcWind
1995,Historical Emissions,9.068,8.129,8.687,Lewistown,sfcWind
1996,Historical Emissions,8.978,8.032,8.714,Lewistown,sfcWind
1997,Historical Emissions,8.879,7.882,8.518,Lewistown,sfcWind
1998,Historical Emissions,8.778,7.968,8.258,Lewistown,sfcWind
1999,Historical Emissions,8.516,8.128,8.344,Lewistown,sfcWind
2000,Historical Emissions,8.563,8.192,8.389,Lewistown,sfcWind
2001,Historical Emissions,8.687,8.078,8.264,Lewistown,sfcWind
2002,Historical Emissions,8.855,8.037,8.389,Lewistown,sfcWind
2003,Historical Emissions,8.48,8.022,8.306,Lewistown,sfcWind
2004,Historical Emissions,9.047,8.208,8.49,Lewistown,sfcWind
2005,Historical Emissions,8.892,7.982,8.386,Lewistown,sfcWind
2006,Historical Emissions,8.815,7.837,8.388,Lewistown,sfcWind
2007,Historical Emissions,8.785,7.924,8.469,Lewistown,sfcWind
2008,Historical Emissions,8.64,7.84,8.422,Lewistown,sfcWind
2009,Historical Emissions,8.871,7.901,8.411,Lewistown,sfcWind
2010,Historical Emissions,8.708,8.019,8.38,Lewistown,sfcWind
2011,Historical Emissions,8.824,8.086,8.229,Lewistown,sfcWind
