scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Apr,Mid Century (2040-2069),10.39,7.911,9.038,Malta,sfcWind
Historical Emissions,Aug,Mid Century (2040-2069),7.607,6.04,6.893,Malta,sfcWind
Historical Emissions,Dec,Mid Century (2040-2069),13.01,8.931,10.978,Malta,sfcWind
Historical Emissions,Feb,Mid Century (2040-2069),12.261,8.228,10.099,Malta,sfcWind
Historical Emissions,Jan,Mid Century (2040-2069),13.128,9.041,10.905,Malta,sfcWind
Historical Emissions,Jul,Mid Century (2040-2069),7.651,5.973,6.791,Malta,sfcWind
Historical Emissions,Jun,Mid Century (2040-2069),8.641,6.777,7.694,Malta,sfcWind
Historical Emissions,Mar,Mid Century (2040-2069),10.916,7.62,9.239,Malta,sfcWind
Historical Emissions,May,Mid Century (2040-2069),9.643,7.528,8.581,Malta,sfcWind
Historical Emissions,Nov,Mid Century (2040-2069),11.9,8.591,10.219,Malta,sfcWind
Historical Emissions,Oct,Mid Century (2040-2069),10.612,8.167,9.388,Malta,sfcWind
Historical Emissions,Sep,Mid Century (2040-2069),8.894,6.899,7.839,Malta,sfcWind
Historical Emissions,Apr,End-of-Century (2070-2099),10.39,7.911,9.038,Malta,sfcWind
Historical Emissions,Aug,End-of-Century (2070-2099),7.607,6.04,6.893,Malta,sfcWind
Historical Emissions,Dec,End-of-Century (2070-2099),13.01,8.931,10.978,Malta,sfcWind
Historical Emissions,Feb,End-of-Century (2070-2099),12.261,8.228,10.099,Malta,sfcWind
Historical Emissions,Jan,End-of-Century (2070-2099),13.128,9.041,10.905,Malta,sfcWind
Historical Emissions,Jul,End-of-Century (2070-2099),7.651,5.973,6.791,Malta,sfcWind
Historical Emissions,Jun,End-of-Century (2070-2099),8.641,6.777,7.694,Malta,sfcWind
Historical Emissions,Mar,End-of-Century (2070-2099),10.916,7.62,9.239,Malta,sfcWind
Historical Emissions,May,End-of-Century (2070-2099),9.643,7.528,8.581,Malta,sfcWind
Historical Emissions,Nov,End-of-Century (2070-2099),11.9,8.591,10.219,Malta,sfcWind
Historical Emissions,Oct,End-of-Century (2070-2099),10.612,8.167,9.388,Malta,sfcWind
Historical Emissions,Sep,End-of-Century (2070-2099),8.894,6.899,7.839,Malta,sfcWind
"Moderating Emissions
(SSP1-2.6)",Apr,End-of-Century (2070-2099),10.145,8.281,9.211,Malta,sfcWind
