year,scenario,upper,lower,value,location,variable
1950,Historical Emissions,9.733,8.892,9.145,Fergus County,sfcWind
1951,Historical Emissions,9.563,8.974,9.199,Fergus County,sfcWind
1952,Historical Emissions,9.652,8.731,9.381,Fergus County,sfcWind
1953,Historical Emissions,9.853,8.956,9.18,Fergus County,sfcWind
1954,Historical Emissions,9.927,8.808,9.488,Fergus County,sfcWind
1955,Historical Emissions,9.574,8.781,9.303,Fergus County,sfcWind
1956,Historical Emissions,9.994,8.763,9.422,Fergus County,sfcWind
1957,Historical Emissions,9.941,8.94,9.397,Fergus County,sfcWind
1958,Historical Emissions,9.547,8.861,9.045,Fergus County,sfcWind
1959,Historical Emissions,9.765,8.619,9.565,Fergus County,sfcWind
1960,Historical Emissions,9.755,9.345,9.662,Fergus County,sfcWind
1961,Historical Emissions,9.969,8.915,9.281,Fergus County,sfcWind
1962,Historical Emissions,9.736,8.967,9.214,Fergus County,sfcWind
1963,Historical Emissions,9.676,8.823,9.191,Fergus County,sfcWind
1964,Historical Emissions,9.777,9.156,9.306,Fergus County,sfcWind
1965,Historical Emissions,9.595,8.989,9.342,Fergus County,sfcWind
1966,Historical Emissions,9.891,9.235,9.404,Fergus County,sfcWind
1967,Historical Emissions,9.79,8.764,9.51,Fergus County,sfcWind
1968,Historical Emissions,9.82,8.852,9.214,Fergus County,sfcWind
1969,Historical Emissions,9.749,8.841,9.043,Fergus County,sfcWind
1970,Historical Emissions,9.725,8.984,9.228,Fergus County,sfcWind
1971,Historical Emissions,9.7,8.883,9.35,Fergus County,sfcWind
1972,Historical Emissions,9.508,9.045,9.289,Fergus County,sfcWind
1973,Historical Emissions,9.614,8.806,9.249,Fergus County,sfcWind
1974,Historical Emissions,9.935,8.41,9.579,Fergus County,sfcWind
1975,Historical Emissions,9.667,8.9,9.143,Fergus County,sfcWind
1976,Historical Emissions,9.469,9.08,9.339,Fergus County,sfcWind
1977,Historical Emissions,9.56,8.63,9.081,Fergus County,sfcWind
1978,Historical Emissions,9.373,8.86,9.099,Fergus County,sfcWind
1979,Historical Emissions,9.491,8.879,9.153,Fergus County,sfcWind
1980,Historical Emissions,9.808,8.89,9.227,Fergus County,sfcWind
1981,Historical Emissions,9.573,9.093,9.322,Fergus County,sfcWind
1982,Historical Emissions,9.683,8.667,9.227,Fergus County,sfcWind
1983,Historical Emissions,9.872,8.751,9.011,Fergus County,sfcWind
1984,Historical Emissions,9.687,8.655,9.107,Fergus County,sfcWind
1985,Historical Emissions,9.859,8.889,9.272,Fergus County,sfcWind
1986,Historical Emissions,9.702,8.675,9.184,Fergus County,sfcWind
1987,Historical Emissions,9.63,8.762,9.001,Fergus County,sfcWind
1988,Historical Emissions,9.588,9.028,9.362,Fergus County,sfcWind
