scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Apr,Mid Century (2040-2069),8.111,5.961,6.98,Flathead County,sfcWind
Historical Emissions,Aug,Mid Century (2040-2069),6.265,4.709,5.487,Flathead County,sfcWind
Historical Emissions,Dec,Mid Century (2040-2069),9.849,6.651,8.006,Flathead County,sfcWind
Historical Emissions,Feb,Mid Century (2040-2069),9.432,6.262,7.637,Flathead County,sfcWind
Historical Emissions,Jan,Mid Century (2040-2069),9.9,6.685,8.14,Flathead County,sfcWind
Historical Emissions,Jul,Mid Century (2040-2069),6.407,4.792,5.631,Flathead County,sfcWind
Historical Emissions,Jun,Mid Century (2040-2069),7.242,5.476,6.355,Flathead County,sfcWind
Historical Emissions,Mar,Mid Century (2040-2069),8.54,5.923,7.162,Flathead County,sfcWind
Historical Emissions,May,Mid Century (2040-2069),7.462,5.658,6.546,Flathead County,sfcWind
Historical Emissions,Nov,Mid Century (2040-2069),9.43,6.449,7.936,Flathead County,sfcWind
Historical Emissions,Oct,Mid Century (2040-2069),8.288,6.003,7.106,Flathead County,sfcWind
Historical Emissions,Sep,Mid Century (2040-2069),7.175,5.248,6.18,Flathead County,sfcWind
Historical Emissions,Apr,End-of-Century (2070-2099),8.111,5.961,6.98,Flathead County,sfcWind
Historical Emissions,Aug,End-of-Century (2070-2099),6.265,4.709,5.487,Flathead County,sfcWind
Historical Emissions,Dec,End-of-Century (2070-2099),9.849,6.651,8.006,Flathead County,sfcWind
Historical Emissions,Feb,End-of-Century (2070-2099),9.432,6.262,7.637,Flathead County,sfcWind
Historical Emissions,Jan,End-of-Century (2070-2099),9.9,6.685,8.14,Flathead County,sfcWind
Historical Emissions,Jul,End-of-Century (2070-2099),6.407,4.792,5.631,Flathead County,sfcWind
Historical Emissions,Jun,End-of-Century (2070-2099),7.242,5.476,6.355,Flathead County,sfcWind
Historical Emissions,Mar,End-of-Century (2070-2099),8.54,5.923,7.162,Flathead County,sfcWind
Historical Emissions,May,End-of-Century (2070-2099),7.462,5.658,6.546,Flathead County,sfcWind
Historical Emissions,Nov,End-of-Century (2070-2099),9.43,6.449,7.936,Flathead County,sfcWind
Historical Emissions,Oct,End-of-Century (2070-2099),8.288,6.003,7.106,Flathead County,sfcWind
Historical Emissions,Sep,End-of-Century (2070-2099),7.175,5.248,6.18,Flathead County,sfcWind
"Moderating Emissions
(SSP1-2.6)",Apr,End-of-Century (2070-2099),7.912,5.987,7.074,Flathead County,sfcWind
"Moderating Emissions
(SSP1-2.6)",Apr,Mid Century (2040-2069),8.067,5.865,6.908,Flathead County,sfcWind
"Moderating Emissions
(SSP1-2.6)",Aug,End-of-Century (2070-2099),6.679,4.101,5.375,Flathead County,sfcWind
"Moderating Emissions
(SSP1-2.6)",Aug,Mid Century (2040-2069),6.025,4.605,5.309,Flathead County,sfcWind
"Moderating Emissions
(SSP1-2.6)",Dec,End-of-Century (2070-2099),9.857,6.555,7.979,Flathead County,sfcWind
"Moderating Emissions
(SSP1-2.6)",Dec,Mid Century (2040-2069),9.645,6.576,8.065,Flathead County,sfcWind
"Moderating Emissions
(SSP1-2.6)",Feb,End-of-Century (2070-2099),9.29,5.952,7.158,Flathead County,sfcWind
"Moderating Emissions
(SSP1-2.6)",Feb,Mid Century (2040-2069),9.132,5.903,7.471,Flathead County,sfcWind
"Moderating Emissions
(SSP1-2.6)",Jan,End-of-Century (2070-2099),9.125,6.55,8.035,Flathead County,sfcWind
"Moderating Emissions
(SSP1-2.6)",Jan,Mid Century (2040-2069),9.763,6.424,7.932,Flathead County,sfcWind
"Moderating Emissions
(SSP1-2.6)",Jul,End-of-Century (2070-2099),6.361,4.874,5.931,Flathead County,sfcWind
