year,scenario,upper,lower,value,location,variable
1950,Historical Emissions,9.361,8.829,9.126,Liberty County,sfcWind
1951,Historical Emissions,9.42,8.822,9.21,Liberty County,sfcWind
1952,Historical Emissions,9.571,8.715,9.258,Liberty County,sfcWind
1953,Historical Emissions,9.831,8.682,8.919,Liberty County,sfcWind
1954,Historical Emissions,9.736,8.744,9.315,Liberty County,sfcWind
1955,Historical Emissions,9.469,8.668,9.226,Liberty County,sfcWind
1956,Historical Emissions,10.089,8.706,9.357,Liberty County,sfcWind
1957,Historical Emissions,10.048,8.906,9.492,Liberty County,sfcWind
1958,Historical Emissions,9.435,8.723,9.169,Liberty County,sfcWind
1959,Historical Emissions,9.836,8.642,9.289,Liberty County,sfcWind
1960,Historical Emissions,9.746,9.328,9.577,Liberty County,sfcWind
1961,Historical Emissions,10.029,8.839,9.332,Liberty County,sfcWind
1962,Historical Emissions,9.621,8.95,9.153,Liberty County,sfcWind
1963,Historical Emissions,9.652,8.863,9.071,Liberty County,sfcWind
1964,Historical Emissions,9.973,8.986,9.17,Liberty County,sfcWind
1965,Historical Emissions,9.691,8.991,9.296,Liberty County,sfcWind
1966,Historical Emissions,9.684,9.201,9.424,Liberty County,sfcWind
1967,Historical Emissions,9.678,8.711,9.411,Liberty County,sfcWind
1968,Historical Emissions,9.802,8.73,9.015,Liberty County,sfcWind
1969,Historical Emissions,9.633,8.723,9.09,Liberty County,sfcWind
1970,Historical Emissions,9.857,8.858,9.249,Liberty County,sfcWind
1971,Historical Emissions,9.772,8.941,9.477,Liberty County,sfcWind
1972,Historical Emissions,9.424,9.161,9.258,Liberty County,sfcWind
1973,Historical Emissions,9.71,8.669,9.287,Liberty County,sfcWind
1974,Historical Emissions,9.831,8.386,9.59,Liberty County,sfcWind
1975,Historical Emissions,9.744,8.681,9.328,Liberty County,sfcWind
1976,Historical Emissions,9.396,8.988,9.295,Liberty County,sfcWind
1977,Historical Emissions,9.57,8.528,9.207,Liberty County,sfcWind
1978,Historical Emissions,9.323,8.742,9.07,Liberty County,sfcWind
1979,Historical Emissions,9.529,8.886,9.206,Liberty County,sfcWind
1980,Historical Emissions,9.756,8.78,9.217,Liberty County,sfcWind
1981,Historical Emissions,9.557,8.941,9.164,Liberty County,sfcWind
1982,Historical Emissions,9.509,8.564,9.2,Liberty County,sfcWind
1983,Historical Emissions,9.835,8.684,8.809,Liberty County,sfcWind
1984,Historical Emissions,9.699,8.576,8.963,Liberty County,sfcWind
1985,Historical Emissions,9.68,8.823,9.292,Liberty County,sfcWind
1986,Historical Emissions,9.623,8.528,9.101,Liberty County,sfcWind
1987,Historical Emissions,9.582,8.595,8.944,Liberty County,sfcWind
1988,Historical Emissions,9.564,9.04,9.436,Liberty County,sfcWind
1989,Historical Emissions,9.719,8.834,9.18,Liberty County,sfcWind
