scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Apr,Mid Century (2040-2069),10.592,8.131,9.292,Treasure County,sfcWind
Historical Emissions,Aug,Mid Century (2040-2069),7.829,6.307,7.074,Treasure County,sfcWind
Historical Emissions,Dec,Mid Century (2040-2069),13.115,9.402,11.289,Treasure County,sfcWind
Historical Emissions,Feb,Mid Century (2040-2069),12.196,8.532,10.251,Treasure County,sfcWind
Historical Emissions,Jan,Mid Century (2040-2069),13.37,9.414,11.245,Treasure County,sfcWind
Historical Emissions,Jul,Mid Century (2040-2069),7.769,6.08,6.9,Treasure County,sfcWind
Historical Emissions,Jun,Mid Century (2040-2069),8.623,6.77,7.617,Treasure County,sfcWind
Historical Emissions,Mar,Mid Century (2040-2069),11.02,7.937,9.383,Treasure County,sfcWind
Historical Emissions,May,Mid Century (2040-2069),9.73,7.672,8.702,Treasure County,sfcWind
Historical Emissions,Nov,Mid Century (2040-2069),12.05,8.943,10.553,Treasure County,sfcWind
Historical Emissions,Oct,Mid Century (2040-2069),10.473,8.28,9.443,Treasure County,sfcWind
Historical Emissions,Sep,Mid Century (2040-2069),8.958,7.129,8.006,Treasure County,sfcWind
Historical Emissions,Apr,End-of-Century (2070-2099),10.592,8.131,9.292,Treasure County,sfcWind
Historical Emissions,Aug,End-of-Century (2070-2099),7.829,6.307,7.074,Treasure County,sfcWind
Historical Emissions,Dec,End-of-Century (2070-2099),13.115,9.402,11.289,Treasure County,sfcWind
Historical Emissions,Feb,End-of-Century (2070-2099),12.196,8.532,10.251,Treasure County,sfcWind
Historical Emissions,Jan,End-of-Century (2070-2099),13.37,9.414,11.245,Treasure County,sfcWind
Historical Emissions,Jul,End-of-Century (2070-2099),7.769,6.08,6.9,Treasure County,sfcWind
Historical Emissions,Jun,End-of-Century (2070-2099),8.623,6.77,7.617,Treasure County,sfcWind
Historical Emissions,Mar,End-of-Century (2070-2099),11.02,7.937,9.383,Treasure County,sfcWind
Historical Emissions,May,End-of-Century (2070-2099),9.73,7.672,8.702,Treasure County,sfcWind
Historical Emissions,Nov,End-of-Century (2070-2099),12.05,8.943,10.553,Treasure County,sfcWind
Historical Emissions,Oct,End-of-Century (2070-2099),10.473,8.28,9.443,Treasure County,sfcWind
Historical Emissions,Sep,End-of-Century (2070-2099),8.958,7.129,8.006,Treasure County,sfcWind
"Moderating Emissions
(SSP1-2.6)",Apr,End-of-Century (2070-2099),10.825,8.559,9.543,Treasure County,sfcWind
"Moderating Emissions
(SSP1-2.6)",Apr,Mid Century (2040-2069),10.228,7.879,9.055,Treasure County,sfcWind
"Moderating Emissions
(SSP1-2.6)",Aug,End-of-Century (2070-2099),7.679,6.089,6.912,Treasure County,sfcWind
"Moderating Emissions
(SSP1-2.6)",Aug,Mid Century (2040-2069),7.637,6.048,6.886,Treasure County,sfcWind
"Moderating Emissions
(SSP1-2.6)",Dec,End-of-Century (2070-2099),13.559,9.728,11.116,Treasure County,sfcWind
"Moderating Emissions
(SSP1-2.6)",Dec,Mid Century (2040-2069),13.172,9.374,11.114,Treasure County,sfcWind
"Moderating Emissions
(SSP1-2.6)",Feb,End-of-Century (2070-2099),11.737,8.827,9.865,Treasure County,sfcWind
"Moderating Emissions
(SSP1-2.6)",Feb,Mid Century (2040-2069),12.024,8.151,9.853,Treasure County,sfcWind
"Moderating Emissions
(SSP1-2.6)",Jan,End-of-Century (2070-2099),12.741,9.936,10.899,Treasure County,sfcWind
"Moderating Emissions
(SSP1-2.6)",Jan,Mid Century (2040-2069),13.183,9.138,11.25,Treasure County,sfcWind
"Moderating Emissions
(SSP1-2.6)",Jul,End-of-Century (2070-2099),7.877,6.083,7.026,Treasure County,sfcWind
"Moderating Emissions
(SSP1-2.6)",Jul,Mid Century (2040-2069),7.564,5.902,6.721,Treasure County,sfcWind
"Moderating Emissions
(SSP1-2.6)",Jun,End-of-Century (2070-2099),8.389,6.7,7.202,Treasure County,sfcWind
"Moderating Emissions
(SSP1-2.6)",Jun,Mid Century (2040-2069),8.654,6.567,7.641,Treasure County,sfcWind
"Moderating Emissions
(SSP1-2.6)",Mar,End-of-Century (2070-2099),10.728,8.361,9.003,Treasure County,sfcWind
"Moderating Emissions
(SSP1-2.6)",Mar,Mid Century (2040-2069),10.856,7.892,9.457,Treasure County,sfcWind
"Moderating Emissions
(SSP1-2.6)",May,End-of-Century (2070-2099),8.919,7.335,8.147,Treasure County,sfcWind
"Moderating Emissions
(SSP1-2.6)",May,Mid Century (2040-2069),9.634,7.608,8.528,Treasure County,sfcWind
"Moderating Emissions
(SSP1-2.6)",Nov,End-of-Century (2070-2099),10.944,9.743,10.298,Treasure County,sfcWind
"Moderating Emissions
(SSP1-2.6)",Nov,Mid Century (2040-2069),12.052,9.052,10.501,Treasure County,sfcWind
"Moderating Emissions
(SSP1-2.6)",Oct,End-of-Century (2070-2099),10.291,8.2,9.291,Treasure County,sfcWind
"Moderating Emissions
(SSP1-2.6)",Oct,Mid Century (2040-2069),10.441,8.059,9.409,Treasure County,sfcWind
"Moderating Emissions
(SSP1-2.6)",Sep,End-of-Century (2070-2099),8.438,6.641,7.947,Treasure County,sfcWind
"Moderating Emissions
(SSP1-2.6)",Sep,Mid Century (2040-2069),8.696,7.028,7.905,Treasure County,sfcWind
"Middle of the Road
(SSP2-4.5)",Apr,End-of-Century (2070-2099),10.245,8.731,9.259,Treasure County,sfcWind
"Middle of the Road
(SSP2-4.5)",Apr,Mid Century (2040-2069),10.651,8.124,9.3,Treasure County,sfcWind
"Middle of the Road
(SSP2-4.5)",Aug,End-of-Century (2070-2099),7.566,5.606,6.726,Treasure County,sfcWind
"Middle of the Road
(SSP2-4.5)",Aug,Mid Century (2040-2069),7.816,6.097,6.89,Treasure County,sfcWind
"Middle of the Road
(SSP2-4.5)",Dec,End-of-Century (2070-2099),12.722,9.082,11.354,Treasure County,sfcWind
"Middle of the Road
(SSP2-4.5)",Dec,Mid Century (2040-2069),13.363,9.261,11.323,Treasure County,sfcWind
"Middle of the Road
(SSP2-4.5)",Feb,End-of-Century (2070-2099),12.329,8.872,10.316,Treasure County,sfcWind
"Middle of the Road
(SSP2-4.5)",Feb,Mid Century (2040-2069),12.306,8.227,10.32,Treasure County,sfcWind
"Middle of the Road
(SSP2-4.5)",Jan,End-of-Century (2070-2099),14.033,9.826,11.434,Treasure County,sfcWind
"Middle of the Road
(SSP2-4.5)",Jan,Mid Century (2040-2069),13.178,9.212,11.266,Treasure County,sfcWind
"Middle of the Road
(SSP2-4.5)",Jul,End-of-Century (2070-2099),7.917,5.98,6.594,Treasure County,sfcWind
"Middle of the Road
(SSP2-4.5)",Jul,Mid Century (2040-2069),7.655,5.782,6.712,Treasure County,sfcWind
"Middle of the Road
(SSP2-4.5)",Jun,End-of-Century (2070-2099),8.894,6.664,7.59,Treasure County,sfcWind
"Middle of the Road
(SSP2-4.5)",Jun,Mid Century (2040-2069),8.687,6.509,7.587,Treasure County,sfcWind
"Middle of the Road
(SSP2-4.5)",Mar,End-of-Century (2070-2099),10.433,8.055,9.232,Treasure County,sfcWind
"Middle of the Road
(SSP2-4.5)",Mar,Mid Century (2040-2069),10.988,7.892,9.293,Treasure County,sfcWind
"Middle of the Road
(SSP2-4.5)",May,End-of-Century (2070-2099),9.977,7.879,9.003,Treasure County,sfcWind
"Middle of the Road
(SSP2-4.5)",May,Mid Century (2040-2069),9.695,7.454,8.636,Treasure County,sfcWind
"Middle of the Road
(SSP2-4.5)",Nov,End-of-Century (2070-2099),12.483,8.71,10.202,Treasure County,sfcWind
"Middle of the Road
(SSP2-4.5)",Nov,Mid Century (2040-2069),11.918,8.986,10.423,Treasure County,sfcWind
"Middle of the Road
(SSP2-4.5)",Oct,End-of-Century (2070-2099),9.979,7.8,9.083,Treasure County,sfcWind
"Middle of the Road
(SSP2-4.5)",Oct,Mid Century (2040-2069),10.51,8.189,9.255,Treasure County,sfcWind
"Middle of the Road
(SSP2-4.5)",Sep,End-of-Century (2070-2099),8.486,6.483,8.019,Treasure County,sfcWind
"Middle of the Road
(SSP2-4.5)",Sep,Mid Century (2040-2069),8.789,6.99,7.881,Treasure County,sfcWind
"High Emissions
(SSP3-7.0)",Apr,End-of-Century (2070-2099),9.876,7.973,9.169,Treasure County,sfcWind
"High Emissions
(SSP3-7.0)",Apr,Mid Century (2040-2069),10.245,7.915,9.19,Treasure County,sfcWind
"High Emissions
(SSP3-7.0)",Aug,End-of-Century (2070-2099),7.206,5.691,6.526,Treasure County,sfcWind
"High Emissions
(SSP3-7.0)",Aug,Mid Century (2040-2069),7.664,5.916,6.823,Treasure County,sfcWind
"High Emissions
(SSP3-7.0)",Dec,End-of-Century (2070-2099),13.114,9.221,11.295,Treasure County,sfcWind
"High Emissions
(SSP3-7.0)",Dec,Mid Century (2040-2069),13.164,9.114,11.434,Treasure County,sfcWind
"High Emissions
(SSP3-7.0)",Feb,End-of-Century (2070-2099),11.983,8.678,10.071,Treasure County,sfcWind
"High Emissions
(SSP3-7.0)",Feb,Mid Century (2040-2069),11.845,8.274,9.999,Treasure County,sfcWind
"High Emissions
(SSP3-7.0)",Jan,End-of-Century (2070-2099),12.207,8.77,10.455,Treasure County,sfcWind
