year,scenario,upper,lower,value,location,variable
1950,Historical Emissions,6.978,6.355,6.599,Boulder,sfcWind
1951,Historical Emissions,6.88,6.357,6.671,Boulder,sfcWind
1952,Historical Emissions,6.785,6.331,6.63,Boulder,sfcWind
1953,Historical Emissions,6.98,6.384,6.695,Boulder,sfcWind
1954,Historical Emissions,7.165,6.244,6.803,Boulder,sfcWind
1955,Historical Emissions,6.8,6.248,6.534,Boulder,sfcWind
1956,Historical Emissions,7.281,6.417,6.83,Boulder,sfcWind
1957,Historical Emissions,7.342,6.512,6.854,Boulder,sfcWind
1958,Historical Emissions,7.109,6.378,6.56,Boulder,sfcWind
1959,Historical Emissions,6.93,6.422,6.704,Boulder,sfcWind
1960,Historical Emissions,7.191,6.509,6.882,Boulder,sfcWind
1961,Historical Emissions,7.022,6.42,6.791,Boulder,sfcWind
1962,Historical Emissions,6.864,6.458,6.654,Boulder,sfcWind
1963,Historical Emissions,6.915,6.277,6.697,Boulder,sfcWind
1964,Historical Emissions,7.029,6.508,6.633,Boulder,sfcWind
1965,Historical Emissions,7.121,6.478,6.647,Boulder,sfcWind
1966,Historical Emissions,7.068,6.555,6.643,Boulder,sfcWind
1967,Historical Emissions,6.943,6.251,6.745,Boulder,sfcWind
1968,Historical Emissions,6.875,6.237,6.527,Boulder,sfcWind
1969,Historical Emissions,6.989,6.322,6.645,Boulder,sfcWind
1970,Historical Emissions,6.973,6.456,6.669,Boulder,sfcWind
1971,Historical Emissions,6.896,6.434,6.699,Boulder,sfcWind
1972,Historical Emissions,6.848,6.523,6.707,Boulder,sfcWind
1973,Historical Emissions,6.91,6.264,6.637,Boulder,sfcWind
1974,Historical Emissions,6.998,6.184,6.699,Boulder,sfcWind
1975,Historical Emissions,6.923,6.319,6.639,Boulder,sfcWind
1976,Historical Emissions,6.818,6.479,6.671,Boulder,sfcWind
1977,Historical Emissions,6.822,6.263,6.433,Boulder,sfcWind
1978,Historical Emissions,6.678,6.334,6.583,Boulder,sfcWind
1979,Historical Emissions,6.802,6.499,6.647,Boulder,sfcWind
1980,Historical Emissions,7.183,6.277,6.789,Boulder,sfcWind
1981,Historical Emissions,6.913,6.402,6.708,Boulder,sfcWind
1982,Historical Emissions,6.95,6.225,6.685,Boulder,sfcWind
1983,Historical Emissions,7.236,6.314,6.526,Boulder,sfcWind
1984,Historical Emissions,6.862,6.393,6.638,Boulder,sfcWind
1985,Historical Emissions,6.756,6.396,6.473,Boulder,sfcWind
1986,Historical Emissions,6.916,6.216,6.581,Boulder,sfcWind
1987,Historical Emissions,6.811,6.19,6.575,Boulder,sfcWind
1988,Historical Emissions,6.964,6.443,6.688,Boulder,sfcWind
1989,Historical Emissions,6.674,6.331,6.529,Boulder,sfcWind
1990,Historical Emissions,6.823,5.858,6.634,Boulder,sfcWind
1991,Historical Emissions,6.848,6.213,6.535,Boulder,sfcWind
1992,Historical Emissions,6.92,6.537,6.656,Boulder,sfcWind
