scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Apr,Mid Century (2040-2069),10.714,8.107,9.298,Rock,sfcWind
Historical Emissions,Aug,Mid Century (2040-2069),8.384,6.617,7.513,Rock,sfcWind
Historical Emissions,Dec,Mid Century (2040-2069),12.081,8.605,10.407,Rock,sfcWind
Historical Emissions,Feb,Mid Century (2040-2069),11.625,7.937,9.792,Rock,sfcWind
Historical Emissions,Jan,Mid Century (2040-2069),12.364,8.686,10.271,Rock,sfcWind
Historical Emissions,Jul,Mid Century (2040-2069),8.283,6.399,7.298,Rock,sfcWind
Historical Emissions,Jun,Mid Century (2040-2069),9.255,7.082,8.12,Rock,sfcWind
Historical Emissions,Mar,Mid Century (2040-2069),10.672,7.67,9.193,Rock,sfcWind
Historical Emissions,May,Mid Century (2040-2069),10.325,7.973,9.081,Rock,sfcWind
Historical Emissions,Nov,Mid Century (2040-2069),11.198,8.076,9.733,Rock,sfcWind
Historical Emissions,Oct,Mid Century (2040-2069),10.625,8.134,9.437,Rock,sfcWind
Historical Emissions,Sep,Mid Century (2040-2069),9.579,7.448,8.412,Rock,sfcWind
Historical Emissions,Apr,End-of-Century (2070-2099),10.714,8.107,9.298,Rock,sfcWind
Historical Emissions,Aug,End-of-Century (2070-2099),8.384,6.617,7.513,Rock,sfcWind
Historical Emissions,Dec,End-of-Century (2070-2099),12.081,8.605,10.407,Rock,sfcWind
Historical Emissions,Feb,End-of-Century (2070-2099),11.625,7.937,9.792,Rock,sfcWind
Historical Emissions,Jan,End-of-Century (2070-2099),12.364,8.686,10.271,Rock,sfcWind
Historical Emissions,Jul,End-of-Century (2070-2099),8.283,6.399,7.298,Rock,sfcWind
Historical Emissions,Jun,End-of-Century (2070-2099),9.255,7.082,8.12,Rock,sfcWind
Historical Emissions,Mar,End-of-Century (2070-2099),10.672,7.67,9.193,Rock,sfcWind
Historical Emissions,May,End-of-Century (2070-2099),10.325,7.973,9.081,Rock,sfcWind
Historical Emissions,Nov,End-of-Century (2070-2099),11.198,8.076,9.733,Rock,sfcWind
Historical Emissions,Oct,End-of-Century (2070-2099),10.625,8.134,9.437,Rock,sfcWind
Historical Emissions,Sep,End-of-Century (2070-2099),9.579,7.448,8.412,Rock,sfcWind
"Moderating Emissions
(SSP1-2.6)",Apr,End-of-Century (2070-2099),10.753,8.337,9.571,Rock,sfcWind
"Moderating Emissions
(SSP1-2.6)",Apr,Mid Century (2040-2069),10.307,7.974,9.132,Rock,sfcWind
"Moderating Emissions
(SSP1-2.6)",Aug,End-of-Century (2070-2099),8.048,6.235,7.247,Rock,sfcWind
"Moderating Emissions
(SSP1-2.6)",Aug,Mid Century (2040-2069),8.098,6.367,7.202,Rock,sfcWind
"Moderating Emissions
(SSP1-2.6)",Dec,End-of-Century (2070-2099),13.252,8.797,10.545,Rock,sfcWind
"Moderating Emissions
(SSP1-2.6)",Dec,Mid Century (2040-2069),12.123,8.355,10.042,Rock,sfcWind
"Moderating Emissions
(SSP1-2.6)",Feb,End-of-Century (2070-2099),11.714,7.972,9.199,Rock,sfcWind
"Moderating Emissions
(SSP1-2.6)",Feb,Mid Century (2040-2069),11.353,7.567,9.392,Rock,sfcWind
"Moderating Emissions
(SSP1-2.6)",Jan,End-of-Century (2070-2099),11.468,8.427,10.111,Rock,sfcWind
"Moderating Emissions
(SSP1-2.6)",Jan,Mid Century (2040-2069),12.518,8.268,10.127,Rock,sfcWind
"Moderating Emissions
(SSP1-2.6)",Jul,End-of-Century (2070-2099),7.984,6.548,6.997,Rock,sfcWind
"Moderating Emissions
(SSP1-2.6)",Jul,Mid Century (2040-2069),7.899,6.306,7.08,Rock,sfcWind
"Moderating Emissions
(SSP1-2.6)",Jun,End-of-Century (2070-2099),9.339,6.809,7.722,Rock,sfcWind
"Moderating Emissions
(SSP1-2.6)",Jun,Mid Century (2040-2069),9.227,6.945,8.022,Rock,sfcWind
"Moderating Emissions
(SSP1-2.6)",Mar,End-of-Century (2070-2099),10.196,8.351,8.946,Rock,sfcWind
"Moderating Emissions
(SSP1-2.6)",Mar,Mid Century (2040-2069),10.711,7.753,9.185,Rock,sfcWind
"Moderating Emissions
(SSP1-2.6)",May,End-of-Century (2070-2099),9.765,7.922,8.707,Rock,sfcWind
"Moderating Emissions
(SSP1-2.6)",May,Mid Century (2040-2069),10.118,7.902,8.905,Rock,sfcWind
"Moderating Emissions
(SSP1-2.6)",Nov,End-of-Century (2070-2099),10.261,8.473,9.402,Rock,sfcWind
"Moderating Emissions
(SSP1-2.6)",Nov,Mid Century (2040-2069),11.198,8.137,9.766,Rock,sfcWind
"Moderating Emissions
(SSP1-2.6)",Oct,End-of-Century (2070-2099),10.455,7.892,9.358,Rock,sfcWind
"Moderating Emissions
(SSP1-2.6)",Oct,Mid Century (2040-2069),10.541,7.992,9.341,Rock,sfcWind
"Moderating Emissions
(SSP1-2.6)",Sep,End-of-Century (2070-2099),9.508,6.275,8.211,Rock,sfcWind
"Moderating Emissions
(SSP1-2.6)",Sep,Mid Century (2040-2069),9.215,7.259,8.174,Rock,sfcWind
"Middle of the Road
(SSP2-4.5)",Apr,End-of-Century (2070-2099),10.045,8.373,9.679,Rock,sfcWind
"Middle of the Road
(SSP2-4.5)",Apr,Mid Century (2040-2069),10.627,8.285,9.287,Rock,sfcWind
"Middle of the Road
(SSP2-4.5)",Aug,End-of-Century (2070-2099),8.393,6.329,7.281,Rock,sfcWind
"Middle of the Road
(SSP2-4.5)",Aug,Mid Century (2040-2069),8.237,6.408,7.301,Rock,sfcWind
"Middle of the Road
(SSP2-4.5)",Dec,End-of-Century (2070-2099),11.695,8.39,10.397,Rock,sfcWind
"Middle of the Road
(SSP2-4.5)",Dec,Mid Century (2040-2069),12.496,8.596,10.419,Rock,sfcWind
"Middle of the Road
(SSP2-4.5)",Feb,End-of-Century (2070-2099),12.263,8.209,9.862,Rock,sfcWind
"Middle of the Road
(SSP2-4.5)",Feb,Mid Century (2040-2069),11.623,7.731,9.713,Rock,sfcWind
"Middle of the Road
(SSP2-4.5)",Jan,End-of-Century (2070-2099),13.2,8.662,10.147,Rock,sfcWind
"Middle of the Road
(SSP2-4.5)",Jan,Mid Century (2040-2069),12.298,8.4,10.326,Rock,sfcWind
