year,scenario,upper,lower,value,location,variable
1950,Historical Emissions,6.955,6.374,6.504,Flathead Lake,sfcWind
1951,Historical Emissions,6.786,6.23,6.631,Flathead Lake,sfcWind
1952,Historical Emissions,6.87,6.36,6.61,Flathead Lake,sfcWind
1953,Historical Emissions,7.074,6.351,6.601,Flathead Lake,sfcWind
1954,Historical Emissions,7.157,6.307,6.881,Flathead Lake,sfcWind
1955,Historical Emissions,6.809,6.228,6.62,Flathead Lake,sfcWind
1956,Historical Emissions,7.258,6.419,6.626,Flathead Lake,sfcWind
1957,Historical Emissions,7.283,6.495,6.728,Flathead Lake,sfcWind
1958,Historical Emissions,6.988,6.392,6.504,Flathead Lake,sfcWind
1959,Historical Emissions,6.994,6.429,6.684,Flathead Lake,sfcWind
1960,Historical Emissions,7.112,6.623,6.87,Flathead Lake,sfcWind
1961,Historical Emissions,7.054,6.488,6.714,Flathead Lake,sfcWind
1962,Historical Emissions,6.798,6.379,6.697,Flathead Lake,sfcWind
1963,Historical Emissions,6.892,6.275,6.721,Flathead Lake,sfcWind
1964,Historical Emissions,7.23,6.446,6.643,Flathead Lake,sfcWind
1965,Historical Emissions,7.089,6.405,6.696,Flathead Lake,sfcWind
1966,Historical Emissions,7.035,6.619,6.751,Flathead Lake,sfcWind
1967,Historical Emissions,7.004,6.34,6.819,Flathead Lake,sfcWind
1968,Historical Emissions,7.189,6.23,6.738,Flathead Lake,sfcWind
1969,Historical Emissions,7.007,6.336,6.675,Flathead Lake,sfcWind
1970,Historical Emissions,7.018,6.412,6.675,Flathead Lake,sfcWind
1971,Historical Emissions,7.089,6.539,6.768,Flathead Lake,sfcWind
1972,Historical Emissions,6.958,6.675,6.807,Flathead Lake,sfcWind
1973,Historical Emissions,6.921,6.316,6.718,Flathead Lake,sfcWind
1974,Historical Emissions,6.989,6.182,6.77,Flathead Lake,sfcWind
1975,Historical Emissions,7.113,6.349,6.696,Flathead Lake,sfcWind
1976,Historical Emissions,7.006,6.668,6.857,Flathead Lake,sfcWind
1977,Historical Emissions,6.955,6.272,6.397,Flathead Lake,sfcWind
1978,Historical Emissions,6.898,6.42,6.644,Flathead Lake,sfcWind
1979,Historical Emissions,7,6.471,6.7,Flathead Lake,sfcWind
1980,Historical Emissions,7.199,6.298,6.868,Flathead Lake,sfcWind
1981,Historical Emissions,7.059,6.382,6.57,Flathead Lake,sfcWind
1982,Historical Emissions,7.045,6.123,6.764,Flathead Lake,sfcWind
1983,Historical Emissions,7.2,6.307,6.509,Flathead Lake,sfcWind
1984,Historical Emissions,6.951,6.291,6.699,Flathead Lake,sfcWind
1985,Historical Emissions,6.839,6.431,6.649,Flathead Lake,sfcWind
1986,Historical Emissions,6.959,6.332,6.663,Flathead Lake,sfcWind
1987,Historical Emissions,7.243,6.287,6.559,Flathead Lake,sfcWind
1988,Historical Emissions,7.002,6.561,6.831,Flathead Lake,sfcWind
1989,Historical Emissions,6.912,6.352,6.509,Flathead Lake,sfcWind
1990,Historical Emissions,7.084,5.952,6.775,Flathead Lake,sfcWind
1991,Historical Emissions,6.93,6.282,6.763,Flathead Lake,sfcWind
1992,Historical Emissions,6.991,6.684,6.767,Flathead Lake,sfcWind
