scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Apr,Mid Century (2040-2069),7.086,5.253,6.155,Lower Flathead,sfcWind
Historical Emissions,Aug,Mid Century (2040-2069),5.608,4.264,4.949,Lower Flathead,sfcWind
Historical Emissions,Dec,Mid Century (2040-2069),8.79,6.01,7.158,Lower Flathead,sfcWind
Historical Emissions,Feb,Mid Century (2040-2069),8.178,5.633,6.77,Lower Flathead,sfcWind
Historical Emissions,Jan,Mid Century (2040-2069),8.939,6.007,7.277,Lower Flathead,sfcWind
Historical Emissions,Jul,Mid Century (2040-2069),5.646,4.331,5.047,Lower Flathead,sfcWind
Historical Emissions,Jun,Mid Century (2040-2069),6.375,4.901,5.653,Lower Flathead,sfcWind
Historical Emissions,Mar,Mid Century (2040-2069),7.41,5.282,6.316,Lower Flathead,sfcWind
Historical Emissions,May,Mid Century (2040-2069),6.582,4.993,5.761,Lower Flathead,sfcWind
Historical Emissions,Nov,Mid Century (2040-2069),8.369,5.78,7.025,Lower Flathead,sfcWind
Historical Emissions,Oct,Mid Century (2040-2069),7.182,5.302,6.219,Lower Flathead,sfcWind
Historical Emissions,Sep,Mid Century (2040-2069),6.335,4.737,5.558,Lower Flathead,sfcWind
Historical Emissions,Apr,End-of-Century (2070-2099),7.086,5.253,6.155,Lower Flathead,sfcWind
Historical Emissions,Aug,End-of-Century (2070-2099),5.608,4.264,4.949,Lower Flathead,sfcWind
Historical Emissions,Dec,End-of-Century (2070-2099),8.79,6.01,7.158,Lower Flathead,sfcWind
Historical Emissions,Feb,End-of-Century (2070-2099),8.178,5.633,6.77,Lower Flathead,sfcWind
Historical Emissions,Jan,End-of-Century (2070-2099),8.939,6.007,7.277,Lower Flathead,sfcWind
Historical Emissions,Jul,End-of-Century (2070-2099),5.646,4.331,5.047,Lower Flathead,sfcWind
Historical Emissions,Jun,End-of-Century (2070-2099),6.375,4.901,5.653,Lower Flathead,sfcWind
Historical Emissions,Mar,End-of-Century (2070-2099),7.41,5.282,6.316,Lower Flathead,sfcWind
Historical Emissions,May,End-of-Century (2070-2099),6.582,4.993,5.761,Lower Flathead,sfcWind
Historical Emissions,Nov,End-of-Century (2070-2099),8.369,5.78,7.025,Lower Flathead,sfcWind
Historical Emissions,Oct,End-of-Century (2070-2099),7.182,5.302,6.219,Lower Flathead,sfcWind
Historical Emissions,Sep,End-of-Century (2070-2099),6.335,4.737,5.558,Lower Flathead,sfcWind
"Moderating Emissions
(SSP1-2.6)",Apr,End-of-Century (2070-2099),6.773,5.404,6.242,Lower Flathead,sfcWind
"Moderating Emissions
(SSP1-2.6)",Apr,Mid Century (2040-2069),7.099,5.213,6.054,Lower Flathead,sfcWind
"Moderating Emissions
(SSP1-2.6)",Aug,End-of-Century (2070-2099),5.82,3.661,4.751,Lower Flathead,sfcWind
"Moderating Emissions
(SSP1-2.6)",Aug,Mid Century (2040-2069),5.454,4.121,4.749,Lower Flathead,sfcWind
"Moderating Emissions
(SSP1-2.6)",Dec,End-of-Century (2070-2099),9.098,5.847,7.074,Lower Flathead,sfcWind
"Moderating Emissions
(SSP1-2.6)",Dec,Mid Century (2040-2069),8.763,5.911,7.185,Lower Flathead,sfcWind
"Moderating Emissions
(SSP1-2.6)",Feb,End-of-Century (2070-2099),8.453,5.756,6.354,Lower Flathead,sfcWind
"Moderating Emissions
(SSP1-2.6)",Feb,Mid Century (2040-2069),8.13,5.373,6.633,Lower Flathead,sfcWind
"Moderating Emissions
(SSP1-2.6)",Jan,End-of-Century (2070-2099),8.025,5.674,6.939,Lower Flathead,sfcWind
"Moderating Emissions
(SSP1-2.6)",Jan,Mid Century (2040-2069),8.688,5.891,7.116,Lower Flathead,sfcWind
"Moderating Emissions
(SSP1-2.6)",Jul,End-of-Century (2070-2099),5.619,4.6,5.105,Lower Flathead,sfcWind
"Moderating Emissions
(SSP1-2.6)",Jul,Mid Century (2040-2069),5.754,4.154,4.944,Lower Flathead,sfcWind
"Moderating Emissions
(SSP1-2.6)",Jun,End-of-Century (2070-2099),6.222,4.746,5.322,Lower Flathead,sfcWind
"Moderating Emissions
(SSP1-2.6)",Jun,Mid Century (2040-2069),6.452,4.706,5.551,Lower Flathead,sfcWind
"Moderating Emissions
(SSP1-2.6)",Mar,End-of-Century (2070-2099),6.889,5.429,6.252,Lower Flathead,sfcWind
"Moderating Emissions
(SSP1-2.6)",Mar,Mid Century (2040-2069),7.58,5.157,6.261,Lower Flathead,sfcWind
"Moderating Emissions
(SSP1-2.6)",May,End-of-Century (2070-2099),6.291,5.092,5.75,Lower Flathead,sfcWind
"Moderating Emissions
(SSP1-2.6)",May,Mid Century (2040-2069),6.558,4.927,5.743,Lower Flathead,sfcWind
"Moderating Emissions
(SSP1-2.6)",Nov,End-of-Century (2070-2099),7.642,6.179,6.989,Lower Flathead,sfcWind
"Moderating Emissions
(SSP1-2.6)",Nov,Mid Century (2040-2069),8.225,5.746,6.929,Lower Flathead,sfcWind
"Moderating Emissions
(SSP1-2.6)",Oct,End-of-Century (2070-2099),7.468,5.515,6.246,Lower Flathead,sfcWind
"Moderating Emissions
(SSP1-2.6)",Oct,Mid Century (2040-2069),7.003,5.182,6.111,Lower Flathead,sfcWind
"Moderating Emissions
(SSP1-2.6)",Sep,End-of-Century (2070-2099),6.371,4.423,5.61,Lower Flathead,sfcWind
"Moderating Emissions
(SSP1-2.6)",Sep,Mid Century (2040-2069),6.272,4.661,5.364,Lower Flathead,sfcWind
"Middle of the Road
(SSP2-4.5)",Apr,End-of-Century (2070-2099),6.874,5.38,6.154,Lower Flathead,sfcWind
"Middle of the Road
(SSP2-4.5)",Apr,Mid Century (2040-2069),7.27,5.274,6.171,Lower Flathead,sfcWind
"Middle of the Road
(SSP2-4.5)",Aug,End-of-Century (2070-2099),5.58,4.004,4.684,Lower Flathead,sfcWind
"Middle of the Road
(SSP2-4.5)",Aug,Mid Century (2040-2069),5.542,4.126,4.784,Lower Flathead,sfcWind
"Middle of the Road
(SSP2-4.5)",Dec,End-of-Century (2070-2099),8.197,5.965,7.184,Lower Flathead,sfcWind
"Middle of the Road
(SSP2-4.5)",Dec,Mid Century (2040-2069),8.79,6.024,7.127,Lower Flathead,sfcWind
"Middle of the Road
(SSP2-4.5)",Feb,End-of-Century (2070-2099),8.361,5.29,6.692,Lower Flathead,sfcWind
"Middle of the Road
(SSP2-4.5)",Feb,Mid Century (2040-2069),8.144,5.448,6.805,Lower Flathead,sfcWind
"Middle of the Road
(SSP2-4.5)",Jan,End-of-Century (2070-2099),9.155,5.976,7.396,Lower Flathead,sfcWind
