scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Apr,Mid Century (2040-2069),7.149,5.305,6.201,Flathead,sfcWind
Historical Emissions,Aug,Mid Century (2040-2069),5.657,4.293,4.977,Flathead,sfcWind
Historical Emissions,Dec,Mid Century (2040-2069),8.847,6.045,7.212,Flathead,sfcWind
Historical Emissions,Feb,Mid Century (2040-2069),8.268,5.67,6.829,Flathead,sfcWind
Historical Emissions,Jan,Mid Century (2040-2069),9.016,6.034,7.332,Flathead,sfcWind
Historical Emissions,Jul,Mid Century (2040-2069),5.697,4.369,5.09,Flathead,sfcWind
Historical Emissions,Jun,Mid Century (2040-2069),6.422,4.926,5.701,Flathead,sfcWind
Historical Emissions,Mar,Mid Century (2040-2069),7.466,5.315,6.37,Flathead,sfcWind
Historical Emissions,May,Mid Century (2040-2069),6.639,5.023,5.819,Flathead,sfcWind
Historical Emissions,Nov,Mid Century (2040-2069),8.417,5.823,7.081,Flathead,sfcWind
Historical Emissions,Oct,Mid Century (2040-2069),7.249,5.34,6.275,Flathead,sfcWind
Historical Emissions,Sep,Mid Century (2040-2069),6.396,4.757,5.582,Flathead,sfcWind
Historical Emissions,Apr,End-of-Century (2070-2099),7.149,5.305,6.201,Flathead,sfcWind
Historical Emissions,Aug,End-of-Century (2070-2099),5.657,4.293,4.977,Flathead,sfcWind
Historical Emissions,Dec,End-of-Century (2070-2099),8.847,6.045,7.212,Flathead,sfcWind
Historical Emissions,Feb,End-of-Century (2070-2099),8.268,5.67,6.829,Flathead,sfcWind
Historical Emissions,Jan,End-of-Century (2070-2099),9.016,6.034,7.332,Flathead,sfcWind
Historical Emissions,Jul,End-of-Century (2070-2099),5.697,4.369,5.09,Flathead,sfcWind
Historical Emissions,Jun,End-of-Century (2070-2099),6.422,4.926,5.701,Flathead,sfcWind
Historical Emissions,Mar,End-of-Century (2070-2099),7.466,5.315,6.37,Flathead,sfcWind
Historical Emissions,May,End-of-Century (2070-2099),6.639,5.023,5.819,Flathead,sfcWind
Historical Emissions,Nov,End-of-Century (2070-2099),8.417,5.823,7.081,Flathead,sfcWind
Historical Emissions,Oct,End-of-Century (2070-2099),7.249,5.34,6.275,Flathead,sfcWind
Historical Emissions,Sep,End-of-Century (2070-2099),6.396,4.757,5.582,Flathead,sfcWind
"Moderating Emissions
(SSP1-2.6)",Apr,End-of-Century (2070-2099),6.816,5.445,6.304,Flathead,sfcWind
"Moderating Emissions
(SSP1-2.6)",Apr,Mid Century (2040-2069),7.163,5.261,6.115,Flathead,sfcWind
"Moderating Emissions
(SSP1-2.6)",Aug,End-of-Century (2070-2099),5.889,3.676,4.788,Flathead,sfcWind
"Moderating Emissions
(SSP1-2.6)",Aug,Mid Century (2040-2069),5.481,4.155,4.788,Flathead,sfcWind
"Moderating Emissions
(SSP1-2.6)",Dec,End-of-Century (2070-2099),9.126,5.877,7.105,Flathead,sfcWind
"Moderating Emissions
(SSP1-2.6)",Dec,Mid Century (2040-2069),8.798,5.937,7.221,Flathead,sfcWind
"Moderating Emissions
(SSP1-2.6)",Feb,End-of-Century (2070-2099),8.484,5.728,6.398,Flathead,sfcWind
"Moderating Emissions
(SSP1-2.6)",Feb,Mid Century (2040-2069),8.17,5.403,6.675,Flathead,sfcWind
"Moderating Emissions
(SSP1-2.6)",Jan,End-of-Century (2070-2099),8.09,5.704,6.986,Flathead,sfcWind
"Moderating Emissions
(SSP1-2.6)",Jan,Mid Century (2040-2069),8.747,5.9,7.134,Flathead,sfcWind
"Moderating Emissions
(SSP1-2.6)",Jul,End-of-Century (2070-2099),5.677,4.64,5.153,Flathead,sfcWind
"Moderating Emissions
(SSP1-2.6)",Jul,Mid Century (2040-2069),5.793,4.178,4.979,Flathead,sfcWind
