scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Apr,Mid Century (2040-2069),9.983,7.764,8.868,Northern Cheyenne,sfcWind
Historical Emissions,Aug,Mid Century (2040-2069),7.383,5.889,6.658,Northern Cheyenne,sfcWind
Historical Emissions,Dec,Mid Century (2040-2069),12.601,9.155,10.879,Northern Cheyenne,sfcWind
Historical Emissions,Feb,Mid Century (2040-2069),11.61,8.179,9.785,Northern Cheyenne,sfcWind
Historical Emissions,Jan,Mid Century (2040-2069),12.797,9.142,10.874,Northern Cheyenne,sfcWind
Historical Emissions,Jul,Mid Century (2040-2069),7.225,5.671,6.451,Northern Cheyenne,sfcWind
Historical Emissions,Jun,Mid Century (2040-2069),7.977,6.223,7.084,Northern Cheyenne,sfcWind
Historical Emissions,Mar,Mid Century (2040-2069),10.54,7.599,8.985,Northern Cheyenne,sfcWind
Historical Emissions,May,Mid Century (2040-2069),9.197,7.239,8.151,Northern Cheyenne,sfcWind
Historical Emissions,Nov,Mid Century (2040-2069),11.471,8.587,10.076,Northern Cheyenne,sfcWind
Historical Emissions,Oct,Mid Century (2040-2069),9.838,7.798,8.894,Northern Cheyenne,sfcWind
Historical Emissions,Sep,Mid Century (2040-2069),8.402,6.689,7.591,Northern Cheyenne,sfcWind
Historical Emissions,Apr,End-of-Century (2070-2099),9.983,7.764,8.868,Northern Cheyenne,sfcWind
Historical Emissions,Aug,End-of-Century (2070-2099),7.383,5.889,6.658,Northern Cheyenne,sfcWind
Historical Emissions,Dec,End-of-Century (2070-2099),12.601,9.155,10.879,Northern Cheyenne,sfcWind
Historical Emissions,Feb,End-of-Century (2070-2099),11.61,8.179,9.785,Northern Cheyenne,sfcWind
Historical Emissions,Jan,End-of-Century (2070-2099),12.797,9.142,10.874,Northern Cheyenne,sfcWind
Historical Emissions,Jul,End-of-Century (2070-2099),7.225,5.671,6.451,Northern Cheyenne,sfcWind
Historical Emissions,Jun,End-of-Century (2070-2099),7.977,6.223,7.084,Northern Cheyenne,sfcWind
Historical Emissions,Mar,End-of-Century (2070-2099),10.54,7.599,8.985,Northern Cheyenne,sfcWind
Historical Emissions,May,End-of-Century (2070-2099),9.197,7.239,8.151,Northern Cheyenne,sfcWind
Historical Emissions,Nov,End-of-Century (2070-2099),11.471,8.587,10.076,Northern Cheyenne,sfcWind
Historical Emissions,Oct,End-of-Century (2070-2099),9.838,7.798,8.894,Northern Cheyenne,sfcWind
Historical Emissions,Sep,End-of-Century (2070-2099),8.402,6.689,7.591,Northern Cheyenne,sfcWind
"Moderating Emissions
(SSP1-2.6)",Apr,End-of-Century (2070-2099),10.389,8.116,9.02,Northern Cheyenne,sfcWind
"Moderating Emissions
(SSP1-2.6)",Apr,Mid Century (2040-2069),9.8,7.504,8.706,Northern Cheyenne,sfcWind
"Moderating Emissions
(SSP1-2.6)",Aug,End-of-Century (2070-2099),7.139,5.879,6.584,Northern Cheyenne,sfcWind
"Moderating Emissions
(SSP1-2.6)",Aug,Mid Century (2040-2069),7.25,5.723,6.479,Northern Cheyenne,sfcWind
"Moderating Emissions
(SSP1-2.6)",Dec,End-of-Century (2070-2099),12.856,9.325,10.6,Northern Cheyenne,sfcWind
"Moderating Emissions
(SSP1-2.6)",Dec,Mid Century (2040-2069),12.446,9.046,10.647,Northern Cheyenne,sfcWind
"Moderating Emissions
(SSP1-2.6)",Feb,End-of-Century (2070-2099),10.805,8.027,9.246,Northern Cheyenne,sfcWind
"Moderating Emissions
(SSP1-2.6)",Feb,Mid Century (2040-2069),11.286,7.863,9.456,Northern Cheyenne,sfcWind
"Moderating Emissions
(SSP1-2.6)",Jan,End-of-Century (2070-2099),12.292,9.346,10.538,Northern Cheyenne,sfcWind
"Moderating Emissions
(SSP1-2.6)",Jan,Mid Century (2040-2069),12.653,8.844,10.855,Northern Cheyenne,sfcWind
"Moderating Emissions
(SSP1-2.6)",Jul,End-of-Century (2070-2099),7.129,5.648,6.485,Northern Cheyenne,sfcWind
"Moderating Emissions
(SSP1-2.6)",Jul,Mid Century (2040-2069),7.126,5.579,6.352,Northern Cheyenne,sfcWind
"Moderating Emissions
(SSP1-2.6)",Jun,End-of-Century (2070-2099),7.874,6.088,6.769,Northern Cheyenne,sfcWind
"Moderating Emissions
(SSP1-2.6)",Jun,Mid Century (2040-2069),8.039,6.14,7.037,Northern Cheyenne,sfcWind
"Moderating Emissions
(SSP1-2.6)",Mar,End-of-Century (2070-2099),10.195,7.971,8.742,Northern Cheyenne,sfcWind
"Moderating Emissions
(SSP1-2.6)",Mar,Mid Century (2040-2069),10.328,7.603,9.079,Northern Cheyenne,sfcWind
"Moderating Emissions
(SSP1-2.6)",May,End-of-Century (2070-2099),8.346,6.87,7.773,Northern Cheyenne,sfcWind
"Moderating Emissions
(SSP1-2.6)",May,Mid Century (2040-2069),8.965,7.102,8.033,Northern Cheyenne,sfcWind
"Moderating Emissions
(SSP1-2.6)",Nov,End-of-Century (2070-2099),10.57,9.244,9.928,Northern Cheyenne,sfcWind
"Moderating Emissions
(SSP1-2.6)",Nov,Mid Century (2040-2069),11.403,8.666,9.999,Northern Cheyenne,sfcWind
"Moderating Emissions
(SSP1-2.6)",Oct,End-of-Century (2070-2099),9.821,7.641,8.623,Northern Cheyenne,sfcWind
"Moderating Emissions
(SSP1-2.6)",Oct,Mid Century (2040-2069),9.805,7.451,8.824,Northern Cheyenne,sfcWind
"Moderating Emissions
(SSP1-2.6)",Sep,End-of-Century (2070-2099),8.028,6.121,7.451,Northern Cheyenne,sfcWind
"Moderating Emissions
(SSP1-2.6)",Sep,Mid Century (2040-2069),8.154,6.654,7.458,Northern Cheyenne,sfcWind
"Middle of the Road
(SSP2-4.5)",Apr,End-of-Century (2070-2099),9.583,8.253,8.721,Northern Cheyenne,sfcWind
"Middle of the Road
(SSP2-4.5)",Apr,Mid Century (2040-2069),9.942,7.739,8.827,Northern Cheyenne,sfcWind
"Middle of the Road
(SSP2-4.5)",Aug,End-of-Century (2070-2099),7.094,5.31,6.309,Northern Cheyenne,sfcWind
"Middle of the Road
(SSP2-4.5)",Aug,Mid Century (2040-2069),7.346,5.692,6.48,Northern Cheyenne,sfcWind
"Middle of the Road
(SSP2-4.5)",Dec,End-of-Century (2070-2099),12.508,8.633,10.873,Northern Cheyenne,sfcWind
"Middle of the Road
(SSP2-4.5)",Dec,Mid Century (2040-2069),12.805,8.905,10.844,Northern Cheyenne,sfcWind
"Middle of the Road
(SSP2-4.5)",Feb,End-of-Century (2070-2099),11.573,8.558,10.008,Northern Cheyenne,sfcWind
"Middle of the Road
(SSP2-4.5)",Feb,Mid Century (2040-2069),11.623,7.974,9.985,Northern Cheyenne,sfcWind
"Middle of the Road
(SSP2-4.5)",Jan,End-of-Century (2070-2099),13.084,9.451,10.907,Northern Cheyenne,sfcWind
"Middle of the Road
(SSP2-4.5)",Jan,Mid Century (2040-2069),12.67,9.078,10.91,Northern Cheyenne,sfcWind
"Middle of the Road
(SSP2-4.5)",Jul,End-of-Century (2070-2099),7.309,5.665,6.076,Northern Cheyenne,sfcWind
"Middle of the Road
(SSP2-4.5)",Jul,Mid Century (2040-2069),7.181,5.377,6.272,Northern Cheyenne,sfcWind
"Middle of the Road
(SSP2-4.5)",Jun,End-of-Century (2070-2099),8.133,5.986,7.046,Northern Cheyenne,sfcWind
"Middle of the Road
(SSP2-4.5)",Jun,Mid Century (2040-2069),8.047,5.973,7.055,Northern Cheyenne,sfcWind
"Middle of the Road
(SSP2-4.5)",Mar,End-of-Century (2070-2099),10.206,7.755,8.88,Northern Cheyenne,sfcWind
"Middle of the Road
(SSP2-4.5)",Mar,Mid Century (2040-2069),10.363,7.647,8.94,Northern Cheyenne,sfcWind
"Middle of the Road
(SSP2-4.5)",May,End-of-Century (2070-2099),9.177,7.428,8.21,Northern Cheyenne,sfcWind
"Middle of the Road
(SSP2-4.5)",May,Mid Century (2040-2069),9.128,6.958,8.079,Northern Cheyenne,sfcWind
"Middle of the Road
(SSP2-4.5)",Nov,End-of-Century (2070-2099),11.475,8.318,9.397,Northern Cheyenne,sfcWind
"Middle of the Road
(SSP2-4.5)",Nov,Mid Century (2040-2069),11.255,8.522,9.943,Northern Cheyenne,sfcWind
"Middle of the Road
(SSP2-4.5)",Oct,End-of-Century (2070-2099),9.44,7.385,8.429,Northern Cheyenne,sfcWind
"Middle of the Road
(SSP2-4.5)",Oct,Mid Century (2040-2069),9.835,7.67,8.779,Northern Cheyenne,sfcWind
"Middle of the Road
(SSP2-4.5)",Sep,End-of-Century (2070-2099),7.853,6.082,7.495,Northern Cheyenne,sfcWind
"Middle of the Road
(SSP2-4.5)",Sep,Mid Century (2040-2069),8.227,6.585,7.414,Northern Cheyenne,sfcWind
"High Emissions
(SSP3-7.0)",Apr,End-of-Century (2070-2099),9.345,7.617,8.61,Northern Cheyenne,sfcWind
"High Emissions
(SSP3-7.0)",Apr,Mid Century (2040-2069),9.762,7.567,8.733,Northern Cheyenne,sfcWind
"High Emissions
(SSP3-7.0)",Aug,End-of-Century (2070-2099),6.705,5.367,6.001,Northern Cheyenne,sfcWind
"High Emissions
(SSP3-7.0)",Aug,Mid Century (2040-2069),7.1,5.542,6.448,Northern Cheyenne,sfcWind
"High Emissions
(SSP3-7.0)",Dec,End-of-Century (2070-2099),12.444,8.872,10.769,Northern Cheyenne,sfcWind
"High Emissions
(SSP3-7.0)",Dec,Mid Century (2040-2069),12.492,8.647,10.995,Northern Cheyenne,sfcWind
"High Emissions
(SSP3-7.0)",Feb,End-of-Century (2070-2099),11.737,8.082,9.506,Northern Cheyenne,sfcWind
"High Emissions
(SSP3-7.0)",Feb,Mid Century (2040-2069),11.261,7.927,9.607,Northern Cheyenne,sfcWind
"High Emissions
(SSP3-7.0)",Jan,End-of-Century (2070-2099),11.59,8.229,10.037,Northern Cheyenne,sfcWind
"High Emissions
(SSP3-7.0)",Jan,Mid Century (2040-2069),12.31,8.812,10.517,Northern Cheyenne,sfcWind
"High Emissions
(SSP3-7.0)",Jul,End-of-Century (2070-2099),7.058,5.438,6.265,Northern Cheyenne,sfcWind
"High Emissions
(SSP3-7.0)",Jul,Mid Century (2040-2069),7.071,5.28,6.166,Northern Cheyenne,sfcWind
"High Emissions
(SSP3-7.0)",Jun,End-of-Century (2070-2099),7.548,5.597,6.65,Northern Cheyenne,sfcWind
