year,scenario,upper,lower,value,location,variable
1950,Historical Emissions,9.658,8.948,9.308,Rocky Boy's,sfcWind
1951,Historical Emissions,9.512,9.041,9.206,Rocky Boy's,sfcWind
1952,Historical Emissions,9.713,8.762,9.439,Rocky Boy's,sfcWind
1953,Historical Emissions,9.909,8.883,9.056,Rocky Boy's,sfcWind
1954,Historical Emissions,9.861,8.888,9.438,Rocky Boy's,sfcWind
1955,Historical Emissions,9.525,8.782,9.299,Rocky Boy's,sfcWind
1956,Historical Emissions,10.139,8.819,9.366,Rocky Boy's,sfcWind
1957,Historical Emissions,10.126,8.923,9.509,Rocky Boy's,sfcWind
1958,Historical Emissions,9.481,8.891,9.197,Rocky Boy's,sfcWind
1959,Historical Emissions,9.914,8.742,9.347,Rocky Boy's,sfcWind
1960,Historical Emissions,9.831,9.474,9.594,Rocky Boy's,sfcWind
1961,Historical Emissions,10.095,8.88,9.354,Rocky Boy's,sfcWind
1962,Historical Emissions,9.669,8.981,9.231,Rocky Boy's,sfcWind
1963,Historical Emissions,9.708,8.952,9.115,Rocky Boy's,sfcWind
1964,Historical Emissions,10.035,9.096,9.276,Rocky Boy's,sfcWind
1965,Historical Emissions,9.719,9.015,9.303,Rocky Boy's,sfcWind
1966,Historical Emissions,9.75,9.223,9.514,Rocky Boy's,sfcWind
1967,Historical Emissions,9.716,8.767,9.406,Rocky Boy's,sfcWind
1968,Historical Emissions,9.881,8.929,9.087,Rocky Boy's,sfcWind
1969,Historical Emissions,9.604,8.773,9.156,Rocky Boy's,sfcWind
1970,Historical Emissions,9.851,8.952,9.374,Rocky Boy's,sfcWind
1971,Historical Emissions,9.815,8.966,9.474,Rocky Boy's,sfcWind
1972,Historical Emissions,9.498,9.14,9.266,Rocky Boy's,sfcWind
1973,Historical Emissions,9.759,8.772,9.309,Rocky Boy's,sfcWind
1974,Historical Emissions,9.94,8.457,9.667,Rocky Boy's,sfcWind
1975,Historical Emissions,9.77,8.795,9.335,Rocky Boy's,sfcWind
1976,Historical Emissions,9.497,9.06,9.365,Rocky Boy's,sfcWind
1977,Historical Emissions,9.666,8.598,9.183,Rocky Boy's,sfcWind
1978,Historical Emissions,9.454,8.756,9.156,Rocky Boy's,sfcWind
1979,Historical Emissions,9.567,9,9.204,Rocky Boy's,sfcWind
1980,Historical Emissions,9.803,8.875,9.316,Rocky Boy's,sfcWind
1981,Historical Emissions,9.573,9.104,9.268,Rocky Boy's,sfcWind
1982,Historical Emissions,9.667,8.611,9.264,Rocky Boy's,sfcWind
1983,Historical Emissions,9.897,8.761,8.928,Rocky Boy's,sfcWind
1984,Historical Emissions,9.802,8.741,9.027,Rocky Boy's,sfcWind
1985,Historical Emissions,9.836,8.921,9.336,Rocky Boy's,sfcWind
1986,Historical Emissions,9.754,8.709,9.212,Rocky Boy's,sfcWind
1987,Historical Emissions,9.74,8.697,9.003,Rocky Boy's,sfcWind
1988,Historical Emissions,9.601,9.034,9.503,Rocky Boy's,sfcWind
1989,Historical Emissions,9.805,8.931,9.18,Rocky Boy's,sfcWind
1990,Historical Emissions,9.798,8.805,9.346,Rocky Boy's,sfcWind
1991,Historical Emissions,9.622,8.779,9.265,Rocky Boy's,sfcWind
1992,Historical Emissions,9.796,9.263,9.559,Rocky Boy's,sfcWind
1993,Historical Emissions,9.679,8.686,9.167,Rocky Boy's,sfcWind
1994,Historical Emissions,10.073,8.515,9.047,Rocky Boy's,sfcWind
1995,Historical Emissions,10.043,9.06,9.431,Rocky Boy's,sfcWind
1996,Historical Emissions,9.842,9.013,9.581,Rocky Boy's,sfcWind
1997,Historical Emissions,9.846,8.723,9.262,Rocky Boy's,sfcWind
1998,Historical Emissions,9.662,8.826,9.118,Rocky Boy's,sfcWind
1999,Historical Emissions,9.421,8.928,9.24,Rocky Boy's,sfcWind
2000,Historical Emissions,9.547,9.048,9.365,Rocky Boy's,sfcWind
2001,Historical Emissions,9.586,8.799,9.236,Rocky Boy's,sfcWind
2002,Historical Emissions,9.806,8.823,9.266,Rocky Boy's,sfcWind
2003,Historical Emissions,9.432,8.77,9.164,Rocky Boy's,sfcWind
2004,Historical Emissions,10.024,8.988,9.365,Rocky Boy's,sfcWind
2005,Historical Emissions,9.937,8.745,9.217,Rocky Boy's,sfcWind
2006,Historical Emissions,9.665,8.645,9.445,Rocky Boy's,sfcWind
2007,Historical Emissions,9.685,8.603,9.239,Rocky Boy's,sfcWind
2008,Historical Emissions,9.565,8.656,9.222,Rocky Boy's,sfcWind
2009,Historical Emissions,9.666,8.684,9.291,Rocky Boy's,sfcWind
2010,Historical Emissions,9.679,8.688,9.194,Rocky Boy's,sfcWind
2011,Historical Emissions,9.719,8.805,9.062,Rocky Boy's,sfcWind
2012,Historical Emissions,9.587,8.824,9.086,Rocky Boy's,sfcWind
2013,Historical Emissions,9.64,8.714,9.102,Rocky Boy's,sfcWind
2014,Historical Emissions,9.79,8.958,9.308,Rocky Boy's,sfcWind
2015,"Moderating Emissions
(SSP1-2.6)",9.877,8.367,9.23,Rocky Boy's,sfcWind
2015,"Middle of the Road
(SSP2-4.5)",9.759,8.261,9.114,Rocky Boy's,sfcWind
2015,"High Emissions
(SSP3-7.0)",9.805,8.479,9.032,Rocky Boy's,sfcWind
2015,"Accelerating Emissions
(SSP5-8.5)",9.693,8.706,9.175,Rocky Boy's,sfcWind
2016,"Moderating Emissions
(SSP1-2.6)",9.555,8.402,8.959,Rocky Boy's,sfcWind
2016,"Middle of the Road
(SSP2-4.5)",9.717,8.361,9.242,Rocky Boy's,sfcWind
2016,"High Emissions
(SSP3-7.0)",9.702,8.602,9.107,Rocky Boy's,sfcWind
2016,"Accelerating Emissions
(SSP5-8.5)",10.322,8.527,9.031,Rocky Boy's,sfcWind
2017,"Moderating Emissions
(SSP1-2.6)",9.655,7.996,9.244,Rocky Boy's,sfcWind
2017,"Middle of the Road
(SSP2-4.5)",9.35,8.743,9.021,Rocky Boy's,sfcWind
2017,"High Emissions
(SSP3-7.0)",9.406,8.079,8.619,Rocky Boy's,sfcWind
2017,"Accelerating Emissions
(SSP5-8.5)",9.525,8.657,9.134,Rocky Boy's,sfcWind
2018,"Moderating Emissions
(SSP1-2.6)",9.709,8.537,9.272,Rocky Boy's,sfcWind
2018,"Middle of the Road
(SSP2-4.5)",9.509,8.07,9.017,Rocky Boy's,sfcWind
2018,"High Emissions
(SSP3-7.0)",9.219,7.925,8.853,Rocky Boy's,sfcWind
2018,"Accelerating Emissions
(SSP5-8.5)",9.385,8.495,8.758,Rocky Boy's,sfcWind
2019,"Moderating Emissions
(SSP1-2.6)",9.101,8.245,8.773,Rocky Boy's,sfcWind
2019,"Middle of the Road
(SSP2-4.5)",9.789,8.371,9.189,Rocky Boy's,sfcWind
2019,"High Emissions
(SSP3-7.0)",9.678,8.188,8.958,Rocky Boy's,sfcWind
2019,"Accelerating Emissions
(SSP5-8.5)",9.522,8.308,9.149,Rocky Boy's,sfcWind
2020,"Moderating Emissions
(SSP1-2.6)",9.46,8.398,8.983,Rocky Boy's,sfcWind
2020,"Middle of the Road
(SSP2-4.5)",9.521,8.386,9.318,Rocky Boy's,sfcWind
2020,"High Emissions
(SSP3-7.0)",9.575,8.54,9.227,Rocky Boy's,sfcWind
2020,"Accelerating Emissions
(SSP5-8.5)",9.545,8.206,8.982,Rocky Boy's,sfcWind
2021,"Moderating Emissions
(SSP1-2.6)",9.48,8.616,8.949,Rocky Boy's,sfcWind
2021,"Middle of the Road
(SSP2-4.5)",9.503,8.751,9.27,Rocky Boy's,sfcWind
2021,"High Emissions
(SSP3-7.0)",9.75,8.486,9.025,Rocky Boy's,sfcWind
2021,"Accelerating Emissions
(SSP5-8.5)",9.273,8.662,9.024,Rocky Boy's,sfcWind
2022,"Moderating Emissions
(SSP1-2.6)",9.748,8.598,9.191,Rocky Boy's,sfcWind
2022,"Middle of the Road
(SSP2-4.5)",9.377,8.619,8.861,Rocky Boy's,sfcWind
2022,"High Emissions
(SSP3-7.0)",9.444,8.496,8.827,Rocky Boy's,sfcWind
2022,"Accelerating Emissions
(SSP5-8.5)",9.532,8.355,8.793,Rocky Boy's,sfcWind
2023,"Moderating Emissions
(SSP1-2.6)",9.493,8.653,9.258,Rocky Boy's,sfcWind
2023,"Middle of the Road
(SSP2-4.5)",9.611,8.69,9.14,Rocky Boy's,sfcWind
2023,"High Emissions
(SSP3-7.0)",9.74,8.518,9.091,Rocky Boy's,sfcWind
2023,"Accelerating Emissions
(SSP5-8.5)",9.905,8.665,9.032,Rocky Boy's,sfcWind
2024,"Moderating Emissions
(SSP1-2.6)",9.593,8.586,8.9,Rocky Boy's,sfcWind
2024,"Middle of the Road
(SSP2-4.5)",9.442,8.034,9.175,Rocky Boy's,sfcWind
2024,"High Emissions
(SSP3-7.0)",9.642,8.486,9.041,Rocky Boy's,sfcWind
2024,"Accelerating Emissions
(SSP5-8.5)",9.665,8.468,9.006,Rocky Boy's,sfcWind
2025,"Moderating Emissions
(SSP1-2.6)",9.558,8.621,9.267,Rocky Boy's,sfcWind
2025,"Middle of the Road
(SSP2-4.5)",9.759,8.164,9.055,Rocky Boy's,sfcWind
2025,"High Emissions
(SSP3-7.0)",9.64,8.349,9.081,Rocky Boy's,sfcWind
2025,"Accelerating Emissions
(SSP5-8.5)",9.627,8.788,9.175,Rocky Boy's,sfcWind
2026,"Moderating Emissions
(SSP1-2.6)",9.572,8.457,9.147,Rocky Boy's,sfcWind
2026,"Middle of the Road
(SSP2-4.5)",9.483,8.69,9.078,Rocky Boy's,sfcWind
2026,"High Emissions
(SSP3-7.0)",9.03,8.108,8.748,Rocky Boy's,sfcWind
2026,"Accelerating Emissions
(SSP5-8.5)",9.456,8.745,9.064,Rocky Boy's,sfcWind
2027,"Moderating Emissions
(SSP1-2.6)",9.828,8.44,8.851,Rocky Boy's,sfcWind
2027,"Middle of the Road
(SSP2-4.5)",9.392,8.476,9.067,Rocky Boy's,sfcWind
2027,"High Emissions
(SSP3-7.0)",9.308,8.499,8.753,Rocky Boy's,sfcWind
2027,"Accelerating Emissions
(SSP5-8.5)",9.745,8.325,9.014,Rocky Boy's,sfcWind
2028,"Moderating Emissions
(SSP1-2.6)",9.513,8.232,8.837,Rocky Boy's,sfcWind
2028,"Middle of the Road
(SSP2-4.5)",9.07,8.147,8.987,Rocky Boy's,sfcWind
2028,"High Emissions
(SSP3-7.0)",9.477,8.165,9.022,Rocky Boy's,sfcWind
2028,"Accelerating Emissions
(SSP5-8.5)",9.224,8.721,9.178,Rocky Boy's,sfcWind
2029,"Moderating Emissions
(SSP1-2.6)",9.373,8.407,8.835,Rocky Boy's,sfcWind
