scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Apr,Mid Century (2040-2069),49.67,41.405,45.364,Miles City,tas
Historical Emissions,Aug,Mid Century (2040-2069),76.027,68.336,72.459,Miles City,tas
Historical Emissions,Dec,Mid Century (2040-2069),28.236,12.452,21.226,Miles City,tas
Historical Emissions,Feb,Mid Century (2040-2069),31.756,16.158,24.543,Miles City,tas
Historical Emissions,Jan,Mid Century (2040-2069),25.312,9.147,18.966,Miles City,tas
Historical Emissions,Jul,Mid Century (2040-2069),77.615,69.608,73.558,Miles City,tas
Historical Emissions,Jun,Mid Century (2040-2069),69.961,61.891,66.149,Miles City,tas
Historical Emissions,Mar,Mid Century (2040-2069),39.159,27.246,34.279,Miles City,tas
Historical Emissions,May,Mid Century (2040-2069),60.645,52.26,56.338,Miles City,tas
Historical Emissions,Nov,Mid Century (2040-2069),38.03,26.685,33.204,Miles City,tas
Historical Emissions,Oct,Mid Century (2040-2069),53.607,42.495,48.364,Miles City,tas
Historical Emissions,Sep,Mid Century (2040-2069),66.439,57.034,61.824,Miles City,tas
Historical Emissions,Apr,End-of-Century (2070-2099),49.67,41.405,45.364,Miles City,tas
Historical Emissions,Aug,End-of-Century (2070-2099),76.027,68.336,72.459,Miles City,tas
Historical Emissions,Dec,End-of-Century (2070-2099),28.236,12.452,21.226,Miles City,tas
Historical Emissions,Feb,End-of-Century (2070-2099),31.756,16.158,24.543,Miles City,tas
Historical Emissions,Jan,End-of-Century (2070-2099),25.312,9.147,18.966,Miles City,tas
Historical Emissions,Jul,End-of-Century (2070-2099),77.615,69.608,73.558,Miles City,tas
Historical Emissions,Jun,End-of-Century (2070-2099),69.961,61.891,66.149,Miles City,tas
Historical Emissions,Mar,End-of-Century (2070-2099),39.159,27.246,34.279,Miles City,tas
Historical Emissions,May,End-of-Century (2070-2099),60.645,52.26,56.338,Miles City,tas
Historical Emissions,Nov,End-of-Century (2070-2099),38.03,26.685,33.204,Miles City,tas
Historical Emissions,Oct,End-of-Century (2070-2099),53.607,42.495,48.364,Miles City,tas
Historical Emissions,Sep,End-of-Century (2070-2099),66.439,57.034,61.824,Miles City,tas
"Moderating Emissions
(SSP1-2.6)",Apr,End-of-Century (2070-2099),51.847,43.586,48.101,Miles City,tas
"Moderating Emissions
(SSP1-2.6)",Apr,Mid Century (2040-2069),52.019,43.282,48.073,Miles City,tas
"Moderating Emissions
(SSP1-2.6)",Aug,End-of-Century (2070-2099),77.894,71.058,76.165,Miles City,tas
"Moderating Emissions
(SSP1-2.6)",Aug,Mid Century (2040-2069),79.211,71.882,75.312,Miles City,tas
"Moderating Emissions
(SSP1-2.6)",Dec,End-of-Century (2070-2099),31.213,12.747,23.706,Miles City,tas
"Moderating Emissions
(SSP1-2.6)",Dec,Mid Century (2040-2069),31.688,15.234,25.015,Miles City,tas
"Moderating Emissions
(SSP1-2.6)",Feb,End-of-Century (2070-2099),38.065,21.129,28.962,Miles City,tas
"Moderating Emissions
(SSP1-2.6)",Feb,Mid Century (2040-2069),33.914,18.841,27.339,Miles City,tas
"Moderating Emissions
(SSP1-2.6)",Jan,End-of-Century (2070-2099),31.561,14.972,22.003,Miles City,tas
"Moderating Emissions
(SSP1-2.6)",Jan,Mid Century (2040-2069),28.414,14.325,21.701,Miles City,tas
"Moderating Emissions
(SSP1-2.6)",Jul,End-of-Century (2070-2099),80.84,69.855,76.54,Miles City,tas
"Moderating Emissions
(SSP1-2.6)",Jul,Mid Century (2040-2069),80.558,72.414,76.067,Miles City,tas
"Moderating Emissions
(SSP1-2.6)",Jun,End-of-Century (2070-2099),72.386,64.126,67.916,Miles City,tas
"Moderating Emissions
(SSP1-2.6)",Jun,Mid Century (2040-2069),72.38,64.484,68.048,Miles City,tas
"Moderating Emissions
(SSP1-2.6)",Mar,End-of-Century (2070-2099),40.353,30.848,35.411,Miles City,tas
"Moderating Emissions
(SSP1-2.6)",Mar,Mid Century (2040-2069),42.171,30.017,36.548,Miles City,tas
"Moderating Emissions
(SSP1-2.6)",May,End-of-Century (2070-2099),63.701,54.359,59.166,Miles City,tas
"Moderating Emissions
(SSP1-2.6)",May,Mid Century (2040-2069),62.519,54.729,58.397,Miles City,tas
"Moderating Emissions
(SSP1-2.6)",Nov,End-of-Century (2070-2099),37.721,26.284,34.913,Miles City,tas
"Moderating Emissions
(SSP1-2.6)",Nov,Mid Century (2040-2069),39.8,29.713,34.98,Miles City,tas
"Moderating Emissions
(SSP1-2.6)",Oct,End-of-Century (2070-2099),53.197,46.753,49.491,Miles City,tas
"Moderating Emissions
(SSP1-2.6)",Oct,Mid Century (2040-2069),55.549,45.586,50.764,Miles City,tas
"Moderating Emissions
(SSP1-2.6)",Sep,End-of-Century (2070-2099),70.462,58.632,63.302,Miles City,tas
"Moderating Emissions
(SSP1-2.6)",Sep,Mid Century (2040-2069),69.449,60.357,64.473,Miles City,tas
"Middle of the Road
(SSP2-4.5)",Apr,End-of-Century (2070-2099),52.3,45.194,48.205,Miles City,tas
"Middle of the Road
(SSP2-4.5)",Apr,Mid Century (2040-2069),52.199,43.651,47.666,Miles City,tas
"Middle of the Road
(SSP2-4.5)",Aug,End-of-Century (2070-2099),84.758,74.875,78.395,Miles City,tas
"Middle of the Road
(SSP2-4.5)",Aug,Mid Century (2040-2069),80.597,72.362,76.233,Miles City,tas
"Middle of the Road
(SSP2-4.5)",Dec,End-of-Century (2070-2099),38.082,19.441,26.22,Miles City,tas
"Middle of the Road
(SSP2-4.5)",Dec,Mid Century (2040-2069),32.766,14.625,24.399,Miles City,tas
"Middle of the Road
(SSP2-4.5)",Feb,End-of-Century (2070-2099),35.829,22.024,30.335,Miles City,tas
"Middle of the Road
(SSP2-4.5)",Feb,Mid Century (2040-2069),34.534,19.149,27.48,Miles City,tas
"Middle of the Road
(SSP2-4.5)",Jan,End-of-Century (2070-2099),31.909,20.358,25.178,Miles City,tas
"Middle of the Road
(SSP2-4.5)",Jan,Mid Century (2040-2069),30.053,15.396,23.166,Miles City,tas
"Middle of the Road
(SSP2-4.5)",Jul,End-of-Century (2070-2099),84.082,75.032,80.165,Miles City,tas
"Middle of the Road
(SSP2-4.5)",Jul,Mid Century (2040-2069),81.849,72.939,77.58,Miles City,tas
"Middle of the Road
(SSP2-4.5)",Jun,End-of-Century (2070-2099),75.407,65.615,70.356,Miles City,tas
"Middle of the Road
(SSP2-4.5)",Jun,Mid Century (2040-2069),73.152,64.611,68.97,Miles City,tas
"Middle of the Road
(SSP2-4.5)",Mar,End-of-Century (2070-2099),42.796,34.209,38.185,Miles City,tas
"Middle of the Road
(SSP2-4.5)",Mar,Mid Century (2040-2069),41.144,30.956,36.364,Miles City,tas
"Middle of the Road
(SSP2-4.5)",May,End-of-Century (2070-2099),63.368,57.656,60.171,Miles City,tas
"Middle of the Road
(SSP2-4.5)",May,Mid Century (2040-2069),63.191,54.601,58.59,Miles City,tas
"Middle of the Road
(SSP2-4.5)",Nov,End-of-Century (2070-2099),42.475,30.455,37.597,Miles City,tas
"Middle of the Road
(SSP2-4.5)",Nov,Mid Century (2040-2069),41.008,28.463,36,Miles City,tas
"Middle of the Road
(SSP2-4.5)",Oct,End-of-Century (2070-2099),57.705,47.508,53.892,Miles City,tas
"Middle of the Road
(SSP2-4.5)",Oct,Mid Century (2040-2069),57.31,45.689,51.46,Miles City,tas
"Middle of the Road
(SSP2-4.5)",Sep,End-of-Century (2070-2099),71.692,62.278,67.424,Miles City,tas
"Middle of the Road
(SSP2-4.5)",Sep,Mid Century (2040-2069),70.572,60.837,65.29,Miles City,tas
"High Emissions
(SSP3-7.0)",Apr,End-of-Century (2070-2099),54.538,47.08,51.543,Miles City,tas
"High Emissions
(SSP3-7.0)",Apr,Mid Century (2040-2069),52.509,44.072,48.42,Miles City,tas
"High Emissions
(SSP3-7.0)",Aug,End-of-Century (2070-2099),89.55,79.294,84.933,Miles City,tas
"High Emissions
(SSP3-7.0)",Aug,Mid Century (2040-2069),81.714,73.291,77.244,Miles City,tas
"High Emissions
(SSP3-7.0)",Dec,End-of-Century (2070-2099),37.676,23.183,30.404,Miles City,tas
"High Emissions
(SSP3-7.0)",Dec,Mid Century (2040-2069),32.301,17.319,25.47,Miles City,tas
"High Emissions
(SSP3-7.0)",Feb,End-of-Century (2070-2099),39.709,23.818,30.804,Miles City,tas
"High Emissions
(SSP3-7.0)",Feb,Mid Century (2040-2069),34.566,19.516,28.187,Miles City,tas
"High Emissions
(SSP3-7.0)",Jan,End-of-Century (2070-2099),33.921,16.579,25.596,Miles City,tas
"High Emissions
(SSP3-7.0)",Jan,Mid Century (2040-2069),30.251,14.093,23.108,Miles City,tas
"High Emissions
(SSP3-7.0)",Jul,End-of-Century (2070-2099),90.113,80.677,84.095,Miles City,tas
"High Emissions
(SSP3-7.0)",Jul,Mid Century (2040-2069),82.233,73.842,77.465,Miles City,tas
"High Emissions
(SSP3-7.0)",Jun,End-of-Century (2070-2099),79.757,69.929,73.71,Miles City,tas
"High Emissions
(SSP3-7.0)",Jun,Mid Century (2040-2069),73.853,65.311,69.382,Miles City,tas
"High Emissions
(SSP3-7.0)",Mar,End-of-Century (2070-2099),46.421,34.924,39.769,Miles City,tas
"High Emissions
(SSP3-7.0)",Mar,Mid Century (2040-2069),42.424,31.417,36.606,Miles City,tas
"High Emissions
(SSP3-7.0)",May,End-of-Century (2070-2099),66.679,60.857,63.228,Miles City,tas
"High Emissions
(SSP3-7.0)",May,Mid Century (2040-2069),63.451,55.033,58.827,Miles City,tas
"High Emissions
(SSP3-7.0)",Nov,End-of-Century (2070-2099),44.715,33.121,38.746,Miles City,tas
