scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Apr,Mid Century (2040-2069),49.008,41.554,45.044,Big Horn County,tas
Historical Emissions,Aug,Mid Century (2040-2069),74.274,67.473,70.998,Big Horn County,tas
Historical Emissions,Dec,Mid Century (2040-2069),31.647,17.313,24.848,Big Horn County,tas
Historical Emissions,Feb,Mid Century (2040-2069),34.939,21.864,28.97,Big Horn County,tas
Historical Emissions,Jan,Mid Century (2040-2069),30.518,16.297,24.633,Big Horn County,tas
Historical Emissions,Jul,Mid Century (2040-2069),75.946,68.336,72.414,Big Horn County,tas
Historical Emissions,Jun,Mid Century (2040-2069),68.134,60.406,64.405,Big Horn County,tas
Historical Emissions,Mar,Mid Century (2040-2069),40.248,30.711,36.489,Big Horn County,tas
Historical Emissions,May,Mid Century (2040-2069),58.973,50.891,54.757,Big Horn County,tas
Historical Emissions,Nov,Mid Century (2040-2069),40.104,29.155,34.842,Big Horn County,tas
Historical Emissions,Oct,Mid Century (2040-2069),53.945,43.011,48.613,Big Horn County,tas
Historical Emissions,Sep,Mid Century (2040-2069),65.662,56.68,61.128,Big Horn County,tas
Historical Emissions,Apr,End-of-Century (2070-2099),49.008,41.554,45.044,Big Horn County,tas
Historical Emissions,Aug,End-of-Century (2070-2099),74.274,67.473,70.998,Big Horn County,tas
Historical Emissions,Dec,End-of-Century (2070-2099),31.647,17.313,24.848,Big Horn County,tas
Historical Emissions,Feb,End-of-Century (2070-2099),34.939,21.864,28.97,Big Horn County,tas
Historical Emissions,Jan,End-of-Century (2070-2099),30.518,16.297,24.633,Big Horn County,tas
Historical Emissions,Jul,End-of-Century (2070-2099),75.946,68.336,72.414,Big Horn County,tas
Historical Emissions,Jun,End-of-Century (2070-2099),68.134,60.406,64.405,Big Horn County,tas
Historical Emissions,Mar,End-of-Century (2070-2099),40.248,30.711,36.489,Big Horn County,tas
Historical Emissions,May,End-of-Century (2070-2099),58.973,50.891,54.757,Big Horn County,tas
Historical Emissions,Nov,End-of-Century (2070-2099),40.104,29.155,34.842,Big Horn County,tas
Historical Emissions,Oct,End-of-Century (2070-2099),53.945,43.011,48.613,Big Horn County,tas
Historical Emissions,Sep,End-of-Century (2070-2099),65.662,56.68,61.128,Big Horn County,tas
"Moderating Emissions
(SSP1-2.6)",Apr,End-of-Century (2070-2099),50.667,44.111,47.72,Big Horn County,tas
"Moderating Emissions
(SSP1-2.6)",Apr,Mid Century (2040-2069),51.162,43.532,47.345,Big Horn County,tas
"Moderating Emissions
(SSP1-2.6)",Aug,End-of-Century (2070-2099),76.938,70.408,74.466,Big Horn County,tas
"Moderating Emissions
(SSP1-2.6)",Aug,Mid Century (2040-2069),77.15,70.808,73.884,Big Horn County,tas
"Moderating Emissions
(SSP1-2.6)",Dec,End-of-Century (2070-2099),33.565,16.619,27.371,Big Horn County,tas
"Moderating Emissions
(SSP1-2.6)",Dec,Mid Century (2040-2069),34.519,20.27,28.623,Big Horn County,tas
"Moderating Emissions
(SSP1-2.6)",Feb,End-of-Century (2070-2099),41.704,27.779,32.202,Big Horn County,tas
"Moderating Emissions
(SSP1-2.6)",Feb,Mid Century (2040-2069),37.345,25.566,31.802,Big Horn County,tas
"Moderating Emissions
(SSP1-2.6)",Jan,End-of-Century (2070-2099),36.537,20.106,28.918,Big Horn County,tas
"Moderating Emissions
(SSP1-2.6)",Jan,Mid Century (2040-2069),32.928,20.523,26.908,Big Horn County,tas
