year,scenario,upper,lower,value,location,variable
1950,Historical Emissions,44.834,42.183,43.197,Toole County,tas
1951,Historical Emissions,44.143,42.051,43.696,Toole County,tas
1952,Historical Emissions,44.438,41.035,42.487,Toole County,tas
1953,Historical Emissions,43.625,40.963,42.54,Toole County,tas
1954,Historical Emissions,45.569,40.04,41.979,Toole County,tas
1955,Historical Emissions,45.549,41.258,42.783,Toole County,tas
1956,Historical Emissions,44.864,41.826,43.2,Toole County,tas
1957,Historical Emissions,45.406,41.86,43.829,Toole County,tas
1958,Historical Emissions,43.984,41.294,42.617,Toole County,tas
1959,Historical Emissions,43.02,39.349,41.577,Toole County,tas
1960,Historical Emissions,44.37,39.418,41.479,Toole County,tas
1961,Historical Emissions,44.486,41.101,43.258,Toole County,tas
1962,Historical Emissions,43.129,40.351,41.627,Toole County,tas
1963,Historical Emissions,42.686,41.725,41.797,Toole County,tas
1964,Historical Emissions,44.314,40.76,42.894,Toole County,tas
1965,Historical Emissions,43.396,41.682,42.533,Toole County,tas
1966,Historical Emissions,45.669,41.315,42.581,Toole County,tas
1967,Historical Emissions,43.43,41.03,42.64,Toole County,tas
1968,Historical Emissions,43.29,38.688,42.26,Toole County,tas
1969,Historical Emissions,43.916,40.731,42.763,Toole County,tas
1970,Historical Emissions,44.045,42.187,42.842,Toole County,tas
1971,Historical Emissions,46.235,42.363,43.985,Toole County,tas
1972,Historical Emissions,43.529,41.379,42.612,Toole County,tas
1973,Historical Emissions,43.868,40.923,42.823,Toole County,tas
1974,Historical Emissions,44.147,40.802,43.64,Toole County,tas
1975,Historical Emissions,44.054,40.159,43.475,Toole County,tas
1976,Historical Emissions,43.477,40.918,42.601,Toole County,tas
1977,Historical Emissions,45.011,42.576,43.769,Toole County,tas
1978,Historical Emissions,45.64,40.471,42.242,Toole County,tas
1979,Historical Emissions,45.185,41.229,43.902,Toole County,tas
1980,Historical Emissions,43.402,41.336,42.283,Toole County,tas
1981,Historical Emissions,45.261,42.438,42.807,Toole County,tas
1982,Historical Emissions,44.447,41.597,43.244,Toole County,tas
1983,Historical Emissions,44.917,41.548,42.321,Toole County,tas
1984,Historical Emissions,44.106,41.851,42.88,Toole County,tas
1985,Historical Emissions,44.519,41.648,43.259,Toole County,tas
1986,Historical Emissions,43.478,40.601,41.837,Toole County,tas
1987,Historical Emissions,44.708,39.321,42.254,Toole County,tas
1988,Historical Emissions,44.342,41.1,42.391,Toole County,tas
1989,Historical Emissions,44.689,42.502,43.022,Toole County,tas
1990,Historical Emissions,46.646,42.198,44.005,Toole County,tas
1991,Historical Emissions,45.181,40.919,42.529,Toole County,tas
1992,Historical Emissions,45.115,41.154,42.2,Toole County,tas
1993,Historical Emissions,45.276,41.254,42.828,Toole County,tas
1994,Historical Emissions,45.63,41.827,43.2,Toole County,tas
1995,Historical Emissions,44.851,41.744,42.49,Toole County,tas
1996,Historical Emissions,45.95,42.297,44.455,Toole County,tas
1997,Historical Emissions,45.796,41.382,43.703,Toole County,tas
1998,Historical Emissions,45.217,40.973,43.508,Toole County,tas
1999,Historical Emissions,45.301,41.738,44.299,Toole County,tas
2000,Historical Emissions,44.85,42.578,43.374,Toole County,tas
2001,Historical Emissions,45.35,42.158,43.721,Toole County,tas
2002,Historical Emissions,47.167,42.042,43.198,Toole County,tas
2003,Historical Emissions,46.013,43.397,44.116,Toole County,tas
2004,Historical Emissions,46.131,43.97,44.807,Toole County,tas
2005,Historical Emissions,47.615,43.19,45.688,Toole County,tas
2006,Historical Emissions,45.553,41.552,43.63,Toole County,tas
2007,Historical Emissions,45.825,43.343,44.51,Toole County,tas
2008,Historical Emissions,46.085,43.01,44.781,Toole County,tas
2009,Historical Emissions,45.206,43.066,44.167,Toole County,tas
2010,Historical Emissions,45.745,42.918,44.69,Toole County,tas
2011,Historical Emissions,46.878,43.875,44.435,Toole County,tas
2012,Historical Emissions,46.2,43.566,45.12,Toole County,tas
2013,Historical Emissions,46.759,42.987,44.458,Toole County,tas
2014,Historical Emissions,46.99,43.741,45.806,Toole County,tas
2015,"Moderating Emissions
(SSP1-2.6)",47.701,43.887,45.943,Toole County,tas
2015,"Middle of the Road
(SSP2-4.5)",47.227,42.551,44.196,Toole County,tas
2015,"High Emissions
(SSP3-7.0)",46.023,43.223,45.191,Toole County,tas
2015,"Accelerating Emissions
(SSP5-8.5)",45.819,43.696,45.067,Toole County,tas
2016,"Moderating Emissions
(SSP1-2.6)",47.419,43.437,45.791,Toole County,tas
2016,"Middle of the Road
(SSP2-4.5)",46.478,43.083,45.115,Toole County,tas
2016,"High Emissions
(SSP3-7.0)",48.568,43.028,45.153,Toole County,tas
2016,"Accelerating Emissions
(SSP5-8.5)",46.171,43.512,45.713,Toole County,tas
2017,"Moderating Emissions
(SSP1-2.6)",46.514,43.191,44.515,Toole County,tas
2017,"Middle of the Road
(SSP2-4.5)",47.745,43.502,45.001,Toole County,tas
2017,"High Emissions
(SSP3-7.0)",47.407,44.281,45.066,Toole County,tas
2017,"Accelerating Emissions
(SSP5-8.5)",46.984,44.16,46.006,Toole County,tas
2018,"Moderating Emissions
(SSP1-2.6)",46.241,43.949,45.015,Toole County,tas
2018,"Middle of the Road
(SSP2-4.5)",47.441,43.989,45,Toole County,tas
2018,"High Emissions
(SSP3-7.0)",47.597,42.603,45.281,Toole County,tas
2018,"Accelerating Emissions
(SSP5-8.5)",47.153,43.299,44.925,Toole County,tas
2019,"Moderating Emissions
(SSP1-2.6)",47.971,44.918,46.722,Toole County,tas
2019,"Middle of the Road
(SSP2-4.5)",46.485,42.474,44.39,Toole County,tas
2019,"High Emissions
(SSP3-7.0)",48.008,42.779,44.386,Toole County,tas
2019,"Accelerating Emissions
(SSP5-8.5)",48.143,44.926,46.08,Toole County,tas
2020,"Moderating Emissions
(SSP1-2.6)",48.758,43.801,45.628,Toole County,tas
2020,"Middle of the Road
(SSP2-4.5)",46.903,43.441,45.036,Toole County,tas
2020,"High Emissions
(SSP3-7.0)",46.791,43.563,45.571,Toole County,tas
2020,"Accelerating Emissions
(SSP5-8.5)",47.08,43.987,45.671,Toole County,tas
2021,"Moderating Emissions
(SSP1-2.6)",48.398,43.693,45.804,Toole County,tas
2021,"Middle of the Road
(SSP2-4.5)",47.41,44.705,45.863,Toole County,tas
2021,"High Emissions
(SSP3-7.0)",46.774,45.147,46.117,Toole County,tas
2021,"Accelerating Emissions
(SSP5-8.5)",47.11,43.671,45.93,Toole County,tas
2022,"Moderating Emissions
(SSP1-2.6)",47.37,44.063,45.278,Toole County,tas
2022,"Middle of the Road
(SSP2-4.5)",47.764,43.9,45.681,Toole County,tas
2022,"High Emissions
(SSP3-7.0)",46.95,44.493,45.447,Toole County,tas
2022,"Accelerating Emissions
(SSP5-8.5)",48.261,44.112,46.137,Toole County,tas
2023,"Moderating Emissions
(SSP1-2.6)",46.287,45.252,45.643,Toole County,tas
2023,"Middle of the Road
(SSP2-4.5)",47.857,44.74,45.939,Toole County,tas
2023,"High Emissions
(SSP3-7.0)",48.039,43.949,46.008,Toole County,tas
2023,"Accelerating Emissions
(SSP5-8.5)",45.988,42.564,44.02,Toole County,tas
2024,"Moderating Emissions
(SSP1-2.6)",47.643,44.535,45.634,Toole County,tas
2024,"Middle of the Road
(SSP2-4.5)",46.894,44.516,45.667,Toole County,tas
2024,"High Emissions
(SSP3-7.0)",49.198,44.309,45.076,Toole County,tas
2024,"Accelerating Emissions
(SSP5-8.5)",49.24,43.786,45.662,Toole County,tas
2025,"Moderating Emissions
(SSP1-2.6)",47.909,45.441,46.906,Toole County,tas
2025,"Middle of the Road
(SSP2-4.5)",47.811,43.326,45.24,Toole County,tas
2025,"High Emissions
(SSP3-7.0)",48.461,45.204,46.721,Toole County,tas
2025,"Accelerating Emissions
(SSP5-8.5)",48.952,45.249,46.527,Toole County,tas
2026,"Moderating Emissions
(SSP1-2.6)",47.698,44,45.011,Toole County,tas
2026,"Middle of the Road
(SSP2-4.5)",47.789,44.097,45.966,Toole County,tas
2026,"High Emissions
(SSP3-7.0)",48.042,42.186,46.26,Toole County,tas
2026,"Accelerating Emissions
(SSP5-8.5)",48.241,44.313,46.153,Toole County,tas
2027,"Moderating Emissions
(SSP1-2.6)",47.812,43.998,45.95,Toole County,tas
2027,"Middle of the Road
(SSP2-4.5)",48.133,44.377,46.783,Toole County,tas
2027,"High Emissions
(SSP3-7.0)",47.959,44.562,46.235,Toole County,tas
2027,"Accelerating Emissions
(SSP5-8.5)",47.879,44.769,46.204,Toole County,tas
2028,"Moderating Emissions
(SSP1-2.6)",47.475,44.785,46.651,Toole County,tas
2028,"Middle of the Road
(SSP2-4.5)",47.909,42.496,46.072,Toole County,tas
2028,"High Emissions
(SSP3-7.0)",47.449,45.405,46.075,Toole County,tas
2028,"Accelerating Emissions
(SSP5-8.5)",48.76,45.203,46.38,Toole County,tas
2029,"Moderating Emissions
(SSP1-2.6)",49.453,45.696,47.12,Toole County,tas
2029,"Middle of the Road
(SSP2-4.5)",48.764,44.183,46.637,Toole County,tas
2029,"High Emissions
(SSP3-7.0)",48.23,43.714,46.193,Toole County,tas
2029,"Accelerating Emissions
(SSP5-8.5)",47.326,45.612,46.131,Toole County,tas
2030,"Moderating Emissions
(SSP1-2.6)",49.195,44.698,45.154,Toole County,tas
2030,"Middle of the Road
(SSP2-4.5)",49.391,45.306,46.637,Toole County,tas
2030,"High Emissions
(SSP3-7.0)",48.67,44.265,46.315,Toole County,tas
2030,"Accelerating Emissions
(SSP5-8.5)",49.054,44.117,47.378,Toole County,tas
2031,"Moderating Emissions
(SSP1-2.6)",47.603,43.612,46.623,Toole County,tas
2031,"Middle of the Road
(SSP2-4.5)",48.965,44.465,46.734,Toole County,tas
2031,"High Emissions
(SSP3-7.0)",49.541,44.44,47.333,Toole County,tas
2031,"Accelerating Emissions
(SSP5-8.5)",49.796,46.12,47.679,Toole County,tas
2032,"Moderating Emissions
(SSP1-2.6)",48.131,44.576,46.122,Toole County,tas
2032,"Middle of the Road
(SSP2-4.5)",46.842,44.389,45.859,Toole County,tas
2032,"High Emissions
(SSP3-7.0)",48.964,44.517,45.679,Toole County,tas
2032,"Accelerating Emissions
(SSP5-8.5)",49.264,44.13,45.537,Toole County,tas
2033,"Moderating Emissions
(SSP1-2.6)",48.746,44.849,46.469,Toole County,tas
