scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Apr,Mid Century (2040-2069),49.419,40.604,44.766,Wibaux County,tas
Historical Emissions,Aug,Mid Century (2040-2069),75.95,67.58,72.103,Wibaux County,tas
Historical Emissions,Dec,Mid Century (2040-2069),27.6,10.942,19.838,Wibaux County,tas
Historical Emissions,Feb,Mid Century (2040-2069),30.387,14.143,22.914,Wibaux County,tas
Historical Emissions,Jan,Mid Century (2040-2069),24.249,7.473,17.476,Wibaux County,tas
Historical Emissions,Jul,Mid Century (2040-2069),77.207,68.998,73.136,Wibaux County,tas
Historical Emissions,Jun,Mid Century (2040-2069),70.068,61.546,65.757,Wibaux County,tas
Historical Emissions,Mar,Mid Century (2040-2069),38.204,25.832,33.274,Wibaux County,tas
Historical Emissions,May,Mid Century (2040-2069),60.871,52.064,56.072,Wibaux County,tas
Historical Emissions,Nov,Mid Century (2040-2069),37.164,25.096,32.139,Wibaux County,tas
Historical Emissions,Oct,Mid Century (2040-2069),52.766,41.669,47.583,Wibaux County,tas
Historical Emissions,Sep,Mid Century (2040-2069),66.185,56.332,61.264,Wibaux County,tas
Historical Emissions,Apr,End-of-Century (2070-2099),49.419,40.604,44.766,Wibaux County,tas
Historical Emissions,Aug,End-of-Century (2070-2099),75.95,67.58,72.103,Wibaux County,tas
Historical Emissions,Dec,End-of-Century (2070-2099),27.6,10.942,19.838,Wibaux County,tas
Historical Emissions,Feb,End-of-Century (2070-2099),30.387,14.143,22.914,Wibaux County,tas
Historical Emissions,Jan,End-of-Century (2070-2099),24.249,7.473,17.476,Wibaux County,tas
Historical Emissions,Jul,End-of-Century (2070-2099),77.207,68.998,73.136,Wibaux County,tas
Historical Emissions,Jun,End-of-Century (2070-2099),70.068,61.546,65.757,Wibaux County,tas
Historical Emissions,Mar,End-of-Century (2070-2099),38.204,25.832,33.274,Wibaux County,tas
Historical Emissions,May,End-of-Century (2070-2099),60.871,52.064,56.072,Wibaux County,tas
Historical Emissions,Nov,End-of-Century (2070-2099),37.164,25.096,32.139,Wibaux County,tas
Historical Emissions,Oct,End-of-Century (2070-2099),52.766,41.669,47.583,Wibaux County,tas
Historical Emissions,Sep,End-of-Century (2070-2099),66.185,56.332,61.264,Wibaux County,tas
"Moderating Emissions
(SSP1-2.6)",Apr,End-of-Century (2070-2099),51.902,42.792,47.611,Wibaux County,tas
"Moderating Emissions
(SSP1-2.6)",Apr,Mid Century (2040-2069),51.68,42.723,47.719,Wibaux County,tas
"Moderating Emissions
(SSP1-2.6)",Aug,End-of-Century (2070-2099),78.096,70.902,74.825,Wibaux County,tas
"Moderating Emissions
(SSP1-2.6)",Aug,Mid Century (2040-2069),79.079,71.502,75.009,Wibaux County,tas
"Moderating Emissions
(SSP1-2.6)",Dec,End-of-Century (2070-2099),30.839,11.283,22.437,Wibaux County,tas
"Moderating Emissions
(SSP1-2.6)",Dec,Mid Century (2040-2069),30.36,13.613,23.523,Wibaux County,tas
"Moderating Emissions
(SSP1-2.6)",Feb,End-of-Century (2070-2099),36.279,19.045,27.943,Wibaux County,tas
"Moderating Emissions
(SSP1-2.6)",Feb,Mid Century (2040-2069),33.188,16.886,25.994,Wibaux County,tas
"Moderating Emissions
(SSP1-2.6)",Jan,End-of-Century (2070-2099),30.718,13.106,20.8,Wibaux County,tas
"Moderating Emissions
(SSP1-2.6)",Jan,Mid Century (2040-2069),27.48,12.177,19.988,Wibaux County,tas
"Moderating Emissions
(SSP1-2.6)",Jul,End-of-Century (2070-2099),80.9,68.732,75.904,Wibaux County,tas
"Moderating Emissions
(SSP1-2.6)",Jul,Mid Century (2040-2069),80.352,72.071,75.771,Wibaux County,tas
"Moderating Emissions
(SSP1-2.6)",Jun,End-of-Century (2070-2099),71.858,64.232,67.742,Wibaux County,tas
"Moderating Emissions
(SSP1-2.6)",Jun,Mid Century (2040-2069),72.173,64.292,68.141,Wibaux County,tas
"Moderating Emissions
(SSP1-2.6)",Mar,End-of-Century (2070-2099),39.773,30.21,33.494,Wibaux County,tas
"Moderating Emissions
(SSP1-2.6)",Mar,Mid Century (2040-2069),41.396,28.878,35.542,Wibaux County,tas
"Moderating Emissions
(SSP1-2.6)",May,End-of-Century (2070-2099),63.368,53.711,59.478,Wibaux County,tas
"Moderating Emissions
(SSP1-2.6)",May,Mid Century (2040-2069),62.452,54.47,58.293,Wibaux County,tas
"Moderating Emissions
(SSP1-2.6)",Nov,End-of-Century (2070-2099),36.766,24.955,33.554,Wibaux County,tas
"Moderating Emissions
(SSP1-2.6)",Nov,Mid Century (2040-2069),38.939,28.232,33.923,Wibaux County,tas
"Moderating Emissions
(SSP1-2.6)",Oct,End-of-Century (2070-2099),52.916,46.099,48.854,Wibaux County,tas
"Moderating Emissions
(SSP1-2.6)",Oct,Mid Century (2040-2069),55.219,44.578,50.211,Wibaux County,tas
"Moderating Emissions
(SSP1-2.6)",Sep,End-of-Century (2070-2099),69.532,56.95,62.511,Wibaux County,tas
"Moderating Emissions
(SSP1-2.6)",Sep,Mid Century (2040-2069),69.248,59.429,63.983,Wibaux County,tas
"Middle of the Road
(SSP2-4.5)",Apr,End-of-Century (2070-2099),51.323,44.299,48.002,Wibaux County,tas
"Middle of the Road
(SSP2-4.5)",Apr,Mid Century (2040-2069),51.835,42.851,47.22,Wibaux County,tas
"Middle of the Road
(SSP2-4.5)",Aug,End-of-Century (2070-2099),84.956,75.17,77.884,Wibaux County,tas
"Middle of the Road
(SSP2-4.5)",Aug,Mid Century (2040-2069),80.32,71.74,75.921,Wibaux County,tas
"Middle of the Road
(SSP2-4.5)",Dec,End-of-Century (2070-2099),37.796,17.902,25.057,Wibaux County,tas
"Middle of the Road
(SSP2-4.5)",Dec,Mid Century (2040-2069),32.042,13.228,23.264,Wibaux County,tas
"Middle of the Road
(SSP2-4.5)",Feb,End-of-Century (2070-2099),34.292,21.566,29.955,Wibaux County,tas
"Middle of the Road
(SSP2-4.5)",Feb,Mid Century (2040-2069),33.513,17.12,26.123,Wibaux County,tas
"Middle of the Road
(SSP2-4.5)",Jan,End-of-Century (2070-2099),30.76,18.356,23.915,Wibaux County,tas
"Middle of the Road
(SSP2-4.5)",Jan,Mid Century (2040-2069),29.076,13.486,21.791,Wibaux County,tas
"Middle of the Road
(SSP2-4.5)",Jul,End-of-Century (2070-2099),83.889,74.199,79.259,Wibaux County,tas
"Middle of the Road
(SSP2-4.5)",Jul,Mid Century (2040-2069),81.333,72.462,76.932,Wibaux County,tas
"Middle of the Road
(SSP2-4.5)",Jun,End-of-Century (2070-2099),74.387,65.203,70.049,Wibaux County,tas
"Middle of the Road
(SSP2-4.5)",Jun,Mid Century (2040-2069),73.308,63.872,68.574,Wibaux County,tas
"Middle of the Road
(SSP2-4.5)",Mar,End-of-Century (2070-2099),41.735,33.012,37.305,Wibaux County,tas
"Middle of the Road
(SSP2-4.5)",Mar,Mid Century (2040-2069),40.434,29.485,35.356,Wibaux County,tas
"Middle of the Road
(SSP2-4.5)",May,End-of-Century (2070-2099),62.999,57.664,60.634,Wibaux County,tas
"Middle of the Road
(SSP2-4.5)",May,Mid Century (2040-2069),62.81,54.167,58.725,Wibaux County,tas
"Middle of the Road
(SSP2-4.5)",Nov,End-of-Century (2070-2099),41.624,29.438,35.928,Wibaux County,tas
"Middle of the Road
(SSP2-4.5)",Nov,Mid Century (2040-2069),40.296,27.488,34.878,Wibaux County,tas
"Middle of the Road
(SSP2-4.5)",Oct,End-of-Century (2070-2099),57.079,46.473,52.482,Wibaux County,tas
"Middle of the Road
(SSP2-4.5)",Oct,Mid Century (2040-2069),56.451,45.138,50.77,Wibaux County,tas
"Middle of the Road
(SSP2-4.5)",Sep,End-of-Century (2070-2099),71.299,61.347,66.614,Wibaux County,tas
"Middle of the Road
(SSP2-4.5)",Sep,Mid Century (2040-2069),70.353,60.2,64.601,Wibaux County,tas
"High Emissions
(SSP3-7.0)",Apr,End-of-Century (2070-2099),54.671,46.53,51.047,Wibaux County,tas
"High Emissions
(SSP3-7.0)",Apr,Mid Century (2040-2069),52.287,43.022,47.86,Wibaux County,tas
"High Emissions
(SSP3-7.0)",Aug,End-of-Century (2070-2099),88.786,79.744,84.902,Wibaux County,tas
"High Emissions
(SSP3-7.0)",Aug,Mid Century (2040-2069),81.848,72.998,76.923,Wibaux County,tas
"High Emissions
(SSP3-7.0)",Dec,End-of-Century (2070-2099),36.692,21.746,28.923,Wibaux County,tas
"High Emissions
(SSP3-7.0)",Dec,Mid Century (2040-2069),31.528,16.232,24.221,Wibaux County,tas
"High Emissions
(SSP3-7.0)",Feb,End-of-Century (2070-2099),38.832,21.954,28.963,Wibaux County,tas
"High Emissions
(SSP3-7.0)",Feb,Mid Century (2040-2069),33.846,18.195,26.898,Wibaux County,tas
