scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Apr,Mid Century (2040-2069),36.514,29.466,32.845,St. Marys,tas
Historical Emissions,Aug,Mid Century (2040-2069),60.348,53.298,56.552,St. Marys,tas
Historical Emissions,Dec,Mid Century (2040-2069),25.493,11.504,19.44,St. Marys,tas
Historical Emissions,Feb,Mid Century (2040-2069),27.715,14.263,21.85,St. Marys,tas
Historical Emissions,Jan,Mid Century (2040-2069),24.705,10.588,19.043,St. Marys,tas
Historical Emissions,Jul,Mid Century (2040-2069),60.456,53.075,56.7,St. Marys,tas
Historical Emissions,Jun,Mid Century (2040-2069),53.473,45.964,49.283,St. Marys,tas
Historical Emissions,Mar,Mid Century (2040-2069),30.33,20.097,26.152,St. Marys,tas
Historical Emissions,May,Mid Century (2040-2069),46.575,38.45,42.109,St. Marys,tas
Historical Emissions,Nov,Mid Century (2040-2069),31.817,20.245,26.507,St. Marys,tas
Historical Emissions,Oct,Mid Century (2040-2069),43.013,33.622,38.184,St. Marys,tas
Historical Emissions,Sep,Mid Century (2040-2069),53.449,44.594,48.915,St. Marys,tas
Historical Emissions,Apr,End-of-Century (2070-2099),36.514,29.466,32.845,St. Marys,tas
Historical Emissions,Aug,End-of-Century (2070-2099),60.348,53.298,56.552,St. Marys,tas
Historical Emissions,Dec,End-of-Century (2070-2099),25.493,11.504,19.44,St. Marys,tas
Historical Emissions,Feb,End-of-Century (2070-2099),27.715,14.263,21.85,St. Marys,tas
Historical Emissions,Jan,End-of-Century (2070-2099),24.705,10.588,19.043,St. Marys,tas
Historical Emissions,Jul,End-of-Century (2070-2099),60.456,53.075,56.7,St. Marys,tas
Historical Emissions,Jun,End-of-Century (2070-2099),53.473,45.964,49.283,St. Marys,tas
Historical Emissions,Mar,End-of-Century (2070-2099),30.33,20.097,26.152,St. Marys,tas
Historical Emissions,May,End-of-Century (2070-2099),46.575,38.45,42.109,St. Marys,tas
Historical Emissions,Nov,End-of-Century (2070-2099),31.817,20.245,26.507,St. Marys,tas
Historical Emissions,Oct,End-of-Century (2070-2099),43.013,33.622,38.184,St. Marys,tas
Historical Emissions,Sep,End-of-Century (2070-2099),53.449,44.594,48.915,St. Marys,tas
"Moderating Emissions
(SSP1-2.6)",Apr,End-of-Century (2070-2099),39.217,33.234,35.963,St. Marys,tas
"Moderating Emissions
(SSP1-2.6)",Apr,Mid Century (2040-2069),39.164,31.521,35.273,St. Marys,tas
"Moderating Emissions
(SSP1-2.6)",Aug,End-of-Century (2070-2099),63.746,56.343,59.649,St. Marys,tas
"Moderating Emissions
(SSP1-2.6)",Aug,Mid Century (2040-2069),63.398,56.085,59.972,St. Marys,tas
"Moderating Emissions
(SSP1-2.6)",Dec,End-of-Century (2070-2099),28.844,8.244,23.236,St. Marys,tas
"Moderating Emissions
(SSP1-2.6)",Dec,Mid Century (2040-2069),28.764,14.138,22.862,St. Marys,tas
"Moderating Emissions
(SSP1-2.6)",Feb,End-of-Century (2070-2099),31.892,20.096,25.871,St. Marys,tas
"Moderating Emissions
(SSP1-2.6)",Feb,Mid Century (2040-2069),30.463,17.063,24.649,St. Marys,tas
