scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Apr,Mid Century (2040-2069),47.168,39.208,42.993,Lodge,tas
Historical Emissions,Aug,Mid Century (2040-2069),73.371,65.094,69.338,Lodge,tas
Historical Emissions,Dec,Mid Century (2040-2069),25.833,8.028,17.723,Lodge,tas
Historical Emissions,Feb,Mid Century (2040-2069),29.635,12.601,21.688,Lodge,tas
Historical Emissions,Jan,Mid Century (2040-2069),23.473,5.445,16.031,Lodge,tas
Historical Emissions,Jul,Mid Century (2040-2069),74.911,66.1,70.439,Lodge,tas
Historical Emissions,Jun,Mid Century (2040-2069),67.392,58.736,62.748,Lodge,tas
Historical Emissions,Mar,Mid Century (2040-2069),36.271,24.037,32.048,Lodge,tas
Historical Emissions,May,Mid Century (2040-2069),58.336,49.931,54.035,Lodge,tas
Historical Emissions,Nov,Mid Century (2040-2069),35.041,22.589,29.677,Lodge,tas
Historical Emissions,Oct,Mid Century (2040-2069),50.862,40.042,45.371,Lodge,tas
Historical Emissions,Sep,Mid Century (2040-2069),63.603,54.041,59.077,Lodge,tas
Historical Emissions,Apr,End-of-Century (2070-2099),47.168,39.208,42.993,Lodge,tas
Historical Emissions,Aug,End-of-Century (2070-2099),73.371,65.094,69.338,Lodge,tas
Historical Emissions,Dec,End-of-Century (2070-2099),25.833,8.028,17.723,Lodge,tas
Historical Emissions,Feb,End-of-Century (2070-2099),29.635,12.601,21.688,Lodge,tas
Historical Emissions,Jan,End-of-Century (2070-2099),23.473,5.445,16.031,Lodge,tas
Historical Emissions,Jul,End-of-Century (2070-2099),74.911,66.1,70.439,Lodge,tas
Historical Emissions,Jun,End-of-Century (2070-2099),67.392,58.736,62.748,Lodge,tas
Historical Emissions,Mar,End-of-Century (2070-2099),36.271,24.037,32.048,Lodge,tas
Historical Emissions,May,End-of-Century (2070-2099),58.336,49.931,54.035,Lodge,tas
Historical Emissions,Nov,End-of-Century (2070-2099),35.041,22.589,29.677,Lodge,tas
Historical Emissions,Oct,End-of-Century (2070-2099),50.862,40.042,45.371,Lodge,tas
Historical Emissions,Sep,End-of-Century (2070-2099),63.603,54.041,59.077,Lodge,tas
"Moderating Emissions
(SSP1-2.6)",Apr,End-of-Century (2070-2099),48.899,42.903,46.116,Lodge,tas
"Moderating Emissions
(SSP1-2.6)",Apr,Mid Century (2040-2069),49.695,41.165,45.44,Lodge,tas
"Moderating Emissions
(SSP1-2.6)",Aug,End-of-Century (2070-2099),75.421,67.813,73.017,Lodge,tas
"Moderating Emissions
(SSP1-2.6)",Aug,Mid Century (2040-2069),76.209,68.317,72.429,Lodge,tas
"Moderating Emissions
(SSP1-2.6)",Dec,End-of-Century (2070-2099),29.887,6.701,21.113,Lodge,tas
"Moderating Emissions
(SSP1-2.6)",Dec,Mid Century (2040-2069),28.402,11.038,21.885,Lodge,tas
"Moderating Emissions
(SSP1-2.6)",Feb,End-of-Century (2070-2099),35.681,16.614,26.504,Lodge,tas
"Moderating Emissions
(SSP1-2.6)",Feb,Mid Century (2040-2069),31.389,15.054,24.915,Lodge,tas
"Moderating Emissions
(SSP1-2.6)",Jan,End-of-Century (2070-2099),29.259,11.189,16.903,Lodge,tas
"Moderating Emissions
(SSP1-2.6)",Jan,Mid Century (2040-2069),26.312,9.131,19.007,Lodge,tas
"Moderating Emissions
(SSP1-2.6)",Jul,End-of-Century (2070-2099),76.282,67.629,72.396,Lodge,tas
"Moderating Emissions
(SSP1-2.6)",Jul,Mid Century (2040-2069),77.238,68.656,72.845,Lodge,tas
"Moderating Emissions
(SSP1-2.6)",Jun,End-of-Century (2070-2099),68.642,60.393,64.384,Lodge,tas
"Moderating Emissions
(SSP1-2.6)",Jun,Mid Century (2040-2069),69.26,60.8,64.902,Lodge,tas
"Moderating Emissions
(SSP1-2.6)",Mar,End-of-Century (2070-2099),36.674,28.81,33.138,Lodge,tas
"Moderating Emissions
(SSP1-2.6)",Mar,Mid Century (2040-2069),39.895,26.831,33.851,Lodge,tas
"Moderating Emissions
(SSP1-2.6)",May,End-of-Century (2070-2099),61.968,53.155,56.76,Lodge,tas
"Moderating Emissions
(SSP1-2.6)",May,Mid Century (2040-2069),60.225,52.49,56.093,Lodge,tas
"Moderating Emissions
(SSP1-2.6)",Nov,End-of-Century (2070-2099),34.774,22.742,32.875,Lodge,tas
"Moderating Emissions
(SSP1-2.6)",Nov,Mid Century (2040-2069),37.075,26.127,32.201,Lodge,tas
"Moderating Emissions
(SSP1-2.6)",Oct,End-of-Century (2070-2099),49.959,44.518,46.993,Lodge,tas
"Moderating Emissions
(SSP1-2.6)",Oct,Mid Century (2040-2069),52.902,42.812,48.219,Lodge,tas
"Moderating Emissions
(SSP1-2.6)",Sep,End-of-Century (2070-2099),69.1,57.12,61.251,Lodge,tas
"Moderating Emissions
(SSP1-2.6)",Sep,Mid Century (2040-2069),66.856,57.668,61.818,Lodge,tas
"Middle of the Road
(SSP2-4.5)",Apr,End-of-Century (2070-2099),51.195,42.489,45.772,Lodge,tas
"Middle of the Road
(SSP2-4.5)",Apr,Mid Century (2040-2069),49.619,41.368,45.238,Lodge,tas
"Middle of the Road
(SSP2-4.5)",Aug,End-of-Century (2070-2099),80.662,70.402,75.907,Lodge,tas
"Middle of the Road
(SSP2-4.5)",Aug,Mid Century (2040-2069),77.861,68.591,73.097,Lodge,tas
"Middle of the Road
(SSP2-4.5)",Dec,End-of-Century (2070-2099),35.171,12.542,24.97,Lodge,tas
"Middle of the Road
(SSP2-4.5)",Dec,Mid Century (2040-2069),29.795,10.326,21.661,Lodge,tas
"Middle of the Road
(SSP2-4.5)",Feb,End-of-Century (2070-2099),34.803,17.808,27.816,Lodge,tas
"Middle of the Road
(SSP2-4.5)",Feb,Mid Century (2040-2069),32.503,15.902,24.67,Lodge,tas
"Middle of the Road
(SSP2-4.5)",Jan,End-of-Century (2070-2099),30.058,13.681,21.707,Lodge,tas
"Middle of the Road
(SSP2-4.5)",Jan,Mid Century (2040-2069),28.157,11.417,19.959,Lodge,tas
"Middle of the Road
(SSP2-4.5)",Jul,End-of-Century (2070-2099),79.815,71.662,78.104,Lodge,tas
"Middle of the Road
(SSP2-4.5)",Jul,Mid Century (2040-2069),78.736,69.698,73.735,Lodge,tas
"Middle of the Road
(SSP2-4.5)",Jun,End-of-Century (2070-2099),70.958,63.635,66.743,Lodge,tas
"Middle of the Road
(SSP2-4.5)",Jun,Mid Century (2040-2069),70.267,61.695,65.631,Lodge,tas
"Middle of the Road
(SSP2-4.5)",Mar,End-of-Century (2070-2099),39.583,31.34,35.749,Lodge,tas
"Middle of the Road
(SSP2-4.5)",Mar,Mid Century (2040-2069),39.157,28.402,33.732,Lodge,tas
"Middle of the Road
(SSP2-4.5)",May,End-of-Century (2070-2099),61.312,54.714,57.478,Lodge,tas
"Middle of the Road
(SSP2-4.5)",May,Mid Century (2040-2069),61.128,52.058,56.452,Lodge,tas
"Middle of the Road
(SSP2-4.5)",Nov,End-of-Century (2070-2099),38.931,27.987,34.65,Lodge,tas
"Middle of the Road
(SSP2-4.5)",Nov,Mid Century (2040-2069),38.226,25.069,32.983,Lodge,tas
"Middle of the Road
(SSP2-4.5)",Oct,End-of-Century (2070-2099),54.198,46.813,49.827,Lodge,tas
"Middle of the Road
(SSP2-4.5)",Oct,Mid Century (2040-2069),54.346,43.389,48.437,Lodge,tas
"Middle of the Road
(SSP2-4.5)",Sep,End-of-Century (2070-2099),67.997,59.722,64.262,Lodge,tas
"Middle of the Road
(SSP2-4.5)",Sep,Mid Century (2040-2069),67.724,57.636,62.588,Lodge,tas
"High Emissions
(SSP3-7.0)",Apr,End-of-Century (2070-2099),51.634,45.048,48.654,Lodge,tas
"High Emissions
(SSP3-7.0)",Apr,Mid Century (2040-2069),49.672,41.354,45.558,Lodge,tas
"High Emissions
(SSP3-7.0)",Aug,End-of-Century (2070-2099),86.968,76.227,81.932,Lodge,tas
"High Emissions
(SSP3-7.0)",Aug,Mid Century (2040-2069),78.477,69.895,74.43,Lodge,tas
"High Emissions
(SSP3-7.0)",Dec,End-of-Century (2070-2099),35.3,21.516,27.306,Lodge,tas
"High Emissions
(SSP3-7.0)",Dec,Mid Century (2040-2069),29.866,12.79,22.745,Lodge,tas
"High Emissions
(SSP3-7.0)",Feb,End-of-Century (2070-2099),34.779,21.412,27.91,Lodge,tas
"High Emissions
(SSP3-7.0)",Feb,Mid Century (2040-2069),32.98,15.983,25.252,Lodge,tas
"High Emissions
(SSP3-7.0)",Jan,End-of-Century (2070-2099),30.752,12.077,24.187,Lodge,tas
"High Emissions
(SSP3-7.0)",Jan,Mid Century (2040-2069),27.252,10.502,19.799,Lodge,tas
"High Emissions
(SSP3-7.0)",Jul,End-of-Century (2070-2099),85.13,77.775,81.171,Lodge,tas
"High Emissions
(SSP3-7.0)",Jul,Mid Century (2040-2069),79.535,70.134,74.289,Lodge,tas
"High Emissions
(SSP3-7.0)",Jun,End-of-Century (2070-2099),76.107,66.957,70.41,Lodge,tas
"High Emissions
(SSP3-7.0)",Jun,Mid Century (2040-2069),71.118,62.032,65.997,Lodge,tas
"High Emissions
(SSP3-7.0)",Mar,End-of-Century (2070-2099),42.706,32.833,37.393,Lodge,tas
"High Emissions
(SSP3-7.0)",Mar,Mid Century (2040-2069),39.866,28.505,34.135,Lodge,tas
"High Emissions
(SSP3-7.0)",May,End-of-Century (2070-2099),63.681,57.702,59.213,Lodge,tas
"High Emissions
(SSP3-7.0)",May,Mid Century (2040-2069),60.719,52.714,56.336,Lodge,tas
"High Emissions
(SSP3-7.0)",Nov,End-of-Century (2070-2099),41.533,28.976,36.128,Lodge,tas
"High Emissions
(SSP3-7.0)",Nov,Mid Century (2040-2069),37.841,25.569,33.298,Lodge,tas
"High Emissions
(SSP3-7.0)",Oct,End-of-Century (2070-2099),58.35,48.545,52.628,Lodge,tas
"High Emissions
(SSP3-7.0)",Oct,Mid Century (2040-2069),54.205,43.944,49.047,Lodge,tas
"High Emissions
(SSP3-7.0)",Sep,End-of-Century (2070-2099),77.049,66.046,69.174,Lodge,tas
"High Emissions
(SSP3-7.0)",Sep,Mid Century (2040-2069),68.692,58.675,63.274,Lodge,tas
"Accelerating Emissions
(SSP5-8.5)",Apr,End-of-Century (2070-2099),52.822,47.347,50.695,Lodge,tas
"Accelerating Emissions
(SSP5-8.5)",Apr,Mid Century (2040-2069),50.42,42.462,46.039,Lodge,tas
"Accelerating Emissions
(SSP5-8.5)",Aug,End-of-Century (2070-2099),91.237,80.421,84.453,Lodge,tas
"Accelerating Emissions
(SSP5-8.5)",Aug,Mid Century (2040-2069),80.687,70.754,75.838,Lodge,tas
"Accelerating Emissions
(SSP5-8.5)",Dec,End-of-Century (2070-2099),33.949,23.944,28.326,Lodge,tas
"Accelerating Emissions
(SSP5-8.5)",Dec,Mid Century (2040-2069),30.528,14.753,23.932,Lodge,tas
"Accelerating Emissions
(SSP5-8.5)",Feb,End-of-Century (2070-2099),39.512,24.316,31.995,Lodge,tas
"Accelerating Emissions
(SSP5-8.5)",Feb,Mid Century (2040-2069),33.382,16.155,26.001,Lodge,tas
"Accelerating Emissions
(SSP5-8.5)",Jan,End-of-Century (2070-2099),33.389,15.235,26.051,Lodge,tas
"Accelerating Emissions
(SSP5-8.5)",Jan,Mid Century (2040-2069),28.419,9.501,20.201,Lodge,tas
"Accelerating Emissions
(SSP5-8.5)",Jul,End-of-Century (2070-2099),91.656,78.081,84.103,Lodge,tas
"Accelerating Emissions
(SSP5-8.5)",Jul,Mid Century (2040-2069),80.823,70.958,75.447,Lodge,tas
"Accelerating Emissions
(SSP5-8.5)",Jun,End-of-Century (2070-2099),78.179,68.59,73.711,Lodge,tas
"Accelerating Emissions
(SSP5-8.5)",Jun,Mid Century (2040-2069),72.142,62.64,67.158,Lodge,tas
"Accelerating Emissions
(SSP5-8.5)",Mar,End-of-Century (2070-2099),44.082,36.375,39.586,Lodge,tas
"Accelerating Emissions
(SSP5-8.5)",Mar,Mid Century (2040-2069),39.901,28.989,35.123,Lodge,tas
"Accelerating Emissions
(SSP5-8.5)",May,End-of-Century (2070-2099),67.548,57.583,61.646,Lodge,tas
"Accelerating Emissions
(SSP5-8.5)",May,Mid Century (2040-2069),62.256,53.375,57.553,Lodge,tas
"Accelerating Emissions
(SSP5-8.5)",Nov,End-of-Century (2070-2099),44.745,27.687,40.203,Lodge,tas
"Accelerating Emissions
(SSP5-8.5)",Nov,Mid Century (2040-2069),38.809,26.627,34.209,Lodge,tas
"Accelerating Emissions
(SSP5-8.5)",Oct,End-of-Century (2070-2099),61.801,49.04,56.899,Lodge,tas
"Accelerating Emissions
(SSP5-8.5)",Oct,Mid Century (2040-2069),55.247,44.066,49.823,Lodge,tas
"Accelerating Emissions
(SSP5-8.5)",Sep,End-of-Century (2070-2099),79.683,66.349,73.029,Lodge,tas
"Accelerating Emissions
(SSP5-8.5)",Sep,Mid Century (2040-2069),70.312,59.689,64.566,Lodge,tas
