year,scenario,upper,lower,value,location,variable
1950,Historical Emissions,44.728,41.924,42.886,Lower Milk,tas
1951,Historical Emissions,44.618,41.094,43.165,Lower Milk,tas
1952,Historical Emissions,45.178,40.833,43.231,Lower Milk,tas
1953,Historical Emissions,43.924,39.989,42.901,Lower Milk,tas
1954,Historical Emissions,45.347,38.984,42.393,Lower Milk,tas
1955,Historical Emissions,46.173,41.284,43.033,Lower Milk,tas
1956,Historical Emissions,46.05,42.28,43.116,Lower Milk,tas
1957,Historical Emissions,47.005,41.898,43.894,Lower Milk,tas
1958,Historical Emissions,45.031,40.867,42.791,Lower Milk,tas
1959,Historical Emissions,43.002,39.537,41.875,Lower Milk,tas
1960,Historical Emissions,44.752,39.373,42.495,Lower Milk,tas
1961,Historical Emissions,44.851,41.061,43.394,Lower Milk,tas
1962,Historical Emissions,43.283,40.035,41.683,Lower Milk,tas
1963,Historical Emissions,42.683,41.467,41.894,Lower Milk,tas
1964,Historical Emissions,44.299,40.637,43.742,Lower Milk,tas
1965,Historical Emissions,43.478,41.36,42.133,Lower Milk,tas
1966,Historical Emissions,45.664,40.436,41.96,Lower Milk,tas
1967,Historical Emissions,43.438,40.404,42.723,Lower Milk,tas
1968,Historical Emissions,42.474,39.043,41.29,Lower Milk,tas
1969,Historical Emissions,43.761,40.336,43.064,Lower Milk,tas
1970,Historical Emissions,44.68,41.234,43.057,Lower Milk,tas
1971,Historical Emissions,46.202,42.862,43.872,Lower Milk,tas
1972,Historical Emissions,43.701,41.374,42.913,Lower Milk,tas
1973,Historical Emissions,44.555,40.45,42.51,Lower Milk,tas
1974,Historical Emissions,45.159,40.954,43.681,Lower Milk,tas
1975,Historical Emissions,44.278,39.475,43.449,Lower Milk,tas
1976,Historical Emissions,43.471,40.14,42.436,Lower Milk,tas
1977,Historical Emissions,44.817,41.869,43.823,Lower Milk,tas
1978,Historical Emissions,45.092,40.706,42.311,Lower Milk,tas
1979,Historical Emissions,45.886,41.568,44.537,Lower Milk,tas
1980,Historical Emissions,44.08,41.467,42.239,Lower Milk,tas
1981,Historical Emissions,44.918,42.259,43.229,Lower Milk,tas
1982,Historical Emissions,44.203,41.997,43.066,Lower Milk,tas
1983,Historical Emissions,44.918,40.934,42.588,Lower Milk,tas
1984,Historical Emissions,45.325,41.435,43.083,Lower Milk,tas
1985,Historical Emissions,45.376,41.819,43.917,Lower Milk,tas
1986,Historical Emissions,42.591,40.641,42.077,Lower Milk,tas
1987,Historical Emissions,44.43,38.88,41.303,Lower Milk,tas
1988,Historical Emissions,44.295,40.535,42.919,Lower Milk,tas
1989,Historical Emissions,45.098,41.412,43.23,Lower Milk,tas
1990,Historical Emissions,46.976,42.272,44.048,Lower Milk,tas
1991,Historical Emissions,45.201,41.137,42.359,Lower Milk,tas
1992,Historical Emissions,45.368,41.231,42.295,Lower Milk,tas
1993,Historical Emissions,45.012,41.2,42.76,Lower Milk,tas
1994,Historical Emissions,45.751,42.349,43.229,Lower Milk,tas
1995,Historical Emissions,46.468,41.892,42.578,Lower Milk,tas
1996,Historical Emissions,45.973,42.904,43.934,Lower Milk,tas
1997,Historical Emissions,46.757,41.775,43.603,Lower Milk,tas
1998,Historical Emissions,45.11,41.057,43.273,Lower Milk,tas
