year,scenario,upper,lower,value,location,variable
1950,Historical Emissions,44.64,42.055,43.033,Lower Clark Fork,tas
1951,Historical Emissions,43.858,41.461,43.324,Lower Clark Fork,tas
1952,Historical Emissions,43.581,40.637,42.534,Lower Clark Fork,tas
1953,Historical Emissions,43.294,41.677,42.797,Lower Clark Fork,tas
1954,Historical Emissions,45.188,40.973,41.538,Lower Clark Fork,tas
1955,Historical Emissions,43.88,40.764,43.133,Lower Clark Fork,tas
1956,Historical Emissions,44.399,40.677,42.934,Lower Clark Fork,tas
1957,Historical Emissions,44.317,41.287,43.585,Lower Clark Fork,tas
1958,Historical Emissions,43.891,41.212,42.772,Lower Clark Fork,tas
1959,Historical Emissions,43.164,41.012,41.974,Lower Clark Fork,tas
1960,Historical Emissions,43.853,40.171,41.545,Lower Clark Fork,tas
1961,Historical Emissions,44.129,41.563,42.559,Lower Clark Fork,tas
1962,Historical Emissions,42.628,40.29,41.693,Lower Clark Fork,tas
1963,Historical Emissions,43.32,41.19,41.949,Lower Clark Fork,tas
1964,Historical Emissions,43.693,41.195,42.216,Lower Clark Fork,tas
1965,Historical Emissions,43.085,41.354,42.11,Lower Clark Fork,tas
1966,Historical Emissions,44.443,41.617,42.492,Lower Clark Fork,tas
1967,Historical Emissions,43.511,40.914,42.265,Lower Clark Fork,tas
1968,Historical Emissions,43.575,39.157,42.39,Lower Clark Fork,tas
1969,Historical Emissions,43.259,40.818,42.568,Lower Clark Fork,tas
1970,Historical Emissions,44.308,41.75,42.719,Lower Clark Fork,tas
1971,Historical Emissions,45.438,40.608,44.041,Lower Clark Fork,tas
1972,Historical Emissions,43.971,40.87,42.446,Lower Clark Fork,tas
1973,Historical Emissions,43.608,41.198,42.872,Lower Clark Fork,tas
1974,Historical Emissions,44.522,40.548,42.843,Lower Clark Fork,tas
1975,Historical Emissions,43.617,40.408,43.112,Lower Clark Fork,tas
1976,Historical Emissions,43.634,40.819,42.647,Lower Clark Fork,tas
1977,Historical Emissions,44.513,42.443,43.257,Lower Clark Fork,tas
1978,Historical Emissions,44.938,41.262,42.61,Lower Clark Fork,tas
1979,Historical Emissions,44.803,42.304,42.663,Lower Clark Fork,tas
1980,Historical Emissions,42.715,41.699,42.387,Lower Clark Fork,tas
1981,Historical Emissions,44.06,41.99,43.119,Lower Clark Fork,tas
1982,Historical Emissions,44.639,42.064,42.833,Lower Clark Fork,tas
