scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Apr,Mid Century (2040-2069),47.902,40.974,44.296,Flathead,tas
Historical Emissions,Aug,Mid Century (2040-2069),70.726,63.663,67.197,Flathead,tas
Historical Emissions,Dec,Mid Century (2040-2069),31.715,19.791,26.691,Flathead,tas
Historical Emissions,Feb,Mid Century (2040-2069),36.119,25.1,31.266,Flathead,tas
Historical Emissions,Jan,Mid Century (2040-2069),31.596,19.519,26.917,Flathead,tas
Historical Emissions,Jul,Mid Century (2040-2069),71.553,64.114,67.898,Flathead,tas
Historical Emissions,Jun,Mid Century (2040-2069),64.527,56.413,60.402,Flathead,tas
Historical Emissions,Mar,Mid Century (2040-2069),41.328,32.27,37.372,Flathead,tas
Historical Emissions,May,Mid Century (2040-2069),58.147,49.079,53.077,Flathead,tas
Historical Emissions,Nov,Mid Century (2040-2069),39.019,29.097,34.132,Flathead,tas
Historical Emissions,Oct,Mid Century (2040-2069),50.959,41.607,46.18,Flathead,tas
Historical Emissions,Sep,Mid Century (2040-2069),62.711,53.923,58.019,Flathead,tas
Historical Emissions,Apr,End-of-Century (2070-2099),47.902,40.974,44.296,Flathead,tas
Historical Emissions,Aug,End-of-Century (2070-2099),70.726,63.663,67.197,Flathead,tas
Historical Emissions,Dec,End-of-Century (2070-2099),31.715,19.791,26.691,Flathead,tas
Historical Emissions,Feb,End-of-Century (2070-2099),36.119,25.1,31.266,Flathead,tas
Historical Emissions,Jan,End-of-Century (2070-2099),31.596,19.519,26.917,Flathead,tas
Historical Emissions,Jul,End-of-Century (2070-2099),71.553,64.114,67.898,Flathead,tas
Historical Emissions,Jun,End-of-Century (2070-2099),64.527,56.413,60.402,Flathead,tas
Historical Emissions,Mar,End-of-Century (2070-2099),41.328,32.27,37.372,Flathead,tas
Historical Emissions,May,End-of-Century (2070-2099),58.147,49.079,53.077,Flathead,tas
Historical Emissions,Nov,End-of-Century (2070-2099),39.019,29.097,34.132,Flathead,tas
Historical Emissions,Oct,End-of-Century (2070-2099),50.959,41.607,46.18,Flathead,tas
Historical Emissions,Sep,End-of-Century (2070-2099),62.711,53.923,58.019,Flathead,tas
"Moderating Emissions
(SSP1-2.6)",Apr,End-of-Century (2070-2099),51.337,43.625,47.362,Flathead,tas
"Moderating Emissions
(SSP1-2.6)",Apr,Mid Century (2040-2069),51.022,42.992,46.856,Flathead,tas
"Moderating Emissions
(SSP1-2.6)",Aug,End-of-Century (2070-2099),74.079,66.727,70.084,Flathead,tas
"Moderating Emissions
(SSP1-2.6)",Aug,Mid Century (2040-2069),73.625,66.633,70.178,Flathead,tas
"Moderating Emissions
(SSP1-2.6)",Dec,End-of-Century (2070-2099),35.037,17.198,28.38,Flathead,tas
"Moderating Emissions
(SSP1-2.6)",Dec,Mid Century (2040-2069),34.602,21.991,29.709,Flathead,tas
"Moderating Emissions
(SSP1-2.6)",Feb,End-of-Century (2070-2099),38.854,29.995,33.908,Flathead,tas
"Moderating Emissions
(SSP1-2.6)",Feb,Mid Century (2040-2069),38.567,27.608,33.94,Flathead,tas
"Moderating Emissions
(SSP1-2.6)",Jan,End-of-Century (2070-2099),34.917,23.273,30.704,Flathead,tas
"Moderating Emissions
(SSP1-2.6)",Jan,Mid Century (2040-2069),33.755,23.096,28.519,Flathead,tas
"Moderating Emissions
(SSP1-2.6)",Jul,End-of-Century (2070-2099),74.322,66.889,69.237,Flathead,tas
"Moderating Emissions
(SSP1-2.6)",Jul,Mid Century (2040-2069),73.581,66.936,70.31,Flathead,tas
