scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Apr,Mid Century (2040-2069),58.599,47.247,52.218,Dillon,tasmax
Historical Emissions,Aug,Mid Century (2040-2069),84.777,76.605,81.142,Dillon,tasmax
Historical Emissions,Dec,Mid Century (2040-2069),38.13,28.71,33.813,Dillon,tasmax
Historical Emissions,Feb,Mid Century (2040-2069),42.197,33.835,38.465,Dillon,tasmax
Historical Emissions,Jan,Mid Century (2040-2069),38.452,29.184,34.268,Dillon,tasmax
Historical Emissions,Jul,Mid Century (2040-2069),86.377,77.634,82.31,Dillon,tasmax
Historical Emissions,Jun,Mid Century (2040-2069),77.892,67.356,72.727,Dillon,tasmax
Historical Emissions,Mar,Mid Century (2040-2069),48.667,40.16,44,Dillon,tasmax
Historical Emissions,May,Mid Century (2040-2069),69.733,57.486,63.467,Dillon,tasmax
Historical Emissions,Nov,Mid Century (2040-2069),46.577,36.962,41.388,Dillon,tasmax
Historical Emissions,Oct,Mid Century (2040-2069),65.246,51.241,57.977,Dillon,tasmax
Historical Emissions,Sep,Mid Century (2040-2069),76.94,66.728,71.604,Dillon,tasmax
Historical Emissions,Apr,End-of-Century (2070-2099),58.599,47.247,52.218,Dillon,tasmax
Historical Emissions,Aug,End-of-Century (2070-2099),84.777,76.605,81.142,Dillon,tasmax
Historical Emissions,Dec,End-of-Century (2070-2099),38.13,28.71,33.813,Dillon,tasmax
Historical Emissions,Feb,End-of-Century (2070-2099),42.197,33.835,38.465,Dillon,tasmax
Historical Emissions,Jan,End-of-Century (2070-2099),38.452,29.184,34.268,Dillon,tasmax
Historical Emissions,Jul,End-of-Century (2070-2099),86.377,77.634,82.31,Dillon,tasmax
Historical Emissions,Jun,End-of-Century (2070-2099),77.892,67.356,72.727,Dillon,tasmax
Historical Emissions,Mar,End-of-Century (2070-2099),48.667,40.16,44,Dillon,tasmax
Historical Emissions,May,End-of-Century (2070-2099),69.733,57.486,63.467,Dillon,tasmax
Historical Emissions,Nov,End-of-Century (2070-2099),46.577,36.962,41.388,Dillon,tasmax
Historical Emissions,Oct,End-of-Century (2070-2099),65.246,51.241,57.977,Dillon,tasmax
Historical Emissions,Sep,End-of-Century (2070-2099),76.94,66.728,71.604,Dillon,tasmax
"Moderating Emissions
(SSP1-2.6)",Apr,End-of-Century (2070-2099),61.28,50.541,56.705,Dillon,tasmax
"Moderating Emissions
(SSP1-2.6)",Apr,Mid Century (2040-2069),62.501,49.857,55.945,Dillon,tasmax
"Moderating Emissions
(SSP1-2.6)",Aug,End-of-Century (2070-2099),87.544,79.737,84.721,Dillon,tasmax
"Moderating Emissions
(SSP1-2.6)",Aug,Mid Century (2040-2069),87.745,80.201,83.975,Dillon,tasmax
"Moderating Emissions
(SSP1-2.6)",Dec,End-of-Century (2070-2099),39.919,27.095,35.407,Dillon,tasmax
"Moderating Emissions
(SSP1-2.6)",Dec,Mid Century (2040-2069),41.191,31.557,36.17,Dillon,tasmax
"Moderating Emissions
(SSP1-2.6)",Feb,End-of-Century (2070-2099),45.4,37.267,39.878,Dillon,tasmax
"Moderating Emissions
(SSP1-2.6)",Feb,Mid Century (2040-2069),44.082,36.001,40.585,Dillon,tasmax
"Moderating Emissions
(SSP1-2.6)",Jan,End-of-Century (2070-2099),42.095,32.599,38.26,Dillon,tasmax
"Moderating Emissions
(SSP1-2.6)",Jan,Mid Century (2040-2069),40.368,31.689,35.883,Dillon,tasmax
"Moderating Emissions
(SSP1-2.6)",Jul,End-of-Century (2070-2099),89.15,78.882,84.621,Dillon,tasmax
"Moderating Emissions
(SSP1-2.6)",Jul,Mid Century (2040-2069),89.288,80.646,84.519,Dillon,tasmax
"Moderating Emissions
(SSP1-2.6)",Jun,End-of-Century (2070-2099),79.15,69.745,73.793,Dillon,tasmax
"Moderating Emissions
(SSP1-2.6)",Jun,Mid Century (2040-2069),80.639,69.621,74.824,Dillon,tasmax
"Moderating Emissions
(SSP1-2.6)",Mar,End-of-Century (2070-2099),48.55,42.13,45.909,Dillon,tasmax
"Moderating Emissions
(SSP1-2.6)",Mar,Mid Century (2040-2069),51.503,41.859,46.89,Dillon,tasmax
"Moderating Emissions
(SSP1-2.6)",May,End-of-Century (2070-2099),71.397,60.659,65.984,Dillon,tasmax
"Moderating Emissions
(SSP1-2.6)",May,Mid Century (2040-2069),70.971,60.452,65.825,Dillon,tasmax
"Moderating Emissions
(SSP1-2.6)",Nov,End-of-Century (2070-2099),48.235,38.368,43.811,Dillon,tasmax
"Moderating Emissions
(SSP1-2.6)",Nov,Mid Century (2040-2069),49.137,39.548,44.668,Dillon,tasmax
"Moderating Emissions
(SSP1-2.6)",Oct,End-of-Century (2070-2099),64.788,54.15,58.866,Dillon,tasmax
"Moderating Emissions
(SSP1-2.6)",Oct,Mid Century (2040-2069),67.597,54.328,61.143,Dillon,tasmax
"Moderating Emissions
(SSP1-2.6)",Sep,End-of-Century (2070-2099),79.075,70.29,74.699,Dillon,tasmax
"Moderating Emissions
(SSP1-2.6)",Sep,Mid Century (2040-2069),80.311,69.967,74.88,Dillon,tasmax
"Middle of the Road
(SSP2-4.5)",Apr,End-of-Century (2070-2099),66.098,51.845,54.59,Dillon,tasmax
"Middle of the Road
(SSP2-4.5)",Apr,Mid Century (2040-2069),62.408,50.615,55.19,Dillon,tasmax
"Middle of the Road
(SSP2-4.5)",Aug,End-of-Century (2070-2099),91.175,81.45,85.558,Dillon,tasmax
"Middle of the Road
(SSP2-4.5)",Aug,Mid Century (2040-2069),89.367,80.074,84.762,Dillon,tasmax
"Middle of the Road
(SSP2-4.5)",Dec,End-of-Century (2070-2099),44.936,34.469,38.696,Dillon,tasmax
"Middle of the Road
(SSP2-4.5)",Dec,Mid Century (2040-2069),40.485,31.575,36.569,Dillon,tasmax
