year,scenario,upper,lower,value,location,variable
1950,Historical Emissions,55.995,53.572,54.419,Dillon,tasmax
1951,Historical Emissions,56.273,52.929,54.667,Dillon,tasmax
1952,Historical Emissions,55.419,51.935,53.928,Dillon,tasmax
1953,Historical Emissions,55.951,52.483,54.345,Dillon,tasmax
1954,Historical Emissions,56.6,51.467,53.585,Dillon,tasmax
1955,Historical Emissions,56.825,52.735,53.774,Dillon,tasmax
1956,Historical Emissions,55.555,53.018,55.083,Dillon,tasmax
1957,Historical Emissions,56.803,52.014,53.709,Dillon,tasmax
1958,Historical Emissions,55.425,52.624,53.447,Dillon,tasmax
1959,Historical Emissions,54.57,51.602,53.539,Dillon,tasmax
1960,Historical Emissions,54.997,51.874,53.201,Dillon,tasmax
1961,Historical Emissions,55.916,51.909,54.926,Dillon,tasmax
1962,Historical Emissions,54.445,51.382,52.948,Dillon,tasmax
1963,Historical Emissions,54.258,51.948,53.04,Dillon,tasmax
1964,Historical Emissions,54.358,51.818,52.803,Dillon,tasmax
1965,Historical Emissions,54.219,52.426,53.472,Dillon,tasmax
1966,Historical Emissions,55.559,52.109,53.052,Dillon,tasmax
1967,Historical Emissions,54.451,52.737,54.016,Dillon,tasmax
1968,Historical Emissions,54.441,50.953,52.253,Dillon,tasmax
1969,Historical Emissions,54.399,51.786,53.271,Dillon,tasmax
1970,Historical Emissions,54.597,53.062,53.809,Dillon,tasmax
1971,Historical Emissions,56.689,51.873,54.599,Dillon,tasmax
1972,Historical Emissions,55.065,52.673,53.86,Dillon,tasmax
1973,Historical Emissions,55.236,52.357,53.967,Dillon,tasmax
1974,Historical Emissions,55.487,51.149,53.708,Dillon,tasmax
1975,Historical Emissions,55.695,51.839,54.215,Dillon,tasmax
1976,Historical Emissions,54.77,52.248,53.642,Dillon,tasmax
1977,Historical Emissions,56.192,53.277,53.753,Dillon,tasmax
1978,Historical Emissions,55.422,52.576,53.552,Dillon,tasmax
1979,Historical Emissions,56.44,52.927,54.984,Dillon,tasmax
1980,Historical Emissions,55.578,52.207,53.368,Dillon,tasmax
1981,Historical Emissions,56.43,52.676,54.333,Dillon,tasmax
1982,Historical Emissions,55.778,53.122,54.339,Dillon,tasmax
1983,Historical Emissions,54.821,52.587,53.724,Dillon,tasmax
1984,Historical Emissions,55.168,52.934,54.526,Dillon,tasmax
1985,Historical Emissions,54.989,53.034,54.625,Dillon,tasmax
1986,Historical Emissions,54.348,52.461,52.972,Dillon,tasmax
1987,Historical Emissions,54.498,52.344,53.644,Dillon,tasmax
1988,Historical Emissions,54.977,52.594,54.145,Dillon,tasmax
1989,Historical Emissions,55.564,52.859,54.065,Dillon,tasmax
1990,Historical Emissions,57.266,53.148,55.573,Dillon,tasmax
1991,Historical Emissions,56.295,52.642,53.671,Dillon,tasmax
1992,Historical Emissions,54.729,52.783,53.28,Dillon,tasmax
1993,Historical Emissions,55.526,52.175,54.474,Dillon,tasmax
1994,Historical Emissions,56.605,52.781,54.1,Dillon,tasmax
1995,Historical Emissions,56.021,52.939,53.843,Dillon,tasmax
1996,Historical Emissions,57.564,55.141,55.902,Dillon,tasmax
1997,Historical Emissions,56.462,52.217,53.843,Dillon,tasmax
1998,Historical Emissions,57.635,52.992,54.651,Dillon,tasmax
1999,Historical Emissions,56.59,53.575,55.052,Dillon,tasmax
2000,Historical Emissions,56.255,53.13,54.483,Dillon,tasmax
2001,Historical Emissions,56.677,53.908,55.448,Dillon,tasmax
2002,Historical Emissions,58.976,54.266,55.842,Dillon,tasmax
2003,Historical Emissions,57.361,55.049,56.537,Dillon,tasmax
2004,Historical Emissions,57.736,55.844,56.043,Dillon,tasmax
2005,Historical Emissions,59.108,54.91,57.181,Dillon,tasmax
2006,Historical Emissions,57.504,54.265,55.295,Dillon,tasmax
2007,Historical Emissions,56.927,54.22,55.795,Dillon,tasmax
2008,Historical Emissions,56.901,55.246,55.754,Dillon,tasmax
2009,Historical Emissions,56.941,54.256,55.722,Dillon,tasmax
2010,Historical Emissions,57.489,54.318,56.383,Dillon,tasmax
2011,Historical Emissions,57.727,54.561,55.584,Dillon,tasmax
2012,Historical Emissions,56.9,54.747,56.577,Dillon,tasmax
2013,Historical Emissions,58.181,54.939,56.83,Dillon,tasmax
2014,Historical Emissions,58.09,55.583,56.801,Dillon,tasmax
2015,"Moderating Emissions
(SSP1-2.6)",58.687,56.337,56.94,Dillon,tasmax
2015,"Middle of the Road
(SSP2-4.5)",57.749,55.354,55.889,Dillon,tasmax
2015,"High Emissions
(SSP3-7.0)",58.432,54.154,56.505,Dillon,tasmax
2015,"Accelerating Emissions
(SSP5-8.5)",57.131,54.963,56.502,Dillon,tasmax
2016,"Moderating Emissions
(SSP1-2.6)",59.081,56.359,56.694,Dillon,tasmax
2016,"Middle of the Road
(SSP2-4.5)",58.23,54.607,55.58,Dillon,tasmax
2016,"High Emissions
(SSP3-7.0)",58.963,55.541,57.271,Dillon,tasmax
2016,"Accelerating Emissions
(SSP5-8.5)",58.503,55.571,56.598,Dillon,tasmax
2017,"Moderating Emissions
(SSP1-2.6)",57.961,54.932,56.07,Dillon,tasmax
2017,"Middle of the Road
(SSP2-4.5)",58.949,54.733,57.167,Dillon,tasmax
2017,"High Emissions
(SSP3-7.0)",57.55,56.251,56.98,Dillon,tasmax
2017,"Accelerating Emissions
(SSP5-8.5)",59.142,55.337,57.022,Dillon,tasmax
2018,"Moderating Emissions
(SSP1-2.6)",57.625,55.361,55.711,Dillon,tasmax
2018,"Middle of the Road
(SSP2-4.5)",58.368,55.159,56.97,Dillon,tasmax
2018,"High Emissions
(SSP3-7.0)",58.222,54.201,56.492,Dillon,tasmax
2018,"Accelerating Emissions
(SSP5-8.5)",57.065,56.122,56.399,Dillon,tasmax
2019,"Moderating Emissions
(SSP1-2.6)",59.912,56.165,58.134,Dillon,tasmax
2019,"Middle of the Road
(SSP2-4.5)",58.877,53.717,55.815,Dillon,tasmax
2019,"High Emissions
(SSP3-7.0)",58.967,55.125,56.842,Dillon,tasmax
2019,"Accelerating Emissions
(SSP5-8.5)",59.531,55.637,56.476,Dillon,tasmax
2020,"Moderating Emissions
(SSP1-2.6)",58.961,55.941,57.078,Dillon,tasmax
2020,"Middle of the Road
(SSP2-4.5)",57.797,55.013,56.871,Dillon,tasmax
2020,"High Emissions
(SSP3-7.0)",58.11,55.213,56.603,Dillon,tasmax
2020,"Accelerating Emissions
(SSP5-8.5)",58.365,55.002,55.755,Dillon,tasmax
2021,"Moderating Emissions
(SSP1-2.6)",59.033,55.989,56.984,Dillon,tasmax
2021,"Middle of the Road
(SSP2-4.5)",58.737,55.265,57.704,Dillon,tasmax
2021,"High Emissions
(SSP3-7.0)",58.996,56.37,56.959,Dillon,tasmax
2021,"Accelerating Emissions
(SSP5-8.5)",58.254,56.554,56.857,Dillon,tasmax
2022,"Moderating Emissions
(SSP1-2.6)",59.086,55.669,56.805,Dillon,tasmax
2022,"Middle of the Road
(SSP2-4.5)",58.977,55.804,56.967,Dillon,tasmax
2022,"High Emissions
(SSP3-7.0)",58.197,55.34,56.094,Dillon,tasmax
2022,"Accelerating Emissions
(SSP5-8.5)",59.995,56.053,57.002,Dillon,tasmax
2023,"Moderating Emissions
(SSP1-2.6)",58.194,56.024,57.339,Dillon,tasmax
2023,"Middle of the Road
(SSP2-4.5)",59.476,55.462,56.893,Dillon,tasmax
