year,scenario,upper,lower,value,location,variable
1950,Historical Emissions,57.449,53.775,55.061,Malta,tasmax
1951,Historical Emissions,56.198,53.256,55.301,Malta,tasmax
1952,Historical Emissions,56.264,52.233,54.334,Malta,tasmax
1953,Historical Emissions,55.648,52.079,54.186,Malta,tasmax
1954,Historical Emissions,56.669,51.235,54.039,Malta,tasmax
1955,Historical Emissions,57.667,52.269,53.54,Malta,tasmax
1956,Historical Emissions,57.943,53.055,54.635,Malta,tasmax
1957,Historical Emissions,58.511,52.577,55.161,Malta,tasmax
1958,Historical Emissions,55.665,52.342,53.845,Malta,tasmax
1959,Historical Emissions,54.541,50.664,52.96,Malta,tasmax
1960,Historical Emissions,56.268,51.165,53.325,Malta,tasmax
1961,Historical Emissions,56.574,52.256,54.879,Malta,tasmax
1962,Historical Emissions,54.519,50.931,53.053,Malta,tasmax
1963,Historical Emissions,53.892,51.766,53.095,Malta,tasmax
1964,Historical Emissions,55.764,51.922,55.296,Malta,tasmax
1965,Historical Emissions,55.131,52.705,54.177,Malta,tasmax
1966,Historical Emissions,57.55,51.87,53.501,Malta,tasmax
1967,Historical Emissions,55.134,51.775,53.97,Malta,tasmax
1968,Historical Emissions,54.333,50.271,52.377,Malta,tasmax
1969,Historical Emissions,55.083,51.993,54.386,Malta,tasmax
1970,Historical Emissions,55.749,52.328,54.221,Malta,tasmax
1971,Historical Emissions,57.494,53.232,55.757,Malta,tasmax
1972,Historical Emissions,55.16,52.298,54.207,Malta,tasmax
1973,Historical Emissions,56.086,51.318,53.417,Malta,tasmax
1974,Historical Emissions,55.959,51.258,55.102,Malta,tasmax
1975,Historical Emissions,55.594,51.571,54.538,Malta,tasmax
1976,Historical Emissions,55.295,52.222,53.912,Malta,tasmax
1977,Historical Emissions,56.229,53.082,54.821,Malta,tasmax
1978,Historical Emissions,56.382,52.269,53.768,Malta,tasmax
1979,Historical Emissions,57.003,52.686,55.453,Malta,tasmax
1980,Historical Emissions,55.346,52.427,53.455,Malta,tasmax
1981,Historical Emissions,56.742,53.067,54.332,Malta,tasmax
1982,Historical Emissions,55.818,53.428,54.407,Malta,tasmax
1983,Historical Emissions,55.699,52.533,53.519,Malta,tasmax
1984,Historical Emissions,56.794,52.99,53.87,Malta,tasmax
1985,Historical Emissions,56.347,52.943,54.547,Malta,tasmax
1986,Historical Emissions,53.879,51.655,52.621,Malta,tasmax
1987,Historical Emissions,56.046,50.391,52.334,Malta,tasmax
1988,Historical Emissions,55.95,51.871,54.24,Malta,tasmax
1989,Historical Emissions,56.653,52.728,54.336,Malta,tasmax
1990,Historical Emissions,58.58,52.654,54.957,Malta,tasmax
1991,Historical Emissions,56.607,51.892,53.69,Malta,tasmax
1992,Historical Emissions,56.752,52.332,53.415,Malta,tasmax
1993,Historical Emissions,56.026,52.338,53.896,Malta,tasmax
1994,Historical Emissions,57.269,52.988,53.969,Malta,tasmax
1995,Historical Emissions,57.734,53.199,53.82,Malta,tasmax
1996,Historical Emissions,57.767,54.807,55.993,Malta,tasmax
1997,Historical Emissions,58.124,51.791,54.59,Malta,tasmax
1998,Historical Emissions,56.471,52.44,54.35,Malta,tasmax
1999,Historical Emissions,57.008,53.958,55.094,Malta,tasmax
2000,Historical Emissions,56.549,53.366,54.909,Malta,tasmax
2001,Historical Emissions,56.644,53.833,54.733,Malta,tasmax
2002,Historical Emissions,59.008,53.282,54.592,Malta,tasmax
2003,Historical Emissions,57.864,54.052,55.49,Malta,tasmax
2004,Historical Emissions,57.471,55.428,56.356,Malta,tasmax
2005,Historical Emissions,59.267,54.825,56.638,Malta,tasmax
2006,Historical Emissions,57.579,52.97,55.163,Malta,tasmax
2007,Historical Emissions,57.296,54.717,56.223,Malta,tasmax
2008,Historical Emissions,57.117,53.958,55.997,Malta,tasmax
2009,Historical Emissions,56.672,54.016,55.563,Malta,tasmax
2010,Historical Emissions,57.327,54.519,56.424,Malta,tasmax
2011,Historical Emissions,57.787,54.803,55.772,Malta,tasmax
2012,Historical Emissions,57.962,54.203,56.664,Malta,tasmax
2013,Historical Emissions,58.832,54.724,56.164,Malta,tasmax
2014,Historical Emissions,58.888,55.149,56.559,Malta,tasmax
2015,"Moderating Emissions
(SSP1-2.6)",59.935,55.137,57.121,Malta,tasmax
2015,"Middle of the Road
(SSP2-4.5)",59.328,53.618,55.915,Malta,tasmax
2015,"High Emissions
(SSP3-7.0)",58.253,54.921,56.421,Malta,tasmax
2015,"Accelerating Emissions
(SSP5-8.5)",58.393,55.311,56.055,Malta,tasmax
2016,"Moderating Emissions
(SSP1-2.6)",58.932,55.544,57.447,Malta,tasmax
2016,"Middle of the Road
(SSP2-4.5)",58.105,54.436,56.434,Malta,tasmax
2016,"High Emissions
(SSP3-7.0)",60.264,54.66,57.391,Malta,tasmax
2016,"Accelerating Emissions
(SSP5-8.5)",58.373,55.016,57.311,Malta,tasmax
2017,"Moderating Emissions
(SSP1-2.6)",57.4,55.316,55.899,Malta,tasmax
2017,"Middle of the Road
(SSP2-4.5)",59.083,54.289,56.367,Malta,tasmax
2017,"High Emissions
(SSP3-7.0)",58.223,54.519,56.465,Malta,tasmax
2017,"Accelerating Emissions
(SSP5-8.5)",59.24,55.734,57.408,Malta,tasmax
2018,"Moderating Emissions
(SSP1-2.6)",57.788,54.85,56.213,Malta,tasmax
2018,"Middle of the Road
(SSP2-4.5)",59.013,55.127,56.153,Malta,tasmax
2018,"High Emissions
(SSP3-7.0)",58.673,53.268,56.733,Malta,tasmax
2018,"Accelerating Emissions
(SSP5-8.5)",57.745,54.757,56.584,Malta,tasmax
2019,"Moderating Emissions
(SSP1-2.6)",60.069,56.71,58.677,Malta,tasmax
2019,"Middle of the Road
(SSP2-4.5)",58.098,53.905,55.935,Malta,tasmax
2019,"High Emissions
(SSP3-7.0)",59.766,54.084,55.506,Malta,tasmax
2019,"Accelerating Emissions
(SSP5-8.5)",61.594,56.062,57.831,Malta,tasmax
2020,"Moderating Emissions
(SSP1-2.6)",61.298,54.614,56.715,Malta,tasmax
2020,"Middle of the Road
(SSP2-4.5)",58.204,55.111,56.427,Malta,tasmax
2020,"High Emissions
(SSP3-7.0)",57.991,54.398,56.811,Malta,tasmax
2020,"Accelerating Emissions
(SSP5-8.5)",58.707,55.356,57.159,Malta,tasmax
2021,"Moderating Emissions
(SSP1-2.6)",60.001,55.938,57.595,Malta,tasmax
2021,"Middle of the Road
(SSP2-4.5)",59.579,55.395,57.584,Malta,tasmax
2021,"High Emissions
(SSP3-7.0)",59.155,56.011,57.728,Malta,tasmax
2021,"Accelerating Emissions
(SSP5-8.5)",58.795,56.247,57.114,Malta,tasmax
2022,"Moderating Emissions
(SSP1-2.6)",59.335,55.148,56.894,Malta,tasmax
2022,"Middle of the Road
(SSP2-4.5)",59.424,55.198,57.647,Malta,tasmax
2022,"High Emissions
(SSP3-7.0)",58.25,54.952,56.283,Malta,tasmax
2022,"Accelerating Emissions
(SSP5-8.5)",60.116,55.278,57.624,Malta,tasmax
2023,"Moderating Emissions
(SSP1-2.6)",57.798,56.171,57.032,Malta,tasmax
2023,"Middle of the Road
(SSP2-4.5)",59.016,55.517,57.13,Malta,tasmax
2023,"High Emissions
(SSP3-7.0)",59.54,55.088,56.852,Malta,tasmax
2023,"Accelerating Emissions
(SSP5-8.5)",57.352,54.097,55.424,Malta,tasmax
2024,"Moderating Emissions
(SSP1-2.6)",58.894,56.091,57.48,Malta,tasmax
2024,"Middle of the Road
(SSP2-4.5)",58.716,55.238,56.982,Malta,tasmax
2024,"High Emissions
(SSP3-7.0)",60.122,55.714,57.445,Malta,tasmax
2024,"Accelerating Emissions
(SSP5-8.5)",60.146,54.533,57.36,Malta,tasmax
2025,"Moderating Emissions
(SSP1-2.6)",59.385,57.111,58.467,Malta,tasmax
2025,"Middle of the Road
(SSP2-4.5)",59.448,53.766,56.136,Malta,tasmax
2025,"High Emissions
(SSP3-7.0)",59.946,56.865,58.055,Malta,tasmax
2025,"Accelerating Emissions
(SSP5-8.5)",60.036,57.07,57.557,Malta,tasmax
2026,"Moderating Emissions
(SSP1-2.6)",59.787,55.011,57.709,Malta,tasmax
2026,"Middle of the Road
(SSP2-4.5)",59.749,55.221,57.65,Malta,tasmax
2026,"High Emissions
(SSP3-7.0)",59.046,53.836,57.019,Malta,tasmax
2026,"Accelerating Emissions
(SSP5-8.5)",60.144,55.531,56.737,Malta,tasmax
2027,"Moderating Emissions
(SSP1-2.6)",59.327,54.753,56.741,Malta,tasmax
2027,"Middle of the Road
(SSP2-4.5)",59.824,54.995,58.116,Malta,tasmax
2027,"High Emissions
(SSP3-7.0)",59.855,55.119,57.128,Malta,tasmax
2027,"Accelerating Emissions
(SSP5-8.5)",59.931,55.499,58.561,Malta,tasmax
2028,"Moderating Emissions
(SSP1-2.6)",58.921,55.405,57.768,Malta,tasmax
2028,"Middle of the Road
(SSP2-4.5)",57.992,53.878,56.499,Malta,tasmax
2028,"High Emissions
(SSP3-7.0)",58.641,56.545,58.139,Malta,tasmax
2028,"Accelerating Emissions
(SSP5-8.5)",60.118,56.356,56.784,Malta,tasmax
2029,"Moderating Emissions
(SSP1-2.6)",61.346,57.337,58.391,Malta,tasmax
2029,"Middle of the Road
(SSP2-4.5)",59.449,55.15,57.006,Malta,tasmax
2029,"High Emissions
(SSP3-7.0)",59.661,54.821,56.567,Malta,tasmax
2029,"Accelerating Emissions
(SSP5-8.5)",59.383,56.549,57.592,Malta,tasmax
2030,"Moderating Emissions
(SSP1-2.6)",60.197,55.73,56.867,Malta,tasmax
2030,"Middle of the Road
(SSP2-4.5)",61.033,56.768,58.747,Malta,tasmax
