scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Apr,Mid Century (2040-2069),61.591,51.037,56.205,Blaine County,tasmax
Historical Emissions,Aug,Mid Century (2040-2069),89.897,79.512,84.698,Blaine County,tasmax
Historical Emissions,Dec,Mid Century (2040-2069),35.761,21.048,28.594,Blaine County,tasmax
Historical Emissions,Feb,Mid Century (2040-2069),40.113,24.474,32.381,Blaine County,tasmax
Historical Emissions,Jan,Mid Century (2040-2069),33.207,17.149,27.429,Blaine County,tasmax
Historical Emissions,Jul,Mid Century (2040-2069),91.042,79.969,85.627,Blaine County,tasmax
Historical Emissions,Jun,Mid Century (2040-2069),83.004,70.534,76.478,Blaine County,tasmax
Historical Emissions,Mar,Mid Century (2040-2069),49.316,35.389,43.418,Blaine County,tasmax
Historical Emissions,May,Mid Century (2040-2069),74.039,61.917,67.791,Blaine County,tasmax
Historical Emissions,Nov,Mid Century (2040-2069),46.31,33.167,40.408,Blaine County,tasmax
Historical Emissions,Oct,Mid Century (2040-2069),65.828,50.499,58.896,Blaine County,tasmax
Historical Emissions,Sep,Mid Century (2040-2069),80.884,67.348,74.065,Blaine County,tasmax
Historical Emissions,Apr,End-of-Century (2070-2099),61.591,51.037,56.205,Blaine County,tasmax
Historical Emissions,Aug,End-of-Century (2070-2099),89.897,79.512,84.698,Blaine County,tasmax
Historical Emissions,Dec,End-of-Century (2070-2099),35.761,21.048,28.594,Blaine County,tasmax
Historical Emissions,Feb,End-of-Century (2070-2099),40.113,24.474,32.381,Blaine County,tasmax
Historical Emissions,Jan,End-of-Century (2070-2099),33.207,17.149,27.429,Blaine County,tasmax
Historical Emissions,Jul,End-of-Century (2070-2099),91.042,79.969,85.627,Blaine County,tasmax
Historical Emissions,Jun,End-of-Century (2070-2099),83.004,70.534,76.478,Blaine County,tasmax
Historical Emissions,Mar,End-of-Century (2070-2099),49.316,35.389,43.418,Blaine County,tasmax
Historical Emissions,May,End-of-Century (2070-2099),74.039,61.917,67.791,Blaine County,tasmax
Historical Emissions,Nov,End-of-Century (2070-2099),46.31,33.167,40.408,Blaine County,tasmax
Historical Emissions,Oct,End-of-Century (2070-2099),65.828,50.499,58.896,Blaine County,tasmax
Historical Emissions,Sep,End-of-Century (2070-2099),80.884,67.348,74.065,Blaine County,tasmax
"Moderating Emissions
(SSP1-2.6)",Apr,End-of-Century (2070-2099),63.635,53.434,58.905,Blaine County,tasmax
