scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Apr,Mid Century (2040-2069),60.08,49.239,53.806,Powell County,tasmax
Historical Emissions,Aug,Mid Century (2040-2069),86.984,78.089,82.651,Powell County,tasmax
Historical Emissions,Dec,Mid Century (2040-2069),39.137,28.912,34.769,Powell County,tasmax
Historical Emissions,Feb,Mid Century (2040-2069),43.933,34.567,39.616,Powell County,tasmax
Historical Emissions,Jan,Mid Century (2040-2069),39.289,29.166,34.812,Powell County,tasmax
Historical Emissions,Jul,Mid Century (2040-2069),87.572,78.303,83.203,Powell County,tasmax
Historical Emissions,Jun,Mid Century (2040-2069),78.213,67.976,72.956,Powell County,tasmax
Historical Emissions,Mar,Mid Century (2040-2069),50.867,41.393,45.754,Powell County,tasmax
Historical Emissions,May,Mid Century (2040-2069),70.575,58.794,64.322,Powell County,tasmax
Historical Emissions,Nov,Mid Century (2040-2069),47.752,37.823,42.402,Powell County,tasmax
Historical Emissions,Oct,Mid Century (2040-2069),65.602,52.047,58.878,Powell County,tasmax
Historical Emissions,Sep,Mid Century (2040-2069),78.91,67.024,72.655,Powell County,tasmax
Historical Emissions,Apr,End-of-Century (2070-2099),60.08,49.239,53.806,Powell County,tasmax
Historical Emissions,Aug,End-of-Century (2070-2099),86.984,78.089,82.651,Powell County,tasmax
Historical Emissions,Dec,End-of-Century (2070-2099),39.137,28.912,34.769,Powell County,tasmax
Historical Emissions,Feb,End-of-Century (2070-2099),43.933,34.567,39.616,Powell County,tasmax
Historical Emissions,Jan,End-of-Century (2070-2099),39.289,29.166,34.812,Powell County,tasmax
Historical Emissions,Jul,End-of-Century (2070-2099),87.572,78.303,83.203,Powell County,tasmax
Historical Emissions,Jun,End-of-Century (2070-2099),78.213,67.976,72.956,Powell County,tasmax
Historical Emissions,Mar,End-of-Century (2070-2099),50.867,41.393,45.754,Powell County,tasmax
Historical Emissions,May,End-of-Century (2070-2099),70.575,58.794,64.322,Powell County,tasmax
Historical Emissions,Nov,End-of-Century (2070-2099),47.752,37.823,42.402,Powell County,tasmax
Historical Emissions,Oct,End-of-Century (2070-2099),65.602,52.047,58.878,Powell County,tasmax
Historical Emissions,Sep,End-of-Century (2070-2099),78.91,67.024,72.655,Powell County,tasmax
"Moderating Emissions
(SSP1-2.6)",Apr,End-of-Century (2070-2099),62.673,52.95,57.149,Powell County,tasmax
"Moderating Emissions
(SSP1-2.6)",Apr,Mid Century (2040-2069),62.987,51.439,57.228,Powell County,tasmax
"Moderating Emissions
(SSP1-2.6)",Aug,End-of-Century (2070-2099),89.816,79.941,86.993,Powell County,tasmax
"Moderating Emissions
(SSP1-2.6)",Aug,Mid Century (2040-2069),89.833,81.181,85.426,Powell County,tasmax
"Moderating Emissions
(SSP1-2.6)",Dec,End-of-Century (2070-2099),41.509,24.87,36.267,Powell County,tasmax
"Moderating Emissions
(SSP1-2.6)",Dec,Mid Century (2040-2069),42.117,31.455,36.966,Powell County,tasmax
"Moderating Emissions
(SSP1-2.6)",Feb,End-of-Century (2070-2099),47.617,38.63,41.036,Powell County,tasmax
"Moderating Emissions
(SSP1-2.6)",Feb,Mid Century (2040-2069),46.194,36.794,42.226,Powell County,tasmax
"Moderating Emissions
(SSP1-2.6)",Jan,End-of-Century (2070-2099),43.512,33.577,38.202,Powell County,tasmax
"Moderating Emissions
(SSP1-2.6)",Jan,Mid Century (2040-2069),40.805,31.849,36.765,Powell County,tasmax
"Moderating Emissions
(SSP1-2.6)",Jul,End-of-Century (2070-2099),89.592,80.172,85.635,Powell County,tasmax
"Moderating Emissions
(SSP1-2.6)",Jul,Mid Century (2040-2069),90.218,81.087,85.511,Powell County,tasmax
