year,scenario,upper,lower,value,location,variable
1950,Historical Emissions,57.65,54.15,55.06,Sanders County,tasmax
1951,Historical Emissions,56.473,53.642,55.384,Sanders County,tasmax
1952,Historical Emissions,55.684,52.855,55.205,Sanders County,tasmax
1953,Historical Emissions,55.651,54.055,55.037,Sanders County,tasmax
1954,Historical Emissions,57.478,52.429,53.899,Sanders County,tasmax
1955,Historical Emissions,56.579,52.549,54.855,Sanders County,tasmax
1956,Historical Emissions,56.564,52.381,55.316,Sanders County,tasmax
1957,Historical Emissions,56.836,52.767,54.734,Sanders County,tasmax
1958,Historical Emissions,55.984,53.154,54.553,Sanders County,tasmax
1959,Historical Emissions,55.123,52.975,53.743,Sanders County,tasmax
1960,Historical Emissions,55.883,52.401,53.822,Sanders County,tasmax
1961,Historical Emissions,56.498,53.027,54.663,Sanders County,tasmax
1962,Historical Emissions,54.794,52.016,53.73,Sanders County,tasmax
1963,Historical Emissions,55.632,52.82,53.639,Sanders County,tasmax
1964,Historical Emissions,55.934,52.914,54.502,Sanders County,tasmax
1965,Historical Emissions,55.175,53.365,54.295,Sanders County,tasmax
1966,Historical Emissions,56.406,52.93,54.212,Sanders County,tasmax
1967,Historical Emissions,55.563,53.276,54.464,Sanders County,tasmax
1968,Historical Emissions,55.422,50.575,54.226,Sanders County,tasmax
1969,Historical Emissions,55.579,52.859,54.286,Sanders County,tasmax
1970,Historical Emissions,56.387,53,54.311,Sanders County,tasmax
1971,Historical Emissions,57.956,52.465,55.871,Sanders County,tasmax
1972,Historical Emissions,56.001,52.869,54.576,Sanders County,tasmax
1973,Historical Emissions,55.949,53.043,54.627,Sanders County,tasmax
1974,Historical Emissions,56.324,52.154,55.26,Sanders County,tasmax
1975,Historical Emissions,55.701,52.819,54.784,Sanders County,tasmax
1976,Historical Emissions,55.863,53.127,54.905,Sanders County,tasmax
1977,Historical Emissions,56.584,53.808,55.157,Sanders County,tasmax
1978,Historical Emissions,56.192,53.363,54.339,Sanders County,tasmax
1979,Historical Emissions,57.129,53.783,54.651,Sanders County,tasmax
1980,Historical Emissions,55.132,53.067,54.78,Sanders County,tasmax
1981,Historical Emissions,56.288,53.797,54.731,Sanders County,tasmax
1982,Historical Emissions,56.363,54.051,54.878,Sanders County,tasmax
1983,Historical Emissions,56.061,52.961,54.464,Sanders County,tasmax
1984,Historical Emissions,55.875,53.476,54.804,Sanders County,tasmax
1985,Historical Emissions,56.204,54.044,54.696,Sanders County,tasmax
1986,Historical Emissions,55.638,52.613,54.127,Sanders County,tasmax
1987,Historical Emissions,56.445,52.398,54.748,Sanders County,tasmax
1988,Historical Emissions,55.978,53.367,54.67,Sanders County,tasmax
1989,Historical Emissions,56.256,53.754,55.386,Sanders County,tasmax
1990,Historical Emissions,58.96,53.708,55.081,Sanders County,tasmax
1991,Historical Emissions,57.371,52.616,55.361,Sanders County,tasmax
1992,Historical Emissions,55.97,53.28,54,Sanders County,tasmax
1993,Historical Emissions,56.78,53.082,54.868,Sanders County,tasmax
1994,Historical Emissions,57.423,54.06,54.896,Sanders County,tasmax
1995,Historical Emissions,56.179,53.48,54.661,Sanders County,tasmax
1996,Historical Emissions,58.863,55.934,56.315,Sanders County,tasmax
1997,Historical Emissions,57.193,52.785,55.617,Sanders County,tasmax
1998,Historical Emissions,57.729,53.656,55.799,Sanders County,tasmax
1999,Historical Emissions,57.022,53.663,55.88,Sanders County,tasmax
2000,Historical Emissions,56.843,54.234,55.855,Sanders County,tasmax
2001,Historical Emissions,57.574,54.605,55.824,Sanders County,tasmax
2002,Historical Emissions,59.041,54.227,55.527,Sanders County,tasmax
2003,Historical Emissions,58.338,55.932,56.801,Sanders County,tasmax
2004,Historical Emissions,57.959,55.967,56.807,Sanders County,tasmax
2005,Historical Emissions,59.615,55.421,58.173,Sanders County,tasmax
2006,Historical Emissions,57.733,54.434,55.651,Sanders County,tasmax
2007,Historical Emissions,57.899,55.532,56.579,Sanders County,tasmax
2008,Historical Emissions,58.441,55.031,56.862,Sanders County,tasmax
2009,Historical Emissions,57.77,55.243,56.235,Sanders County,tasmax
2010,Historical Emissions,57.89,55.511,56.601,Sanders County,tasmax
2011,Historical Emissions,58.696,55.367,56.298,Sanders County,tasmax
2012,Historical Emissions,58.644,55.343,57.388,Sanders County,tasmax
2013,Historical Emissions,59.014,55.617,57.182,Sanders County,tasmax
2014,Historical Emissions,58.193,55.695,56.811,Sanders County,tasmax
2015,"Moderating Emissions
(SSP1-2.6)",59.867,56.017,57.88,Sanders County,tasmax
2015,"Middle of the Road
(SSP2-4.5)",58.758,54.666,57.118,Sanders County,tasmax
