year,scenario,upper,lower,value,location,variable
1950,Historical Emissions,58.876,55.264,56.855,Marias,tasmax
1951,Historical Emissions,57.722,55.042,56.818,Marias,tasmax
1952,Historical Emissions,57.585,53.993,55.493,Marias,tasmax
1953,Historical Emissions,57.066,54.389,55.373,Marias,tasmax
1954,Historical Emissions,58.35,52.778,55.305,Marias,tasmax
1955,Historical Emissions,58.794,53.953,55.41,Marias,tasmax
1956,Historical Emissions,58.641,54.678,56.247,Marias,tasmax
1957,Historical Emissions,58.947,54.051,56.463,Marias,tasmax
1958,Historical Emissions,56.994,53.887,55.666,Marias,tasmax
1959,Historical Emissions,55.87,52.62,54.682,Marias,tasmax
1960,Historical Emissions,57.569,53.084,54.871,Marias,tasmax
1961,Historical Emissions,57.607,53.777,56.015,Marias,tasmax
1962,Historical Emissions,56.098,52.804,54.752,Marias,tasmax
1963,Historical Emissions,55.525,53.689,54.654,Marias,tasmax
1964,Historical Emissions,57.546,53.59,56.125,Marias,tasmax
1965,Historical Emissions,56.601,54.241,55.83,Marias,tasmax
1966,Historical Emissions,58.662,53.818,54.804,Marias,tasmax
1967,Historical Emissions,56.665,54.144,55.406,Marias,tasmax
1968,Historical Emissions,56.178,51.886,54.416,Marias,tasmax
1969,Historical Emissions,56.58,53.774,55.932,Marias,tasmax
1970,Historical Emissions,56.889,54.326,55.885,Marias,tasmax
1971,Historical Emissions,58.999,54.686,57.216,Marias,tasmax
1972,Historical Emissions,56.605,53.997,55.502,Marias,tasmax
1973,Historical Emissions,57.13,53.341,55.347,Marias,tasmax
1974,Historical Emissions,57.471,52.876,56.061,Marias,tasmax
1975,Historical Emissions,57.04,53.264,56.391,Marias,tasmax
1976,Historical Emissions,56.804,54.196,55.105,Marias,tasmax
1977,Historical Emissions,57.73,54.736,56.646,Marias,tasmax
1978,Historical Emissions,58.007,53.607,55.286,Marias,tasmax
1979,Historical Emissions,58.378,53.966,56.487,Marias,tasmax
1980,Historical Emissions,57.069,54.131,55.43,Marias,tasmax
1981,Historical Emissions,58.399,54.833,55.959,Marias,tasmax
1982,Historical Emissions,57.565,55.203,56.274,Marias,tasmax
1983,Historical Emissions,57.305,54.435,55.088,Marias,tasmax
1984,Historical Emissions,57.449,54.272,55.797,Marias,tasmax
1985,Historical Emissions,57.254,54.504,56.1,Marias,tasmax
1986,Historical Emissions,55.597,53.369,54.356,Marias,tasmax
1987,Historical Emissions,57.437,52.414,54.587,Marias,tasmax
1988,Historical Emissions,57.481,53.717,55.914,Marias,tasmax
1989,Historical Emissions,57.916,54.906,56.264,Marias,tasmax
1990,Historical Emissions,59.866,54.635,56.701,Marias,tasmax
1991,Historical Emissions,58.256,53.336,55.553,Marias,tasmax
1992,Historical Emissions,57.933,53.904,54.633,Marias,tasmax
1993,Historical Emissions,57.478,54.028,55.679,Marias,tasmax
