scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Apr,Mid Century (2040-2069),59.145,49.113,53.762,Willow,tasmax
Historical Emissions,Aug,Mid Century (2040-2069),86.697,76.572,81.657,Willow,tasmax
Historical Emissions,Dec,Mid Century (2040-2069),39.724,26.021,33.386,Willow,tasmax
Historical Emissions,Feb,Mid Century (2040-2069),42.753,28.8,36.169,Willow,tasmax
Historical Emissions,Jan,Mid Century (2040-2069),37.239,22.223,31.757,Willow,tasmax
Historical Emissions,Jul,Mid Century (2040-2069),86.942,76.947,81.734,Willow,tasmax
Historical Emissions,Jun,Mid Century (2040-2069),77.681,67.541,72.135,Willow,tasmax
Historical Emissions,Mar,Mid Century (2040-2069),49.256,36.877,43.817,Willow,tasmax
Historical Emissions,May,Mid Century (2040-2069),70.162,59.067,64.369,Willow,tasmax
Historical Emissions,Nov,Mid Century (2040-2069),48.191,35.971,42.797,Willow,tasmax
Historical Emissions,Oct,Mid Century (2040-2069),65.341,51.094,58.49,Willow,tasmax
Historical Emissions,Sep,Mid Century (2040-2069),78.304,65.723,71.567,Willow,tasmax
Historical Emissions,Apr,End-of-Century (2070-2099),59.145,49.113,53.762,Willow,tasmax
Historical Emissions,Aug,End-of-Century (2070-2099),86.697,76.572,81.657,Willow,tasmax
Historical Emissions,Dec,End-of-Century (2070-2099),39.724,26.021,33.386,Willow,tasmax
Historical Emissions,Feb,End-of-Century (2070-2099),42.753,28.8,36.169,Willow,tasmax
Historical Emissions,Jan,End-of-Century (2070-2099),37.239,22.223,31.757,Willow,tasmax
Historical Emissions,Jul,End-of-Century (2070-2099),86.942,76.947,81.734,Willow,tasmax
Historical Emissions,Jun,End-of-Century (2070-2099),77.681,67.541,72.135,Willow,tasmax
Historical Emissions,Mar,End-of-Century (2070-2099),49.256,36.877,43.817,Willow,tasmax
Historical Emissions,May,End-of-Century (2070-2099),70.162,59.067,64.369,Willow,tasmax
Historical Emissions,Nov,End-of-Century (2070-2099),48.191,35.971,42.797,Willow,tasmax
Historical Emissions,Oct,End-of-Century (2070-2099),65.341,51.094,58.49,Willow,tasmax
Historical Emissions,Sep,End-of-Century (2070-2099),78.304,65.723,71.567,Willow,tasmax
"Moderating Emissions
(SSP1-2.6)",Apr,End-of-Century (2070-2099),60.006,52.886,56.379,Willow,tasmax
"Moderating Emissions
(SSP1-2.6)",Apr,Mid Century (2040-2069),61.722,51.019,56.606,Willow,tasmax
"Moderating Emissions
(SSP1-2.6)",Aug,End-of-Century (2070-2099),88.825,78.906,87.246,Willow,tasmax
"Moderating Emissions
(SSP1-2.6)",Aug,Mid Century (2040-2069),89.57,79.771,84.798,Willow,tasmax
"Moderating Emissions
(SSP1-2.6)",Dec,End-of-Century (2070-2099),41.852,22.203,36.522,Willow,tasmax
"Moderating Emissions
(SSP1-2.6)",Dec,Mid Century (2040-2069),42.461,28.347,36.809,Willow,tasmax
"Moderating Emissions
(SSP1-2.6)",Feb,End-of-Century (2070-2099),46.55,33.603,39.343,Willow,tasmax
"Moderating Emissions
(SSP1-2.6)",Feb,Mid Century (2040-2069),44.872,30.357,39.194,Willow,tasmax
"Moderating Emissions
(SSP1-2.6)",Jan,End-of-Century (2070-2099),42.698,28.215,33.127,Willow,tasmax
"Moderating Emissions
(SSP1-2.6)",Jan,Mid Century (2040-2069),39.458,26.007,33.577,Willow,tasmax
"Moderating Emissions
(SSP1-2.6)",Jul,End-of-Century (2070-2099),89.177,77.718,83.385,Willow,tasmax
"Moderating Emissions
(SSP1-2.6)",Jul,Mid Century (2040-2069),89.809,79.257,84.265,Willow,tasmax
"Moderating Emissions
(SSP1-2.6)",Jun,End-of-Century (2070-2099),78.198,68.883,73.495,Willow,tasmax
"Moderating Emissions
(SSP1-2.6)",Jun,Mid Century (2040-2069),80.21,69.626,74.067,Willow,tasmax
"Moderating Emissions
(SSP1-2.6)",Mar,End-of-Century (2070-2099),50.053,41.4,44.843,Willow,tasmax
"Moderating Emissions
(SSP1-2.6)",Mar,Mid Century (2040-2069),52.797,38.78,46.336,Willow,tasmax
"Moderating Emissions
(SSP1-2.6)",May,End-of-Century (2070-2099),71.889,63.904,67.721,Willow,tasmax
"Moderating Emissions
(SSP1-2.6)",May,Mid Century (2040-2069),71.273,61.609,66.586,Willow,tasmax
"Moderating Emissions
(SSP1-2.6)",Nov,End-of-Century (2070-2099),48.555,37.03,46.451,Willow,tasmax
"Moderating Emissions
(SSP1-2.6)",Nov,Mid Century (2040-2069),50.62,39.205,45.526,Willow,tasmax
"Moderating Emissions
(SSP1-2.6)",Oct,End-of-Century (2070-2099),65.15,55.282,58.987,Willow,tasmax
"Moderating Emissions
(SSP1-2.6)",Oct,Mid Century (2040-2069),67.874,55.028,61.316,Willow,tasmax
"Moderating Emissions
(SSP1-2.6)",Sep,End-of-Century (2070-2099),82.051,69.464,74.997,Willow,tasmax
