year,scenario,upper,lower,value,location,variable
1950,Historical Emissions,61.561,58.277,59.585,Rosebud,tasmax
1951,Historical Emissions,61.519,57.71,59.893,Rosebud,tasmax
1952,Historical Emissions,61.452,56.484,59.195,Rosebud,tasmax
1953,Historical Emissions,61.834,56.243,58.151,Rosebud,tasmax
1954,Historical Emissions,60.36,57.064,58.608,Rosebud,tasmax
1955,Historical Emissions,62.908,57.854,58.014,Rosebud,tasmax
1956,Historical Emissions,62.351,58.361,59.887,Rosebud,tasmax
1957,Historical Emissions,64.49,57.18,59.459,Rosebud,tasmax
1958,Historical Emissions,61.793,58.375,59.022,Rosebud,tasmax
1959,Historical Emissions,59.207,56.03,57.924,Rosebud,tasmax
1960,Historical Emissions,60.722,56.499,58.247,Rosebud,tasmax
1961,Historical Emissions,61.181,57.072,59.171,Rosebud,tasmax
1962,Historical Emissions,60.009,55.771,58.312,Rosebud,tasmax
1963,Historical Emissions,59.318,56.402,57.318,Rosebud,tasmax
1964,Historical Emissions,59.835,56.654,58.999,Rosebud,tasmax
1965,Historical Emissions,59.846,56.27,58.55,Rosebud,tasmax
1966,Historical Emissions,61.807,56.672,58.273,Rosebud,tasmax
1967,Historical Emissions,60.244,56.956,58.614,Rosebud,tasmax
1968,Historical Emissions,59.25,55.244,57.034,Rosebud,tasmax
1969,Historical Emissions,59.207,56.604,58.351,Rosebud,tasmax
1970,Historical Emissions,60.139,57.075,59.635,Rosebud,tasmax
1971,Historical Emissions,61.901,58.569,59.93,Rosebud,tasmax
1972,Historical Emissions,60.268,57.088,57.992,Rosebud,tasmax
1973,Historical Emissions,60.958,56.939,58.169,Rosebud,tasmax
1974,Historical Emissions,61.034,56.443,59.237,Rosebud,tasmax
1975,Historical Emissions,60.759,56.187,59.39,Rosebud,tasmax
1976,Historical Emissions,59.604,57.232,58.808,Rosebud,tasmax
1977,Historical Emissions,61.686,57.622,59.715,Rosebud,tasmax
1978,Historical Emissions,61.406,56.951,58.407,Rosebud,tasmax
1979,Historical Emissions,61.763,56.232,60.526,Rosebud,tasmax
1980,Historical Emissions,60.839,56.838,58.366,Rosebud,tasmax
1981,Historical Emissions,61.191,58.093,60.016,Rosebud,tasmax
1982,Historical Emissions,60.978,57.753,59.271,Rosebud,tasmax
1983,Historical Emissions,60.233,56.995,58.466,Rosebud,tasmax
1984,Historical Emissions,61.1,57.5,58.942,Rosebud,tasmax
1985,Historical Emissions,61.055,57.812,59.739,Rosebud,tasmax
1986,Historical Emissions,58.165,56.643,56.989,Rosebud,tasmax
1987,Historical Emissions,59.142,56.016,56.634,Rosebud,tasmax
1988,Historical Emissions,60.396,56.986,58.738,Rosebud,tasmax
1989,Historical Emissions,61.203,57.754,59.161,Rosebud,tasmax
1990,Historical Emissions,62.807,57.434,60.153,Rosebud,tasmax
1991,Historical Emissions,60.687,56.6,58.416,Rosebud,tasmax
1992,Historical Emissions,59.531,56.908,58.293,Rosebud,tasmax
1993,Historical Emissions,60.604,57.296,58.758,Rosebud,tasmax
1994,Historical Emissions,61.887,57.812,58.692,Rosebud,tasmax
1995,Historical Emissions,62.407,57.714,59.493,Rosebud,tasmax
1996,Historical Emissions,63.15,59.065,60.814,Rosebud,tasmax
1997,Historical Emissions,62.422,57.635,59.1,Rosebud,tasmax
1998,Historical Emissions,61.592,57.019,60.477,Rosebud,tasmax
1999,Historical Emissions,61.543,58.948,59.696,Rosebud,tasmax
2000,Historical Emissions,60.992,57.813,59.226,Rosebud,tasmax
2001,Historical Emissions,61.106,58.506,59.704,Rosebud,tasmax
2002,Historical Emissions,63.034,59.19,61.16,Rosebud,tasmax
2003,Historical Emissions,62.463,58.858,60.076,Rosebud,tasmax
2004,Historical Emissions,61.965,60.266,61.175,Rosebud,tasmax
2005,Historical Emissions,63.432,59.57,62.154,Rosebud,tasmax
2006,Historical Emissions,62.857,58.25,59.724,Rosebud,tasmax
2007,Historical Emissions,61.985,59.441,60.764,Rosebud,tasmax
2008,Historical Emissions,61.798,58.701,60.646,Rosebud,tasmax
2009,Historical Emissions,61.892,58.79,59.979,Rosebud,tasmax
2010,Historical Emissions,62.37,59.559,61.23,Rosebud,tasmax
2011,Historical Emissions,62.983,60.467,61.229,Rosebud,tasmax
2012,Historical Emissions,62.158,60.112,61.222,Rosebud,tasmax
2013,Historical Emissions,63.58,58.356,60.95,Rosebud,tasmax
2014,Historical Emissions,63.599,61.052,61.644,Rosebud,tasmax
2015,"Moderating Emissions
(SSP1-2.6)",64.581,60.78,61.693,Rosebud,tasmax
2015,"Middle of the Road
(SSP2-4.5)",64.425,59.11,61.886,Rosebud,tasmax
2015,"High Emissions
(SSP3-7.0)",62.891,59.908,61.941,Rosebud,tasmax
2015,"Accelerating Emissions
(SSP5-8.5)",63.075,59.73,61.529,Rosebud,tasmax
2016,"Moderating Emissions
(SSP1-2.6)",63.574,61.806,62.626,Rosebud,tasmax
2016,"Middle of the Road
(SSP2-4.5)",63.581,59.503,61.631,Rosebud,tasmax
2016,"High Emissions
(SSP3-7.0)",64.584,59.159,62.106,Rosebud,tasmax
2016,"Accelerating Emissions
(SSP5-8.5)",63.299,59.861,61.288,Rosebud,tasmax
2017,"Moderating Emissions
(SSP1-2.6)",63.454,60.42,61.471,Rosebud,tasmax
2017,"Middle of the Road
(SSP2-4.5)",63.758,59.939,61.355,Rosebud,tasmax
2017,"High Emissions
(SSP3-7.0)",62.881,60.537,60.821,Rosebud,tasmax
2017,"Accelerating Emissions
(SSP5-8.5)",63.257,60.55,62.332,Rosebud,tasmax
2018,"Moderating Emissions
(SSP1-2.6)",62.705,60.13,61.859,Rosebud,tasmax
2018,"Middle of the Road
(SSP2-4.5)",64.208,60.14,62.395,Rosebud,tasmax
2018,"High Emissions
(SSP3-7.0)",63.517,58.389,60.412,Rosebud,tasmax
2018,"Accelerating Emissions
(SSP5-8.5)",62.728,60.17,61.247,Rosebud,tasmax
2019,"Moderating Emissions
(SSP1-2.6)",64.866,61.323,62.95,Rosebud,tasmax
2019,"Middle of the Road
(SSP2-4.5)",63.996,59.38,60.912,Rosebud,tasmax
2019,"High Emissions
(SSP3-7.0)",63.566,58.832,61.03,Rosebud,tasmax
2019,"Accelerating Emissions
(SSP5-8.5)",66.163,60.156,61.958,Rosebud,tasmax
2020,"Moderating Emissions
(SSP1-2.6)",65.656,59.775,60.806,Rosebud,tasmax
2020,"Middle of the Road
(SSP2-4.5)",63.595,59.869,61.928,Rosebud,tasmax
2020,"High Emissions
(SSP3-7.0)",62.951,59.653,61.243,Rosebud,tasmax
2020,"Accelerating Emissions
(SSP5-8.5)",62.919,59.852,62.007,Rosebud,tasmax
2021,"Moderating Emissions
(SSP1-2.6)",63.358,60.116,62.062,Rosebud,tasmax
2021,"Middle of the Road
(SSP2-4.5)",64.552,59.381,62.894,Rosebud,tasmax
2021,"High Emissions
(SSP3-7.0)",63.641,60.832,61.627,Rosebud,tasmax
2021,"Accelerating Emissions
(SSP5-8.5)",64.027,61.237,62.366,Rosebud,tasmax
2022,"Moderating Emissions
(SSP1-2.6)",64.024,60.911,62.293,Rosebud,tasmax
2022,"Middle of the Road
(SSP2-4.5)",64.66,59.978,61.493,Rosebud,tasmax
2022,"High Emissions
(SSP3-7.0)",62.95,59.355,61.205,Rosebud,tasmax
2022,"Accelerating Emissions
(SSP5-8.5)",64.708,59.524,62.799,Rosebud,tasmax
2023,"Moderating Emissions
(SSP1-2.6)",63.223,61.139,61.804,Rosebud,tasmax
2023,"Middle of the Road
(SSP2-4.5)",64.344,60.554,61.434,Rosebud,tasmax
2023,"High Emissions
(SSP3-7.0)",65.62,59.685,61.862,Rosebud,tasmax
2023,"Accelerating Emissions
(SSP5-8.5)",62.546,58.809,61.495,Rosebud,tasmax
2024,"Moderating Emissions
(SSP1-2.6)",64.072,60.41,62.48,Rosebud,tasmax
2024,"Middle of the Road
(SSP2-4.5)",63.095,59.888,61.535,Rosebud,tasmax
2024,"High Emissions
(SSP3-7.0)",64.557,60.438,62.276,Rosebud,tasmax
2024,"Accelerating Emissions
(SSP5-8.5)",64.142,60.657,62.744,Rosebud,tasmax
2025,"Moderating Emissions
(SSP1-2.6)",64.343,61.436,63.101,Rosebud,tasmax
2025,"Middle of the Road
(SSP2-4.5)",64.175,59.846,61.913,Rosebud,tasmax
2025,"High Emissions
(SSP3-7.0)",64.363,62.122,63.049,Rosebud,tasmax
2025,"Accelerating Emissions
(SSP5-8.5)",64.901,61.096,62.457,Rosebud,tasmax
2026,"Moderating Emissions
(SSP1-2.6)",65.186,60.711,62.038,Rosebud,tasmax
2026,"Middle of the Road
(SSP2-4.5)",65.134,60.383,63.087,Rosebud,tasmax
2026,"High Emissions
(SSP3-7.0)",63.565,59.877,61.84,Rosebud,tasmax
2026,"Accelerating Emissions
(SSP5-8.5)",64.758,60.237,61.699,Rosebud,tasmax
2027,"Moderating Emissions
(SSP1-2.6)",64.829,60.385,61.555,Rosebud,tasmax
2027,"Middle of the Road
(SSP2-4.5)",65.58,60.841,62.055,Rosebud,tasmax
2027,"High Emissions
(SSP3-7.0)",64.409,60.111,61.143,Rosebud,tasmax
2027,"Accelerating Emissions
(SSP5-8.5)",64.329,60.721,62.303,Rosebud,tasmax
2028,"Moderating Emissions
(SSP1-2.6)",64.028,59.766,62.405,Rosebud,tasmax
2028,"Middle of the Road
(SSP2-4.5)",63.136,60.066,61.097,Rosebud,tasmax
2028,"High Emissions
(SSP3-7.0)",63.174,61.307,62.819,Rosebud,tasmax
2028,"Accelerating Emissions
(SSP5-8.5)",64.61,60.554,61.568,Rosebud,tasmax
2029,"Moderating Emissions
(SSP1-2.6)",66.506,62.349,64.364,Rosebud,tasmax
2029,"Middle of the Road
(SSP2-4.5)",64.716,60.054,62.399,Rosebud,tasmax
2029,"High Emissions
(SSP3-7.0)",64.126,59.6,61.059,Rosebud,tasmax
2029,"Accelerating Emissions
(SSP5-8.5)",64.851,61.012,63.288,Rosebud,tasmax
2030,"Moderating Emissions
(SSP1-2.6)",65.094,60.748,62.692,Rosebud,tasmax
2030,"Middle of the Road
(SSP2-4.5)",65.36,61.916,63.217,Rosebud,tasmax
2030,"High Emissions
(SSP3-7.0)",64.904,59.577,61.532,Rosebud,tasmax
2030,"Accelerating Emissions
(SSP5-8.5)",65.696,60.745,62.648,Rosebud,tasmax
2031,"Moderating Emissions
(SSP1-2.6)",64.682,60.179,63.08,Rosebud,tasmax
2031,"Middle of the Road
(SSP2-4.5)",65.314,60.418,62.917,Rosebud,tasmax
2031,"High Emissions
(SSP3-7.0)",65.451,60.525,64.248,Rosebud,tasmax
2031,"Accelerating Emissions
(SSP5-8.5)",66.025,62.951,63.871,Rosebud,tasmax
2032,"Moderating Emissions
(SSP1-2.6)",64.5,60.17,62.011,Rosebud,tasmax
2032,"Middle of the Road
(SSP2-4.5)",63.878,59.653,61.424,Rosebud,tasmax
2032,"High Emissions
(SSP3-7.0)",65.846,60.577,62.348,Rosebud,tasmax
