scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Apr,Mid Century (2040-2069),59.477,49.09,53.643,Lower Selway,tasmax
Historical Emissions,Aug,Mid Century (2040-2069),86.93,78.041,82.592,Lower Selway,tasmax
Historical Emissions,Dec,Mid Century (2040-2069),37.657,28.924,33.826,Lower Selway,tasmax
Historical Emissions,Feb,Mid Century (2040-2069),43.271,35.212,39.758,Lower Selway,tasmax
Historical Emissions,Jan,Mid Century (2040-2069),38.619,30.08,34.751,Lower Selway,tasmax
Historical Emissions,Jul,Mid Century (2040-2069),87.288,78.106,83.193,Lower Selway,tasmax
Historical Emissions,Jun,Mid Century (2040-2069),77.596,67.005,72.352,Lower Selway,tasmax
Historical Emissions,Mar,Mid Century (2040-2069),50.792,42.002,46.001,Lower Selway,tasmax
Historical Emissions,May,Mid Century (2040-2069),70.26,57.831,63.486,Lower Selway,tasmax
Historical Emissions,Nov,Mid Century (2040-2069),45.912,36.637,40.958,Lower Selway,tasmax
Historical Emissions,Oct,Mid Century (2040-2069),65.067,51.568,58.005,Lower Selway,tasmax
Historical Emissions,Sep,Mid Century (2040-2069),78.912,67.619,72.884,Lower Selway,tasmax
Historical Emissions,Apr,End-of-Century (2070-2099),59.477,49.09,53.643,Lower Selway,tasmax
Historical Emissions,Aug,End-of-Century (2070-2099),86.93,78.041,82.592,Lower Selway,tasmax
Historical Emissions,Dec,End-of-Century (2070-2099),37.657,28.924,33.826,Lower Selway,tasmax
Historical Emissions,Feb,End-of-Century (2070-2099),43.271,35.212,39.758,Lower Selway,tasmax
Historical Emissions,Jan,End-of-Century (2070-2099),38.619,30.08,34.751,Lower Selway,tasmax
Historical Emissions,Jul,End-of-Century (2070-2099),87.288,78.106,83.193,Lower Selway,tasmax
Historical Emissions,Jun,End-of-Century (2070-2099),77.596,67.005,72.352,Lower Selway,tasmax
Historical Emissions,Mar,End-of-Century (2070-2099),50.792,42.002,46.001,Lower Selway,tasmax
Historical Emissions,May,End-of-Century (2070-2099),70.26,57.831,63.486,Lower Selway,tasmax
Historical Emissions,Nov,End-of-Century (2070-2099),45.912,36.637,40.958,Lower Selway,tasmax
Historical Emissions,Oct,End-of-Century (2070-2099),65.067,51.568,58.005,Lower Selway,tasmax
Historical Emissions,Sep,End-of-Century (2070-2099),78.912,67.619,72.884,Lower Selway,tasmax
"Moderating Emissions
(SSP1-2.6)",Apr,End-of-Century (2070-2099),63.553,52.335,57.673,Lower Selway,tasmax
"Moderating Emissions
(SSP1-2.6)",Apr,Mid Century (2040-2069),62.589,51.311,56.693,Lower Selway,tasmax
"Moderating Emissions
(SSP1-2.6)",Aug,End-of-Century (2070-2099),90.333,80.528,85.734,Lower Selway,tasmax
"Moderating Emissions
(SSP1-2.6)",Aug,Mid Century (2040-2069),89.647,81.103,85.612,Lower Selway,tasmax
"Moderating Emissions
(SSP1-2.6)",Dec,End-of-Century (2070-2099),39.622,27.01,35.513,Lower Selway,tasmax
"Moderating Emissions
(SSP1-2.6)",Dec,Mid Century (2040-2069),40.439,31.588,35.899,Lower Selway,tasmax
"Moderating Emissions
(SSP1-2.6)",Feb,End-of-Century (2070-2099),46.947,39.105,40.747,Lower Selway,tasmax
"Moderating Emissions
(SSP1-2.6)",Feb,Mid Century (2040-2069),45.603,37.598,42.054,Lower Selway,tasmax
"Moderating Emissions
(SSP1-2.6)",Jan,End-of-Century (2070-2099),42.047,33.198,38.353,Lower Selway,tasmax
"Moderating Emissions
(SSP1-2.6)",Jan,Mid Century (2040-2069),40.198,32.072,36.485,Lower Selway,tasmax
"Moderating Emissions
(SSP1-2.6)",Jul,End-of-Century (2070-2099),90.233,79.906,83.685,Lower Selway,tasmax
"Moderating Emissions
(SSP1-2.6)",Jul,Mid Century (2040-2069),90.151,80.926,85.467,Lower Selway,tasmax
"Moderating Emissions
(SSP1-2.6)",Jun,End-of-Century (2070-2099),77.898,69.21,73.721,Lower Selway,tasmax
"Moderating Emissions
(SSP1-2.6)",Jun,Mid Century (2040-2069),80.047,68.92,73.985,Lower Selway,tasmax
"Moderating Emissions
(SSP1-2.6)",Mar,End-of-Century (2070-2099),51.483,44.581,47.857,Lower Selway,tasmax
"Moderating Emissions
(SSP1-2.6)",Mar,Mid Century (2040-2069),54.1,43.641,49.091,Lower Selway,tasmax
"Moderating Emissions
(SSP1-2.6)",May,End-of-Century (2070-2099),71.986,60.858,66.261,Lower Selway,tasmax
"Moderating Emissions
(SSP1-2.6)",May,Mid Century (2040-2069),71.217,60.327,65.766,Lower Selway,tasmax
"Moderating Emissions
(SSP1-2.6)",Nov,End-of-Century (2070-2099),47.42,37.759,43.838,Lower Selway,tasmax
"Moderating Emissions
(SSP1-2.6)",Nov,Mid Century (2040-2069),48.768,38.9,43.991,Lower Selway,tasmax
"Moderating Emissions
(SSP1-2.6)",Oct,End-of-Century (2070-2099),63.812,54.623,57.542,Lower Selway,tasmax
"Moderating Emissions
(SSP1-2.6)",Oct,Mid Century (2040-2069),66.838,54.81,60.869,Lower Selway,tasmax
"Moderating Emissions
(SSP1-2.6)",Sep,End-of-Century (2070-2099),81.804,71.256,76.798,Lower Selway,tasmax
"Moderating Emissions
(SSP1-2.6)",Sep,Mid Century (2040-2069),82.265,70.395,76.055,Lower Selway,tasmax
"Middle of the Road
(SSP2-4.5)",Apr,End-of-Century (2070-2099),65.34,52.06,56.634,Lower Selway,tasmax
"Middle of the Road
(SSP2-4.5)",Apr,Mid Century (2040-2069),62.122,51.242,56.547,Lower Selway,tasmax
"Middle of the Road
(SSP2-4.5)",Aug,End-of-Century (2070-2099),92.508,83.515,86.614,Lower Selway,tasmax
"Middle of the Road
(SSP2-4.5)",Aug,Mid Century (2040-2069),91.552,81.359,86.14,Lower Selway,tasmax
"Middle of the Road
(SSP2-4.5)",Dec,End-of-Century (2070-2099),43.826,33.711,38.165,Lower Selway,tasmax
"Middle of the Road
(SSP2-4.5)",Dec,Mid Century (2040-2069),39.917,31.085,36.212,Lower Selway,tasmax
"Middle of the Road
(SSP2-4.5)",Feb,End-of-Century (2070-2099),48.896,39.138,44.529,Lower Selway,tasmax
"Middle of the Road
(SSP2-4.5)",Feb,Mid Century (2040-2069),45.72,37.302,41.67,Lower Selway,tasmax
"Middle of the Road
(SSP2-4.5)",Jan,End-of-Century (2070-2099),40.612,34.008,38.086,Lower Selway,tasmax
"Middle of the Road
(SSP2-4.5)",Jan,Mid Century (2040-2069),40.404,32.517,37.206,Lower Selway,tasmax
"Middle of the Road
(SSP2-4.5)",Jul,End-of-Century (2070-2099),93.967,83.749,87.457,Lower Selway,tasmax
"Middle of the Road
(SSP2-4.5)",Jul,Mid Century (2040-2069),92.101,81.014,86.491,Lower Selway,tasmax
