scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Apr,Mid Century (2040-2069),62.02,52.063,56.625,Flathead,tasmax
Historical Emissions,Aug,Mid Century (2040-2069),89.083,79.649,84.336,Flathead,tasmax
Historical Emissions,Dec,Mid Century (2040-2069),37.899,27.98,33.69,Flathead,tasmax
Historical Emissions,Feb,Mid Century (2040-2069),44,34.784,39.861,Flathead,tasmax
Historical Emissions,Jan,Mid Century (2040-2069),38.368,28.251,34.119,Flathead,tasmax
Historical Emissions,Jul,Mid Century (2040-2069),89.523,79.836,84.829,Flathead,tasmax
Historical Emissions,Jun,Mid Century (2040-2069),79.653,69,74.213,Flathead,tasmax
Historical Emissions,Mar,Mid Century (2040-2069),52.121,43.364,47.568,Flathead,tasmax
Historical Emissions,May,Mid Century (2040-2069),73.142,61.142,66.456,Flathead,tasmax
Historical Emissions,Nov,Mid Century (2040-2069),46.365,37.024,41.503,Flathead,tasmax
Historical Emissions,Oct,Mid Century (2040-2069),64.978,51.93,58.234,Flathead,tasmax
Historical Emissions,Sep,Mid Century (2040-2069),80.121,67.923,73.677,Flathead,tasmax
Historical Emissions,Apr,End-of-Century (2070-2099),62.02,52.063,56.625,Flathead,tasmax
Historical Emissions,Aug,End-of-Century (2070-2099),89.083,79.649,84.336,Flathead,tasmax
Historical Emissions,Dec,End-of-Century (2070-2099),37.899,27.98,33.69,Flathead,tasmax
Historical Emissions,Feb,End-of-Century (2070-2099),44,34.784,39.861,Flathead,tasmax
Historical Emissions,Jan,End-of-Century (2070-2099),38.368,28.251,34.119,Flathead,tasmax
Historical Emissions,Jul,End-of-Century (2070-2099),89.523,79.836,84.829,Flathead,tasmax
Historical Emissions,Jun,End-of-Century (2070-2099),79.653,69,74.213,Flathead,tasmax
Historical Emissions,Mar,End-of-Century (2070-2099),52.121,43.364,47.568,Flathead,tasmax
Historical Emissions,May,End-of-Century (2070-2099),73.142,61.142,66.456,Flathead,tasmax
Historical Emissions,Nov,End-of-Century (2070-2099),46.365,37.024,41.503,Flathead,tasmax
Historical Emissions,Oct,End-of-Century (2070-2099),64.978,51.93,58.234,Flathead,tasmax
Historical Emissions,Sep,End-of-Century (2070-2099),80.121,67.923,73.677,Flathead,tasmax
"Moderating Emissions
(SSP1-2.6)",Apr,End-of-Century (2070-2099),66.908,55.278,59.563,Flathead,tasmax
"Moderating Emissions
(SSP1-2.6)",Apr,Mid Century (2040-2069),65.989,54.13,59.84,Flathead,tasmax
"Moderating Emissions
(SSP1-2.6)",Aug,End-of-Century (2070-2099),92.308,82.028,88.561,Flathead,tasmax
"Moderating Emissions
(SSP1-2.6)",Aug,Mid Century (2040-2069),91.962,82.638,87.422,Flathead,tasmax
"Moderating Emissions
(SSP1-2.6)",Dec,End-of-Century (2070-2099),40.295,23.765,35.509,Flathead,tasmax
"Moderating Emissions
(SSP1-2.6)",Dec,Mid Century (2040-2069),40.38,30.464,35.947,Flathead,tasmax
"Moderating Emissions
(SSP1-2.6)",Feb,End-of-Century (2070-2099),47.794,39.142,41.518,Flathead,tasmax
"Moderating Emissions
(SSP1-2.6)",Feb,Mid Century (2040-2069),46.295,36.718,42.3,Flathead,tasmax
"Moderating Emissions
(SSP1-2.6)",Jan,End-of-Century (2070-2099),41.78,32.265,37.333,Flathead,tasmax
"Moderating Emissions
(SSP1-2.6)",Jan,Mid Century (2040-2069),40.054,31.031,35.849,Flathead,tasmax
"Moderating Emissions
(SSP1-2.6)",Jul,End-of-Century (2070-2099),91.446,81.54,85.507,Flathead,tasmax
"Moderating Emissions
(SSP1-2.6)",Jul,Mid Century (2040-2069),91.943,82.174,87.071,Flathead,tasmax
"Moderating Emissions
(SSP1-2.6)",Jun,End-of-Century (2070-2099),80.116,70.267,75.264,Flathead,tasmax
"Moderating Emissions
(SSP1-2.6)",Jun,Mid Century (2040-2069),82.194,70.882,76.052,Flathead,tasmax
"Moderating Emissions
(SSP1-2.6)",Mar,End-of-Century (2070-2099),52.756,46.09,49.073,Flathead,tasmax
"Moderating Emissions
(SSP1-2.6)",Mar,Mid Century (2040-2069),55.544,45.157,50.658,Flathead,tasmax
"Moderating Emissions
(SSP1-2.6)",May,End-of-Century (2070-2099),74.42,65.488,69.942,Flathead,tasmax
"Moderating Emissions
(SSP1-2.6)",May,Mid Century (2040-2069),73.599,63.709,68.909,Flathead,tasmax
"Moderating Emissions
(SSP1-2.6)",Nov,End-of-Century (2070-2099),47.189,38.404,44.437,Flathead,tasmax
"Moderating Emissions
(SSP1-2.6)",Nov,Mid Century (2040-2069),48.879,39.085,44.19,Flathead,tasmax
"Moderating Emissions
(SSP1-2.6)",Oct,End-of-Century (2070-2099),64.094,54.949,57.787,Flathead,tasmax
"Moderating Emissions
(SSP1-2.6)",Oct,Mid Century (2040-2069),66.984,55.481,61.193,Flathead,tasmax
"Moderating Emissions
(SSP1-2.6)",Sep,End-of-Century (2070-2099),82.731,72.247,77.416,Flathead,tasmax
"Moderating Emissions
(SSP1-2.6)",Sep,Mid Century (2040-2069),82.797,71.369,77.184,Flathead,tasmax
"Middle of the Road
(SSP2-4.5)",Apr,End-of-Century (2070-2099),67.162,55.508,59.661,Flathead,tasmax
"Middle of the Road
(SSP2-4.5)",Apr,Mid Century (2040-2069),65.219,54.782,59.463,Flathead,tasmax
"Middle of the Road
(SSP2-4.5)",Aug,End-of-Century (2070-2099),95.272,85.751,88.905,Flathead,tasmax
"Middle of the Road
(SSP2-4.5)",Aug,Mid Century (2040-2069),93.789,82.671,87.969,Flathead,tasmax
"Middle of the Road
(SSP2-4.5)",Dec,End-of-Century (2070-2099),44.363,32.467,37.945,Flathead,tasmax
"Middle of the Road
(SSP2-4.5)",Dec,Mid Century (2040-2069),40.555,29.831,35.832,Flathead,tasmax
"Middle of the Road
(SSP2-4.5)",Feb,End-of-Century (2070-2099),49.187,38.358,45.075,Flathead,tasmax
"Middle of the Road
(SSP2-4.5)",Feb,Mid Century (2040-2069),46.3,36.883,41.746,Flathead,tasmax
"Middle of the Road
(SSP2-4.5)",Jan,End-of-Century (2070-2099),40.764,33.445,37.735,Flathead,tasmax
"Middle of the Road
(SSP2-4.5)",Jan,Mid Century (2040-2069),40.669,31.147,36.696,Flathead,tasmax
"Middle of the Road
(SSP2-4.5)",Jul,End-of-Century (2070-2099),96.196,86.09,88.713,Flathead,tasmax
"Middle of the Road
(SSP2-4.5)",Jul,Mid Century (2040-2069),94.336,82.742,88.128,Flathead,tasmax
"Middle of the Road
(SSP2-4.5)",Jun,End-of-Century (2070-2099),81.97,74.196,77.135,Flathead,tasmax
"Middle of the Road
(SSP2-4.5)",Jun,Mid Century (2040-2069),82.836,71.684,76.738,Flathead,tasmax
"Middle of the Road
(SSP2-4.5)",Mar,End-of-Century (2070-2099),58.433,46.673,51.633,Flathead,tasmax
"Middle of the Road
(SSP2-4.5)",Mar,Mid Century (2040-2069),54.966,45.078,50.148,Flathead,tasmax
"Middle of the Road
(SSP2-4.5)",May,End-of-Century (2070-2099),75.371,66.038,70.565,Flathead,tasmax
"Middle of the Road
(SSP2-4.5)",May,Mid Century (2040-2069),75.089,63.33,68.503,Flathead,tasmax
"Middle of the Road
(SSP2-4.5)",Nov,End-of-Century (2070-2099),50.965,40.756,46.151,Flathead,tasmax
"Middle of the Road
(SSP2-4.5)",Nov,Mid Century (2040-2069),49.847,38.755,45.075,Flathead,tasmax
"Middle of the Road
(SSP2-4.5)",Oct,End-of-Century (2070-2099),72.125,56.421,62.612,Flathead,tasmax
"Middle of the Road
(SSP2-4.5)",Oct,Mid Century (2040-2069),67.965,55.932,61.539,Flathead,tasmax
"Middle of the Road
(SSP2-4.5)",Sep,End-of-Century (2070-2099),84.766,70.559,80.335,Flathead,tasmax
"Middle of the Road
(SSP2-4.5)",Sep,Mid Century (2040-2069),84.412,71.476,77.335,Flathead,tasmax
"High Emissions
(SSP3-7.0)",Apr,End-of-Century (2070-2099),65.15,57.957,62.847,Flathead,tasmax
"High Emissions
(SSP3-7.0)",Apr,Mid Century (2040-2069),64.802,54.111,59.405,Flathead,tasmax
"High Emissions
(SSP3-7.0)",Aug,End-of-Century (2070-2099),99.12,90.244,95.583,Flathead,tasmax
"High Emissions
(SSP3-7.0)",Aug,Mid Century (2040-2069),94.323,84.197,89.098,Flathead,tasmax
"High Emissions
(SSP3-7.0)",Dec,End-of-Century (2070-2099),43.181,34.215,38.547,Flathead,tasmax
"High Emissions
(SSP3-7.0)",Dec,Mid Century (2040-2069),40.644,31.137,36.152,Flathead,tasmax
"High Emissions
(SSP3-7.0)",Feb,End-of-Century (2070-2099),48.109,38.889,45.464,Flathead,tasmax
"High Emissions
(SSP3-7.0)",Feb,Mid Century (2040-2069),47.347,36.968,42.715,Flathead,tasmax
"High Emissions
(SSP3-7.0)",Jan,End-of-Century (2070-2099),42.578,31.979,38.521,Flathead,tasmax
"High Emissions
(SSP3-7.0)",Jan,Mid Century (2040-2069),40.758,31.032,36.529,Flathead,tasmax
"High Emissions
(SSP3-7.0)",Jul,End-of-Century (2070-2099),101.58,90.432,95.532,Flathead,tasmax
"High Emissions
(SSP3-7.0)",Jul,Mid Century (2040-2069),93.38,83.141,88.686,Flathead,tasmax
"High Emissions
(SSP3-7.0)",Jun,End-of-Century (2070-2099),89.418,77.961,81.237,Flathead,tasmax
"High Emissions
(SSP3-7.0)",Jun,Mid Century (2040-2069),82.913,72.144,76.873,Flathead,tasmax
"High Emissions
(SSP3-7.0)",Mar,End-of-Century (2070-2099),60.373,50.052,52.513,Flathead,tasmax
"High Emissions
(SSP3-7.0)",Mar,Mid Century (2040-2069),56.318,45.869,50.272,Flathead,tasmax
"High Emissions
(SSP3-7.0)",May,End-of-Century (2070-2099),77.6,68.318,73.785,Flathead,tasmax
"High Emissions
(SSP3-7.0)",May,Mid Century (2040-2069),75.07,63.582,69.024,Flathead,tasmax
"High Emissions
(SSP3-7.0)",Nov,End-of-Century (2070-2099),54.066,44.046,49.314,Flathead,tasmax
"High Emissions
(SSP3-7.0)",Nov,Mid Century (2040-2069),49.078,39.727,44.683,Flathead,tasmax
"High Emissions
(SSP3-7.0)",Oct,End-of-Century (2070-2099),71.914,59.729,64.566,Flathead,tasmax
"High Emissions
(SSP3-7.0)",Oct,Mid Century (2040-2069),67.89,55.671,61.401,Flathead,tasmax
"High Emissions
(SSP3-7.0)",Sep,End-of-Century (2070-2099),91.315,78.564,83.293,Flathead,tasmax
"High Emissions
(SSP3-7.0)",Sep,Mid Century (2040-2069),84.67,72.579,78.247,Flathead,tasmax
"Accelerating Emissions
(SSP5-8.5)",Apr,End-of-Century (2070-2099),67.737,61.865,65.044,Flathead,tasmax
"Accelerating Emissions
(SSP5-8.5)",Apr,Mid Century (2040-2069),65.963,54.889,60.187,Flathead,tasmax
"Accelerating Emissions
(SSP5-8.5)",Aug,End-of-Century (2070-2099),105.881,93.717,98.739,Flathead,tasmax
"Accelerating Emissions
(SSP5-8.5)",Aug,Mid Century (2040-2069),95.748,84.679,90.174,Flathead,tasmax
"Accelerating Emissions
(SSP5-8.5)",Dec,End-of-Century (2070-2099),44.713,36.302,40.204,Flathead,tasmax
"Accelerating Emissions
(SSP5-8.5)",Dec,Mid Century (2040-2069),41.226,31.723,37.141,Flathead,tasmax
"Accelerating Emissions
(SSP5-8.5)",Feb,End-of-Century (2070-2099),52.749,42.014,46.991,Flathead,tasmax
"Accelerating Emissions
(SSP5-8.5)",Feb,Mid Century (2040-2069),47.101,37.322,42.826,Flathead,tasmax
"Accelerating Emissions
(SSP5-8.5)",Jan,End-of-Century (2070-2099),44.593,36.127,40.507,Flathead,tasmax
"Accelerating Emissions
(SSP5-8.5)",Jan,Mid Century (2040-2069),41.264,31.277,36.958,Flathead,tasmax
"Accelerating Emissions
(SSP5-8.5)",Jul,End-of-Century (2070-2099),104.985,92.071,95.76,Flathead,tasmax
