year,scenario,upper,lower,value,location,variable
1950,Historical Emissions,33.92,31.429,32.652,Golden Valley County,tasmin
1951,Historical Emissions,33.787,31.274,32.956,Golden Valley County,tasmin
1952,Historical Emissions,33.811,31.005,31.858,Golden Valley County,tasmin
1953,Historical Emissions,32.84,30.551,32.198,Golden Valley County,tasmin
1954,Historical Emissions,34.642,29.853,32.027,Golden Valley County,tasmin
1955,Historical Emissions,34.51,31.111,33.546,Golden Valley County,tasmin
1956,Historical Emissions,33.988,31.905,32.741,Golden Valley County,tasmin
1957,Historical Emissions,34.26,31.973,32.936,Golden Valley County,tasmin
1958,Historical Emissions,33.861,31.725,32.246,Golden Valley County,tasmin
1959,Historical Emissions,32.363,29.108,31.726,Golden Valley County,tasmin
1960,Historical Emissions,34.32,29.494,31.534,Golden Valley County,tasmin
1961,Historical Emissions,34.344,30.991,33.357,Golden Valley County,tasmin
1962,Historical Emissions,33.286,30.29,31.815,Golden Valley County,tasmin
1963,Historical Emissions,33.275,31.222,32.218,Golden Valley County,tasmin
1964,Historical Emissions,33.701,30.719,32.518,Golden Valley County,tasmin
1965,Historical Emissions,33.251,30.64,32.469,Golden Valley County,tasmin
1966,Historical Emissions,35.017,31.646,32.942,Golden Valley County,tasmin
1967,Historical Emissions,33.019,30.686,32.142,Golden Valley County,tasmin
1968,Historical Emissions,33.26,29.14,32.219,Golden Valley County,tasmin
1969,Historical Emissions,33.342,30.784,32.528,Golden Valley County,tasmin
1970,Historical Emissions,34.162,31.905,33.04,Golden Valley County,tasmin
1971,Historical Emissions,35.902,32.141,34.362,Golden Valley County,tasmin
1972,Historical Emissions,33.639,30.609,31.789,Golden Valley County,tasmin
1973,Historical Emissions,33.803,31.476,32.695,Golden Valley County,tasmin
1974,Historical Emissions,34.603,30.874,32.751,Golden Valley County,tasmin
1975,Historical Emissions,33.831,29.777,32.835,Golden Valley County,tasmin
1976,Historical Emissions,33.745,30.227,32.468,Golden Valley County,tasmin
1977,Historical Emissions,35.038,32.367,33.421,Golden Valley County,tasmin
1978,Historical Emissions,35.357,30.77,33.021,Golden Valley County,tasmin
1979,Historical Emissions,34.932,32.085,33.721,Golden Valley County,tasmin
1980,Historical Emissions,33.401,31.497,32.67,Golden Valley County,tasmin
1981,Historical Emissions,34.716,32.453,33.705,Golden Valley County,tasmin
1982,Historical Emissions,34.091,31.718,33.489,Golden Valley County,tasmin
1983,Historical Emissions,34.51,31.773,32.549,Golden Valley County,tasmin
1984,Historical Emissions,33.974,31.822,33.132,Golden Valley County,tasmin
1985,Historical Emissions,34.63,31.629,33.216,Golden Valley County,tasmin
1986,Historical Emissions,33.519,30.894,32.707,Golden Valley County,tasmin
1987,Historical Emissions,34.114,29.902,31.156,Golden Valley County,tasmin
1988,Historical Emissions,34.292,31.672,31.914,Golden Valley County,tasmin
1989,Historical Emissions,34.098,31.669,32.55,Golden Valley County,tasmin
1990,Historical Emissions,34.889,32.511,33.954,Golden Valley County,tasmin
1991,Historical Emissions,34.594,30.647,32.402,Golden Valley County,tasmin
1992,Historical Emissions,34.177,30.757,31.971,Golden Valley County,tasmin
1993,Historical Emissions,35.186,30.603,33.494,Golden Valley County,tasmin
1994,Historical Emissions,35.367,32.163,33.219,Golden Valley County,tasmin
1995,Historical Emissions,34.158,31.175,32.315,Golden Valley County,tasmin
1996,Historical Emissions,35.249,31.495,34.187,Golden Valley County,tasmin
1997,Historical Emissions,35.268,32.329,33.835,Golden Valley County,tasmin
1998,Historical Emissions,35.685,30.596,33.679,Golden Valley County,tasmin
1999,Historical Emissions,35.35,32.471,33.971,Golden Valley County,tasmin
2000,Historical Emissions,34.791,31.984,33.178,Golden Valley County,tasmin
2001,Historical Emissions,35.719,32.372,33.502,Golden Valley County,tasmin
2002,Historical Emissions,36.235,32.947,34.653,Golden Valley County,tasmin
2003,Historical Emissions,36.129,33.541,34.043,Golden Valley County,tasmin
2004,Historical Emissions,35.76,33.641,34.826,Golden Valley County,tasmin
2005,Historical Emissions,37.389,32.696,36.057,Golden Valley County,tasmin
2006,Historical Emissions,35.346,31.758,33.196,Golden Valley County,tasmin
2007,Historical Emissions,35.655,33.183,34.956,Golden Valley County,tasmin
2008,Historical Emissions,36.43,33.388,34.356,Golden Valley County,tasmin
2009,Historical Emissions,34.657,33.596,33.984,Golden Valley County,tasmin
2010,Historical Emissions,35.099,33.287,34.408,Golden Valley County,tasmin
2011,Historical Emissions,36.709,34.057,34.787,Golden Valley County,tasmin
2012,Historical Emissions,35.536,32.256,34.557,Golden Valley County,tasmin
2013,Historical Emissions,36.4,32.336,34.06,Golden Valley County,tasmin
2014,Historical Emissions,36.657,33.543,35.046,Golden Valley County,tasmin
2015,"Moderating Emissions
(SSP1-2.6)",37.049,34.179,35.175,Golden Valley County,tasmin
2015,"Middle of the Road
(SSP2-4.5)",36.321,33.483,34.483,Golden Valley County,tasmin
2015,"High Emissions
(SSP3-7.0)",37.108,32.667,34.967,Golden Valley County,tasmin
2015,"Accelerating Emissions
(SSP5-8.5)",35.357,33.36,34.909,Golden Valley County,tasmin
2016,"Moderating Emissions
(SSP1-2.6)",37.635,33.86,35.667,Golden Valley County,tasmin
2016,"Middle of the Road
(SSP2-4.5)",36.97,33.219,34.641,Golden Valley County,tasmin
2016,"High Emissions
(SSP3-7.0)",38.077,33.279,34.677,Golden Valley County,tasmin
2016,"Accelerating Emissions
(SSP5-8.5)",36.18,33.171,35.104,Golden Valley County,tasmin
2017,"Moderating Emissions
(SSP1-2.6)",36.885,33.482,34.361,Golden Valley County,tasmin
2017,"Middle of the Road
(SSP2-4.5)",37.562,33.71,35.091,Golden Valley County,tasmin
2017,"High Emissions
(SSP3-7.0)",37.478,34.541,35.237,Golden Valley County,tasmin
2017,"Accelerating Emissions
(SSP5-8.5)",37.179,33.661,35.103,Golden Valley County,tasmin
2018,"Moderating Emissions
(SSP1-2.6)",35.97,34.265,34.943,Golden Valley County,tasmin
2018,"Middle of the Road
(SSP2-4.5)",36.728,34.217,35.003,Golden Valley County,tasmin
2018,"High Emissions
(SSP3-7.0)",37.156,33.726,34.67,Golden Valley County,tasmin
2018,"Accelerating Emissions
(SSP5-8.5)",37.429,33.58,34.801,Golden Valley County,tasmin
2019,"Moderating Emissions
(SSP1-2.6)",37.652,34.439,36.438,Golden Valley County,tasmin
2019,"Middle of the Road
(SSP2-4.5)",37.051,32.706,33.674,Golden Valley County,tasmin
2019,"High Emissions
(SSP3-7.0)",36.857,32.484,34.563,Golden Valley County,tasmin
2019,"Accelerating Emissions
(SSP5-8.5)",37.305,34.51,35.462,Golden Valley County,tasmin
2020,"Moderating Emissions
(SSP1-2.6)",37.787,33.566,36.109,Golden Valley County,tasmin
2020,"Middle of the Road
(SSP2-4.5)",36.413,33.531,34.943,Golden Valley County,tasmin
2020,"High Emissions
(SSP3-7.0)",36.529,33.43,35.247,Golden Valley County,tasmin
2020,"Accelerating Emissions
(SSP5-8.5)",36.512,34.02,35.339,Golden Valley County,tasmin
2021,"Moderating Emissions
(SSP1-2.6)",37.44,33.892,35.64,Golden Valley County,tasmin
2021,"Middle of the Road
(SSP2-4.5)",36.827,34.303,35.396,Golden Valley County,tasmin
2021,"High Emissions
(SSP3-7.0)",35.95,34.61,35.446,Golden Valley County,tasmin
2021,"Accelerating Emissions
(SSP5-8.5)",37.38,33.547,36.138,Golden Valley County,tasmin
2022,"Moderating Emissions
(SSP1-2.6)",36.969,34.219,34.914,Golden Valley County,tasmin
