scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Apr,Mid Century (2040-2069),36.1,29.49,32.644,Powder River County,tasmin
Historical Emissions,Aug,Mid Century (2040-2069),59.608,53.347,56.45,Powder River County,tasmin
Historical Emissions,Dec,Mid Century (2040-2069),21.31,4.193,13.705,Powder River County,tasmin
Historical Emissions,Feb,Mid Century (2040-2069),23.657,8.6,17.2,Powder River County,tasmin
Historical Emissions,Jan,Mid Century (2040-2069),20.396,3.016,12.384,Powder River County,tasmin
Historical Emissions,Jul,Mid Century (2040-2069),61.416,55.239,58.425,Powder River County,tasmin
Historical Emissions,Jun,Mid Century (2040-2069),55.227,48.767,52.209,Powder River County,tasmin
Historical Emissions,Mar,Mid Century (2040-2069),27.588,18.405,24.205,Powder River County,tasmin
Historical Emissions,May,Mid Century (2040-2069),46.575,39.632,42.705,Powder River County,tasmin
Historical Emissions,Nov,Mid Century (2040-2069),28.079,17.493,23.505,Powder River County,tasmin
Historical Emissions,Oct,Mid Century (2040-2069),39.582,30.24,34.614,Powder River County,tasmin
Historical Emissions,Sep,Mid Century (2040-2069),50.627,42.491,46.285,Powder River County,tasmin
Historical Emissions,Apr,End-of-Century (2070-2099),36.1,29.49,32.644,Powder River County,tasmin
Historical Emissions,Aug,End-of-Century (2070-2099),59.608,53.347,56.45,Powder River County,tasmin
Historical Emissions,Dec,End-of-Century (2070-2099),21.31,4.193,13.705,Powder River County,tasmin
Historical Emissions,Feb,End-of-Century (2070-2099),23.657,8.6,17.2,Powder River County,tasmin
Historical Emissions,Jan,End-of-Century (2070-2099),20.396,3.016,12.384,Powder River County,tasmin
Historical Emissions,Jul,End-of-Century (2070-2099),61.416,55.239,58.425,Powder River County,tasmin
Historical Emissions,Jun,End-of-Century (2070-2099),55.227,48.767,52.209,Powder River County,tasmin
Historical Emissions,Mar,End-of-Century (2070-2099),27.588,18.405,24.205,Powder River County,tasmin
Historical Emissions,May,End-of-Century (2070-2099),46.575,39.632,42.705,Powder River County,tasmin
Historical Emissions,Nov,End-of-Century (2070-2099),28.079,17.493,23.505,Powder River County,tasmin
Historical Emissions,Oct,End-of-Century (2070-2099),39.582,30.24,34.614,Powder River County,tasmin
Historical Emissions,Sep,End-of-Century (2070-2099),50.627,42.491,46.285,Powder River County,tasmin
"Moderating Emissions
(SSP1-2.6)",Apr,End-of-Century (2070-2099),37.746,32.896,35.299,Powder River County,tasmin
"Moderating Emissions
(SSP1-2.6)",Apr,Mid Century (2040-2069),38.502,31.405,34.858,Powder River County,tasmin
"Moderating Emissions
(SSP1-2.6)",Aug,End-of-Century (2070-2099),62.223,56.528,60.176,Powder River County,tasmin
"Moderating Emissions
(SSP1-2.6)",Aug,Mid Century (2040-2069),62.708,56.78,59.617,Powder River County,tasmin
"Moderating Emissions
(SSP1-2.6)",Dec,End-of-Century (2070-2099),24.664,4.764,16.26,Powder River County,tasmin
"Moderating Emissions
(SSP1-2.6)",Dec,Mid Century (2040-2069),24.451,7.917,17.723,Powder River County,tasmin
"Moderating Emissions
(SSP1-2.6)",Feb,End-of-Century (2070-2099),31.134,14.778,20.052,Powder River County,tasmin
"Moderating Emissions
(SSP1-2.6)",Feb,Mid Century (2040-2069),25.967,11.495,19.469,Powder River County,tasmin
"Moderating Emissions
(SSP1-2.6)",Jan,End-of-Century (2070-2099),24.716,4.908,16.488,Powder River County,tasmin
"Moderating Emissions
(SSP1-2.6)",Jan,Mid Century (2040-2069),23.275,7.248,16.182,Powder River County,tasmin
"Moderating Emissions
(SSP1-2.6)",Jul,End-of-Century (2070-2099),63.783,56.73,60.753,Powder River County,tasmin
"Moderating Emissions
(SSP1-2.6)",Jul,Mid Century (2040-2069),64.439,57.92,61.142,Powder River County,tasmin
"Moderating Emissions
(SSP1-2.6)",Jun,End-of-Century (2070-2099),58.745,50.899,54.385,Powder River County,tasmin
"Moderating Emissions
(SSP1-2.6)",Jun,Mid Century (2040-2069),58.176,51.017,54.216,Powder River County,tasmin
"Moderating Emissions
(SSP1-2.6)",Mar,End-of-Century (2070-2099),28.471,21.842,24.915,Powder River County,tasmin
"Moderating Emissions
(SSP1-2.6)",Mar,Mid Century (2040-2069),29.888,21.177,25.503,Powder River County,tasmin
"Moderating Emissions
(SSP1-2.6)",May,End-of-Century (2070-2099),50.555,41.94,45.375,Powder River County,tasmin
"Moderating Emissions
(SSP1-2.6)",May,Mid Century (2040-2069),48.241,41.643,44.939,Powder River County,tasmin
"Moderating Emissions
(SSP1-2.6)",Nov,End-of-Century (2070-2099),28.541,17.374,25.092,Powder River County,tasmin
"Moderating Emissions
(SSP1-2.6)",Nov,Mid Century (2040-2069),28.975,21.008,24.669,Powder River County,tasmin
"Moderating Emissions
(SSP1-2.6)",Oct,End-of-Century (2070-2099),38.84,33.977,37.048,Powder River County,tasmin
"Moderating Emissions
(SSP1-2.6)",Oct,Mid Century (2040-2069),41.523,33.124,36.931,Powder River County,tasmin
"Moderating Emissions
(SSP1-2.6)",Sep,End-of-Century (2070-2099),54.368,44.67,48.345,Powder River County,tasmin
"Moderating Emissions
(SSP1-2.6)",Sep,Mid Century (2040-2069),52.728,45.552,49.034,Powder River County,tasmin
"Middle of the Road
(SSP2-4.5)",Apr,End-of-Century (2070-2099),38.789,33.057,35.296,Powder River County,tasmin
"Middle of the Road
(SSP2-4.5)",Apr,Mid Century (2040-2069),38.383,31.962,34.756,Powder River County,tasmin
"Middle of the Road
(SSP2-4.5)",Aug,End-of-Century (2070-2099),68.086,59.849,62.673,Powder River County,tasmin
"Middle of the Road
(SSP2-4.5)",Aug,Mid Century (2040-2069),63.988,57.245,60.345,Powder River County,tasmin
"Middle of the Road
(SSP2-4.5)",Dec,End-of-Century (2070-2099),30.85,13.872,20.43,Powder River County,tasmin
"Middle of the Road
(SSP2-4.5)",Dec,Mid Century (2040-2069),25.686,7.014,17.003,Powder River County,tasmin
"Middle of the Road
(SSP2-4.5)",Feb,End-of-Century (2070-2099),26.573,15.636,22.656,Powder River County,tasmin
"Middle of the Road
(SSP2-4.5)",Feb,Mid Century (2040-2069),25.895,11.931,19.41,Powder River County,tasmin
"Middle of the Road
(SSP2-4.5)",Jan,End-of-Century (2070-2099),23.896,14.776,19.822,Powder River County,tasmin
"Middle of the Road
(SSP2-4.5)",Jan,Mid Century (2040-2069),24.3,8.066,16.656,Powder River County,tasmin
"Middle of the Road
(SSP2-4.5)",Jul,End-of-Century (2070-2099),67.804,61.502,63.518,Powder River County,tasmin
"Middle of the Road
(SSP2-4.5)",Jul,Mid Century (2040-2069),65.411,58.811,61.981,Powder River County,tasmin
"Middle of the Road
(SSP2-4.5)",Jun,End-of-Century (2070-2099),60.059,52.469,55.32,Powder River County,tasmin
"Middle of the Road
(SSP2-4.5)",Jun,Mid Century (2040-2069),58.628,51.089,54.714,Powder River County,tasmin
"Middle of the Road
(SSP2-4.5)",Mar,End-of-Century (2070-2099),29.602,24.015,27.188,Powder River County,tasmin
"Middle of the Road
(SSP2-4.5)",Mar,Mid Century (2040-2069),29.504,21.547,25.648,Powder River County,tasmin
"Middle of the Road
(SSP2-4.5)",May,End-of-Century (2070-2099),50.013,44.326,46.709,Powder River County,tasmin
"Middle of the Road
(SSP2-4.5)",May,Mid Century (2040-2069),49.128,41.78,45.011,Powder River County,tasmin
"Middle of the Road
(SSP2-4.5)",Nov,End-of-Century (2070-2099),31.04,22.48,26.343,Powder River County,tasmin
"Middle of the Road
(SSP2-4.5)",Nov,Mid Century (2040-2069),30.068,19.305,25.225,Powder River County,tasmin
"Middle of the Road
(SSP2-4.5)",Oct,End-of-Century (2070-2099),43.716,35.5,40.142,Powder River County,tasmin
"Middle of the Road
(SSP2-4.5)",Oct,Mid Century (2040-2069),42.802,32.864,37.873,Powder River County,tasmin
"Middle of the Road
(SSP2-4.5)",Sep,End-of-Century (2070-2099),55.728,46.436,52.474,Powder River County,tasmin
"Middle of the Road
(SSP2-4.5)",Sep,Mid Century (2040-2069),54.309,46.468,49.68,Powder River County,tasmin
"High Emissions
(SSP3-7.0)",Apr,End-of-Century (2070-2099),42.215,34.929,38.174,Powder River County,tasmin
"High Emissions
(SSP3-7.0)",Apr,Mid Century (2040-2069),39.248,32.082,35.468,Powder River County,tasmin
"High Emissions
(SSP3-7.0)",Aug,End-of-Century (2070-2099),72.52,62.829,68.502,Powder River County,tasmin
"High Emissions
(SSP3-7.0)",Aug,Mid Century (2040-2069),65.533,58.318,61.721,Powder River County,tasmin
"High Emissions
(SSP3-7.0)",Dec,End-of-Century (2070-2099),31.624,15.83,23.541,Powder River County,tasmin
"High Emissions
(SSP3-7.0)",Dec,Mid Century (2040-2069),25.142,9.401,19.079,Powder River County,tasmin
"High Emissions
(SSP3-7.0)",Feb,End-of-Century (2070-2099),30.705,16.663,22.679,Powder River County,tasmin
"High Emissions
(SSP3-7.0)",Feb,Mid Century (2040-2069),26.172,11.103,20.677,Powder River County,tasmin
"High Emissions
(SSP3-7.0)",Jan,End-of-Century (2070-2099),30.643,11.872,18.896,Powder River County,tasmin
"High Emissions
(SSP3-7.0)",Jan,Mid Century (2040-2069),24.908,8.227,17.254,Powder River County,tasmin
"High Emissions
(SSP3-7.0)",Jul,End-of-Century (2070-2099),74.062,66.444,68.534,Powder River County,tasmin
"High Emissions
(SSP3-7.0)",Jul,Mid Century (2040-2069),66.557,59.129,62.317,Powder River County,tasmin
"High Emissions
(SSP3-7.0)",Jun,End-of-Century (2070-2099),62.863,57.62,60.536,Powder River County,tasmin
"High Emissions
(SSP3-7.0)",Jun,Mid Century (2040-2069),59.443,52.465,55.706,Powder River County,tasmin
"High Emissions
(SSP3-7.0)",Mar,End-of-Century (2070-2099),33.997,25.881,29.561,Powder River County,tasmin
"High Emissions
(SSP3-7.0)",Mar,Mid Century (2040-2069),30.271,21.608,25.997,Powder River County,tasmin
"High Emissions
(SSP3-7.0)",May,End-of-Century (2070-2099),52.493,47.188,50.418,Powder River County,tasmin
"High Emissions
(SSP3-7.0)",May,Mid Century (2040-2069),49.493,42.133,45.51,Powder River County,tasmin
"High Emissions
(SSP3-7.0)",Nov,End-of-Century (2070-2099),32.643,22.306,28.817,Powder River County,tasmin
"High Emissions
(SSP3-7.0)",Nov,Mid Century (2040-2069),30.23,20.081,25.933,Powder River County,tasmin
