year,scenario,upper,lower,value,location,variable
1950,Historical Emissions,29.864,26.58,27.848,Sheridan County,tasmin
1951,Historical Emissions,29.497,26.117,28.02,Sheridan County,tasmin
1952,Historical Emissions,29.474,25.694,27.763,Sheridan County,tasmin
1953,Historical Emissions,28.651,25.19,27.778,Sheridan County,tasmin
1954,Historical Emissions,31.285,24.547,27.115,Sheridan County,tasmin
1955,Historical Emissions,30.571,26.283,27.75,Sheridan County,tasmin
1956,Historical Emissions,30.717,27.164,28.268,Sheridan County,tasmin
1957,Historical Emissions,31.172,27.519,28.518,Sheridan County,tasmin
1958,Historical Emissions,30.966,25.122,28.3,Sheridan County,tasmin
1959,Historical Emissions,28.158,24.752,27.299,Sheridan County,tasmin
1960,Historical Emissions,30.094,23.968,28.391,Sheridan County,tasmin
1961,Historical Emissions,30.984,26.145,28.94,Sheridan County,tasmin
1962,Historical Emissions,28.671,25.593,27.137,Sheridan County,tasmin
1963,Historical Emissions,28.6,26.595,27.707,Sheridan County,tasmin
1964,Historical Emissions,29.825,26.356,29.397,Sheridan County,tasmin
1965,Historical Emissions,29.173,26.001,27.689,Sheridan County,tasmin
1966,Historical Emissions,30.131,25.558,27.533,Sheridan County,tasmin
1967,Historical Emissions,28.352,25.63,27.967,Sheridan County,tasmin
1968,Historical Emissions,27.693,24.752,26.776,Sheridan County,tasmin
1969,Historical Emissions,29.246,25.813,28.023,Sheridan County,tasmin
1970,Historical Emissions,30.2,26.341,27.753,Sheridan County,tasmin
1971,Historical Emissions,31.696,28.487,29.492,Sheridan County,tasmin
1972,Historical Emissions,30.061,26.058,28.368,Sheridan County,tasmin
1973,Historical Emissions,29.58,26.126,28.361,Sheridan County,tasmin
1974,Historical Emissions,30.832,25.187,28.774,Sheridan County,tasmin
1975,Historical Emissions,29.847,24.9,28.637,Sheridan County,tasmin
1976,Historical Emissions,29.424,25.414,27.769,Sheridan County,tasmin
1977,Historical Emissions,30.934,26.677,29.267,Sheridan County,tasmin
1978,Historical Emissions,29.886,26.098,28.141,Sheridan County,tasmin
1979,Historical Emissions,31.499,25.799,29.035,Sheridan County,tasmin
1980,Historical Emissions,29.017,26.178,27.156,Sheridan County,tasmin
1981,Historical Emissions,29.854,27.301,28.581,Sheridan County,tasmin
1982,Historical Emissions,29.606,27.272,28.079,Sheridan County,tasmin
1983,Historical Emissions,30.337,25.489,28.206,Sheridan County,tasmin
1984,Historical Emissions,30.253,26.687,28.355,Sheridan County,tasmin
1985,Historical Emissions,30.952,27.435,28.555,Sheridan County,tasmin
1986,Historical Emissions,28.594,26.252,27.499,Sheridan County,tasmin
1987,Historical Emissions,30.432,24.283,27.748,Sheridan County,tasmin
1988,Historical Emissions,29.707,25.901,28.902,Sheridan County,tasmin
1989,Historical Emissions,30.562,27.096,29.275,Sheridan County,tasmin
1990,Historical Emissions,32.043,28.24,30.154,Sheridan County,tasmin
1991,Historical Emissions,30.841,26.808,28.283,Sheridan County,tasmin
1992,Historical Emissions,31.245,26.443,28.334,Sheridan County,tasmin
1993,Historical Emissions,30.921,27.362,28.827,Sheridan County,tasmin
1994,Historical Emissions,30.893,27.761,29.578,Sheridan County,tasmin
