scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Apr,Mid Century (2040-2069),32.107,26.408,29.469,Teton County,tasmin
Historical Emissions,Aug,Mid Century (2040-2069),52.904,46.871,49.664,Teton County,tasmin
Historical Emissions,Dec,Mid Century (2040-2069),24.244,6.454,15.963,Teton County,tasmin
Historical Emissions,Feb,Mid Century (2040-2069),25.94,8.401,18.19,Teton County,tasmin
Historical Emissions,Jan,Mid Century (2040-2069),22.064,4.213,14.448,Teton County,tasmin
Historical Emissions,Jul,Mid Century (2040-2069),53.824,47.597,50.726,Teton County,tasmin
Historical Emissions,Jun,Mid Century (2040-2069),49.006,42.636,45.767,Teton County,tasmin
Historical Emissions,Mar,Mid Century (2040-2069),27.278,15.932,23.329,Teton County,tasmin
Historical Emissions,May,Mid Century (2040-2069),41.546,35.359,38.126,Teton County,tasmin
Historical Emissions,Nov,Mid Century (2040-2069),30.265,17.793,24.247,Teton County,tasmin
Historical Emissions,Oct,Mid Century (2040-2069),37.401,29.983,33.693,Teton County,tasmin
Historical Emissions,Sep,Mid Century (2040-2069),45.782,38.747,42.254,Teton County,tasmin
Historical Emissions,Apr,End-of-Century (2070-2099),32.107,26.408,29.469,Teton County,tasmin
Historical Emissions,Aug,End-of-Century (2070-2099),52.904,46.871,49.664,Teton County,tasmin
Historical Emissions,Dec,End-of-Century (2070-2099),24.244,6.454,15.963,Teton County,tasmin
Historical Emissions,Feb,End-of-Century (2070-2099),25.94,8.401,18.19,Teton County,tasmin
Historical Emissions,Jan,End-of-Century (2070-2099),22.064,4.213,14.448,Teton County,tasmin
Historical Emissions,Jul,End-of-Century (2070-2099),53.824,47.597,50.726,Teton County,tasmin
Historical Emissions,Jun,End-of-Century (2070-2099),49.006,42.636,45.767,Teton County,tasmin
Historical Emissions,Mar,End-of-Century (2070-2099),27.278,15.932,23.329,Teton County,tasmin
Historical Emissions,May,End-of-Century (2070-2099),41.546,35.359,38.126,Teton County,tasmin
Historical Emissions,Nov,End-of-Century (2070-2099),30.265,17.793,24.247,Teton County,tasmin
Historical Emissions,Oct,End-of-Century (2070-2099),37.401,29.983,33.693,Teton County,tasmin
Historical Emissions,Sep,End-of-Century (2070-2099),45.782,38.747,42.254,Teton County,tasmin
"Moderating Emissions
(SSP1-2.6)",Apr,End-of-Century (2070-2099),34.792,30.091,31.805,Teton County,tasmin
"Moderating Emissions
(SSP1-2.6)",Apr,Mid Century (2040-2069),34.597,28.56,31.381,Teton County,tasmin
"Moderating Emissions
(SSP1-2.6)",Aug,End-of-Century (2070-2099),56.526,49.141,52.078,Teton County,tasmin
"Moderating Emissions
(SSP1-2.6)",Aug,Mid Century (2040-2069),56.174,49.735,52.83,Teton County,tasmin
"Moderating Emissions
(SSP1-2.6)",Dec,End-of-Century (2070-2099),27.158,3.245,20.264,Teton County,tasmin
"Moderating Emissions
(SSP1-2.6)",Dec,Mid Century (2040-2069),27.5,9.698,20.52,Teton County,tasmin
"Moderating Emissions
(SSP1-2.6)",Feb,End-of-Century (2070-2099),31.538,17.041,22.779,Teton County,tasmin
"Moderating Emissions
(SSP1-2.6)",Feb,Mid Century (2040-2069),28.761,11.544,21.465,Teton County,tasmin
"Moderating Emissions
(SSP1-2.6)",Jan,End-of-Century (2070-2099),27.477,7.708,16.371,Teton County,tasmin
"Moderating Emissions
(SSP1-2.6)",Jan,Mid Century (2040-2069),24.964,8.497,17.651,Teton County,tasmin
"Moderating Emissions
(SSP1-2.6)",Jul,End-of-Century (2070-2099),56.426,50.683,52.522,Teton County,tasmin
"Moderating Emissions
(SSP1-2.6)",Jul,Mid Century (2040-2069),56.318,50.633,53.444,Teton County,tasmin
"Moderating Emissions
(SSP1-2.6)",Jun,End-of-Century (2070-2099),51.563,44.507,47.743,Teton County,tasmin
"Moderating Emissions
(SSP1-2.6)",Jun,Mid Century (2040-2069),51.454,44.67,47.807,Teton County,tasmin
"Moderating Emissions
(SSP1-2.6)",Mar,End-of-Century (2070-2099),28.336,20.205,25.486,Teton County,tasmin
"Moderating Emissions
(SSP1-2.6)",Mar,Mid Century (2040-2069),28.903,19.178,25.469,Teton County,tasmin
