scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Apr,Mid Century (2040-2069),35.379,28.511,31.767,Prairie Elk-Wolf,tasmin
Historical Emissions,Aug,Mid Century (2040-2069),59.371,52.544,56.009,Prairie Elk-Wolf,tasmin
Historical Emissions,Dec,Mid Century (2040-2069),17.863,-1.731,8.687,Prairie Elk-Wolf,tasmin
Historical Emissions,Feb,Mid Century (2040-2069),19.834,0.659,10.932,Prairie Elk-Wolf,tasmin
Historical Emissions,Jan,Mid Century (2040-2069),14.716,-5.398,5.083,Prairie Elk-Wolf,tasmin
Historical Emissions,Jul,Mid Century (2040-2069),61.179,54.256,57.609,Prairie Elk-Wolf,tasmin
Historical Emissions,Jun,Mid Century (2040-2069),55.354,48.519,51.75,Prairie Elk-Wolf,tasmin
Historical Emissions,Mar,Mid Century (2040-2069),25.737,13.316,21.284,Prairie Elk-Wolf,tasmin
Historical Emissions,May,Mid Century (2040-2069),46.624,39.483,42.544,Prairie Elk-Wolf,tasmin
Historical Emissions,Nov,Mid Century (2040-2069),26.065,13.59,20.947,Prairie Elk-Wolf,tasmin
Historical Emissions,Oct,Mid Century (2040-2069),38.816,29.354,34.085,Prairie Elk-Wolf,tasmin
Historical Emissions,Sep,Mid Century (2040-2069),50.244,41.858,46.105,Prairie Elk-Wolf,tasmin
Historical Emissions,Apr,End-of-Century (2070-2099),35.379,28.511,31.767,Prairie Elk-Wolf,tasmin
Historical Emissions,Aug,End-of-Century (2070-2099),59.371,52.544,56.009,Prairie Elk-Wolf,tasmin
Historical Emissions,Dec,End-of-Century (2070-2099),17.863,-1.731,8.687,Prairie Elk-Wolf,tasmin
Historical Emissions,Feb,End-of-Century (2070-2099),19.834,0.659,10.932,Prairie Elk-Wolf,tasmin
Historical Emissions,Jan,End-of-Century (2070-2099),14.716,-5.398,5.083,Prairie Elk-Wolf,tasmin
Historical Emissions,Jul,End-of-Century (2070-2099),61.179,54.256,57.609,Prairie Elk-Wolf,tasmin
