scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Apr,Mid Century (2040-2069),36.646,30.342,33.297,Big Porcupine,tasmin
Historical Emissions,Aug,Mid Century (2040-2069),60.296,53.851,56.972,Big Porcupine,tasmin
Historical Emissions,Dec,Mid Century (2040-2069),20.237,2.439,11.661,Big Porcupine,tasmin
Historical Emissions,Feb,Mid Century (2040-2069),23.015,6.786,15.687,Big Porcupine,tasmin
Historical Emissions,Jan,Mid Century (2040-2069),19.049,0.03,10.555,Big Porcupine,tasmin
Historical Emissions,Jul,Mid Century (2040-2069),62.172,55.683,58.955,Big Porcupine,tasmin
Historical Emissions,Jun,Mid Century (2040-2069),56.39,49.447,53.027,Big Porcupine,tasmin
Historical Emissions,Mar,Mid Century (2040-2069),27.638,17.774,24.214,Big Porcupine,tasmin
Historical Emissions,May,Mid Century (2040-2069),47.437,40.423,43.596,Big Porcupine,tasmin
Historical Emissions,Nov,Mid Century (2040-2069),27.718,16.453,22.816,Big Porcupine,tasmin
Historical Emissions,Oct,Mid Century (2040-2069),39.824,30.803,35.075,Big Porcupine,tasmin
Historical Emissions,Sep,Mid Century (2040-2069),51.088,42.951,47.018,Big Porcupine,tasmin
Historical Emissions,Apr,End-of-Century (2070-2099),36.646,30.342,33.297,Big Porcupine,tasmin
Historical Emissions,Aug,End-of-Century (2070-2099),60.296,53.851,56.972,Big Porcupine,tasmin
Historical Emissions,Dec,End-of-Century (2070-2099),20.237,2.439,11.661,Big Porcupine,tasmin
Historical Emissions,Feb,End-of-Century (2070-2099),23.015,6.786,15.687,Big Porcupine,tasmin
Historical Emissions,Jan,End-of-Century (2070-2099),19.049,0.03,10.555,Big Porcupine,tasmin
Historical Emissions,Jul,End-of-Century (2070-2099),62.172,55.683,58.955,Big Porcupine,tasmin
Historical Emissions,Jun,End-of-Century (2070-2099),56.39,49.447,53.027,Big Porcupine,tasmin
Historical Emissions,Mar,End-of-Century (2070-2099),27.638,17.774,24.214,Big Porcupine,tasmin
Historical Emissions,May,End-of-Century (2070-2099),47.437,40.423,43.596,Big Porcupine,tasmin
Historical Emissions,Nov,End-of-Century (2070-2099),27.718,16.453,22.816,Big Porcupine,tasmin
Historical Emissions,Oct,End-of-Century (2070-2099),39.824,30.803,35.075,Big Porcupine,tasmin
Historical Emissions,Sep,End-of-Century (2070-2099),51.088,42.951,47.018,Big Porcupine,tasmin
"Moderating Emissions
(SSP1-2.6)",Apr,End-of-Century (2070-2099),38.971,33.663,35.854,Big Porcupine,tasmin
"Moderating Emissions
(SSP1-2.6)",Apr,Mid Century (2040-2069),39.343,31.911,35.412,Big Porcupine,tasmin
"Moderating Emissions
(SSP1-2.6)",Aug,End-of-Century (2070-2099),62.724,56.265,60.212,Big Porcupine,tasmin
"Moderating Emissions
(SSP1-2.6)",Aug,Mid Century (2040-2069),63.274,57.397,60.15,Big Porcupine,tasmin
"Moderating Emissions
(SSP1-2.6)",Dec,End-of-Century (2070-2099),24.043,1.351,14.832,Big Porcupine,tasmin
"Moderating Emissions
(SSP1-2.6)",Dec,Mid Century (2040-2069),23.228,5.618,15.859,Big Porcupine,tasmin
"Moderating Emissions
(SSP1-2.6)",Feb,End-of-Century (2070-2099),29.806,13.113,20.061,Big Porcupine,tasmin
"Moderating Emissions
(SSP1-2.6)",Feb,Mid Century (2040-2069),25.548,10.252,18.345,Big Porcupine,tasmin
"Moderating Emissions
(SSP1-2.6)",Jan,End-of-Century (2070-2099),24.877,3.662,14.461,Big Porcupine,tasmin
"Moderating Emissions
(SSP1-2.6)",Jan,Mid Century (2040-2069),22.373,5.226,14.277,Big Porcupine,tasmin
"Moderating Emissions
(SSP1-2.6)",Jul,End-of-Century (2070-2099),64.547,56.935,61.784,Big Porcupine,tasmin
"Moderating Emissions
(SSP1-2.6)",Jul,Mid Century (2040-2069),65.192,58.257,61.628,Big Porcupine,tasmin
"Moderating Emissions
(SSP1-2.6)",Jun,End-of-Century (2070-2099),59.386,52.034,55.067,Big Porcupine,tasmin
"Moderating Emissions
(SSP1-2.6)",Jun,Mid Century (2040-2069),59.037,51.895,54.69,Big Porcupine,tasmin
"Moderating Emissions
(SSP1-2.6)",Mar,End-of-Century (2070-2099),28.513,21.041,25.336,Big Porcupine,tasmin
"Moderating Emissions
(SSP1-2.6)",Mar,Mid Century (2040-2069),30.013,20.624,25.362,Big Porcupine,tasmin
"Moderating Emissions
(SSP1-2.6)",May,End-of-Century (2070-2099),51.216,43.355,46.337,Big Porcupine,tasmin
"Moderating Emissions
(SSP1-2.6)",May,Mid Century (2040-2069),49.527,42.616,45.876,Big Porcupine,tasmin
"Moderating Emissions
(SSP1-2.6)",Nov,End-of-Century (2070-2099),26.922,16.227,24.24,Big Porcupine,tasmin
"Moderating Emissions
(SSP1-2.6)",Nov,Mid Century (2040-2069),28.705,19.764,24.136,Big Porcupine,tasmin
"Moderating Emissions
(SSP1-2.6)",Oct,End-of-Century (2070-2099),38.485,35.129,36.618,Big Porcupine,tasmin
