year,scenario,upper,lower,value,location,variable
1950,Historical Emissions,30.441,28.554,29.815,Yaak,tasmin
1951,Historical Emissions,30.084,27.61,29.535,Yaak,tasmin
1952,Historical Emissions,30.751,27.073,28.534,Yaak,tasmin
1953,Historical Emissions,30.017,27.927,29.269,Yaak,tasmin
1954,Historical Emissions,31.619,27.104,28.989,Yaak,tasmin
1955,Historical Emissions,30.466,27.604,29.431,Yaak,tasmin
1956,Historical Emissions,30.418,28.119,29.82,Yaak,tasmin
1957,Historical Emissions,31.126,27.754,30.018,Yaak,tasmin
1958,Historical Emissions,30.926,28.177,29.21,Yaak,tasmin
1959,Historical Emissions,29.795,27.628,28.72,Yaak,tasmin
1960,Historical Emissions,29.984,26.532,27.703,Yaak,tasmin
1961,Historical Emissions,30.804,28.251,29.418,Yaak,tasmin
1962,Historical Emissions,29.626,26.931,28.009,Yaak,tasmin
1963,Historical Emissions,29.59,28.064,28.755,Yaak,tasmin
1964,Historical Emissions,30.059,26.77,29.314,Yaak,tasmin
1965,Historical Emissions,29.799,27.992,29.113,Yaak,tasmin
1966,Historical Emissions,30.88,28.671,29.218,Yaak,tasmin
1967,Historical Emissions,30.295,27.27,28.941,Yaak,tasmin
1968,Historical Emissions,30.693,26.079,28.37,Yaak,tasmin
1969,Historical Emissions,30.104,27.638,28.822,Yaak,tasmin
1970,Historical Emissions,31.065,29.199,29.769,Yaak,tasmin
1971,Historical Emissions,31.54,28.246,30.528,Yaak,tasmin
1972,Historical Emissions,30.363,27.543,28.833,Yaak,tasmin
1973,Historical Emissions,30.741,27.524,28.917,Yaak,tasmin
1974,Historical Emissions,31.203,26.915,29.443,Yaak,tasmin
1975,Historical Emissions,30.443,26.754,29.555,Yaak,tasmin
1976,Historical Emissions,30.477,27.193,29.445,Yaak,tasmin
1977,Historical Emissions,31.972,29.424,30.241,Yaak,tasmin
1978,Historical Emissions,32.036,28.027,29.462,Yaak,tasmin
1979,Historical Emissions,31.49,28.249,29.932,Yaak,tasmin
1980,Historical Emissions,29.618,28.429,29.152,Yaak,tasmin
1981,Historical Emissions,31.393,29.019,29.785,Yaak,tasmin
1982,Historical Emissions,31.647,28.068,29.953,Yaak,tasmin
1983,Historical Emissions,31.334,27.806,28.626,Yaak,tasmin
1984,Historical Emissions,30.973,29.09,29.58,Yaak,tasmin
1985,Historical Emissions,30.96,28.66,30.085,Yaak,tasmin
1986,Historical Emissions,30.895,28.019,29.468,Yaak,tasmin
1987,Historical Emissions,30.653,27.308,28.927,Yaak,tasmin
1988,Historical Emissions,30.358,28.576,29.83,Yaak,tasmin
1989,Historical Emissions,30.597,28.972,29.546,Yaak,tasmin
1990,Historical Emissions,32.057,28.376,30.347,Yaak,tasmin
1991,Historical Emissions,31.818,27.482,29.832,Yaak,tasmin
1992,Historical Emissions,30.551,27.188,29.569,Yaak,tasmin
1993,Historical Emissions,31.748,27.558,29.483,Yaak,tasmin
