year,scenario,upper,lower,value,location,variable
1950,Historical Emissions,33.652,31.842,32.745,Lower Flathead,tasmin
1951,Historical Emissions,33.575,31.11,32.704,Lower Flathead,tasmin
1952,Historical Emissions,33.415,29.673,31.563,Lower Flathead,tasmin
1953,Historical Emissions,32.862,31.047,32.05,Lower Flathead,tasmin
1954,Historical Emissions,34.665,30.694,31.936,Lower Flathead,tasmin
1955,Historical Emissions,33.611,31.049,32.67,Lower Flathead,tasmin
1956,Historical Emissions,33.632,30.989,32.807,Lower Flathead,tasmin
1957,Historical Emissions,34.178,30.855,33.214,Lower Flathead,tasmin
1958,Historical Emissions,33.752,31.448,32.96,Lower Flathead,tasmin
1959,Historical Emissions,32.999,30.73,31.577,Lower Flathead,tasmin
1960,Historical Emissions,33.244,29.743,31.364,Lower Flathead,tasmin
1961,Historical Emissions,33.446,31.401,32.581,Lower Flathead,tasmin
1962,Historical Emissions,32.828,30.098,31.097,Lower Flathead,tasmin
1963,Historical Emissions,32.898,31.089,31.78,Lower Flathead,tasmin
1964,Historical Emissions,33.34,30.56,32.591,Lower Flathead,tasmin
1965,Historical Emissions,33.004,31.096,32.61,Lower Flathead,tasmin
1966,Historical Emissions,33.84,31.857,32.611,Lower Flathead,tasmin
1967,Historical Emissions,33.148,30.374,31.978,Lower Flathead,tasmin
1968,Historical Emissions,33.478,29.467,32.049,Lower Flathead,tasmin
1969,Historical Emissions,33.125,30.603,31.642,Lower Flathead,tasmin
1970,Historical Emissions,34.247,32.388,32.764,Lower Flathead,tasmin
1971,Historical Emissions,34.642,31.129,33.296,Lower Flathead,tasmin
1972,Historical Emissions,33.646,30.848,32.249,Lower Flathead,tasmin
1973,Historical Emissions,33.91,31.034,32.445,Lower Flathead,tasmin
1974,Historical Emissions,34.533,30.06,32.307,Lower Flathead,tasmin
1975,Historical Emissions,33.442,30.183,33.065,Lower Flathead,tasmin
1976,Historical Emissions,33.485,30.386,32.739,Lower Flathead,tasmin
1977,Historical Emissions,34.761,32.694,33.335,Lower Flathead,tasmin
1978,Historical Emissions,35.525,30.913,32.494,Lower Flathead,tasmin
1979,Historical Emissions,34.357,31.827,33.278,Lower Flathead,tasmin
1980,Historical Emissions,32.749,31.679,32.497,Lower Flathead,tasmin
1981,Historical Emissions,34.668,32.189,33.348,Lower Flathead,tasmin
1982,Historical Emissions,34.74,31.321,33.309,Lower Flathead,tasmin
1983,Historical Emissions,34.668,31.071,31.656,Lower Flathead,tasmin
1984,Historical Emissions,34.151,32.312,32.65,Lower Flathead,tasmin
