year,scenario,upper,lower,value,location,variable
1950,Historical Emissions,0.746,0,0.222,Dillon,wet-days
1951,Historical Emissions,0.302,0,0.089,Dillon,wet-days
1952,Historical Emissions,1.604,0,0.378,Dillon,wet-days
1953,Historical Emissions,1.094,0.035,0.489,Dillon,wet-days
1954,Historical Emissions,0.889,0.058,0.377,Dillon,wet-days
1955,Historical Emissions,1.125,0.035,0.355,Dillon,wet-days
1956,Historical Emissions,0.595,0,0.333,Dillon,wet-days
1957,Historical Emissions,0.671,0.128,0.244,Dillon,wet-days
1958,Historical Emissions,1.03,0.018,0.49,Dillon,wet-days
1959,Historical Emissions,0.911,0,0.133,Dillon,wet-days
1960,Historical Emissions,0.551,0.151,0.245,Dillon,wet-days
1961,Historical Emissions,0.915,0.146,0.377,Dillon,wet-days
1962,Historical Emissions,1.022,0.018,0.445,Dillon,wet-days
1963,Historical Emissions,1.24,0.018,0.111,Dillon,wet-days
1964,Historical Emissions,1.164,0,0.155,Dillon,wet-days
1965,Historical Emissions,0.506,0.054,0.267,Dillon,wet-days
1966,Historical Emissions,1.094,0,0.355,Dillon,wet-days
1967,Historical Emissions,0.951,0,0.067,Dillon,wet-days
1968,Historical Emissions,0.782,0.035,0.111,Dillon,wet-days
1969,Historical Emissions,0.503,0.018,0.177,Dillon,wet-days
1970,Historical Emissions,0.288,0,0.177,Dillon,wet-days
1971,Historical Emissions,1.208,0.053,0.267,Dillon,wet-days
1972,Historical Emissions,0.875,0.142,0.733,Dillon,wet-days
1973,Historical Emissions,1.59,0.018,0.2,Dillon,wet-days
1974,Historical Emissions,0.605,0.022,0.156,Dillon,wet-days
1975,Historical Emissions,0.497,0.115,0.311,Dillon,wet-days
1976,Historical Emissions,0.96,0.076,0.333,Dillon,wet-days
1977,Historical Emissions,1.04,0.102,0.289,Dillon,wet-days
1978,Historical Emissions,0.577,0.035,0.377,Dillon,wet-days
1979,Historical Emissions,0.862,0,0.178,Dillon,wet-days
1980,Historical Emissions,0.977,0.093,0.422,Dillon,wet-days
1981,Historical Emissions,0.364,0,0.111,Dillon,wet-days
1982,Historical Emissions,0.782,0.121,0.534,Dillon,wet-days
1983,Historical Emissions,0.631,0,0.178,Dillon,wet-days
1984,Historical Emissions,0.751,0.084,0.422,Dillon,wet-days
1985,Historical Emissions,1.022,0.035,0.244,Dillon,wet-days
1986,Historical Emissions,1.045,0.058,0.578,Dillon,wet-days
1987,Historical Emissions,0.466,0.044,0.2,Dillon,wet-days
1988,Historical Emissions,1.124,0.053,0.289,Dillon,wet-days
1989,Historical Emissions,1.414,0.035,0.089,Dillon,wet-days
1990,Historical Emissions,0.502,0,0.111,Dillon,wet-days
1991,Historical Emissions,0.898,0.12,0.399,Dillon,wet-days
1992,Historical Emissions,0.36,0.076,0.178,Dillon,wet-days
1993,Historical Emissions,0.556,0.035,0.222,Dillon,wet-days
1994,Historical Emissions,0.658,0.018,0.244,Dillon,wet-days
1995,Historical Emissions,0.533,0.018,0.156,Dillon,wet-days
1996,Historical Emissions,0.493,0,0.111,Dillon,wet-days
1997,Historical Emissions,0.986,0.071,0.556,Dillon,wet-days
1998,Historical Emissions,0.898,0.018,0.2,Dillon,wet-days
1999,Historical Emissions,0.924,0.04,0.311,Dillon,wet-days
2000,Historical Emissions,0.675,0.018,0.177,Dillon,wet-days
2001,Historical Emissions,1.054,0.249,0.4,Dillon,wet-days
2002,Historical Emissions,0.756,0.018,0.267,Dillon,wet-days
2003,Historical Emissions,0.538,0.018,0.067,Dillon,wet-days
2004,Historical Emissions,0.884,0.231,0.711,Dillon,wet-days
2005,Historical Emissions,0.791,0.071,0.267,Dillon,wet-days
2006,Historical Emissions,0.399,0.035,0.156,Dillon,wet-days
2007,Historical Emissions,0.711,0.053,0.244,Dillon,wet-days
2008,Historical Emissions,0.685,0.089,0.311,Dillon,wet-days
2009,Historical Emissions,1.805,0.098,0.555,Dillon,wet-days
2010,Historical Emissions,1.071,0.057,0.155,Dillon,wet-days
2011,Historical Emissions,0.809,0.018,0.311,Dillon,wet-days
2012,Historical Emissions,0.648,0,0.156,Dillon,wet-days
2013,Historical Emissions,1.143,0,0.067,Dillon,wet-days
2014,Historical Emissions,0.658,0.018,0.155,Dillon,wet-days
2015,"Moderating Emissions
(SSP1-2.6)",0.862,0,0.4,Dillon,wet-days
2015,"Middle of the Road
(SSP2-4.5)",0.715,0,0.156,Dillon,wet-days
2015,"High Emissions
(SSP3-7.0)",0.431,0,0.156,Dillon,wet-days
2015,"Accelerating Emissions
(SSP5-8.5)",1.235,0,0.289,Dillon,wet-days
2016,"Moderating Emissions
(SSP1-2.6)",0.364,0.076,0.178,Dillon,wet-days
2016,"Middle of the Road
(SSP2-4.5)",1.32,0.067,0.244,Dillon,wet-days
2016,"High Emissions
(SSP3-7.0)",0.87,0.182,0.467,Dillon,wet-days
2016,"Accelerating Emissions
(SSP5-8.5)",0.964,0,0.044,Dillon,wet-days
2017,"Moderating Emissions
(SSP1-2.6)",0.787,0.093,0.311,Dillon,wet-days
2017,"Middle of the Road
(SSP2-4.5)",0.996,0.169,0.467,Dillon,wet-days
2017,"High Emissions
(SSP3-7.0)",0.932,0.018,0.2,Dillon,wet-days
2017,"Accelerating Emissions
(SSP5-8.5)",0.782,0.058,0.511,Dillon,wet-days
2018,"Moderating Emissions
(SSP1-2.6)",0.529,0.08,0.289,Dillon,wet-days
2018,"Middle of the Road
(SSP2-4.5)",0.702,0.071,0.2,Dillon,wet-days
2018,"High Emissions
(SSP3-7.0)",1.277,0.076,0.133,Dillon,wet-days
2018,"Accelerating Emissions
(SSP5-8.5)",1.226,0,0.022,Dillon,wet-days
2019,"Moderating Emissions
(SSP1-2.6)",0.871,0.098,0.667,Dillon,wet-days
2019,"Middle of the Road
(SSP2-4.5)",1.164,0.018,0.511,Dillon,wet-days
2019,"High Emissions
(SSP3-7.0)",0.729,0.164,0.311,Dillon,wet-days
2019,"Accelerating Emissions
(SSP5-8.5)",0.773,0.018,0.356,Dillon,wet-days
2020,"Moderating Emissions
(SSP1-2.6)",0.925,0.022,0.333,Dillon,wet-days
2020,"Middle of the Road
(SSP2-4.5)",0.768,0,0.156,Dillon,wet-days
2020,"High Emissions
(SSP3-7.0)",0.911,0.018,0.2,Dillon,wet-days
2020,"Accelerating Emissions
(SSP5-8.5)",0.778,0.124,0.244,Dillon,wet-days
2021,"Moderating Emissions
(SSP1-2.6)",0.743,0.093,0.378,Dillon,wet-days
2021,"Middle of the Road
(SSP2-4.5)",0.613,0,0.178,Dillon,wet-days
2021,"High Emissions
(SSP3-7.0)",1.142,0,0.223,Dillon,wet-days
2021,"Accelerating Emissions
(SSP5-8.5)",0.751,0.107,0.511,Dillon,wet-days
2022,"Moderating Emissions
(SSP1-2.6)",0.547,0.035,0.222,Dillon,wet-days
2022,"Middle of the Road
(SSP2-4.5)",0.84,0.16,0.445,Dillon,wet-days
2022,"High Emissions
(SSP3-7.0)",1.227,0.018,0.8,Dillon,wet-days
2022,"Accelerating Emissions
(SSP5-8.5)",0.782,0.035,0.511,Dillon,wet-days
2023,"Moderating Emissions
(SSP1-2.6)",1.519,0.035,0.756,Dillon,wet-days
2023,"Middle of the Road
(SSP2-4.5)",0.858,0.071,0.422,Dillon,wet-days
