year,scenario,upper,lower,value,location,variable
1950,Historical Emissions,1.84,0.52,1,Upper Coeur d'Alene,wet-days
1951,Historical Emissions,1.72,0,1,Upper Coeur d'Alene,wet-days
1952,Historical Emissions,2.16,0,1,Upper Coeur d'Alene,wet-days
1953,Historical Emissions,2.04,0,1,Upper Coeur d'Alene,wet-days
1954,Historical Emissions,2.92,0.64,1.4,Upper Coeur d'Alene,wet-days
1955,Historical Emissions,1.84,0,0.4,Upper Coeur d'Alene,wet-days
1956,Historical Emissions,2.08,0,0,Upper Coeur d'Alene,wet-days
1957,Historical Emissions,2.12,0,1,Upper Coeur d'Alene,wet-days
1958,Historical Emissions,2.4,0,1,Upper Coeur d'Alene,wet-days
1959,Historical Emissions,1.64,0,1,Upper Coeur d'Alene,wet-days
1960,Historical Emissions,1.52,0.16,0.6,Upper Coeur d'Alene,wet-days
1961,Historical Emissions,1.08,0,0,Upper Coeur d'Alene,wet-days
1962,Historical Emissions,2.52,0,0.4,Upper Coeur d'Alene,wet-days
1963,Historical Emissions,2.44,0,0.6,Upper Coeur d'Alene,wet-days
1964,Historical Emissions,2.16,0,0.6,Upper Coeur d'Alene,wet-days
1965,Historical Emissions,1,0,0,Upper Coeur d'Alene,wet-days
1966,Historical Emissions,3.16,0,1,Upper Coeur d'Alene,wet-days
1967,Historical Emissions,3.12,0,0,Upper Coeur d'Alene,wet-days
1968,Historical Emissions,2.72,0,0.8,Upper Coeur d'Alene,wet-days
1969,Historical Emissions,2.08,0,0,Upper Coeur d'Alene,wet-days
1970,Historical Emissions,2.52,0,1.2,Upper Coeur d'Alene,wet-days
1971,Historical Emissions,2.04,0,0,Upper Coeur d'Alene,wet-days
1972,Historical Emissions,1.84,0,1,Upper Coeur d'Alene,wet-days
1973,Historical Emissions,1.48,0,0.4,Upper Coeur d'Alene,wet-days
1974,Historical Emissions,2.12,0,1.2,Upper Coeur d'Alene,wet-days
1975,Historical Emissions,1.44,0,1,Upper Coeur d'Alene,wet-days
1976,Historical Emissions,1,0,0,Upper Coeur d'Alene,wet-days
