name,id,variable,date,value
Teton,10030205,afg,1986-01-01,8.839
Teton,10030205,afg,1987-01-01,6.499
Teton,10030205,afg,1988-01-01,4.126
Teton,10030205,afg,1989-01-01,5.44
Teton,10030205,afg,1990-01-01,5.767
Teton,10030205,afg,1991-01-01,4.149
Teton,10030205,afg,1992-01-01,3.624
Teton,10030205,afg,1993-01-01,6.979
Teton,10030205,afg,1994-01-01,4.831
Teton,10030205,afg,1995-01-01,5.413
Teton,10030205,afg,1996-01-01,4.169
Teton,10030205,afg,1997-01-01,4.072
Teton,10030205,afg,1998-01-01,4.376
Teton,10030205,afg,1999-01-01,5.702
Teton,10030205,afg,2000-01-01,4.477
Teton,10030205,afg,2001-01-01,4.32
Teton,10030205,afg,2002-01-01,6.229
Teton,10030205,afg,2003-01-01,4.892
Teton,10030205,afg,2004-01-01,8.051
Teton,10030205,afg,2005-01-01,7.954
Teton,10030205,afg,2006-01-01,7.566
Teton,10030205,afg,2007-01-01,6.857
Teton,10030205,afg,2008-01-01,6.345
Teton,10030205,afg,2009-01-01,3.271
Teton,10030205,afg,2010-01-01,4.05
Teton,10030205,afg,2011-01-01,4.156
Teton,10030205,afg,2012-01-01,4.787
Teton,10030205,afg,2013-01-01,5.722
Teton,10030205,afg,2014-01-01,4.624
Teton,10030205,afg,2015-01-01,4.738
Teton,10030205,afg,2016-01-01,7.023
Teton,10030205,afg,2017-01-01,8.246
Teton,10030205,afg,2018-01-01,7.727
Teton,10030205,afg,2019-01-01,6.616
Teton,10030205,afg,2020-01-01,5.02
