name,id,variable,date,value
Missoula,missoula,afgnpp,1986-01-01,0.002
Missoula,missoula,afgnpp,1987-01-01,0.002
Missoula,missoula,afgnpp,1988-01-01,0.003
Missoula,missoula,afgnpp,1989-01-01,0.002
Missoula,missoula,afgnpp,1990-01-01,0.001
Missoula,missoula,afgnpp,1991-01-01,0.001
Missoula,missoula,afgnpp,1992-01-01,0.001
Missoula,missoula,afgnpp,1993-01-01,0.002
Missoula,missoula,afgnpp,1994-01-01,0.002
Missoula,missoula,afgnpp,1995-01-01,0.004
Missoula,missoula,afgnpp,1996-01-01,0.002
Missoula,missoula,afgnpp,1997-01-01,0.002
Missoula,missoula,afgnpp,1998-01-01,0.002
Missoula,missoula,afgnpp,1999-01-01,0.002
Missoula,missoula,afgnpp,2000-01-01,0.002
Missoula,missoula,afgnpp,2001-01-01,0.003
Missoula,missoula,afgnpp,2002-01-01,0.003
Missoula,missoula,afgnpp,2003-01-01,0.003
Missoula,missoula,afgnpp,2004-01-01,0.005
Missoula,missoula,afgnpp,2005-01-01,0.005
Missoula,missoula,afgnpp,2006-01-01,0.005
Missoula,missoula,afgnpp,2007-01-01,0.004
Missoula,missoula,afgnpp,2008-01-01,0.003
Missoula,missoula,afgnpp,2009-01-01,0.003
Missoula,missoula,afgnpp,2010-01-01,0.004
Missoula,missoula,afgnpp,2011-01-01,0.002
Missoula,missoula,afgnpp,2012-01-01,0.003
Missoula,missoula,afgnpp,2013-01-01,0.003
Missoula,missoula,afgnpp,2014-01-01,0.004
Missoula,missoula,afgnpp,2015-01-01,0.005
Missoula,missoula,afgnpp,2016-01-01,0.007
Missoula,missoula,afgnpp,2017-01-01,0.006
Missoula,missoula,afgnpp,2018-01-01,0.006
Missoula,missoula,afgnpp,2019-01-01,0.005
Missoula,missoula,afgnpp,2020-01-01,0.004
