name,id,variable,date,value
Charlie-Little Muddy,10060005,bgr,1986-01-01,21.334
Charlie-Little Muddy,10060005,bgr,1987-01-01,15.747
Charlie-Little Muddy,10060005,bgr,1988-01-01,19.509
Charlie-Little Muddy,10060005,bgr,1989-01-01,20.806
Charlie-Little Muddy,10060005,bgr,1990-01-01,17.542
Charlie-Little Muddy,10060005,bgr,1991-01-01,14.131
Charlie-Little Muddy,10060005,bgr,1992-01-01,10.799
Charlie-Little Muddy,10060005,bgr,1993-01-01,10.055
Charlie-Little Muddy,10060005,bgr,1994-01-01,8.165
Charlie-Little Muddy,10060005,bgr,1995-01-01,8.105
Charlie-Little Muddy,10060005,bgr,1996-01-01,8.633
Charlie-Little Muddy,10060005,bgr,1997-01-01,10.653
Charlie-Little Muddy,10060005,bgr,1998-01-01,11.345
Charlie-Little Muddy,10060005,bgr,1999-01-01,6.816
Charlie-Little Muddy,10060005,bgr,2000-01-01,7.041
Charlie-Little Muddy,10060005,bgr,2001-01-01,6.522
Charlie-Little Muddy,10060005,bgr,2002-01-01,7.392
Charlie-Little Muddy,10060005,bgr,2003-01-01,7.837
Charlie-Little Muddy,10060005,bgr,2004-01-01,8.387
Charlie-Little Muddy,10060005,bgr,2005-01-01,6.625
Charlie-Little Muddy,10060005,bgr,2006-01-01,7.61
Charlie-Little Muddy,10060005,bgr,2007-01-01,7.901
Charlie-Little Muddy,10060005,bgr,2008-01-01,10.318
Charlie-Little Muddy,10060005,bgr,2009-01-01,8.97
Charlie-Little Muddy,10060005,bgr,2010-01-01,6.383
Charlie-Little Muddy,10060005,bgr,2011-01-01,5.522
Charlie-Little Muddy,10060005,bgr,2012-01-01,5.83
Charlie-Little Muddy,10060005,bgr,2013-01-01,5.386
Charlie-Little Muddy,10060005,bgr,2014-01-01,5.798
Charlie-Little Muddy,10060005,bgr,2015-01-01,5.198
Charlie-Little Muddy,10060005,bgr,2016-01-01,5.265
Charlie-Little Muddy,10060005,bgr,2017-01-01,7.434
Charlie-Little Muddy,10060005,bgr,2018-01-01,7.817
Charlie-Little Muddy,10060005,bgr,2019-01-01,6.268
Charlie-Little Muddy,10060005,bgr,2020-01-01,4.62
