name,id,variable,date,value
Blackfeet,blackfeet,bgr,1986-01-01,10.415
Blackfeet,blackfeet,bgr,1987-01-01,9.269
Blackfeet,blackfeet,bgr,1988-01-01,9.145
Blackfeet,blackfeet,bgr,1989-01-01,9.833
Blackfeet,blackfeet,bgr,1990-01-01,7.6
Blackfeet,blackfeet,bgr,1991-01-01,7.493
Blackfeet,blackfeet,bgr,1992-01-01,7.738
Blackfeet,blackfeet,bgr,1993-01-01,7.123
Blackfeet,blackfeet,bgr,1994-01-01,6.252
Blackfeet,blackfeet,bgr,1995-01-01,4.476
Blackfeet,blackfeet,bgr,1996-01-01,3.116
Blackfeet,blackfeet,bgr,1997-01-01,4.634
Blackfeet,blackfeet,bgr,1998-01-01,5.759
Blackfeet,blackfeet,bgr,1999-01-01,6.602
Blackfeet,blackfeet,bgr,2000-01-01,8.287
Blackfeet,blackfeet,bgr,2001-01-01,9.984
Blackfeet,blackfeet,bgr,2002-01-01,9.719
Blackfeet,blackfeet,bgr,2003-01-01,7.217
Blackfeet,blackfeet,bgr,2004-01-01,7.813
Blackfeet,blackfeet,bgr,2005-01-01,6.243
Blackfeet,blackfeet,bgr,2006-01-01,5.89
Blackfeet,blackfeet,bgr,2007-01-01,7.27
Blackfeet,blackfeet,bgr,2008-01-01,9.398
Blackfeet,blackfeet,bgr,2009-01-01,8.976
Blackfeet,blackfeet,bgr,2010-01-01,7.326
Blackfeet,blackfeet,bgr,2011-01-01,5.804
Blackfeet,blackfeet,bgr,2012-01-01,6.149
Blackfeet,blackfeet,bgr,2013-01-01,5.605
Blackfeet,blackfeet,bgr,2014-01-01,5.025
Blackfeet,blackfeet,bgr,2015-01-01,4.725
Blackfeet,blackfeet,bgr,2016-01-01,5.127
Blackfeet,blackfeet,bgr,2017-01-01,3.977
Blackfeet,blackfeet,bgr,2018-01-01,5.377
Blackfeet,blackfeet,bgr,2019-01-01,6.219
Blackfeet,blackfeet,bgr,2020-01-01,5.316
