name,id,variable,date,value
Wheatland County,30107,erc,1979-01-01,18.839
Wheatland County,30107,erc,1979-02-01,23.809
Wheatland County,30107,erc,1979-03-01,28.154
Wheatland County,30107,erc,1979-04-01,30.258
Wheatland County,30107,erc,1979-05-01,34.745
Wheatland County,30107,erc,1979-06-01,37.047
Wheatland County,30107,erc,1979-07-01,43.238
Wheatland County,30107,erc,1979-08-01,44.623
Wheatland County,30107,erc,1979-09-01,48.586
Wheatland County,30107,erc,1979-10-01,43.746
Wheatland County,30107,erc,1979-11-01,33.559
Wheatland County,30107,erc,1979-12-01,32.477
Wheatland County,30107,erc,1980-01-01,25.228
Wheatland County,30107,erc,1980-02-01,24.232
Wheatland County,30107,erc,1980-03-01,24.443
Wheatland County,30107,erc,1980-04-01,39.806
Wheatland County,30107,erc,1980-05-01,40.22
Wheatland County,30107,erc,1980-06-01,25.922
Wheatland County,30107,erc,1980-07-01,42.779
Wheatland County,30107,erc,1980-08-01,42.219
Wheatland County,30107,erc,1980-09-01,38.998
Wheatland County,30107,erc,1980-10-01,41.962
Wheatland County,30107,erc,1980-11-01,33.684
Wheatland County,30107,erc,1980-12-01,29.006
Wheatland County,30107,erc,1981-01-01,32.135
Wheatland County,30107,erc,1981-02-01,35.505
Wheatland County,30107,erc,1981-03-01,41.41
Wheatland County,30107,erc,1981-04-01,45.346
Wheatland County,30107,erc,1981-05-01,16.825
Wheatland County,30107,erc,1981-06-01,23.238
Wheatland County,30107,erc,1981-07-01,36.237
Wheatland County,30107,erc,1981-08-01,43.589
Wheatland County,30107,erc,1981-09-01,51.895
Wheatland County,30107,erc,1981-10-01,32.101
Wheatland County,30107,erc,1981-11-01,32.038
Wheatland County,30107,erc,1981-12-01,24.91
Wheatland County,30107,erc,1982-01-01,24.376
Wheatland County,30107,erc,1982-02-01,38.763
Wheatland County,30107,erc,1982-03-01,26.374
Wheatland County,30107,erc,1982-04-01,31.012
Wheatland County,30107,erc,1982-05-01,36.423
Wheatland County,30107,erc,1982-06-01,18.473
Wheatland County,30107,erc,1982-07-01,27.123
Wheatland County,30107,erc,1982-08-01,39.968
Wheatland County,30107,erc,1982-09-01,36.472
Wheatland County,30107,erc,1982-10-01,26.81
Wheatland County,30107,erc,1982-11-01,26.79
Wheatland County,30107,erc,1982-12-01,22.958
Wheatland County,30107,erc,1983-01-01,28.615
Wheatland County,30107,erc,1983-02-01,27.153
Wheatland County,30107,erc,1983-03-01,29.526
Wheatland County,30107,erc,1983-04-01,32.745
Wheatland County,30107,erc,1983-05-01,35.026
Wheatland County,30107,erc,1983-06-01,30.22
Wheatland County,30107,erc,1983-07-01,34.318
Wheatland County,30107,erc,1983-08-01,41.84
Wheatland County,30107,erc,1983-09-01,35.425
Wheatland County,30107,erc,1983-10-01,25.968
Wheatland County,30107,erc,1983-11-01,22.968
Wheatland County,30107,erc,1983-12-01,24.381
Wheatland County,30107,erc,1984-01-01,31.817
Wheatland County,30107,erc,1984-02-01,32.682
Wheatland County,30107,erc,1984-03-01,24.272
Wheatland County,30107,erc,1984-04-01,32.711
