name,id,variable,date,value
Little Dry,10040106,erc,1979-01-01,17.551
Little Dry,10040106,erc,1979-02-01,15.369
Little Dry,10040106,erc,1979-03-01,20.318
Little Dry,10040106,erc,1979-04-01,26.992
Little Dry,10040106,erc,1979-05-01,34.685
Little Dry,10040106,erc,1979-06-01,42.423
Little Dry,10040106,erc,1979-07-01,45.866
Little Dry,10040106,erc,1979-08-01,47.81
Little Dry,10040106,erc,1979-09-01,47.535
Little Dry,10040106,erc,1979-10-01,42.999
Little Dry,10040106,erc,1979-11-01,29.884
Little Dry,10040106,erc,1979-12-01,24.646
Little Dry,10040106,erc,1980-01-01,26.083
Little Dry,10040106,erc,1980-02-01,24.677
Little Dry,10040106,erc,1980-03-01,27.152
Little Dry,10040106,erc,1980-04-01,44.111
Little Dry,10040106,erc,1980-05-01,55.862
Little Dry,10040106,erc,1980-06-01,42.461
Little Dry,10040106,erc,1980-07-01,51.151
Little Dry,10040106,erc,1980-08-01,44.273
Little Dry,10040106,erc,1980-09-01,37.659
Little Dry,10040106,erc,1980-10-01,38.389
Little Dry,10040106,erc,1980-11-01,30.585
Little Dry,10040106,erc,1980-12-01,27.599
Little Dry,10040106,erc,1981-01-01,27.164
Little Dry,10040106,erc,1981-02-01,33.42
Little Dry,10040106,erc,1981-03-01,40.037
Little Dry,10040106,erc,1981-04-01,47.853
Little Dry,10040106,erc,1981-05-01,35.513
Little Dry,10040106,erc,1981-06-01,31.918
Little Dry,10040106,erc,1981-07-01,46.69
Little Dry,10040106,erc,1981-08-01,45.8
Little Dry,10040106,erc,1981-09-01,52.381
Little Dry,10040106,erc,1981-10-01,32.279
Little Dry,10040106,erc,1981-11-01,30.164
Little Dry,10040106,erc,1981-12-01,21.568
Little Dry,10040106,erc,1982-01-01,16.86
Little Dry,10040106,erc,1982-02-01,30.99
Little Dry,10040106,erc,1982-03-01,26.064
Little Dry,10040106,erc,1982-04-01,33.502
Little Dry,10040106,erc,1982-05-01,34.08
Little Dry,10040106,erc,1982-06-01,25.76
Little Dry,10040106,erc,1982-07-01,36.113
Little Dry,10040106,erc,1982-08-01,46.813
Little Dry,10040106,erc,1982-09-01,40.308
Little Dry,10040106,erc,1982-10-01,24.103
Little Dry,10040106,erc,1982-11-01,24.678
Little Dry,10040106,erc,1982-12-01,17.882
Little Dry,10040106,erc,1983-01-01,20.186
Little Dry,10040106,erc,1983-02-01,28.44
Little Dry,10040106,erc,1983-03-01,27.571
Little Dry,10040106,erc,1983-04-01,41.131
Little Dry,10040106,erc,1983-05-01,38.081
Little Dry,10040106,erc,1983-06-01,43.314
Little Dry,10040106,erc,1983-07-01,42.978
Little Dry,10040106,erc,1983-08-01,55.288
Little Dry,10040106,erc,1983-09-01,50.414
Little Dry,10040106,erc,1983-10-01,32.315
Little Dry,10040106,erc,1983-11-01,27.093
Little Dry,10040106,erc,1983-12-01,24.654
Little Dry,10040106,erc,1984-01-01,28.693
Little Dry,10040106,erc,1984-02-01,31.566
Little Dry,10040106,erc,1984-03-01,26.417
Little Dry,10040106,erc,1984-04-01,42.625
Little Dry,10040106,erc,1984-05-01,48.512
Little Dry,10040106,erc,1984-06-01,39.611
Little Dry,10040106,erc,1984-07-01,62.369
Little Dry,10040106,erc,1984-08-01,59.366
Little Dry,10040106,erc,1984-09-01,45.609
Little Dry,10040106,erc,1984-10-01,37.671
Little Dry,10040106,erc,1984-11-01,25.551
Little Dry,10040106,erc,1984-12-01,17.067
Little Dry,10040106,erc,1985-01-01,19.723
Little Dry,10040106,erc,1985-02-01,30.893
Little Dry,10040106,erc,1985-03-01,29.363
Little Dry,10040106,erc,1985-04-01,38.371
Little Dry,10040106,erc,1985-05-01,51.79
Little Dry,10040106,erc,1985-06-01,49.058
Little Dry,10040106,erc,1985-07-01,62.833
Little Dry,10040106,erc,1985-08-01,36.816
Little Dry,10040106,erc,1985-09-01,35.928
Little Dry,10040106,erc,1985-10-01,28.983
Little Dry,10040106,erc,1985-11-01,25.189
Little Dry,10040106,erc,1985-12-01,19.657
Little Dry,10040106,erc,1986-01-01,23.647
Little Dry,10040106,erc,1986-02-01,22.402
Little Dry,10040106,erc,1986-03-01,27.806
Little Dry,10040106,erc,1986-04-01,34.737
Little Dry,10040106,erc,1986-05-01,31.242
Little Dry,10040106,erc,1986-06-01,37.374
Little Dry,10040106,erc,1986-07-01,41.032
Little Dry,10040106,erc,1986-08-01,51.593
