name,id,variable,date,value
Flathead,flathead,erc,1979-01-01,10.406
Flathead,flathead,erc,1979-02-01,13.518
Flathead,flathead,erc,1979-03-01,22.051
Flathead,flathead,erc,1979-04-01,23.151
Flathead,flathead,erc,1979-05-01,34.307
Flathead,flathead,erc,1979-06-01,48.233
Flathead,flathead,erc,1979-07-01,53.083
Flathead,flathead,erc,1979-08-01,52.315
Flathead,flathead,erc,1979-09-01,42.796
Flathead,flathead,erc,1979-10-01,33.788
Flathead,flathead,erc,1979-11-01,17.441
Flathead,flathead,erc,1979-12-01,8.842
Flathead,flathead,erc,1980-01-01,8.89
Flathead,flathead,erc,1980-02-01,12.292
Flathead,flathead,erc,1980-03-01,14.504
Flathead,flathead,erc,1980-04-01,29.868
Flathead,flathead,erc,1980-05-01,21.928
Flathead,flathead,erc,1980-06-01,16.905
Flathead,flathead,erc,1980-07-01,33.219
Flathead,flathead,erc,1980-08-01,44.62
Flathead,flathead,erc,1980-09-01,30.46
Flathead,flathead,erc,1980-10-01,28.83
Flathead,flathead,erc,1980-11-01,18.231
Flathead,flathead,erc,1980-12-01,12.046
Flathead,flathead,erc,1981-01-01,10.676
Flathead,flathead,erc,1981-02-01,12.601
Flathead,flathead,erc,1981-03-01,22.688
Flathead,flathead,erc,1981-04-01,26.539
Flathead,flathead,erc,1981-05-01,20.487
Flathead,flathead,erc,1981-06-01,13.533
Flathead,flathead,erc,1981-07-01,38.906
Flathead,flathead,erc,1981-08-01,55.593
Flathead,flathead,erc,1981-09-01,46.42
Flathead,flathead,erc,1981-10-01,27.593
Flathead,flathead,erc,1981-11-01,15.727
Flathead,flathead,erc,1981-12-01,7.34
Flathead,flathead,erc,1982-01-01,10.925
Flathead,flathead,erc,1982-02-01,16.824
Flathead,flathead,erc,1982-03-01,16.131
Flathead,flathead,erc,1982-04-01,24.556
Flathead,flathead,erc,1982-05-01,35.199
Flathead,flathead,erc,1982-06-01,30.952
Flathead,flathead,erc,1982-07-01,29.457
Flathead,flathead,erc,1982-08-01,41.624
Flathead,flathead,erc,1982-09-01,35.176
Flathead,flathead,erc,1982-10-01,19.949
Flathead,flathead,erc,1982-11-01,11.104
Flathead,flathead,erc,1982-12-01,6.269
Flathead,flathead,erc,1983-01-01,10.505
Flathead,flathead,erc,1983-02-01,13.068
Flathead,flathead,erc,1983-03-01,15.404
Flathead,flathead,erc,1983-04-01,29.17
Flathead,flathead,erc,1983-05-01,31.514
Flathead,flathead,erc,1983-06-01,33.68
Flathead,flathead,erc,1983-07-01,27.274
Flathead,flathead,erc,1983-08-01,39.236
Flathead,flathead,erc,1983-09-01,32.014
Flathead,flathead,erc,1983-10-01,26.016
Flathead,flathead,erc,1983-11-01,9.282
Flathead,flathead,erc,1983-12-01,16.204
Flathead,flathead,erc,1984-01-01,17.974
Flathead,flathead,erc,1984-02-01,20.493
Flathead,flathead,erc,1984-03-01,16.325
Flathead,flathead,erc,1984-04-01,23.881
Flathead,flathead,erc,1984-05-01,24.619
Flathead,flathead,erc,1984-06-01,31.058
Flathead,flathead,erc,1984-07-01,55.908
Flathead,flathead,erc,1984-08-01,51.625
Flathead,flathead,erc,1984-09-01,34.184
Flathead,flathead,erc,1984-10-01,26.723
Flathead,flathead,erc,1984-11-01,11.381
Flathead,flathead,erc,1984-12-01,14.364
Flathead,flathead,erc,1985-01-01,22.073
Flathead,flathead,erc,1985-02-01,24.527
Flathead,flathead,erc,1985-03-01,24.814
Flathead,flathead,erc,1985-04-01,30.365
Flathead,flathead,erc,1985-05-01,42.177
Flathead,flathead,erc,1985-06-01,37.827
Flathead,flathead,erc,1985-07-01,71.194
Flathead,flathead,erc,1985-08-01,36.002
Flathead,flathead,erc,1985-09-01,18.592
Flathead,flathead,erc,1985-10-01,19.219
Flathead,flathead,erc,1985-11-01,14.981
Flathead,flathead,erc,1985-12-01,13.888
Flathead,flathead,erc,1986-01-01,7.358
Flathead,flathead,erc,1986-02-01,7.439
Flathead,flathead,erc,1986-03-01,16.206
Flathead,flathead,erc,1986-04-01,27.458
Flathead,flathead,erc,1986-05-01,33.892
Flathead,flathead,erc,1986-06-01,37.472
Flathead,flathead,erc,1986-07-01,41.767
Flathead,flathead,erc,1986-08-01,58.849
Flathead,flathead,erc,1986-09-01,22.456
Flathead,flathead,erc,1986-10-01,18.724
Flathead,flathead,erc,1986-11-01,9.099
Flathead,flathead,erc,1986-12-01,8.323
Flathead,flathead,erc,1987-01-01,14.029
Flathead,flathead,erc,1987-02-01,14.593
Flathead,flathead,erc,1987-03-01,14.169
Flathead,flathead,erc,1987-04-01,31.305
Flathead,flathead,erc,1987-05-01,36.982
Flathead,flathead,erc,1987-06-01,34.767
Flathead,flathead,erc,1987-07-01,40.567
Flathead,flathead,erc,1987-08-01,44.421
Flathead,flathead,erc,1987-09-01,49.858
Flathead,flathead,erc,1987-10-01,48.853
Flathead,flathead,erc,1987-11-01,24.603
Flathead,flathead,erc,1987-12-01,12.755
Flathead,flathead,erc,1988-01-01,16.069
Flathead,flathead,erc,1988-02-01,20.659
Flathead,flathead,erc,1988-03-01,25.832
Flathead,flathead,erc,1988-04-01,30.029
Flathead,flathead,erc,1988-05-01,30.223
Flathead,flathead,erc,1988-06-01,33.973
Flathead,flathead,erc,1988-07-01,51.865
Flathead,flathead,erc,1988-08-01,67.551
Flathead,flathead,erc,1988-09-01,50.179
Flathead,flathead,erc,1988-10-01,32.324
Flathead,flathead,erc,1988-11-01,11.32
Flathead,flathead,erc,1988-12-01,8.957
Flathead,flathead,erc,1989-01-01,8.945
Flathead,flathead,erc,1989-02-01,17.848
Flathead,flathead,erc,1989-03-01,9.311
Flathead,flathead,erc,1989-04-01,25.65
Flathead,flathead,erc,1989-05-01,27.701
Flathead,flathead,erc,1989-06-01,36.079
Flathead,flathead,erc,1989-07-01,43.677
Flathead,flathead,erc,1989-08-01,31.329
Flathead,flathead,erc,1989-09-01,23.859
Flathead,flathead,erc,1989-10-01,18.596
Flathead,flathead,erc,1989-11-01,7.959
Flathead,flathead,erc,1989-12-01,4.511
Flathead,flathead,erc,1990-01-01,6.66
Flathead,flathead,erc,1990-02-01,14.278
Flathead,flathead,erc,1990-03-01,18.294
Flathead,flathead,erc,1990-04-01,24.822
Flathead,flathead,erc,1990-05-01,21.667
Flathead,flathead,erc,1990-06-01,26.46
Flathead,flathead,erc,1990-07-01,40.994
Flathead,flathead,erc,1990-08-01,34.724
Flathead,flathead,erc,1990-09-01,44.1
Flathead,flathead,erc,1990-10-01,23.674
Flathead,flathead,erc,1990-11-01,13.003
Flathead,flathead,erc,1990-12-01,16.721
Flathead,flathead,erc,1991-01-01,14.471
Flathead,flathead,erc,1991-02-01,18.148
Flathead,flathead,erc,1991-03-01,15.467
Flathead,flathead,erc,1991-04-01,26.616
Flathead,flathead,erc,1991-05-01,26.721
Flathead,flathead,erc,1991-06-01,20.226
Flathead,flathead,erc,1991-07-01,39.618
Flathead,flathead,erc,1991-08-01,47.283
Flathead,flathead,erc,1991-09-01,41.391
Flathead,flathead,erc,1991-10-01,40.855
Flathead,flathead,erc,1991-11-01,13.504
Flathead,flathead,erc,1991-12-01,11.586
Flathead,flathead,erc,1992-01-01,12.576
Flathead,flathead,erc,1992-02-01,15.507
Flathead,flathead,erc,1992-03-01,19.699
Flathead,flathead,erc,1992-04-01,22.996
Flathead,flathead,erc,1992-05-01,38.612
Flathead,flathead,erc,1992-06-01,36.422
Flathead,flathead,erc,1992-07-01,28.599
Flathead,flathead,erc,1992-08-01,48.015
Flathead,flathead,erc,1992-09-01,35.965
Flathead,flathead,erc,1992-10-01,27.459
Flathead,flathead,erc,1992-11-01,9.781
Flathead,flathead,erc,1992-12-01,11.651
Flathead,flathead,erc,1993-01-01,14.99
Flathead,flathead,erc,1993-02-01,18.868
Flathead,flathead,erc,1993-03-01,19.78
Flathead,flathead,erc,1993-04-01,19.198
Flathead,flathead,erc,1993-05-01,26.813
