name,id,variable,date,value
Lewistown,lewistown,et_m16,2001-01-01,1.006
Lewistown,lewistown,et_m16,2001-02-01,0.901
Lewistown,lewistown,et_m16,2001-03-01,1.144
Lewistown,lewistown,et_m16,2001-04-01,0.889
Lewistown,lewistown,et_m16,2001-05-01,0.899
Lewistown,lewistown,et_m16,2001-06-01,0.861
Lewistown,lewistown,et_m16,2001-07-01,1.604
Lewistown,lewistown,et_m16,2001-08-01,0.88
Lewistown,lewistown,et_m16,2001-09-01,0.666
Lewistown,lewistown,et_m16,2001-10-01,0.597
Lewistown,lewistown,et_m16,2001-11-01,0.793
Lewistown,lewistown,et_m16,2001-12-01,0.731
Lewistown,lewistown,et_m16,2002-01-01,0.937
Lewistown,lewistown,et_m16,2002-02-01,0.95
Lewistown,lewistown,et_m16,2002-03-01,1.243
Lewistown,lewistown,et_m16,2002-04-01,0.919
Lewistown,lewistown,et_m16,2002-05-01,1.307
Lewistown,lewistown,et_m16,2002-06-01,2.084
Lewistown,lewistown,et_m16,2002-07-01,1.793
Lewistown,lewistown,et_m16,2002-08-01,1.313
Lewistown,lewistown,et_m16,2002-09-01,0.989
Lewistown,lewistown,et_m16,2002-10-01,0.59
Lewistown,lewistown,et_m16,2002-11-01,0.957
Lewistown,lewistown,et_m16,2002-12-01,0.822
Lewistown,lewistown,et_m16,2003-01-01,0.909
Lewistown,lewistown,et_m16,2003-02-01,0.917
Lewistown,lewistown,et_m16,2003-03-01,1.097
Lewistown,lewistown,et_m16,2003-04-01,0.936
Lewistown,lewistown,et_m16,2003-05-01,1.717
Lewistown,lewistown,et_m16,2003-06-01,2.367
Lewistown,lewistown,et_m16,2003-07-01,1.423
Lewistown,lewistown,et_m16,2003-08-01,0.76
Lewistown,lewistown,et_m16,2003-09-01,0.76
Lewistown,lewistown,et_m16,2003-10-01,0.558
Lewistown,lewistown,et_m16,2003-11-01,0.944
Lewistown,lewistown,et_m16,2003-12-01,0.712
Lewistown,lewistown,et_m16,2004-01-01,0.642
