name,id,variable,date,value
Jefferson County,30043,et_m16,2001-01-01,0.646
Jefferson County,30043,et_m16,2001-02-01,0.842
Jefferson County,30043,et_m16,2001-03-01,1.083
Jefferson County,30043,et_m16,2001-04-01,0.988
Jefferson County,30043,et_m16,2001-05-01,1.022
Jefferson County,30043,et_m16,2001-06-01,0.824
Jefferson County,30043,et_m16,2001-07-01,1.64
Jefferson County,30043,et_m16,2001-08-01,1.148
Jefferson County,30043,et_m16,2001-09-01,0.816
Jefferson County,30043,et_m16,2001-10-01,0.582
Jefferson County,30043,et_m16,2001-11-01,0.709
Jefferson County,30043,et_m16,2001-12-01,0.612
Jefferson County,30043,et_m16,2002-01-01,0.635
Jefferson County,30043,et_m16,2002-02-01,0.844
Jefferson County,30043,et_m16,2002-03-01,1.181
Jefferson County,30043,et_m16,2002-04-01,0.949
Jefferson County,30043,et_m16,2002-05-01,1.333
Jefferson County,30043,et_m16,2002-06-01,1.806
Jefferson County,30043,et_m16,2002-07-01,1.707
Jefferson County,30043,et_m16,2002-08-01,1.403
Jefferson County,30043,et_m16,2002-09-01,0.935
Jefferson County,30043,et_m16,2002-10-01,0.487
Jefferson County,30043,et_m16,2002-11-01,0.787
Jefferson County,30043,et_m16,2002-12-01,0.737
Jefferson County,30043,et_m16,2003-01-01,0.797
Jefferson County,30043,et_m16,2003-02-01,0.844
Jefferson County,30043,et_m16,2003-03-01,1.228
Jefferson County,30043,et_m16,2003-04-01,0.996
Jefferson County,30043,et_m16,2003-05-01,1.605
Jefferson County,30043,et_m16,2003-06-01,1.919
Jefferson County,30043,et_m16,2003-07-01,1.537
Jefferson County,30043,et_m16,2003-08-01,1.069
Jefferson County,30043,et_m16,2003-09-01,0.777
Jefferson County,30043,et_m16,2003-10-01,0.536
Jefferson County,30043,et_m16,2003-11-01,0.83
Jefferson County,30043,et_m16,2003-12-01,0.664
Jefferson County,30043,et_m16,2004-01-01,0.583
Jefferson County,30043,et_m16,2004-02-01,0.933
Jefferson County,30043,et_m16,2004-03-01,1.028
Jefferson County,30043,et_m16,2004-04-01,1.035
Jefferson County,30043,et_m16,2004-05-01,1.141
Jefferson County,30043,et_m16,2004-06-01,1.826
Jefferson County,30043,et_m16,2004-07-01,1.798
Jefferson County,30043,et_m16,2004-08-01,1.423
Jefferson County,30043,et_m16,2004-09-01,1.088
Jefferson County,30043,et_m16,2004-10-01,0.919
Jefferson County,30043,et_m16,2004-11-01,0.554
Jefferson County,30043,et_m16,2004-12-01,0.708
Jefferson County,30043,et_m16,2005-01-01,0.66
Jefferson County,30043,et_m16,2005-02-01,0.784
Jefferson County,30043,et_m16,2005-03-01,1.171
Jefferson County,30043,et_m16,2005-04-01,1.036
Jefferson County,30043,et_m16,2005-05-01,1.589
Jefferson County,30043,et_m16,2005-06-01,2.078
Jefferson County,30043,et_m16,2005-07-01,2.008
Jefferson County,30043,et_m16,2005-08-01,1.384
Jefferson County,30043,et_m16,2005-09-01,1.038
