name,id,variable,date,value
Poplar,10060003,et_m16,2001-01-01,0
Poplar,10060003,et_m16,2001-02-01,0.262
Poplar,10060003,et_m16,2001-03-01,1.149
Poplar,10060003,et_m16,2001-04-01,0.683
Poplar,10060003,et_m16,2001-05-01,0.607
Poplar,10060003,et_m16,2001-06-01,0.796
Poplar,10060003,et_m16,2001-07-01,2.387
Poplar,10060003,et_m16,2001-08-01,0.712
Poplar,10060003,et_m16,2001-09-01,0.64
Poplar,10060003,et_m16,2001-10-01,0.641
Poplar,10060003,et_m16,2001-11-01,0.684
Poplar,10060003,et_m16,2001-12-01,0
Poplar,10060003,et_m16,2002-01-01,0.628
Poplar,10060003,et_m16,2002-02-01,0.941
Poplar,10060003,et_m16,2002-03-01,0.873
Poplar,10060003,et_m16,2002-04-01,0.832
Poplar,10060003,et_m16,2002-05-01,0.912
Poplar,10060003,et_m16,2002-06-01,2.112
Poplar,10060003,et_m16,2002-07-01,2.478
Poplar,10060003,et_m16,2002-08-01,1.391
Poplar,10060003,et_m16,2002-09-01,0.881
Poplar,10060003,et_m16,2002-10-01,0.751
Poplar,10060003,et_m16,2002-11-01,1.023
Poplar,10060003,et_m16,2002-12-01,0
Poplar,10060003,et_m16,2003-01-01,0.137
Poplar,10060003,et_m16,2003-02-01,0.462
Poplar,10060003,et_m16,2003-03-01,0.975
Poplar,10060003,et_m16,2003-04-01,0.9
Poplar,10060003,et_m16,2003-05-01,1.315
Poplar,10060003,et_m16,2003-06-01,2.261
Poplar,10060003,et_m16,2003-07-01,2.071
Poplar,10060003,et_m16,2003-08-01,0.682
Poplar,10060003,et_m16,2003-09-01,0.739
Poplar,10060003,et_m16,2003-10-01,0.619
Poplar,10060003,et_m16,2003-11-01,0
Poplar,10060003,et_m16,2003-12-01,0
Poplar,10060003,et_m16,2004-01-01,0
Poplar,10060003,et_m16,2004-02-01,0
Poplar,10060003,et_m16,2004-03-01,0.972
Poplar,10060003,et_m16,2004-04-01,0.919
Poplar,10060003,et_m16,2004-05-01,1.16
Poplar,10060003,et_m16,2004-06-01,1.857
