name,id,variable,date,value
Blackfeet,blackfeet,et_m16,2001-01-01,0.582
Blackfeet,blackfeet,et_m16,2001-02-01,0.867
Blackfeet,blackfeet,et_m16,2001-03-01,1.408
Blackfeet,blackfeet,et_m16,2001-04-01,0.972
Blackfeet,blackfeet,et_m16,2001-05-01,0.985
Blackfeet,blackfeet,et_m16,2001-06-01,0.996
Blackfeet,blackfeet,et_m16,2001-07-01,1.739
Blackfeet,blackfeet,et_m16,2001-08-01,0.845
Blackfeet,blackfeet,et_m16,2001-09-01,0.587
Blackfeet,blackfeet,et_m16,2001-10-01,0.647
Blackfeet,blackfeet,et_m16,2001-11-01,0.828
Blackfeet,blackfeet,et_m16,2001-12-01,0
Blackfeet,blackfeet,et_m16,2002-01-01,0.663
Blackfeet,blackfeet,et_m16,2002-02-01,0.931
Blackfeet,blackfeet,et_m16,2002-03-01,1.2
Blackfeet,blackfeet,et_m16,2002-04-01,1.155
Blackfeet,blackfeet,et_m16,2002-05-01,1.546
Blackfeet,blackfeet,et_m16,2002-06-01,2.007
Blackfeet,blackfeet,et_m16,2002-07-01,2.344
Blackfeet,blackfeet,et_m16,2002-08-01,1.702
Blackfeet,blackfeet,et_m16,2002-09-01,1.072
Blackfeet,blackfeet,et_m16,2002-10-01,0.603
Blackfeet,blackfeet,et_m16,2002-11-01,1.027
Blackfeet,blackfeet,et_m16,2002-12-01,0
Blackfeet,blackfeet,et_m16,2003-01-01,0.4
Blackfeet,blackfeet,et_m16,2003-02-01,0.863
Blackfeet,blackfeet,et_m16,2003-03-01,1.204
Blackfeet,blackfeet,et_m16,2003-04-01,1.175
Blackfeet,blackfeet,et_m16,2003-05-01,1.729
Blackfeet,blackfeet,et_m16,2003-06-01,2.577
Blackfeet,blackfeet,et_m16,2003-07-01,2.008
Blackfeet,blackfeet,et_m16,2003-08-01,0.912
Blackfeet,blackfeet,et_m16,2003-09-01,0.843
Blackfeet,blackfeet,et_m16,2003-10-01,0.644
