name,id,variable,date,value
Madison County,30057,etr,1979-01-01,0.748
Madison County,30057,etr,1979-02-01,2.034
Madison County,30057,etr,1979-03-01,2.695
Madison County,30057,etr,1979-04-01,4.063
Madison County,30057,etr,1979-05-01,6.172
Madison County,30057,etr,1979-06-01,7.861
Madison County,30057,etr,1979-07-01,8.749
Madison County,30057,etr,1979-08-01,7.122
Madison County,30057,etr,1979-09-01,7.09
Madison County,30057,etr,1979-10-01,4.13
Madison County,30057,etr,1979-11-01,1.492
Madison County,30057,etr,1979-12-01,2.276
Madison County,30057,etr,1980-01-01,1.176
Madison County,30057,etr,1980-02-01,1.696
Madison County,30057,etr,1980-03-01,2.542
Madison County,30057,etr,1980-04-01,5.392
Madison County,30057,etr,1980-05-01,5.448
Madison County,30057,etr,1980-06-01,6.824
Madison County,30057,etr,1980-07-01,8.786
Madison County,30057,etr,1980-08-01,7.347
Madison County,30057,etr,1980-09-01,5.87
Madison County,30057,etr,1980-10-01,3.799
Madison County,30057,etr,1980-11-01,2.143
Madison County,30057,etr,1980-12-01,2.448
Madison County,30057,etr,1981-01-01,1.297
Madison County,30057,etr,1981-02-01,1.988
Madison County,30057,etr,1981-03-01,3.095
Madison County,30057,etr,1981-04-01,4.884
Madison County,30057,etr,1981-05-01,4.767
Madison County,30057,etr,1981-06-01,6.777
Madison County,30057,etr,1981-07-01,8.957
Madison County,30057,etr,1981-08-01,8.016
Madison County,30057,etr,1981-09-01,6
Madison County,30057,etr,1981-10-01,3.077
Madison County,30057,etr,1981-11-01,2.006
Madison County,30057,etr,1981-12-01,1.495
Madison County,30057,etr,1982-01-01,1.691
Madison County,30057,etr,1982-02-01,2.238
Madison County,30057,etr,1982-03-01,2.748
Madison County,30057,etr,1982-04-01,4.132
Madison County,30057,etr,1982-05-01,5.354
Madison County,30057,etr,1982-06-01,5.933
Madison County,30057,etr,1982-07-01,7.715
Madison County,30057,etr,1982-08-01,8.093
Madison County,30057,etr,1982-09-01,4.814
Madison County,30057,etr,1982-10-01,3.003
Madison County,30057,etr,1982-11-01,1.569
Madison County,30057,etr,1982-12-01,1.242
Madison County,30057,etr,1983-01-01,1.694
Madison County,30057,etr,1983-02-01,1.921
Madison County,30057,etr,1983-03-01,2.848
Madison County,30057,etr,1983-04-01,3.75
Madison County,30057,etr,1983-05-01,5.738
Madison County,30057,etr,1983-06-01,6.404
Madison County,30057,etr,1983-07-01,8.294
Madison County,30057,etr,1983-08-01,7.582
Madison County,30057,etr,1983-09-01,5.419
Madison County,30057,etr,1983-10-01,3.56
Madison County,30057,etr,1983-11-01,1.526
Madison County,30057,etr,1983-12-01,1.141
Madison County,30057,etr,1984-01-01,1.594
Madison County,30057,etr,1984-02-01,1.893
Madison County,30057,etr,1984-03-01,2.647
Madison County,30057,etr,1984-04-01,3.871
Madison County,30057,etr,1984-05-01,6.423
Madison County,30057,etr,1984-06-01,6.39
Madison County,30057,etr,1984-07-01,8.44
Madison County,30057,etr,1984-08-01,7.939
Madison County,30057,etr,1984-09-01,5.189
Madison County,30057,etr,1984-10-01,2.95
Madison County,30057,etr,1984-11-01,1.918
Madison County,30057,etr,1984-12-01,1.547
Madison County,30057,etr,1985-01-01,1.12
Madison County,30057,etr,1985-02-01,1.858
Madison County,30057,etr,1985-03-01,2.698
Madison County,30057,etr,1985-04-01,5.374
Madison County,30057,etr,1985-05-01,6.764
Madison County,30057,etr,1985-06-01,8.286
Madison County,30057,etr,1985-07-01,8.916
Madison County,30057,etr,1985-08-01,7.407
Madison County,30057,etr,1985-09-01,4.317
Madison County,30057,etr,1985-10-01,3.982
Madison County,30057,etr,1985-11-01,1.568
Madison County,30057,etr,1985-12-01,1.424
Madison County,30057,etr,1986-01-01,2.049
Madison County,30057,etr,1986-02-01,1.976
Madison County,30057,etr,1986-03-01,3.934
Madison County,30057,etr,1986-04-01,4.204
Madison County,30057,etr,1986-05-01,6.427
Madison County,30057,etr,1986-06-01,7.826
Madison County,30057,etr,1986-07-01,8.287
Madison County,30057,etr,1986-08-01,7.665
Madison County,30057,etr,1986-09-01,3.864
Madison County,30057,etr,1986-10-01,3.402
Madison County,30057,etr,1986-11-01,1.877
Madison County,30057,etr,1986-12-01,1.268
Madison County,30057,etr,1987-01-01,1.498
Madison County,30057,etr,1987-02-01,1.66
Madison County,30057,etr,1987-03-01,3.171
Madison County,30057,etr,1987-04-01,6.262
Madison County,30057,etr,1987-05-01,5.935
Madison County,30057,etr,1987-06-01,7.787
Madison County,30057,etr,1987-07-01,7.488
Madison County,30057,etr,1987-08-01,7.221
Madison County,30057,etr,1987-09-01,5.944
Madison County,30057,etr,1987-10-01,4.689
Madison County,30057,etr,1987-11-01,1.763
Madison County,30057,etr,1987-12-01,1.386
Madison County,30057,etr,1988-01-01,1.446
Madison County,30057,etr,1988-02-01,2.337
Madison County,30057,etr,1988-03-01,2.939
Madison County,30057,etr,1988-04-01,4.913
Madison County,30057,etr,1988-05-01,6.717
Madison County,30057,etr,1988-06-01,9.211
Madison County,30057,etr,1988-07-01,10.339
Madison County,30057,etr,1988-08-01,9.193
Madison County,30057,etr,1988-09-01,5.99
Madison County,30057,etr,1988-10-01,4.477
Madison County,30057,etr,1988-11-01,1.561
Madison County,30057,etr,1988-12-01,1.284
Madison County,30057,etr,1989-01-01,1.444
Madison County,30057,etr,1989-02-01,1.318
Madison County,30057,etr,1989-03-01,2.905
Madison County,30057,etr,1989-04-01,4.778
Madison County,30057,etr,1989-05-01,5.747
Madison County,30057,etr,1989-06-01,7.233
Madison County,30057,etr,1989-07-01,9.445
Madison County,30057,etr,1989-08-01,6.635
Madison County,30057,etr,1989-09-01,5.936
Madison County,30057,etr,1989-10-01,3.289
Madison County,30057,etr,1989-11-01,2.52
Madison County,30057,etr,1989-12-01,1.449
Madison County,30057,etr,1990-01-01,1.463
Madison County,30057,etr,1990-02-01,1.999
Madison County,30057,etr,1990-03-01,2.889
