name,id,variable,date,value
Flathead,flathead,etr,1979-01-01,0.43
Flathead,flathead,etr,1979-02-01,1.453
Flathead,flathead,etr,1979-03-01,2.761
Flathead,flathead,etr,1979-04-01,4.007
Flathead,flathead,etr,1979-05-01,6.45
Flathead,flathead,etr,1979-06-01,8.098
Flathead,flathead,etr,1979-07-01,8.923
Flathead,flathead,etr,1979-08-01,7.707
Flathead,flathead,etr,1979-09-01,5.872
Flathead,flathead,etr,1979-10-01,3.319
Flathead,flathead,etr,1979-11-01,0.813
Flathead,flathead,etr,1979-12-01,1.121
Flathead,flathead,etr,1980-01-01,0.735
Flathead,flathead,etr,1980-02-01,1.104
Flathead,flathead,etr,1980-03-01,1.977
Flathead,flathead,etr,1980-04-01,5.238
Flathead,flathead,etr,1980-05-01,5.522
Flathead,flathead,etr,1980-06-01,5.801
Flathead,flathead,etr,1980-07-01,8.249
Flathead,flathead,etr,1980-08-01,6.92
Flathead,flathead,etr,1980-09-01,4.959
Flathead,flathead,etr,1980-10-01,3.206
Flathead,flathead,etr,1980-11-01,1.361
Flathead,flathead,etr,1980-12-01,1.371
Flathead,flathead,etr,1981-01-01,0.541
Flathead,flathead,etr,1981-02-01,1.52
Flathead,flathead,etr,1981-03-01,2.944
Flathead,flathead,etr,1981-04-01,4.813
Flathead,flathead,etr,1981-05-01,4.791
Flathead,flathead,etr,1981-06-01,5.71
Flathead,flathead,etr,1981-07-01,8.51
Flathead,flathead,etr,1981-08-01,8.284
Flathead,flathead,etr,1981-09-01,5.422
Flathead,flathead,etr,1981-10-01,2.804
Flathead,flathead,etr,1981-11-01,1.08
Flathead,flathead,etr,1981-12-01,0.86
Flathead,flathead,etr,1982-01-01,1.286
Flathead,flathead,etr,1982-02-01,1.492
Flathead,flathead,etr,1982-03-01,2.572
Flathead,flathead,etr,1982-04-01,4.171
Flathead,flathead,etr,1982-05-01,5.665
Flathead,flathead,etr,1982-06-01,6.19
Flathead,flathead,etr,1982-07-01,7.451
Flathead,flathead,etr,1982-08-01,7.581
Flathead,flathead,etr,1982-09-01,4.639
Flathead,flathead,etr,1982-10-01,2.255
Flathead,flathead,etr,1982-11-01,1.026
Flathead,flathead,etr,1982-12-01,0.538
Flathead,flathead,etr,1983-01-01,1.097
Flathead,flathead,etr,1983-02-01,1.31
Flathead,flathead,etr,1983-03-01,2.471
Flathead,flathead,etr,1983-04-01,4.37
Flathead,flathead,etr,1983-05-01,6.459
Flathead,flathead,etr,1983-06-01,6.276
Flathead,flathead,etr,1983-07-01,7.452
Flathead,flathead,etr,1983-08-01,7.66
Flathead,flathead,etr,1983-09-01,4.603
Flathead,flathead,etr,1983-10-01,2.892
Flathead,flathead,etr,1983-11-01,1.083
Flathead,flathead,etr,1983-12-01,0.882
Flathead,flathead,etr,1984-01-01,1.172
Flathead,flathead,etr,1984-02-01,1.541
Flathead,flathead,etr,1984-03-01,2.423
Flathead,flathead,etr,1984-04-01,4.269
Flathead,flathead,etr,1984-05-01,5.55
Flathead,flathead,etr,1984-06-01,6.483
Flathead,flathead,etr,1984-07-01,9.755
Flathead,flathead,etr,1984-08-01,8.379
Flathead,flathead,etr,1984-09-01,4.762
Flathead,flathead,etr,1984-10-01,2.626
Flathead,flathead,etr,1984-11-01,1.147
Flathead,flathead,etr,1984-12-01,0.927
Flathead,flathead,etr,1985-01-01,0.628
Flathead,flathead,etr,1985-02-01,1.449
Flathead,flathead,etr,1985-03-01,2.54
Flathead,flathead,etr,1985-04-01,5.269
Flathead,flathead,etr,1985-05-01,6.819
Flathead,flathead,etr,1985-06-01,8.11
Flathead,flathead,etr,1985-07-01,10.929
Flathead,flathead,etr,1985-08-01,6.68
Flathead,flathead,etr,1985-09-01,3.837
Flathead,flathead,etr,1985-10-01,2.669
Flathead,flathead,etr,1985-11-01,1.147
Flathead,flathead,etr,1985-12-01,0.549
Flathead,flathead,etr,1986-01-01,0.974
Flathead,flathead,etr,1986-02-01,1.208
Flathead,flathead,etr,1986-03-01,3.145
Flathead,flathead,etr,1986-04-01,4.277
Flathead,flathead,etr,1986-05-01,6.428
Flathead,flathead,etr,1986-06-01,8.018
Flathead,flathead,etr,1986-07-01,7.895
Flathead,flathead,etr,1986-08-01,8.548
Flathead,flathead,etr,1986-09-01,3.603
Flathead,flathead,etr,1986-10-01,2.147
Flathead,flathead,etr,1986-11-01,1.061
Flathead,flathead,etr,1986-12-01,0.49
Flathead,flathead,etr,1987-01-01,0.811
Flathead,flathead,etr,1987-02-01,1.176
Flathead,flathead,etr,1987-03-01,2.602
Flathead,flathead,etr,1987-04-01,5.661
Flathead,flathead,etr,1987-05-01,6.304
Flathead,flathead,etr,1987-06-01,8.149
Flathead,flathead,etr,1987-07-01,7.966
Flathead,flathead,etr,1987-08-01,7.371
Flathead,flathead,etr,1987-09-01,5.88
Flathead,flathead,etr,1987-10-01,3.965
Flathead,flathead,etr,1987-11-01,1.072
Flathead,flathead,etr,1987-12-01,0.912
Flathead,flathead,etr,1988-01-01,1.036
Flathead,flathead,etr,1988-02-01,1.885
Flathead,flathead,etr,1988-03-01,3.05
Flathead,flathead,etr,1988-04-01,4.945
Flathead,flathead,etr,1988-05-01,6.16
Flathead,flathead,etr,1988-06-01,7.488
Flathead,flathead,etr,1988-07-01,9.497
Flathead,flathead,etr,1988-08-01,8.926
Flathead,flathead,etr,1988-09-01,5.521
Flathead,flathead,etr,1988-10-01,3.518
Flathead,flathead,etr,1988-11-01,1.163
Flathead,flathead,etr,1988-12-01,0.751
Flathead,flathead,etr,1989-01-01,1.073
Flathead,flathead,etr,1989-02-01,0.977
Flathead,flathead,etr,1989-03-01,2.075
Flathead,flathead,etr,1989-04-01,4.74
Flathead,flathead,etr,1989-05-01,5.679
Flathead,flathead,etr,1989-06-01,7.221
Flathead,flathead,etr,1989-07-01,8.954
Flathead,flathead,etr,1989-08-01,5.774
Flathead,flathead,etr,1989-09-01,4.509
Flathead,flathead,etr,1989-10-01,2.358
Flathead,flathead,etr,1989-11-01,1.198
Flathead,flathead,etr,1989-12-01,0.543
Flathead,flathead,etr,1990-01-01,0.933
Flathead,flathead,etr,1990-02-01,1.461
Flathead,flathead,etr,1990-03-01,2.556
Flathead,flathead,etr,1990-04-01,4.012
Flathead,flathead,etr,1990-05-01,4.809
Flathead,flathead,etr,1990-06-01,6.768
Flathead,flathead,etr,1990-07-01,8.389
Flathead,flathead,etr,1990-08-01,6.814
Flathead,flathead,etr,1990-09-01,6.153
Flathead,flathead,etr,1990-10-01,3.146
Flathead,flathead,etr,1990-11-01,1.63
Flathead,flathead,etr,1990-12-01,1.211
Flathead,flathead,etr,1991-01-01,1.029
Flathead,flathead,etr,1991-02-01,1.533
Flathead,flathead,etr,1991-03-01,2.386
Flathead,flathead,etr,1991-04-01,4.046
Flathead,flathead,etr,1991-05-01,5.41
Flathead,flathead,etr,1991-06-01,5.353
Flathead,flathead,etr,1991-07-01,9.269
Flathead,flathead,etr,1991-08-01,8.038
Flathead,flathead,etr,1991-09-01,5.253
Flathead,flathead,etr,1991-10-01,3.806
Flathead,flathead,etr,1991-11-01,0.99
Flathead,flathead,etr,1991-12-01,0.882
Flathead,flathead,etr,1992-01-01,1.049
Flathead,flathead,etr,1992-02-01,1.311
Flathead,flathead,etr,1992-03-01,3.02
Flathead,flathead,etr,1992-04-01,4.472
Flathead,flathead,etr,1992-05-01,7.085
Flathead,flathead,etr,1992-06-01,7.203
Flathead,flathead,etr,1992-07-01,7.097
Flathead,flathead,etr,1992-08-01,7.546
Flathead,flathead,etr,1992-09-01,5.373
Flathead,flathead,etr,1992-10-01,2.822
Flathead,flathead,etr,1992-11-01,0.71
Flathead,flathead,etr,1992-12-01,0.75
Flathead,flathead,etr,1993-01-01,0.838
Flathead,flathead,etr,1993-02-01,0.921
Flathead,flathead,etr,1993-03-01,2.578
Flathead,flathead,etr,1993-04-01,3.592
Flathead,flathead,etr,1993-05-01,6.706
Flathead,flathead,etr,1993-06-01,6.057
Flathead,flathead,etr,1993-07-01,5.899
Flathead,flathead,etr,1993-08-01,6.662
Flathead,flathead,etr,1993-09-01,4.979
Flathead,flathead,etr,1993-10-01,2.564
Flathead,flathead,etr,1993-11-01,1.256
Flathead,flathead,etr,1993-12-01,0.735
Flathead,flathead,etr,1994-01-01,0.93
Flathead,flathead,etr,1994-02-01,1.367
Flathead,flathead,etr,1994-03-01,3.433
Flathead,flathead,etr,1994-04-01,4.417
Flathead,flathead,etr,1994-05-01,6.236
Flathead,flathead,etr,1994-06-01,7.196
Flathead,flathead,etr,1994-07-01,9.388
Flathead,flathead,etr,1994-08-01,8.678
Flathead,flathead,etr,1994-09-01,5.95
Flathead,flathead,etr,1994-10-01,2.288
Flathead,flathead,etr,1994-11-01,1.077
Flathead,flathead,etr,1994-12-01,0.623
Flathead,flathead,etr,1995-01-01,0.625
Flathead,flathead,etr,1995-02-01,1.834
Flathead,flathead,etr,1995-03-01,2.596
Flathead,flathead,etr,1995-04-01,3.795
Flathead,flathead,etr,1995-05-01,6.056
Flathead,flathead,etr,1995-06-01,5.485
Flathead,flathead,etr,1995-07-01,7.963
Flathead,flathead,etr,1995-08-01,7.251
Flathead,flathead,etr,1995-09-01,4.487
Flathead,flathead,etr,1995-10-01,2.063
Flathead,flathead,etr,1995-11-01,1.165
Flathead,flathead,etr,1995-12-01,0.691
Flathead,flathead,etr,1996-01-01,0.72
Flathead,flathead,etr,1996-02-01,1.511
Flathead,flathead,etr,1996-03-01,2.395
Flathead,flathead,etr,1996-04-01,3.957
Flathead,flathead,etr,1996-05-01,4.104
Flathead,flathead,etr,1996-06-01,6.928
Flathead,flathead,etr,1996-07-01,9.062
Flathead,flathead,etr,1996-08-01,7.837
Flathead,flathead,etr,1996-09-01,4.185
Flathead,flathead,etr,1996-10-01,2.628
Flathead,flathead,etr,1996-11-01,0.915
Flathead,flathead,etr,1996-12-01,0.818
Flathead,flathead,etr,1997-01-01,0.873
Flathead,flathead,etr,1997-02-01,0.883
Flathead,flathead,etr,1997-03-01,2.408
Flathead,flathead,etr,1997-04-01,3.574
Flathead,flathead,etr,1997-05-01,5.973
Flathead,flathead,etr,1997-06-01,5.577
Flathead,flathead,etr,1997-07-01,7.459
Flathead,flathead,etr,1997-08-01,7.052
Flathead,flathead,etr,1997-09-01,4.681
Flathead,flathead,etr,1997-10-01,2.276
Flathead,flathead,etr,1997-11-01,0.961
Flathead,flathead,etr,1997-12-01,0.633
Flathead,flathead,etr,1998-01-01,0.854
Flathead,flathead,etr,1998-02-01,1.07
Flathead,flathead,etr,1998-03-01,2.219
Flathead,flathead,etr,1998-04-01,4.334
Flathead,flathead,etr,1998-05-01,5.947
Flathead,flathead,etr,1998-06-01,5.546
Flathead,flathead,etr,1998-07-01,8.206
Flathead,flathead,etr,1998-08-01,8.204
Flathead,flathead,etr,1998-09-01,5.619
Flathead,flathead,etr,1998-10-01,2.678
Flathead,flathead,etr,1998-11-01,1.005
Flathead,flathead,etr,1998-12-01,1.331
Flathead,flathead,etr,1999-01-01,1.209
Flathead,flathead,etr,1999-02-01,1.666
Flathead,flathead,etr,1999-03-01,3.07
Flathead,flathead,etr,1999-04-01,4.704
Flathead,flathead,etr,1999-05-01,6.022
Flathead,flathead,etr,1999-06-01,6.297
Flathead,flathead,etr,1999-07-01,9.03
Flathead,flathead,etr,1999-08-01,7.282
Flathead,flathead,etr,1999-09-01,5.307
Flathead,flathead,etr,1999-10-01,3.278
Flathead,flathead,etr,1999-11-01,1.709
Flathead,flathead,etr,1999-12-01,0.811
Flathead,flathead,etr,2000-01-01,0.917
Flathead,flathead,etr,2000-02-01,1.204
Flathead,flathead,etr,2000-03-01,2.975
Flathead,flathead,etr,2000-04-01,4.663
Flathead,flathead,etr,2000-05-01,5.993
Flathead,flathead,etr,2000-06-01,7.294
Flathead,flathead,etr,2000-07-01,8.804
Flathead,flathead,etr,2000-08-01,9.045
Flathead,flathead,etr,2000-09-01,4.468
Flathead,flathead,etr,2000-10-01,2.562
Flathead,flathead,etr,2000-11-01,0.699
Flathead,flathead,etr,2000-12-01,0.407
Flathead,flathead,etr,2001-01-01,0.604
Flathead,flathead,etr,2001-02-01,1.008
Flathead,flathead,etr,2001-03-01,2.7
Flathead,flathead,etr,2001-04-01,3.831
Flathead,flathead,etr,2001-05-01,7.393
Flathead,flathead,etr,2001-06-01,6.461
Flathead,flathead,etr,2001-07-01,8.048
Flathead,flathead,etr,2001-08-01,8.822
Flathead,flathead,etr,2001-09-01,6.491
Flathead,flathead,etr,2001-10-01,3.067
Flathead,flathead,etr,2001-11-01,1.556
Flathead,flathead,etr,2001-12-01,0.873
Flathead,flathead,etr,2002-01-01,1
Flathead,flathead,etr,2002-02-01,1.577
Flathead,flathead,etr,2002-03-01,2.238
Flathead,flathead,etr,2002-04-01,3.976
Flathead,flathead,etr,2002-05-01,5.545
Flathead,flathead,etr,2002-06-01,6.301
Flathead,flathead,etr,2002-07-01,9.396
Flathead,flathead,etr,2002-08-01,7.423
Flathead,flathead,etr,2002-09-01,5.361
Flathead,flathead,etr,2002-10-01,3.014
Flathead,flathead,etr,2002-11-01,1.48
Flathead,flathead,etr,2002-12-01,0.784
Flathead,flathead,etr,2003-01-01,0.923
Flathead,flathead,etr,2003-02-01,1.216
Flathead,flathead,etr,2003-03-01,2.774
Flathead,flathead,etr,2003-04-01,4.037
Flathead,flathead,etr,2003-05-01,5.68
Flathead,flathead,etr,2003-06-01,7.424
Flathead,flathead,etr,2003-07-01,10.435
Flathead,flathead,etr,2003-08-01,8.828
Flathead,flathead,etr,2003-09-01,6.109
Flathead,flathead,etr,2003-10-01,3.81
Flathead,flathead,etr,2003-11-01,1.277
Flathead,flathead,etr,2003-12-01,0.687
Flathead,flathead,etr,2004-01-01,0.974
Flathead,flathead,etr,2004-02-01,1.306
Flathead,flathead,etr,2004-03-01,3.795
Flathead,flathead,etr,2004-04-01,4.865
Flathead,flathead,etr,2004-05-01,5.445
Flathead,flathead,etr,2004-06-01,6.543
Flathead,flathead,etr,2004-07-01,8.909
Flathead,flathead,etr,2004-08-01,7.155
Flathead,flathead,etr,2004-09-01,3.552
Flathead,flathead,etr,2004-10-01,2.551
Flathead,flathead,etr,2004-11-01,1.254
Flathead,flathead,etr,2004-12-01,0.948
Flathead,flathead,etr,2005-01-01,1.074
Flathead,flathead,etr,2005-02-01,1.889
Flathead,flathead,etr,2005-03-01,3.078
Flathead,flathead,etr,2005-04-01,4.557
Flathead,flathead,etr,2005-05-01,5.876
Flathead,flathead,etr,2005-06-01,5.742
Flathead,flathead,etr,2005-07-01,10.028
Flathead,flathead,etr,2005-08-01,8.395
Flathead,flathead,etr,2005-09-01,5.155
Flathead,flathead,etr,2005-10-01,2.201
Flathead,flathead,etr,2005-11-01,1.045
Flathead,flathead,etr,2005-12-01,0.839
Flathead,flathead,etr,2006-01-01,1.25
Flathead,flathead,etr,2006-02-01,1.74
Flathead,flathead,etr,2006-03-01,2.659
Flathead,flathead,etr,2006-04-01,4.36
Flathead,flathead,etr,2006-05-01,6.814
Flathead,flathead,etr,2006-06-01,7.107
Flathead,flathead,etr,2006-07-01,10.303
Flathead,flathead,etr,2006-08-01,8.309
Flathead,flathead,etr,2006-09-01,5.504
Flathead,flathead,etr,2006-10-01,2.881
Flathead,flathead,etr,2006-11-01,1.556
Flathead,flathead,etr,2006-12-01,0.982
Flathead,flathead,etr,2007-01-01,1.165
Flathead,flathead,etr,2007-02-01,1.343
Flathead,flathead,etr,2007-03-01,3.573
Flathead,flathead,etr,2007-04-01,4.525
Flathead,flathead,etr,2007-05-01,6.612
Flathead,flathead,etr,2007-06-01,7.474
Flathead,flathead,etr,2007-07-01,10.427
Flathead,flathead,etr,2007-08-01,8.904
Flathead,flathead,etr,2007-09-01,5.905
Flathead,flathead,etr,2007-10-01,2.979
Flathead,flathead,etr,2007-11-01,1.728
Flathead,flathead,etr,2007-12-01,1.036
Flathead,flathead,etr,2008-01-01,1.26
Flathead,flathead,etr,2008-02-01,1.562
Flathead,flathead,etr,2008-03-01,2.637
Flathead,flathead,etr,2008-04-01,4.304
Flathead,flathead,etr,2008-05-01,6.297
Flathead,flathead,etr,2008-06-01,7.193
Flathead,flathead,etr,2008-07-01,9.807
Flathead,flathead,etr,2008-08-01,7.929
Flathead,flathead,etr,2008-09-01,4.787
Flathead,flathead,etr,2008-10-01,3.328
Flathead,flathead,etr,2008-11-01,1.54
Flathead,flathead,etr,2008-12-01,0.991
Flathead,flathead,etr,2009-01-01,1.327
Flathead,flathead,etr,2009-02-01,1.384
Flathead,flathead,etr,2009-03-01,2.393
Flathead,flathead,etr,2009-04-01,4.657
Flathead,flathead,etr,2009-05-01,7.093
Flathead,flathead,etr,2009-06-01,7.212
Flathead,flathead,etr,2009-07-01,8.878
Flathead,flathead,etr,2009-08-01,7.782
Flathead,flathead,etr,2009-09-01,6.761
Flathead,flathead,etr,2009-10-01,2.673
Flathead,flathead,etr,2009-11-01,1.863
Flathead,flathead,etr,2009-12-01,0.856
Flathead,flathead,etr,2010-01-01,0.947
Flathead,flathead,etr,2010-02-01,1.35
Flathead,flathead,etr,2010-03-01,3.49
Flathead,flathead,etr,2010-04-01,4.607
Flathead,flathead,etr,2010-05-01,5.795
Flathead,flathead,etr,2010-06-01,6.579
Flathead,flathead,etr,2010-07-01,9.387
Flathead,flathead,etr,2010-08-01,8.437
Flathead,flathead,etr,2010-09-01,5.001
Flathead,flathead,etr,2010-10-01,3.042
Flathead,flathead,etr,2010-11-01,1.117
Flathead,flathead,etr,2010-12-01,0.814
Flathead,flathead,etr,2011-01-01,0.975
Flathead,flathead,etr,2011-02-01,1.458
Flathead,flathead,etr,2011-03-01,2.7
Flathead,flathead,etr,2011-04-01,3.648
Flathead,flathead,etr,2011-05-01,5.797
Flathead,flathead,etr,2011-06-01,6.097
Flathead,flathead,etr,2011-07-01,9.43
Flathead,flathead,etr,2011-08-01,9.56
Flathead,flathead,etr,2011-09-01,7.263
Flathead,flathead,etr,2011-10-01,2.943
