name,id,variable,date,value
Arrow,10040102,evi,2000-02-01,0.103
Arrow,10040102,evi,2000-03-01,0.125
Arrow,10040102,evi,2000-04-01,0.194
Arrow,10040102,evi,2000-05-01,0.279
Arrow,10040102,evi,2000-06-01,0.303
Arrow,10040102,evi,2000-07-01,0.22
Arrow,10040102,evi,2000-08-01,0.164
Arrow,10040102,evi,2000-09-01,0.147
Arrow,10040102,evi,2000-10-01,0.14
Arrow,10040102,evi,2000-11-01,0.116
Arrow,10040102,evi,2000-12-01,0.094
Arrow,10040102,evi,2001-01-01,0.111
Arrow,10040102,evi,2001-02-01,0.114
Arrow,10040102,evi,2001-03-01,0.123
Arrow,10040102,evi,2001-04-01,0.156
Arrow,10040102,evi,2001-05-01,0.202
Arrow,10040102,evi,2001-06-01,0.221
Arrow,10040102,evi,2001-07-01,0.212
Arrow,10040102,evi,2001-08-01,0.176
Arrow,10040102,evi,2001-09-01,0.175
Arrow,10040102,evi,2001-10-01,0.151
Arrow,10040102,evi,2001-11-01,0.141
Arrow,10040102,evi,2001-12-01,0.118
Arrow,10040102,evi,2002-01-01,0.112
Arrow,10040102,evi,2002-02-01,0.103
Arrow,10040102,evi,2002-03-01,0.093
Arrow,10040102,evi,2002-04-01,0.132
Arrow,10040102,evi,2002-05-01,0.233
Arrow,10040102,evi,2002-06-01,0.321
Arrow,10040102,evi,2002-07-01,0.267
Arrow,10040102,evi,2002-08-01,0.228
Arrow,10040102,evi,2002-09-01,0.206
Arrow,10040102,evi,2002-10-01,0.16
Arrow,10040102,evi,2002-11-01,0.139
Arrow,10040102,evi,2002-12-01,0.125
Arrow,10040102,evi,2003-01-01,0.118
Arrow,10040102,evi,2003-02-01,0.14
Arrow,10040102,evi,2003-03-01,0.125
Arrow,10040102,evi,2003-04-01,0.203
Arrow,10040102,evi,2003-05-01,0.313
Arrow,10040102,evi,2003-06-01,0.343
Arrow,10040102,evi,2003-07-01,0.219
Arrow,10040102,evi,2003-08-01,0.162
Arrow,10040102,evi,2003-09-01,0.144
Arrow,10040102,evi,2003-10-01,0.147
Arrow,10040102,evi,2003-11-01,0.122
Arrow,10040102,evi,2003-12-01,0.109
Arrow,10040102,evi,2004-01-01,0.105
Arrow,10040102,evi,2004-02-01,0.112
Arrow,10040102,evi,2004-03-01,0.134
Arrow,10040102,evi,2004-04-01,0.206
Arrow,10040102,evi,2004-05-01,0.261
Arrow,10040102,evi,2004-06-01,0.333
Arrow,10040102,evi,2004-07-01,0.26
Arrow,10040102,evi,2004-08-01,0.201
Arrow,10040102,evi,2004-09-01,0.168
Arrow,10040102,evi,2004-10-01,0.143
Arrow,10040102,evi,2004-11-01,0.125
Arrow,10040102,evi,2004-12-01,0.117
Arrow,10040102,evi,2005-01-01,0.122
Arrow,10040102,evi,2005-02-01,0.121
Arrow,10040102,evi,2005-03-01,0.129
Arrow,10040102,evi,2005-04-01,0.184
Arrow,10040102,evi,2005-05-01,0.264
Arrow,10040102,evi,2005-06-01,0.337
Arrow,10040102,evi,2005-07-01,0.238
Arrow,10040102,evi,2005-08-01,0.173
Arrow,10040102,evi,2005-09-01,0.156
Arrow,10040102,evi,2005-10-01,0.157
Arrow,10040102,evi,2005-11-01,0.138
Arrow,10040102,evi,2005-12-01,0.115
Arrow,10040102,evi,2006-01-01,0.125
Arrow,10040102,evi,2006-02-01,0.124
Arrow,10040102,evi,2006-03-01,0.135
Arrow,10040102,evi,2006-04-01,0.225
Arrow,10040102,evi,2006-05-01,0.313
Arrow,10040102,evi,2006-06-01,0.354
Arrow,10040102,evi,2006-07-01,0.233
Arrow,10040102,evi,2006-08-01,0.179
Arrow,10040102,evi,2006-09-01,0.157
Arrow,10040102,evi,2006-10-01,0.155
Arrow,10040102,evi,2006-11-01,0.143
Arrow,10040102,evi,2006-12-01,0.122
Arrow,10040102,evi,2007-01-01,0.116
Arrow,10040102,evi,2007-02-01,0.11
Arrow,10040102,evi,2007-03-01,0.146
Arrow,10040102,evi,2007-04-01,0.206
Arrow,10040102,evi,2007-05-01,0.327
Arrow,10040102,evi,2007-06-01,0.364
Arrow,10040102,evi,2007-07-01,0.241
Arrow,10040102,evi,2007-08-01,0.182
Arrow,10040102,evi,2007-09-01,0.139
Arrow,10040102,evi,2007-10-01,0.133
Arrow,10040102,evi,2007-11-01,0.119
Arrow,10040102,evi,2007-12-01,0.105
Arrow,10040102,evi,2008-01-01,0.106
Arrow,10040102,evi,2008-02-01,0.094
Arrow,10040102,evi,2008-03-01,0.104
Arrow,10040102,evi,2008-04-01,0.134
Arrow,10040102,evi,2008-05-01,0.198
Arrow,10040102,evi,2008-06-01,0.304
Arrow,10040102,evi,2008-07-01,0.265
Arrow,10040102,evi,2008-08-01,0.189
Arrow,10040102,evi,2008-09-01,0.17
Arrow,10040102,evi,2008-10-01,0.157
Arrow,10040102,evi,2008-11-01,0.138
Arrow,10040102,evi,2008-12-01,0.159
Arrow,10040102,evi,2009-01-01,0.114
Arrow,10040102,evi,2009-02-01,0.112
Arrow,10040102,evi,2009-03-01,0.12
Arrow,10040102,evi,2009-04-01,0.162
Arrow,10040102,evi,2009-05-01,0.249
Arrow,10040102,evi,2009-06-01,0.303
Arrow,10040102,evi,2009-07-01,0.249
Arrow,10040102,evi,2009-08-01,0.207
Arrow,10040102,evi,2009-09-01,0.168
Arrow,10040102,evi,2009-10-01,0.138
Arrow,10040102,evi,2009-11-01,0.125
Arrow,10040102,evi,2009-12-01,0.104
Arrow,10040102,evi,2010-01-01,0.11
Arrow,10040102,evi,2010-02-01,0.106
Arrow,10040102,evi,2010-03-01,0.131
Arrow,10040102,evi,2010-04-01,0.19
Arrow,10040102,evi,2010-05-01,0.289
Arrow,10040102,evi,2010-06-01,0.367
Arrow,10040102,evi,2010-07-01,0.289
Arrow,10040102,evi,2010-08-01,0.222
Arrow,10040102,evi,2010-09-01,0.211
Arrow,10040102,evi,2010-10-01,0.184
Arrow,10040102,evi,2010-11-01,0.156
Arrow,10040102,evi,2010-12-01,0.124
Arrow,10040102,evi,2011-01-01,0.117
Arrow,10040102,evi,2011-02-01,0.104
Arrow,10040102,evi,2011-03-01,0.12
Arrow,10040102,evi,2011-04-01,0.144
Arrow,10040102,evi,2011-05-01,0.243
Arrow,10040102,evi,2011-06-01,0.351
Arrow,10040102,evi,2011-07-01,0.308
Arrow,10040102,evi,2011-08-01,0.233
Arrow,10040102,evi,2011-09-01,0.189
Arrow,10040102,evi,2011-10-01,0.159
Arrow,10040102,evi,2011-11-01,0.146
Arrow,10040102,evi,2011-12-01,0.125
Arrow,10040102,evi,2012-01-01,0.124
Arrow,10040102,evi,2012-02-01,0.12
Arrow,10040102,evi,2012-03-01,0.134
Arrow,10040102,evi,2012-04-01,0.209
Arrow,10040102,evi,2012-05-01,0.291
Arrow,10040102,evi,2012-06-01,0.333
Arrow,10040102,evi,2012-07-01,0.247
