name,id,variable,date,value
Upper North Fork Clearwater,17060307,gpp,2000-02-01,0.003
Upper North Fork Clearwater,17060307,gpp,2000-03-01,0.017
Upper North Fork Clearwater,17060307,gpp,2000-04-01,0.079
Upper North Fork Clearwater,17060307,gpp,2000-05-01,0.093
Upper North Fork Clearwater,17060307,gpp,2000-06-01,0.228
Upper North Fork Clearwater,17060307,gpp,2000-07-01,0.26
Upper North Fork Clearwater,17060307,gpp,2000-08-01,0.19
Upper North Fork Clearwater,17060307,gpp,2000-09-01,0.118
Upper North Fork Clearwater,17060307,gpp,2000-10-01,0.046
Upper North Fork Clearwater,17060307,gpp,2000-11-01,0.001
Upper North Fork Clearwater,17060307,gpp,2000-12-01,0.001
Upper North Fork Clearwater,17060307,gpp,2001-01-01,0.001
Upper North Fork Clearwater,17060307,gpp,2001-02-01,0.003
Upper North Fork Clearwater,17060307,gpp,2001-03-01,0.024
Upper North Fork Clearwater,17060307,gpp,2001-04-01,0.04
Upper North Fork Clearwater,17060307,gpp,2001-05-01,0.144
Upper North Fork Clearwater,17060307,gpp,2001-06-01,0.119
Upper North Fork Clearwater,17060307,gpp,2001-07-01,0.239
Upper North Fork Clearwater,17060307,gpp,2001-08-01,0.195
Upper North Fork Clearwater,17060307,gpp,2001-09-01,0.133
Upper North Fork Clearwater,17060307,gpp,2001-10-01,0.027
Upper North Fork Clearwater,17060307,gpp,2001-11-01,0.025
Upper North Fork Clearwater,17060307,gpp,2001-12-01,0.001
Upper North Fork Clearwater,17060307,gpp,2002-01-01,0.001
Upper North Fork Clearwater,17060307,gpp,2002-02-01,0.002
Upper North Fork Clearwater,17060307,gpp,2002-03-01,0.007
Upper North Fork Clearwater,17060307,gpp,2002-04-01,0.028
Upper North Fork Clearwater,17060307,gpp,2002-05-01,0.087
Upper North Fork Clearwater,17060307,gpp,2002-06-01,0.198
Upper North Fork Clearwater,17060307,gpp,2002-07-01,0.264
Upper North Fork Clearwater,17060307,gpp,2002-08-01,0.235
Upper North Fork Clearwater,17060307,gpp,2002-09-01,0.131
Upper North Fork Clearwater,17060307,gpp,2002-10-01,0.048
Upper North Fork Clearwater,17060307,gpp,2002-11-01,0.012
Upper North Fork Clearwater,17060307,gpp,2002-12-01,0.002
Upper North Fork Clearwater,17060307,gpp,2003-01-01,0.004
Upper North Fork Clearwater,17060307,gpp,2003-02-01,0.002
Upper North Fork Clearwater,17060307,gpp,2003-03-01,0.019
Upper North Fork Clearwater,17060307,gpp,2003-04-01,0.048
Upper North Fork Clearwater,17060307,gpp,2003-05-01,0.106
Upper North Fork Clearwater,17060307,gpp,2003-06-01,0.266
Upper North Fork Clearwater,17060307,gpp,2003-07-01,0.235
Upper North Fork Clearwater,17060307,gpp,2003-08-01,0.184
Upper North Fork Clearwater,17060307,gpp,2003-09-01,0.137
Upper North Fork Clearwater,17060307,gpp,2003-10-01,0.041
Upper North Fork Clearwater,17060307,gpp,2003-11-01,0.006
Upper North Fork Clearwater,17060307,gpp,2003-12-01,0.001
Upper North Fork Clearwater,17060307,gpp,2004-01-01,0.002
Upper North Fork Clearwater,17060307,gpp,2004-02-01,0.004
Upper North Fork Clearwater,17060307,gpp,2004-03-01,0.031
Upper North Fork Clearwater,17060307,gpp,2004-04-01,0.101
Upper North Fork Clearwater,17060307,gpp,2004-05-01,0.059
Upper North Fork Clearwater,17060307,gpp,2004-06-01,0.203
Upper North Fork Clearwater,17060307,gpp,2004-07-01,0.259
Upper North Fork Clearwater,17060307,gpp,2004-08-01,0.192
Upper North Fork Clearwater,17060307,gpp,2004-09-01,0.131
Upper North Fork Clearwater,17060307,gpp,2004-10-01,0.045
Upper North Fork Clearwater,17060307,gpp,2004-11-01,0.011
Upper North Fork Clearwater,17060307,gpp,2004-12-01,0.003
Upper North Fork Clearwater,17060307,gpp,2005-01-01,0.007
Upper North Fork Clearwater,17060307,gpp,2005-02-01,0.022
Upper North Fork Clearwater,17060307,gpp,2005-03-01,0.034
Upper North Fork Clearwater,17060307,gpp,2005-04-01,0.055
Upper North Fork Clearwater,17060307,gpp,2005-05-01,0.137
Upper North Fork Clearwater,17060307,gpp,2005-06-01,0.199
Upper North Fork Clearwater,17060307,gpp,2005-07-01,0.276
Upper North Fork Clearwater,17060307,gpp,2005-08-01,0.197
Upper North Fork Clearwater,17060307,gpp,2005-09-01,0.105
Upper North Fork Clearwater,17060307,gpp,2005-10-01,0.047
Upper North Fork Clearwater,17060307,gpp,2005-11-01,0.011
Upper North Fork Clearwater,17060307,gpp,2005-12-01,0.001
Upper North Fork Clearwater,17060307,gpp,2006-01-01,0.003
Upper North Fork Clearwater,17060307,gpp,2006-02-01,0.004
Upper North Fork Clearwater,17060307,gpp,2006-03-01,0.016
Upper North Fork Clearwater,17060307,gpp,2006-04-01,0.05
Upper North Fork Clearwater,17060307,gpp,2006-05-01,0.131
Upper North Fork Clearwater,17060307,gpp,2006-06-01,0.213
Upper North Fork Clearwater,17060307,gpp,2006-07-01,0.223
Upper North Fork Clearwater,17060307,gpp,2006-08-01,0.166
Upper North Fork Clearwater,17060307,gpp,2006-09-01,0.113
Upper North Fork Clearwater,17060307,gpp,2006-10-01,0.042
Upper North Fork Clearwater,17060307,gpp,2006-11-01,0.009
Upper North Fork Clearwater,17060307,gpp,2006-12-01,0.002
Upper North Fork Clearwater,17060307,gpp,2007-01-01,0.001
Upper North Fork Clearwater,17060307,gpp,2007-02-01,0.005
Upper North Fork Clearwater,17060307,gpp,2007-03-01,0.034
Upper North Fork Clearwater,17060307,gpp,2007-04-01,0.041
Upper North Fork Clearwater,17060307,gpp,2007-05-01,0.145
Upper North Fork Clearwater,17060307,gpp,2007-06-01,0.216
Upper North Fork Clearwater,17060307,gpp,2007-07-01,0.232
Upper North Fork Clearwater,17060307,gpp,2007-08-01,0.197
Upper North Fork Clearwater,17060307,gpp,2007-09-01,0.105
Upper North Fork Clearwater,17060307,gpp,2007-10-01,0.046
Upper North Fork Clearwater,17060307,gpp,2007-11-01,0.014
Upper North Fork Clearwater,17060307,gpp,2007-12-01,0.001
Upper North Fork Clearwater,17060307,gpp,2008-01-01,0.001
Upper North Fork Clearwater,17060307,gpp,2008-02-01,0.004
Upper North Fork Clearwater,17060307,gpp,2008-03-01,0.004
Upper North Fork Clearwater,17060307,gpp,2008-04-01,0.031
Upper North Fork Clearwater,17060307,gpp,2008-05-01,0.072
Upper North Fork Clearwater,17060307,gpp,2008-06-01,0.188
Upper North Fork Clearwater,17060307,gpp,2008-07-01,0.288
Upper North Fork Clearwater,17060307,gpp,2008-08-01,0.204
Upper North Fork Clearwater,17060307,gpp,2008-09-01,0.143
Upper North Fork Clearwater,17060307,gpp,2008-10-01,0.043
Upper North Fork Clearwater,17060307,gpp,2008-11-01,0.014
Upper North Fork Clearwater,17060307,gpp,2008-12-01,0.001
Upper North Fork Clearwater,17060307,gpp,2009-01-01,0.002
Upper North Fork Clearwater,17060307,gpp,2009-02-01,0.006
Upper North Fork Clearwater,17060307,gpp,2009-03-01,0.007
Upper North Fork Clearwater,17060307,gpp,2009-04-01,0.037
Upper North Fork Clearwater,17060307,gpp,2009-05-01,0.132
Upper North Fork Clearwater,17060307,gpp,2009-06-01,0.23
Upper North Fork Clearwater,17060307,gpp,2009-07-01,0.246
Upper North Fork Clearwater,17060307,gpp,2009-08-01,0.201
Upper North Fork Clearwater,17060307,gpp,2009-09-01,0.137
Upper North Fork Clearwater,17060307,gpp,2009-10-01,0.019
Upper North Fork Clearwater,17060307,gpp,2009-11-01,0.014
Upper North Fork Clearwater,17060307,gpp,2009-12-01,0.001
Upper North Fork Clearwater,17060307,gpp,2010-01-01,0.003
Upper North Fork Clearwater,17060307,gpp,2010-02-01,0.009
Upper North Fork Clearwater,17060307,gpp,2010-03-01,0.025
Upper North Fork Clearwater,17060307,gpp,2010-04-01,0.039
Upper North Fork Clearwater,17060307,gpp,2010-05-01,0.081
Upper North Fork Clearwater,17060307,gpp,2010-06-01,0.192
Upper North Fork Clearwater,17060307,gpp,2010-07-01,0.283
Upper North Fork Clearwater,17060307,gpp,2010-08-01,0.214
Upper North Fork Clearwater,17060307,gpp,2010-09-01,0.129
Upper North Fork Clearwater,17060307,gpp,2010-10-01,0.044
Upper North Fork Clearwater,17060307,gpp,2010-11-01,0.012
Upper North Fork Clearwater,17060307,gpp,2010-12-01,0.001
Upper North Fork Clearwater,17060307,gpp,2011-01-01,0.001
Upper North Fork Clearwater,17060307,gpp,2011-02-01,0.002
Upper North Fork Clearwater,17060307,gpp,2011-03-01,0.011
Upper North Fork Clearwater,17060307,gpp,2011-04-01,0.013
Upper North Fork Clearwater,17060307,gpp,2011-05-01,0.084
Upper North Fork Clearwater,17060307,gpp,2011-06-01,0.173
Upper North Fork Clearwater,17060307,gpp,2011-07-01,0.278
Upper North Fork Clearwater,17060307,gpp,2011-08-01,0.236
Upper North Fork Clearwater,17060307,gpp,2011-09-01,0.128
Upper North Fork Clearwater,17060307,gpp,2011-10-01,0.037
Upper North Fork Clearwater,17060307,gpp,2011-11-01,0.007
Upper North Fork Clearwater,17060307,gpp,2011-12-01,0.001
Upper North Fork Clearwater,17060307,gpp,2012-01-01,0.002
Upper North Fork Clearwater,17060307,gpp,2012-02-01,0.003
Upper North Fork Clearwater,17060307,gpp,2012-03-01,0.013
Upper North Fork Clearwater,17060307,gpp,2012-04-01,0.061
Upper North Fork Clearwater,17060307,gpp,2012-05-01,0.084
Upper North Fork Clearwater,17060307,gpp,2012-06-01,0.198
Upper North Fork Clearwater,17060307,gpp,2012-07-01,0.268
Upper North Fork Clearwater,17060307,gpp,2012-08-01,0.211
Upper North Fork Clearwater,17060307,gpp,2012-09-01,0.136
Upper North Fork Clearwater,17060307,gpp,2012-10-01,0.049
Upper North Fork Clearwater,17060307,gpp,2012-11-01,0.005
Upper North Fork Clearwater,17060307,gpp,2012-12-01,0.001
Upper North Fork Clearwater,17060307,gpp,2013-01-01,0.001
Upper North Fork Clearwater,17060307,gpp,2013-02-01,0.003
Upper North Fork Clearwater,17060307,gpp,2013-03-01,0.023
Upper North Fork Clearwater,17060307,gpp,2013-04-01,0.038
Upper North Fork Clearwater,17060307,gpp,2013-05-01,0.136
Upper North Fork Clearwater,17060307,gpp,2013-06-01,0.218
Upper North Fork Clearwater,17060307,gpp,2013-07-01,0.274
Upper North Fork Clearwater,17060307,gpp,2013-08-01,0.176
Upper North Fork Clearwater,17060307,gpp,2013-09-01,0.11
Upper North Fork Clearwater,17060307,gpp,2013-10-01,0.047
Upper North Fork Clearwater,17060307,gpp,2013-11-01,0.01
Upper North Fork Clearwater,17060307,gpp,2013-12-01,0
Upper North Fork Clearwater,17060307,gpp,2014-01-01,0.003
Upper North Fork Clearwater,17060307,gpp,2014-02-01,0.003
Upper North Fork Clearwater,17060307,gpp,2014-03-01,0.018
Upper North Fork Clearwater,17060307,gpp,2014-04-01,0.036
Upper North Fork Clearwater,17060307,gpp,2014-05-01,0.15
