name,id,variable,date,value
Madison County,30057,ndvi,2000-12-01,0.2
Madison County,30057,ndvi,2018-02-01,0.208
Madison County,30057,ndvi,2019-02-01,NA
Madison County,30057,ndvi,2000-02-01,0.2
Madison County,30057,ndvi,2000-03-01,0.214
Madison County,30057,ndvi,2000-04-01,0.304
Madison County,30057,ndvi,2000-05-01,0.448
Madison County,30057,ndvi,2000-06-01,0.521
Madison County,30057,ndvi,2000-07-01,0.458
Madison County,30057,ndvi,2000-08-01,0.423
Madison County,30057,ndvi,2000-09-01,0.396
Madison County,30057,ndvi,2000-10-01,0.277
Madison County,30057,ndvi,2000-11-01,NA
Madison County,30057,ndvi,2001-01-01,0.211
Madison County,30057,ndvi,2001-02-01,0.216
Madison County,30057,ndvi,2001-03-01,0.212
Madison County,30057,ndvi,2001-04-01,0.286
Madison County,30057,ndvi,2001-05-01,0.444
Madison County,30057,ndvi,2001-06-01,0.577
Madison County,30057,ndvi,2001-07-01,0.519
Madison County,30057,ndvi,2001-08-01,0.435
Madison County,30057,ndvi,2001-09-01,0.407
Madison County,30057,ndvi,2001-10-01,0.344
Madison County,30057,ndvi,2001-11-01,0.358
Madison County,30057,ndvi,2001-12-01,0.241
Madison County,30057,ndvi,2002-01-01,0.235
Madison County,30057,ndvi,2002-02-01,0.197
Madison County,30057,ndvi,2002-03-01,0.199
Madison County,30057,ndvi,2002-04-01,0.262
Madison County,30057,ndvi,2002-05-01,0.42
Madison County,30057,ndvi,2002-06-01,0.539
Madison County,30057,ndvi,2002-07-01,0.51
Madison County,30057,ndvi,2002-08-01,0.455
Madison County,30057,ndvi,2002-09-01,0.444
Madison County,30057,ndvi,2002-10-01,0.385
Madison County,30057,ndvi,2002-11-01,0.286
Madison County,30057,ndvi,2002-12-01,0.26
Madison County,30057,ndvi,2003-01-01,0.241
Madison County,30057,ndvi,2003-02-01,0.224
Madison County,30057,ndvi,2003-03-01,0.23
Madison County,30057,ndvi,2003-04-01,0.332
Madison County,30057,ndvi,2003-05-01,0.46
Madison County,30057,ndvi,2003-06-01,0.522
Madison County,30057,ndvi,2003-07-01,0.472
Madison County,30057,ndvi,2003-08-01,0.429
Madison County,30057,ndvi,2003-09-01,0.39
Madison County,30057,ndvi,2003-10-01,0.366
Madison County,30057,ndvi,2003-11-01,0.237
Madison County,30057,ndvi,2003-12-01,0.218
Madison County,30057,ndvi,2004-01-01,0.217
Madison County,30057,ndvi,2004-02-01,0.194
Madison County,30057,ndvi,2004-03-01,0.239
Madison County,30057,ndvi,2004-04-01,0.334
Madison County,30057,ndvi,2004-05-01,0.424
Madison County,30057,ndvi,2004-06-01,0.521
Madison County,30057,ndvi,2004-07-01,0.513
Madison County,30057,ndvi,2004-08-01,0.462
Madison County,30057,ndvi,2004-09-01,0.43
Madison County,30057,ndvi,2004-10-01,0.357
Madison County,30057,ndvi,2004-11-01,0.306
Madison County,30057,ndvi,2004-12-01,0.267
Madison County,30057,ndvi,2005-01-01,0.263
Madison County,30057,ndvi,2005-02-01,0.252
Madison County,30057,ndvi,2005-03-01,0.228
Madison County,30057,ndvi,2005-04-01,0.289
Madison County,30057,ndvi,2005-05-01,0.42
Madison County,30057,ndvi,2005-06-01,0.551
Madison County,30057,ndvi,2005-07-01,0.528
Madison County,30057,ndvi,2005-08-01,0.472
Madison County,30057,ndvi,2005-09-01,0.418
Madison County,30057,ndvi,2005-10-01,0.393
Madison County,30057,ndvi,2005-11-01,0.292
Madison County,30057,ndvi,2005-12-01,0.222
Madison County,30057,ndvi,2006-01-01,0.215
Madison County,30057,ndvi,2006-02-01,0.205
Madison County,30057,ndvi,2006-03-01,0.211
Madison County,30057,ndvi,2006-04-01,0.314
Madison County,30057,ndvi,2006-05-01,0.434
Madison County,30057,ndvi,2006-06-01,0.54
Madison County,30057,ndvi,2006-07-01,0.507
Madison County,30057,ndvi,2006-08-01,0.43
Madison County,30057,ndvi,2006-09-01,0.397
Madison County,30057,ndvi,2006-10-01,0.341
Madison County,30057,ndvi,2006-11-01,0.294
Madison County,30057,ndvi,2006-12-01,0.222
Madison County,30057,ndvi,2007-01-01,0.197
Madison County,30057,ndvi,2007-02-01,0.208
Madison County,30057,ndvi,2007-03-01,0.261
Madison County,30057,ndvi,2007-04-01,0.343
Madison County,30057,ndvi,2007-05-01,0.485
Madison County,30057,ndvi,2007-06-01,0.528
Madison County,30057,ndvi,2007-07-01,0.457
Madison County,30057,ndvi,2007-08-01,0.424
Madison County,30057,ndvi,2007-09-01,0.396
Madison County,30057,ndvi,2007-10-01,0.372
Madison County,30057,ndvi,2007-11-01,0.29
Madison County,30057,ndvi,2007-12-01,0.228
Madison County,30057,ndvi,2008-01-01,0.218
Madison County,30057,ndvi,2008-02-01,0.19
Madison County,30057,ndvi,2008-03-01,0.199
Madison County,30057,ndvi,2008-04-01,0.254
Madison County,30057,ndvi,2008-05-01,0.39
Madison County,30057,ndvi,2008-06-01,0.522
Madison County,30057,ndvi,2008-07-01,0.5
Madison County,30057,ndvi,2008-08-01,0.45
Madison County,30057,ndvi,2008-09-01,0.395
Madison County,30057,ndvi,2008-10-01,0.337
Madison County,30057,ndvi,2008-11-01,0.286
Madison County,30057,ndvi,2008-12-01,0.209
Madison County,30057,ndvi,2009-01-01,0.23
Madison County,30057,ndvi,2009-02-01,0.198
Madison County,30057,ndvi,2009-03-01,0.194
Madison County,30057,ndvi,2009-04-01,0.249
Madison County,30057,ndvi,2009-05-01,0.378
Madison County,30057,ndvi,2009-06-01,0.511
Madison County,30057,ndvi,2009-07-01,0.518
Madison County,30057,ndvi,2009-08-01,0.475
Madison County,30057,ndvi,2009-09-01,0.397
Madison County,30057,ndvi,2009-10-01,0.341
Madison County,30057,ndvi,2009-11-01,0.266
Madison County,30057,ndvi,2009-12-01,0.198
Madison County,30057,ndvi,2010-01-01,0.208
Madison County,30057,ndvi,2010-02-01,0.201
Madison County,30057,ndvi,2010-03-01,0.216
Madison County,30057,ndvi,2010-04-01,0.294
Madison County,30057,ndvi,2010-05-01,0.413
Madison County,30057,ndvi,2010-06-01,0.526
Madison County,30057,ndvi,2010-07-01,0.528
Madison County,30057,ndvi,2010-08-01,0.499
Madison County,30057,ndvi,2010-09-01,0.446
Madison County,30057,ndvi,2010-10-01,0.401
Madison County,30057,ndvi,2010-11-01,0.315
Madison County,30057,ndvi,2010-12-01,0.274
Madison County,30057,ndvi,2011-01-01,0.24
Madison County,30057,ndvi,2011-02-01,0.217
Madison County,30057,ndvi,2011-03-01,0.219
Madison County,30057,ndvi,2011-04-01,0.256
Madison County,30057,ndvi,2011-05-01,0.379
Madison County,30057,ndvi,2011-06-01,0.521
Madison County,30057,ndvi,2011-07-01,0.537
Madison County,30057,ndvi,2011-08-01,0.478
Madison County,30057,ndvi,2011-09-01,0.411
Madison County,30057,ndvi,2011-10-01,0.395
Madison County,30057,ndvi,2011-11-01,0.27
Madison County,30057,ndvi,2011-12-01,0.22
Madison County,30057,ndvi,2012-01-01,0.214
Madison County,30057,ndvi,2012-02-01,0.198
Madison County,30057,ndvi,2012-03-01,0.228
Madison County,30057,ndvi,2012-04-01,0.344
Madison County,30057,ndvi,2012-05-01,0.422
Madison County,30057,ndvi,2012-06-01,0.485
Madison County,30057,ndvi,2012-07-01,0.469
Madison County,30057,ndvi,2012-08-01,0.412
Madison County,30057,ndvi,2012-09-01,0.374
Madison County,30057,ndvi,2012-10-01,0.341
Madison County,30057,ndvi,2012-11-01,0.247
Madison County,30057,ndvi,2012-12-01,0.206
Madison County,30057,ndvi,2013-01-01,0.198
Madison County,30057,ndvi,2013-02-01,0.192
Madison County,30057,ndvi,2013-03-01,0.208
Madison County,30057,ndvi,2013-04-01,0.26
Madison County,30057,ndvi,2013-05-01,0.412
Madison County,30057,ndvi,2013-06-01,0.518
Madison County,30057,ndvi,2013-07-01,0.491
Madison County,30057,ndvi,2013-08-01,0.432
Madison County,30057,ndvi,2013-09-01,0.412
Madison County,30057,ndvi,2013-10-01,0.387
Madison County,30057,ndvi,2013-11-01,0.301
Madison County,30057,ndvi,2013-12-01,0.242
Madison County,30057,ndvi,2014-01-01,0.228
Madison County,30057,ndvi,2014-02-01,0.224
Madison County,30057,ndvi,2014-03-01,0.231
Madison County,30057,ndvi,2014-04-01,0.303
Madison County,30057,ndvi,2014-05-01,0.439
Madison County,30057,ndvi,2014-06-01,0.537
Madison County,30057,ndvi,2014-07-01,0.498
Madison County,30057,ndvi,2014-08-01,0.465
Madison County,30057,ndvi,2014-09-01,0.435
Madison County,30057,ndvi,2014-10-01,0.414
Madison County,30057,ndvi,2014-11-01,0.294
Madison County,30057,ndvi,2014-12-01,0.289
Madison County,30057,ndvi,2015-01-01,0.231
Madison County,30057,ndvi,2015-02-01,0.246
Madison County,30057,ndvi,2015-03-01,0.298
Madison County,30057,ndvi,2015-04-01,0.357
Madison County,30057,ndvi,2015-05-01,0.456
Madison County,30057,ndvi,2015-06-01,0.53
Madison County,30057,ndvi,2015-07-01,0.492
Madison County,30057,ndvi,2015-08-01,0.44
Madison County,30057,ndvi,2015-09-01,0.418
Madison County,30057,ndvi,2015-10-01,0.384
Madison County,30057,ndvi,2015-11-01,0.3
Madison County,30057,ndvi,2015-12-01,0.262
Madison County,30057,ndvi,2016-01-01,0.2
Madison County,30057,ndvi,2016-02-01,0.214
Madison County,30057,ndvi,2016-03-01,0.257
Madison County,30057,ndvi,2016-04-01,0.365
Madison County,30057,ndvi,2016-05-01,0.482
Madison County,30057,ndvi,2016-06-01,0.532
Madison County,30057,ndvi,2016-07-01,0.48
Madison County,30057,ndvi,2016-08-01,0.419
Madison County,30057,ndvi,2016-09-01,0.403
Madison County,30057,ndvi,2016-10-01,0.396
Madison County,30057,ndvi,2016-11-01,0.345
Madison County,30057,ndvi,2016-12-01,0.288
Madison County,30057,ndvi,2017-01-01,NA
Madison County,30057,ndvi,2017-02-01,0.239
Madison County,30057,ndvi,2017-03-01,0.287
Madison County,30057,ndvi,2017-04-01,0.362
Madison County,30057,ndvi,2017-05-01,0.498
Madison County,30057,ndvi,2017-06-01,0.538
Madison County,30057,ndvi,2017-07-01,0.501
Madison County,30057,ndvi,2017-08-01,0.426
Madison County,30057,ndvi,2017-09-01,0.383
