name,id,variable,date,value
Beaverhead,10020002,ndvi,2000-02-01,0.178
Beaverhead,10020002,ndvi,2000-03-01,0.183
Beaverhead,10020002,ndvi,2000-04-01,0.254
Beaverhead,10020002,ndvi,2000-05-01,0.373
Beaverhead,10020002,ndvi,2000-06-01,0.433
Beaverhead,10020002,ndvi,2000-07-01,0.377
Beaverhead,10020002,ndvi,2000-08-01,0.34
Beaverhead,10020002,ndvi,2000-09-01,0.334
Beaverhead,10020002,ndvi,2000-10-01,0.265
Beaverhead,10020002,ndvi,2000-11-01,NA
Beaverhead,10020002,ndvi,2000-12-01,NA
Beaverhead,10020002,ndvi,2001-01-01,0.219
Beaverhead,10020002,ndvi,2001-02-01,0.215
Beaverhead,10020002,ndvi,2001-03-01,0.191
Beaverhead,10020002,ndvi,2001-04-01,0.249
Beaverhead,10020002,ndvi,2001-05-01,0.388
Beaverhead,10020002,ndvi,2001-06-01,0.471
Beaverhead,10020002,ndvi,2001-07-01,0.453
Beaverhead,10020002,ndvi,2001-08-01,0.382
Beaverhead,10020002,ndvi,2001-09-01,0.361
Beaverhead,10020002,ndvi,2001-10-01,0.304
Beaverhead,10020002,ndvi,2001-11-01,0.278
Beaverhead,10020002,ndvi,2001-12-01,0.214
Beaverhead,10020002,ndvi,2002-01-01,0.226
Beaverhead,10020002,ndvi,2002-02-01,0.194
Beaverhead,10020002,ndvi,2002-03-01,0.19
Beaverhead,10020002,ndvi,2002-04-01,0.222
Beaverhead,10020002,ndvi,2002-05-01,0.362
Beaverhead,10020002,ndvi,2002-06-01,0.461
Beaverhead,10020002,ndvi,2002-07-01,0.423
Beaverhead,10020002,ndvi,2002-08-01,0.392
Beaverhead,10020002,ndvi,2002-09-01,0.372
Beaverhead,10020002,ndvi,2002-10-01,0.315
Beaverhead,10020002,ndvi,2002-11-01,0.262
Beaverhead,10020002,ndvi,2002-12-01,0.233
Beaverhead,10020002,ndvi,2003-01-01,0.222
Beaverhead,10020002,ndvi,2003-02-01,0.218
Beaverhead,10020002,ndvi,2003-03-01,0.196
Beaverhead,10020002,ndvi,2003-04-01,0.29
Beaverhead,10020002,ndvi,2003-05-01,0.398
Beaverhead,10020002,ndvi,2003-06-01,0.458
Beaverhead,10020002,ndvi,2003-07-01,0.413
Beaverhead,10020002,ndvi,2003-08-01,0.382
