name,id,variable,date,value
Toole County,30101,pet,1979-01-01,0.493
Toole County,30101,pet,1979-02-01,0.728
Toole County,30101,pet,1979-03-01,2.344
Toole County,30101,pet,1979-04-01,2.975
Toole County,30101,pet,1979-05-01,4.972
Toole County,30101,pet,1979-06-01,6.768
Toole County,30101,pet,1979-07-01,7.161
Toole County,30101,pet,1979-08-01,6.231
Toole County,30101,pet,1979-09-01,5.052
Toole County,30101,pet,1979-10-01,3.068
Toole County,30101,pet,1979-11-01,1.391
Toole County,30101,pet,1979-12-01,1.504
Toole County,30101,pet,1980-01-01,0.869
Toole County,30101,pet,1980-02-01,1.05
Toole County,30101,pet,1980-03-01,1.963
Toole County,30101,pet,1980-04-01,4.839
Toole County,30101,pet,1980-05-01,5.553
Toole County,30101,pet,1980-06-01,5.735
Toole County,30101,pet,1980-07-01,7.627
Toole County,30101,pet,1980-08-01,5.326
Toole County,30101,pet,1980-09-01,4.333
Toole County,30101,pet,1980-10-01,3.055
Toole County,30101,pet,1980-11-01,1.758
Toole County,30101,pet,1980-12-01,1.068
Toole County,30101,pet,1981-01-01,1.204
Toole County,30101,pet,1981-02-01,1.655
Toole County,30101,pet,1981-03-01,2.619
Toole County,30101,pet,1981-04-01,4.491
Toole County,30101,pet,1981-05-01,4.796
Toole County,30101,pet,1981-06-01,5.836
Toole County,30101,pet,1981-07-01,7.25
Toole County,30101,pet,1981-08-01,6.495
Toole County,30101,pet,1981-09-01,4.916
Toole County,30101,pet,1981-10-01,2.559
Toole County,30101,pet,1981-11-01,1.701
Toole County,30101,pet,1981-12-01,0.818
Toole County,30101,pet,1982-01-01,0.553
Toole County,30101,pet,1982-02-01,1.062
Toole County,30101,pet,1982-03-01,1.603
Toole County,30101,pet,1982-04-01,3.62
Toole County,30101,pet,1982-05-01,4.797
Toole County,30101,pet,1982-06-01,5.66
Toole County,30101,pet,1982-07-01,6.782
Toole County,30101,pet,1982-08-01,6.092
Toole County,30101,pet,1982-09-01,4.096
Toole County,30101,pet,1982-10-01,2.534
Toole County,30101,pet,1982-11-01,1.002
Toole County,30101,pet,1982-12-01,0.947
Toole County,30101,pet,1983-01-01,1.077
Toole County,30101,pet,1983-02-01,1.43
Toole County,30101,pet,1983-03-01,1.952
Toole County,30101,pet,1983-04-01,3.559
Toole County,30101,pet,1983-05-01,5.427
Toole County,30101,pet,1983-06-01,5.948
Toole County,30101,pet,1983-07-01,7.064
Toole County,30101,pet,1983-08-01,6.928
Toole County,30101,pet,1983-09-01,4.184
Toole County,30101,pet,1983-10-01,2.785
Toole County,30101,pet,1983-11-01,1.189
Toole County,30101,pet,1983-12-01,0.455
Toole County,30101,pet,1984-01-01,1.526
Toole County,30101,pet,1984-02-01,1.861
Toole County,30101,pet,1984-03-01,1.887
Toole County,30101,pet,1984-04-01,3.974
Toole County,30101,pet,1984-05-01,5.697
Toole County,30101,pet,1984-06-01,6.37
Toole County,30101,pet,1984-07-01,8.374
Toole County,30101,pet,1984-08-01,6.998
Toole County,30101,pet,1984-09-01,3.736
Toole County,30101,pet,1984-10-01,2.295
Toole County,30101,pet,1984-11-01,1.166
Toole County,30101,pet,1984-12-01,0.689
Toole County,30101,pet,1985-01-01,1.01
Toole County,30101,pet,1985-02-01,1.489
Toole County,30101,pet,1985-03-01,2.312
Toole County,30101,pet,1985-04-01,4.446
Toole County,30101,pet,1985-05-01,6.03
Toole County,30101,pet,1985-06-01,6.897
Toole County,30101,pet,1985-07-01,8.717
Toole County,30101,pet,1985-08-01,5.494
Toole County,30101,pet,1985-09-01,2.68
Toole County,30101,pet,1985-10-01,2.785
Toole County,30101,pet,1985-11-01,0.847
Toole County,30101,pet,1985-12-01,1.204
Toole County,30101,pet,1986-01-01,1.576
Toole County,30101,pet,1986-02-01,0.819
Toole County,30101,pet,1986-03-01,2.944
Toole County,30101,pet,1986-04-01,3.794
Toole County,30101,pet,1986-05-01,5.399
Toole County,30101,pet,1986-06-01,6.741
Toole County,30101,pet,1986-07-01,7.187
Toole County,30101,pet,1986-08-01,6.507
Toole County,30101,pet,1986-09-01,2.789
Toole County,30101,pet,1986-10-01,2.708
Toole County,30101,pet,1986-11-01,1.157
Toole County,30101,pet,1986-12-01,1.292
Toole County,30101,pet,1987-01-01,1.577
Toole County,30101,pet,1987-02-01,1.537
Toole County,30101,pet,1987-03-01,1.969
Toole County,30101,pet,1987-04-01,4.886
Toole County,30101,pet,1987-05-01,5.79
Toole County,30101,pet,1987-06-01,7.262
Toole County,30101,pet,1987-07-01,6.851
Toole County,30101,pet,1987-08-01,5.308
Toole County,30101,pet,1987-09-01,4.688
Toole County,30101,pet,1987-10-01,3.434
Toole County,30101,pet,1987-11-01,1.634
Toole County,30101,pet,1987-12-01,1.222
Toole County,30101,pet,1988-01-01,1.101
Toole County,30101,pet,1988-02-01,1.85
Toole County,30101,pet,1988-03-01,2.793
