name,id,variable,date,value
Lower Yellowstone,10100004,pet,1979-01-01,0.392
Lower Yellowstone,10100004,pet,1979-02-01,0.576
Lower Yellowstone,10100004,pet,1979-03-01,1.527
Lower Yellowstone,10100004,pet,1979-04-01,2.823
Lower Yellowstone,10100004,pet,1979-05-01,4.649
Lower Yellowstone,10100004,pet,1979-06-01,7.141
Lower Yellowstone,10100004,pet,1979-07-01,7.157
Lower Yellowstone,10100004,pet,1979-08-01,6.402
Lower Yellowstone,10100004,pet,1979-09-01,5.423
Lower Yellowstone,10100004,pet,1979-10-01,3.252
Lower Yellowstone,10100004,pet,1979-11-01,1.056
Lower Yellowstone,10100004,pet,1979-12-01,1.383
Lower Yellowstone,10100004,pet,1980-01-01,0.787
Lower Yellowstone,10100004,pet,1980-02-01,0.95
Lower Yellowstone,10100004,pet,1980-03-01,2.151
Lower Yellowstone,10100004,pet,1980-04-01,5.268
Lower Yellowstone,10100004,pet,1980-05-01,7.144
Lower Yellowstone,10100004,pet,1980-06-01,7.09
Lower Yellowstone,10100004,pet,1980-07-01,8.408
Lower Yellowstone,10100004,pet,1980-08-01,5.692
Lower Yellowstone,10100004,pet,1980-09-01,4.403
Lower Yellowstone,10100004,pet,1980-10-01,2.956
Lower Yellowstone,10100004,pet,1980-11-01,1.664
Lower Yellowstone,10100004,pet,1980-12-01,0.844
Lower Yellowstone,10100004,pet,1981-01-01,1.006
Lower Yellowstone,10100004,pet,1981-02-01,1.592
Lower Yellowstone,10100004,pet,1981-03-01,2.92
Lower Yellowstone,10100004,pet,1981-04-01,4.862
Lower Yellowstone,10100004,pet,1981-05-01,5.442
Lower Yellowstone,10100004,pet,1981-06-01,6.028
Lower Yellowstone,10100004,pet,1981-07-01,7.925
Lower Yellowstone,10100004,pet,1981-08-01,6.686
Lower Yellowstone,10100004,pet,1981-09-01,5.283
Lower Yellowstone,10100004,pet,1981-10-01,2.707
Lower Yellowstone,10100004,pet,1981-11-01,1.513
Lower Yellowstone,10100004,pet,1981-12-01,0.6
Lower Yellowstone,10100004,pet,1982-01-01,0.58
Lower Yellowstone,10100004,pet,1982-02-01,1.027
Lower Yellowstone,10100004,pet,1982-03-01,1.705
Lower Yellowstone,10100004,pet,1982-04-01,3.579
Lower Yellowstone,10100004,pet,1982-05-01,4.261
Lower Yellowstone,10100004,pet,1982-06-01,5.737
Lower Yellowstone,10100004,pet,1982-07-01,7.298
Lower Yellowstone,10100004,pet,1982-08-01,6.798
Lower Yellowstone,10100004,pet,1982-09-01,4.353
Lower Yellowstone,10100004,pet,1982-10-01,2.345
Lower Yellowstone,10100004,pet,1982-11-01,0.982
Lower Yellowstone,10100004,pet,1982-12-01,0.627
Lower Yellowstone,10100004,pet,1983-01-01,0.738
Lower Yellowstone,10100004,pet,1983-02-01,1.289
Lower Yellowstone,10100004,pet,1983-03-01,1.791
Lower Yellowstone,10100004,pet,1983-04-01,3.689
Lower Yellowstone,10100004,pet,1983-05-01,4.959
Lower Yellowstone,10100004,pet,1983-06-01,6.352
Lower Yellowstone,10100004,pet,1983-07-01,8.25
Lower Yellowstone,10100004,pet,1983-08-01,7.673
Lower Yellowstone,10100004,pet,1983-09-01,4.673
Lower Yellowstone,10100004,pet,1983-10-01,2.846
Lower Yellowstone,10100004,pet,1983-11-01,1.16
Lower Yellowstone,10100004,pet,1983-12-01,0.374
Lower Yellowstone,10100004,pet,1984-01-01,0.985
Lower Yellowstone,10100004,pet,1984-02-01,1.469
Lower Yellowstone,10100004,pet,1984-03-01,1.8
Lower Yellowstone,10100004,pet,1984-04-01,4.284
Lower Yellowstone,10100004,pet,1984-05-01,6.404
Lower Yellowstone,10100004,pet,1984-06-01,6.416
Lower Yellowstone,10100004,pet,1984-07-01,8.245
Lower Yellowstone,10100004,pet,1984-08-01,7.768
Lower Yellowstone,10100004,pet,1984-09-01,4.119
Lower Yellowstone,10100004,pet,1984-10-01,2.463
Lower Yellowstone,10100004,pet,1984-11-01,1.229
Lower Yellowstone,10100004,pet,1984-12-01,0.5
Lower Yellowstone,10100004,pet,1985-01-01,0.687
Lower Yellowstone,10100004,pet,1985-02-01,1.216
Lower Yellowstone,10100004,pet,1985-03-01,2.183
Lower Yellowstone,10100004,pet,1985-04-01,4.624
Lower Yellowstone,10100004,pet,1985-05-01,6.487
Lower Yellowstone,10100004,pet,1985-06-01,6.876
Lower Yellowstone,10100004,pet,1985-07-01,8.387
Lower Yellowstone,10100004,pet,1985-08-01,6.174
Lower Yellowstone,10100004,pet,1985-09-01,3.538
Lower Yellowstone,10100004,pet,1985-10-01,2.737
Lower Yellowstone,10100004,pet,1985-11-01,0.812
Lower Yellowstone,10100004,pet,1985-12-01,0.718
Lower Yellowstone,10100004,pet,1986-01-01,0.82
Lower Yellowstone,10100004,pet,1986-02-01,0.748
Lower Yellowstone,10100004,pet,1986-03-01,3.013
Lower Yellowstone,10100004,pet,1986-04-01,3.389
Lower Yellowstone,10100004,pet,1986-05-01,5.748
Lower Yellowstone,10100004,pet,1986-06-01,6.973
Lower Yellowstone,10100004,pet,1986-07-01,7.152
Lower Yellowstone,10100004,pet,1986-08-01,6.758
Lower Yellowstone,10100004,pet,1986-09-01,2.887
Lower Yellowstone,10100004,pet,1986-10-01,2.368
Lower Yellowstone,10100004,pet,1986-11-01,0.989
Lower Yellowstone,10100004,pet,1986-12-01,0.917
Lower Yellowstone,10100004,pet,1987-01-01,1.022
Lower Yellowstone,10100004,pet,1987-02-01,1.173
Lower Yellowstone,10100004,pet,1987-03-01,2.009
Lower Yellowstone,10100004,pet,1987-04-01,5.328
Lower Yellowstone,10100004,pet,1987-05-01,5.836
Lower Yellowstone,10100004,pet,1987-06-01,7.663
Lower Yellowstone,10100004,pet,1987-07-01,7.126
Lower Yellowstone,10100004,pet,1987-08-01,5.814
Lower Yellowstone,10100004,pet,1987-09-01,4.528
Lower Yellowstone,10100004,pet,1987-10-01,3.387
Lower Yellowstone,10100004,pet,1987-11-01,1.482
Lower Yellowstone,10100004,pet,1987-12-01,1.167
Lower Yellowstone,10100004,pet,1988-01-01,0.864
Lower Yellowstone,10100004,pet,1988-02-01,1.442
Lower Yellowstone,10100004,pet,1988-03-01,2.793
Lower Yellowstone,10100004,pet,1988-04-01,5.136
Lower Yellowstone,10100004,pet,1988-05-01,7.328
Lower Yellowstone,10100004,pet,1988-06-01,9.572
Lower Yellowstone,10100004,pet,1988-07-01,9.111
Lower Yellowstone,10100004,pet,1988-08-01,7.601
Lower Yellowstone,10100004,pet,1988-09-01,4.723
Lower Yellowstone,10100004,pet,1988-10-01,3.014
Lower Yellowstone,10100004,pet,1988-11-01,1.276
Lower Yellowstone,10100004,pet,1988-12-01,0.898
Lower Yellowstone,10100004,pet,1989-01-01,0.877
Lower Yellowstone,10100004,pet,1989-02-01,0.641
Lower Yellowstone,10100004,pet,1989-03-01,1.928
Lower Yellowstone,10100004,pet,1989-04-01,3.626
Lower Yellowstone,10100004,pet,1989-05-01,5.816
Lower Yellowstone,10100004,pet,1989-06-01,6.776
Lower Yellowstone,10100004,pet,1989-07-01,8.519
Lower Yellowstone,10100004,pet,1989-08-01,6.84
Lower Yellowstone,10100004,pet,1989-09-01,5.188
Lower Yellowstone,10100004,pet,1989-10-01,2.948
Lower Yellowstone,10100004,pet,1989-11-01,1.415
Lower Yellowstone,10100004,pet,1989-12-01,0.789
Lower Yellowstone,10100004,pet,1990-01-01,0.987
Lower Yellowstone,10100004,pet,1990-02-01,1.441
Lower Yellowstone,10100004,pet,1990-03-01,2.6
Lower Yellowstone,10100004,pet,1990-04-01,3.908
Lower Yellowstone,10100004,pet,1990-05-01,5.586
Lower Yellowstone,10100004,pet,1990-06-01,6.889
Lower Yellowstone,10100004,pet,1990-07-01,7.888
Lower Yellowstone,10100004,pet,1990-08-01,7.238
Lower Yellowstone,10100004,pet,1990-09-01,5.545
Lower Yellowstone,10100004,pet,1990-10-01,3.468
Lower Yellowstone,10100004,pet,1990-11-01,1.746
Lower Yellowstone,10100004,pet,1990-12-01,0.98
Lower Yellowstone,10100004,pet,1991-01-01,0.715
Lower Yellowstone,10100004,pet,1991-02-01,1.368
Lower Yellowstone,10100004,pet,1991-03-01,2.581
Lower Yellowstone,10100004,pet,1991-04-01,3.471
Lower Yellowstone,10100004,pet,1991-05-01,5.394
Lower Yellowstone,10100004,pet,1991-06-01,6.151
Lower Yellowstone,10100004,pet,1991-07-01,7.652
Lower Yellowstone,10100004,pet,1991-08-01,7.612
Lower Yellowstone,10100004,pet,1991-09-01,4.295
Lower Yellowstone,10100004,pet,1991-10-01,3.014
Lower Yellowstone,10100004,pet,1991-11-01,1.043
Lower Yellowstone,10100004,pet,1991-12-01,1.173
Lower Yellowstone,10100004,pet,1992-01-01,1.381
Lower Yellowstone,10100004,pet,1992-02-01,1.654
Lower Yellowstone,10100004,pet,1992-03-01,2.552
Lower Yellowstone,10100004,pet,1992-04-01,3.944
Lower Yellowstone,10100004,pet,1992-05-01,6.122
Lower Yellowstone,10100004,pet,1992-06-01,6.145
Lower Yellowstone,10100004,pet,1992-07-01,5.888
Lower Yellowstone,10100004,pet,1992-08-01,5.87
Lower Yellowstone,10100004,pet,1992-09-01,4.931
Lower Yellowstone,10100004,pet,1992-10-01,2.902
Lower Yellowstone,10100004,pet,1992-11-01,0.798
Lower Yellowstone,10100004,pet,1992-12-01,0.741
Lower Yellowstone,10100004,pet,1993-01-01,0.594
Lower Yellowstone,10100004,pet,1993-02-01,0.713
Lower Yellowstone,10100004,pet,1993-03-01,2.273
Lower Yellowstone,10100004,pet,1993-04-01,3.633
Lower Yellowstone,10100004,pet,1993-05-01,5.931
Lower Yellowstone,10100004,pet,1993-06-01,5.567
Lower Yellowstone,10100004,pet,1993-07-01,5.076
Lower Yellowstone,10100004,pet,1993-08-01,5.478
Lower Yellowstone,10100004,pet,1993-09-01,4.119
Lower Yellowstone,10100004,pet,1993-10-01,2.839
Lower Yellowstone,10100004,pet,1993-11-01,1.164
Lower Yellowstone,10100004,pet,1993-12-01,0.809
Lower Yellowstone,10100004,pet,1994-01-01,0.477
Lower Yellowstone,10100004,pet,1994-02-01,0.715
Lower Yellowstone,10100004,pet,1994-03-01,2.658
