name,id,variable,date,value
Flathead County,30029,pet_m16,2014-12-01,0
Flathead County,30029,pet_m16,2001-01-01,0.661
Flathead County,30029,pet_m16,2001-02-01,0.813
Flathead County,30029,pet_m16,2001-03-01,2.048
Flathead County,30029,pet_m16,2001-04-01,2.536
Flathead County,30029,pet_m16,2001-05-01,7.177
Flathead County,30029,pet_m16,2001-06-01,3.827
Flathead County,30029,pet_m16,2001-07-01,9.109
Flathead County,30029,pet_m16,2001-08-01,8.434
Flathead County,30029,pet_m16,2001-09-01,5.653
Flathead County,30029,pet_m16,2001-10-01,1.25
Flathead County,30029,pet_m16,2001-11-01,1.055
Flathead County,30029,pet_m16,2001-12-01,0
Flathead County,30029,pet_m16,2002-01-01,0.343
Flathead County,30029,pet_m16,2002-02-01,0.744
Flathead County,30029,pet_m16,2002-03-01,1.285
Flathead County,30029,pet_m16,2002-04-01,2.487
Flathead County,30029,pet_m16,2002-05-01,4.622
Flathead County,30029,pet_m16,2002-06-01,7.663
Flathead County,30029,pet_m16,2002-07-01,9.447
Flathead County,30029,pet_m16,2002-08-01,7.582
Flathead County,30029,pet_m16,2002-09-01,4.617
Flathead County,30029,pet_m16,2002-10-01,2.091
Flathead County,30029,pet_m16,2002-11-01,0.875
Flathead County,30029,pet_m16,2002-12-01,0
Flathead County,30029,pet_m16,2003-01-01,0.52
Flathead County,30029,pet_m16,2003-02-01,0.755
Flathead County,30029,pet_m16,2003-03-01,1.771
Flathead County,30029,pet_m16,2003-04-01,3.255
Flathead County,30029,pet_m16,2003-05-01,5.432
Flathead County,30029,pet_m16,2003-06-01,8.519
Flathead County,30029,pet_m16,2003-07-01,9.986
Flathead County,30029,pet_m16,2003-08-01,8.017
Flathead County,30029,pet_m16,2003-09-01,5.104
Flathead County,30029,pet_m16,2003-10-01,1.686
Flathead County,30029,pet_m16,2003-11-01,0.748
Flathead County,30029,pet_m16,2003-12-01,0
Flathead County,30029,pet_m16,2004-01-01,0.299
Flathead County,30029,pet_m16,2004-02-01,0.915
Flathead County,30029,pet_m16,2004-03-01,2.642
Flathead County,30029,pet_m16,2004-04-01,5.361
Flathead County,30029,pet_m16,2004-05-01,3.5
Flathead County,30029,pet_m16,2004-06-01,6.998
Flathead County,30029,pet_m16,2004-07-01,8.923
Flathead County,30029,pet_m16,2004-08-01,6.512
Flathead County,30029,pet_m16,2004-09-01,4.171
Flathead County,30029,pet_m16,2004-10-01,1.683
Flathead County,30029,pet_m16,2004-11-01,0.726
Flathead County,30029,pet_m16,2004-12-01,0
Flathead County,30029,pet_m16,2005-01-01,0.572
Flathead County,30029,pet_m16,2005-02-01,1.716
Flathead County,30029,pet_m16,2005-03-01,1.982
Flathead County,30029,pet_m16,2005-04-01,3.443
Flathead County,30029,pet_m16,2005-05-01,5.987
Flathead County,30029,pet_m16,2005-06-01,6.657
Flathead County,30029,pet_m16,2005-07-01,9.686
Flathead County,30029,pet_m16,2005-08-01,7.803
Flathead County,30029,pet_m16,2005-09-01,3.865
Flathead County,30029,pet_m16,2005-10-01,1.599
Flathead County,30029,pet_m16,2005-11-01,0.734
Flathead County,30029,pet_m16,2005-12-01,0
Flathead County,30029,pet_m16,2006-01-01,0.341
Flathead County,30029,pet_m16,2006-02-01,0.863
Flathead County,30029,pet_m16,2006-03-01,1.7
Flathead County,30029,pet_m16,2006-04-01,3.144
Flathead County,30029,pet_m16,2006-05-01,6.741
Flathead County,30029,pet_m16,2006-06-01,7.877
Flathead County,30029,pet_m16,2006-07-01,10.322
Flathead County,30029,pet_m16,2006-08-01,8.246
Flathead County,30029,pet_m16,2006-09-01,4.771
Flathead County,30029,pet_m16,2006-10-01,1.584
Flathead County,30029,pet_m16,2006-11-01,0.599
Flathead County,30029,pet_m16,2006-12-01,0
Flathead County,30029,pet_m16,2007-01-01,0.391
Flathead County,30029,pet_m16,2007-02-01,0.693
Flathead County,30029,pet_m16,2007-03-01,2.2
Flathead County,30029,pet_m16,2007-04-01,2.906
Flathead County,30029,pet_m16,2007-05-01,6.815
Flathead County,30029,pet_m16,2007-06-01,8.112
Flathead County,30029,pet_m16,2007-07-01,10.418
Flathead County,30029,pet_m16,2007-08-01,7.775
Flathead County,30029,pet_m16,2007-09-01,4.285
Flathead County,30029,pet_m16,2007-10-01,1.793
Flathead County,30029,pet_m16,2007-11-01,0.899
Flathead County,30029,pet_m16,2007-12-01,0
Flathead County,30029,pet_m16,2008-01-01,0.307
Flathead County,30029,pet_m16,2008-02-01,0.717
Flathead County,30029,pet_m16,2008-03-01,1.08
Flathead County,30029,pet_m16,2008-04-01,3.546
Flathead County,30029,pet_m16,2008-05-01,4.244
Flathead County,30029,pet_m16,2008-06-01,7.686
Flathead County,30029,pet_m16,2008-07-01,9.746
Flathead County,30029,pet_m16,2008-08-01,7.596
Flathead County,30029,pet_m16,2008-09-01,5.322
Flathead County,30029,pet_m16,2008-10-01,2.266
Flathead County,30029,pet_m16,2008-11-01,0.625
Flathead County,30029,pet_m16,2008-12-01,0.207
Flathead County,30029,pet_m16,2009-01-01,0.495
Flathead County,30029,pet_m16,2009-02-01,0.912
Flathead County,30029,pet_m16,2009-03-01,1.514
Flathead County,30029,pet_m16,2009-04-01,2.893
Flathead County,30029,pet_m16,2009-05-01,6.38
Flathead County,30029,pet_m16,2009-06-01,8.307
Flathead County,30029,pet_m16,2009-07-01,9.175
Flathead County,30029,pet_m16,2009-08-01,7.074
Flathead County,30029,pet_m16,2009-09-01,5.325
Flathead County,30029,pet_m16,2009-10-01,1.004
Flathead County,30029,pet_m16,2009-11-01,1.002
Flathead County,30029,pet_m16,2009-12-01,0.091
Flathead County,30029,pet_m16,2010-01-01,0.396
Flathead County,30029,pet_m16,2010-02-01,1.054
Flathead County,30029,pet_m16,2010-03-01,2.392
Flathead County,30029,pet_m16,2010-04-01,2.867
Flathead County,30029,pet_m16,2010-05-01,5.145
Flathead County,30029,pet_m16,2010-06-01,7.093
Flathead County,30029,pet_m16,2010-07-01,9.066
Flathead County,30029,pet_m16,2010-08-01,7.05
Flathead County,30029,pet_m16,2010-09-01,3.912
Flathead County,30029,pet_m16,2010-10-01,1.712
Flathead County,30029,pet_m16,2010-11-01,0.725
Flathead County,30029,pet_m16,2010-12-01,0.177
Flathead County,30029,pet_m16,2011-01-01,0.286
Flathead County,30029,pet_m16,2011-02-01,0.634
Flathead County,30029,pet_m16,2011-03-01,1.389
Flathead County,30029,pet_m16,2011-04-01,2.063
Flathead County,30029,pet_m16,2011-05-01,4.875
Flathead County,30029,pet_m16,2011-06-01,6.727
Flathead County,30029,pet_m16,2011-07-01,9.252
Flathead County,30029,pet_m16,2011-08-01,8.294
Flathead County,30029,pet_m16,2011-09-01,5.247
Flathead County,30029,pet_m16,2011-10-01,1.473
Flathead County,30029,pet_m16,2011-11-01,0.809
Flathead County,30029,pet_m16,2011-12-01,0.131
Flathead County,30029,pet_m16,2012-01-01,0.362
Flathead County,30029,pet_m16,2012-02-01,0.705
Flathead County,30029,pet_m16,2012-03-01,1.921
Flathead County,30029,pet_m16,2012-04-01,4.055
Flathead County,30029,pet_m16,2012-05-01,4.481
Flathead County,30029,pet_m16,2012-06-01,6.561
Flathead County,30029,pet_m16,2012-07-01,9.47
Flathead County,30029,pet_m16,2012-08-01,8.454
Flathead County,30029,pet_m16,2012-09-01,5.509
Flathead County,30029,pet_m16,2012-10-01,1.684
Flathead County,30029,pet_m16,2012-11-01,0.422
Flathead County,30029,pet_m16,2012-12-01,0
Flathead County,30029,pet_m16,2013-01-01,0.306
Flathead County,30029,pet_m16,2013-02-01,0.676
Flathead County,30029,pet_m16,2013-03-01,2.197
Flathead County,30029,pet_m16,2013-04-01,2.401
Flathead County,30029,pet_m16,2013-05-01,6.22
Flathead County,30029,pet_m16,2013-06-01,8.097
Flathead County,30029,pet_m16,2013-07-01,9.584
Flathead County,30029,pet_m16,2013-08-01,8.152
Flathead County,30029,pet_m16,2013-09-01,4.251
Flathead County,30029,pet_m16,2013-10-01,1.628
Flathead County,30029,pet_m16,2013-11-01,0.654
Flathead County,30029,pet_m16,2013-12-01,0
Flathead County,30029,pet_m16,2014-01-01,0.415
Flathead County,30029,pet_m16,2014-02-01,0.632
Flathead County,30029,pet_m16,2014-03-01,1.755
Flathead County,30029,pet_m16,2014-04-01,2.869
Flathead County,30029,pet_m16,2014-05-01,6.251
Flathead County,30029,pet_m16,2014-06-01,7.16
Flathead County,30029,pet_m16,2014-07-01,9.636
Flathead County,30029,pet_m16,2014-08-01,6.996
Flathead County,30029,pet_m16,2014-09-01,4.966
Flathead County,30029,pet_m16,2014-10-01,1.772
Flathead County,30029,pet_m16,2014-11-01,0.708
Flathead County,30029,pet_m16,2015-01-01,0.375
Flathead County,30029,pet_m16,2015-02-01,1.121
Flathead County,30029,pet_m16,2015-03-01,2.469
Flathead County,30029,pet_m16,2015-04-01,3.952
Flathead County,30029,pet_m16,2015-05-01,6.765
Flathead County,30029,pet_m16,2015-06-01,9.724
Flathead County,30029,pet_m16,2015-07-01,8.928
Flathead County,30029,pet_m16,2015-08-01,7.149
Flathead County,30029,pet_m16,2015-09-01,5.155
Flathead County,30029,pet_m16,2015-10-01,2.114
Flathead County,30029,pet_m16,2015-11-01,0.933
Flathead County,30029,pet_m16,2015-12-01,0
Flathead County,30029,pet_m16,2016-01-01,0.309
Flathead County,30029,pet_m16,2016-02-01,0.968
Flathead County,30029,pet_m16,2016-03-01,2.616
Flathead County,30029,pet_m16,2016-04-01,5.774
Flathead County,30029,pet_m16,2016-05-01,4.182
Flathead County,30029,pet_m16,2016-06-01,8.686
Flathead County,30029,pet_m16,2016-07-01,8.682
Flathead County,30029,pet_m16,2016-08-01,7.29
Flathead County,30029,pet_m16,2016-09-01,4.457
Flathead County,30029,pet_m16,2016-10-01,1.497
Flathead County,30029,pet_m16,2016-11-01,0.745
Flathead County,30029,pet_m16,2016-12-01,0.091
Flathead County,30029,pet_m16,2017-01-01,0.511
Flathead County,30029,pet_m16,2017-02-01,0.738
Flathead County,30029,pet_m16,2017-03-01,1.763
Flathead County,30029,pet_m16,2017-04-01,2.397
Flathead County,30029,pet_m16,2017-05-01,6.257
Flathead County,30029,pet_m16,2017-06-01,8.398
Flathead County,30029,pet_m16,2017-07-01,10.323
Flathead County,30029,pet_m16,2017-08-01,7.345
Flathead County,30029,pet_m16,2017-09-01,4.069
