name,id,variable,date,value
Northern Cheyenne,northern-cheyenne,pet,1979-01-01,0.651
Northern Cheyenne,northern-cheyenne,pet,1979-02-01,1.198
Northern Cheyenne,northern-cheyenne,pet,1979-03-01,2.344
Northern Cheyenne,northern-cheyenne,pet,1979-04-01,3.562
Northern Cheyenne,northern-cheyenne,pet,1979-05-01,4.994
Northern Cheyenne,northern-cheyenne,pet,1979-06-01,7.111
Northern Cheyenne,northern-cheyenne,pet,1979-07-01,7.716
Northern Cheyenne,northern-cheyenne,pet,1979-08-01,6.431
Northern Cheyenne,northern-cheyenne,pet,1979-09-01,5.684
Northern Cheyenne,northern-cheyenne,pet,1979-10-01,3.402
Northern Cheyenne,northern-cheyenne,pet,1979-11-01,1.379
Northern Cheyenne,northern-cheyenne,pet,1979-12-01,1.752
Northern Cheyenne,northern-cheyenne,pet,1980-01-01,1.18
Northern Cheyenne,northern-cheyenne,pet,1980-02-01,1.466
Northern Cheyenne,northern-cheyenne,pet,1980-03-01,2.328
Northern Cheyenne,northern-cheyenne,pet,1980-04-01,5.106
Northern Cheyenne,northern-cheyenne,pet,1980-05-01,5.93
Northern Cheyenne,northern-cheyenne,pet,1980-06-01,7.028
Northern Cheyenne,northern-cheyenne,pet,1980-07-01,8.545
Northern Cheyenne,northern-cheyenne,pet,1980-08-01,6.571
Northern Cheyenne,northern-cheyenne,pet,1980-09-01,4.934
Northern Cheyenne,northern-cheyenne,pet,1980-10-01,3.307
Northern Cheyenne,northern-cheyenne,pet,1980-11-01,2.01
Northern Cheyenne,northern-cheyenne,pet,1980-12-01,1.57
Northern Cheyenne,northern-cheyenne,pet,1981-01-01,1.439
Northern Cheyenne,northern-cheyenne,pet,1981-02-01,1.804
Northern Cheyenne,northern-cheyenne,pet,1981-03-01,3.028
Northern Cheyenne,northern-cheyenne,pet,1981-04-01,4.777
Northern Cheyenne,northern-cheyenne,pet,1981-05-01,4.981
Northern Cheyenne,northern-cheyenne,pet,1981-06-01,6.029
Northern Cheyenne,northern-cheyenne,pet,1981-07-01,7.686
Northern Cheyenne,northern-cheyenne,pet,1981-08-01,6.557
Northern Cheyenne,northern-cheyenne,pet,1981-09-01,5.299
Northern Cheyenne,northern-cheyenne,pet,1981-10-01,2.756
Northern Cheyenne,northern-cheyenne,pet,1981-11-01,1.79
Northern Cheyenne,northern-cheyenne,pet,1981-12-01,1.162
Northern Cheyenne,northern-cheyenne,pet,1982-01-01,1.187
Northern Cheyenne,northern-cheyenne,pet,1982-02-01,1.729
Northern Cheyenne,northern-cheyenne,pet,1982-03-01,2.467
Northern Cheyenne,northern-cheyenne,pet,1982-04-01,3.863
Northern Cheyenne,northern-cheyenne,pet,1982-05-01,4.527
Northern Cheyenne,northern-cheyenne,pet,1982-06-01,5.582
Northern Cheyenne,northern-cheyenne,pet,1982-07-01,7.47
Northern Cheyenne,northern-cheyenne,pet,1982-08-01,7.143
Northern Cheyenne,northern-cheyenne,pet,1982-09-01,4.164
Northern Cheyenne,northern-cheyenne,pet,1982-10-01,2.747
Northern Cheyenne,northern-cheyenne,pet,1982-11-01,1.314
Northern Cheyenne,northern-cheyenne,pet,1982-12-01,0.956
